gene_name,9mo.2mo.log_ratio,18mo.9mo.log_ratio,18mo.2mo.log_ratio,count
0610005C13Rik,0.16854894885676697,-0.1674174231085114,0.0011315257482555907,2
0610007P14Rik,-0.6780719049580635,0.15611920187500528,-0.5219527030830582,1
0610009E02Rik,-0.39147940335490244,-0.2675433797206252,-0.6590227830755276,6
0610009L18Rik,0.8271634029347072,-0.3550949587493595,0.47206844418534777,1
0610010F05Rik,-0.15754127695777898,-0.5711567010613686,-0.7286979780191476,1
0610010K14Rik,-0.5477021808021657,-0.5517839426432314,-1.099486123445397,3
0610011F06Rik,-0.2344652536051987,-0.4727529970528648,-0.7072182506580635,1
0610012D04Rik,-0.7914133779542989,-0.37851162308726494,-1.1699250010415638,1
0610030E20Rik,-0.5250910446364054,-0.40335569411769967,-0.9284467387541051,1
0610031O16Rik,0.23328389987012027,-0.7849278038786975,-0.5516439040085772,2
0610037L13Rik,-0.3089502408476432,-0.2587342683578717,-0.5676845092055149,1
0610038B21Rik,0.8845227823257427,-0.8300749983239173,0.05444778400182537,1
0610040B10Rik,-0.6780719049580635,0.5986374374782409,-0.07943446747982252,1
0610040F04Rik,-0.1921003861052868,0.05209604072845991,-0.14000434537682685,9
0610040J01Rik,-0.383801235383775,-0.32162913649884667,-0.7054303718826217,9
0610043K17Rik,-1.1956200623598374,-0.3055981053941143,-1.5012181677539518,4
1010001N08Rik,1.2373012040335645,0.3047623355432659,1.5420635395768305,5
1110002J07Rik,0.4474589768837852,-0.5849625006009315,-0.13750352371714625,1
1110004F10Rik,0.3755091350475283,-0.015106892388626454,0.36040224265890186,1
1110007C09Rik,0.3306453119436996,0.051225323349109814,0.3818706352928094,1
1110008F13Rik,-0.43481120892574054,-0.6284216777188253,-1.0632328866445657,5
1110008L16Rik,-0.12619390357639945,0.25853448359469283,0.13234058001829338,6
1110018N20Rik,6.479140128030869,0.05901610814061868,6.538156236171487,5
1110019D14Rik,-0.34146337444457475,-0.11492055812504857,-0.4563839325696234,4
1110032A03Rik,-0.26303440579371895,-0.5145731727267085,-0.7776075785204275,1
1110034G24Rik,0.1295986008209511,-0.2364729881691253,-0.1068743873481742,5
1110036E04Rik,-0.36257007931927987,-0.36678233058639376,-0.7293524099056736,1
1110037F02Rik,0.09753636405901456,0.00466746479535828,0.10220382885437283,6
1110051M20Rik,-0.7468348585848638,-0.18035558652491654,-0.9271904451097804,7
1110054M08Rik,0.6338721010252206,-1.0995356731845156,-0.465663572159295,1
1110059E24Rik,-0.5243263704214742,-0.17886154387895636,-0.7031879143004306,4
1110065P20Rik,-0.37685430534145514,0.16272950001514008,-0.2141248053263151,1
1190002F15Rik,0.22282498429602415,-0.06951593942032723,0.1533090448756969,3
1190002N15Rik,-1.587653599553696,0.5426770733361097,-1.0449765262175863,3
1190005I06Rik,0.3278039487079616,0.008497522927815462,0.33630147163577706,9
1190007I07Rik,0.24997825294631504,-0.8744691176429034,-0.6244908646965883,1
1200007C13Rik,-1.4150374985274405,-0.41503749887809516,-1.8300749974055357,1
1200014J11Rik,0.017194910090004085,-0.3692365349171917,-0.3520416248271876,3
1300002E11Rik,-0.2410080994634396,-1.0264722110891678,-1.2674803105526073,1
1300017J02Rik,0.4683628870518181,-0.17570841705330928,0.2926544699985088,3
1500004A13Rik,-0.2740811533899885,0.06609766149870551,-0.207983491891283,7
1500009L16Rik,-0.10663328450620473,-0.059172763324621125,-0.16580604783082586,4
1500011B03Rik,0.5563933484338632,-0.3708376953119277,0.18555565312193556,1
1500012K07Rik,0.4854268270671922,0.09953567353373927,0.5849625006009315,1
1500015O10Rik,-0.8981203856768927,-0.5525410227227523,-1.450661408399645,1
1500017E21Rik,-0.03456393444537062,-0.12168535613763057,-0.1562492905830012,4
1500035N22Rik,0.35804752064935574,-0.0320612092287359,0.32598631142061985,1
1520401A03Rik,0.19555080908831052,0.2765176351619747,0.47206844425028516,1
1600002D24Rik,-0.3856882625256158,-0.3019659153077387,-0.6876541778333545,7
1600002H07Rik,-0.19744606418161295,0.38589115357418174,0.1884450893925688,1
1600002K03Rik,-0.1751589729469111,-0.35502115202349027,-0.5301801249704013,3
