start,end,2mo,9mo,18mo,gene_start,gene_end,gene_name,distance
3322518,3322583,0.34,0.32,0.03,3203901,3673498,Xkr4,118617
3755050,3755077,0.98,0.98,0.75,3750010,3756360,RP23-122M2.1,1310
4894100,4894103,0.74,1.0,0.87,4855814,4899909,Tcea1,5809
5020766,5020786,0.11,0.28,0.02,4907576,5072285,Rgs20,51519
6383134,6383145,0.0,0.0,0.2,6380634,6385106,RP23-76C20.2,1972
6383134,6383145,0.0,0.0,0.2,6357218,6396731,Fam150a,13597
6517585,6517688,0.98,0.95,0.77,6485231,6862940,St18,32354
6626531,6626577,0.92,0.97,0.73,6485231,6862940,St18,141300
6735638,6736246,0.68,0.89,0.81,6485231,6862940,St18,127302
6760936,6760952,0.49,0.43,0.22,6485231,6862940,St18,102004
9251043,9251052,1.0,0.89,0.67,8359475,9301878,Sntg1,50835
9611891,9611947,0.49,0.27,0.24,9599199,9629143,3110035E14Rik,12692
9611891,9611947,0.49,0.27,0.24,9558832,9633175,2610203C22Rik,21284
9613319,9613326,0.8,0.52,0.56,9599199,9629143,3110035E14Rik,14120
9613319,9613326,0.8,0.52,0.56,9558832,9633175,2610203C22Rik,19856
9619364,9619484,0.09,0.25,0.0,9599199,9629143,3110035E14Rik,9779
9619364,9619484,0.09,0.25,0.0,9558832,9633175,2610203C22Rik,13811
9775700,9775727,0.14,0.08,0.43,9745648,9793922,1700034P13Rik,18222
9807066,9807069,0.74,0.58,1.0,9796107,9902845,Sgk3,10959
9839735,9839755,0.76,0.9,1.0,9796107,9902845,Sgk3,43628
9882461,9882474,0.45,0.32,0.12,9796107,9902845,Sgk3,20384
9964473,9964532,0.75,0.94,0.96,9958163,9969932,Tcf24,5459
9966939,9967005,0.48,0.36,0.67,9965314,9970687,RP23-228G18.3,1625
9966939,9967005,0.48,0.36,0.67,9966624,10011136,Ppp1r42,315
9966939,9967005,0.48,0.36,0.67,9958163,9969932,Tcf24,2993
10218568,10218697,0.65,0.64,0.3,10135571,10234670,Arfgef1,16102
11217577,11217799,0.52,0.38,0.13,10991465,11305681,Prex2,88104
11448918,11449001,0.86,0.92,0.64,11412105,11977901,A830018L16Rik,36813
11517113,11517739,0.68,0.62,0.89,11412105,11977901,A830018L16Rik,105008
11579847,11580165,0.45,0.21,0.24,11412105,11977901,A830018L16Rik,167742
11598422,11598501,0.51,0.42,0.78,11412105,11977901,A830018L16Rik,186317
11731241,11731314,0.79,0.88,1.0,11412105,11977901,A830018L16Rik,246660
12701647,12701659,0.47,0.54,0.81,12690277,12863192,Sulf1,11370
13149312,13149388,0.65,0.63,0.91,13137105,13376083,Ncoa2,12207
13224661,13224740,0.92,0.91,0.69,13137105,13376083,Ncoa2,87556
13641351,13641360,1.0,0.87,0.78,13639483,13644748,RP23-70F22.2,1868
13641351,13641360,1.0,0.87,0.78,13621330,13662546,Lactb2,20021
13649720,13649735,0.13,0.23,0.46,13621330,13662546,Lactb2,12826
14208269,14208361,0.76,0.52,0.37,14166954,14312235,Eya1,41315
14305206,14305209,0.49,0.79,0.9,14166954,14312235,Eya1,7029
14305218,14305227,0.57,0.63,0.93,14166954,14312235,Eya1,7017
14306872,14307138,0.84,0.86,0.44,14166954,14312235,Eya1,5363
14901760,14901904,0.84,0.77,1.0,14870648,14920862,Trpa1,19102
15616974,15617180,0.17,0.07,0.4,15285254,15725750,Kcnb2,108776
15640472,15640481,0.69,0.18,0.72,15285254,15725750,Kcnb2,85278
16130223,16130267,0.24,0.1,0.03,16103774,16135734,Rdh10,5511
16255726,16255766,0.58,0.7,0.36,16226674,16522112,Stau2,29052
16255726,16255766,0.58,0.7,0.36,16251592,16269921,Gm7568,4134
16759216,16759607,0.72,0.45,0.44,16756205,16760623,Gm29649,1407
17760302,17760322,0.56,0.43,0.18,17725045,17768344,Crispld1,8042
17760302,17760322,0.56,0.43,0.18,17739915,17807417,Gm28153,20387
20190677,20190719,0.76,0.83,0.49,20055779,20620064,Pkhd1,134898
20195622,20197179,0.81,1.0,0.74,20055779,20620064,Pkhd1,139843
20385709,20385785,0.87,0.96,0.67,20354452,20394300,4930486I03Rik,8591
20385709,20385785,0.87,0.96,0.67,20055779,20620064,Pkhd1,234355
20617804,20617873,0.56,0.78,0.87,20055779,20620064,Pkhd1,2260
20982076,20982106,0.82,0.69,0.42,20949626,20992841,Efhc1,10765
20998170,20998246,0.67,0.72,0.9,20994299,21081229,Tram2,3871
21272376,21272389,0.08,0.06,0.33,21270403,21274906,Gm7094,1973
21272376,21272389,0.08,0.06,0.33,21248359,21273593,Gm28836,1217
21505753,21505772,0.37,0.28,0.62,21396403,21963942,Kcnq5,109350
21672001,21672024,0.65,0.81,0.37,21396403,21963942,Kcnq5,275598
21774440,21774464,0.77,0.72,0.94,21396403,21963942,Kcnq5,189502
22305306,22305496,0.76,0.7,0.4,22284251,22807724,Rims1,21055
22345883,22345940,0.24,0.6,0.48,22284251,22807724,Rims1,61632
22488372,22488471,0.72,0.79,1.0,22284251,22807724,Rims1,204121
22807227,22807352,0.51,0.23,0.67,22284251,22807724,Rims1,497
23373594,23373884,0.97,0.94,0.74,23364424,23399772,Ogfrl1,9170
24453671,24453684,0.57,0.62,0.97,24259890,24589472,Col19a1,135801
24613309,24613505,0.08,0.04,0.46,24609535,24614410,Gm28439,1101
24613309,24613505,0.08,0.04,0.46,24610407,24614700,Gm10222,1391
24613309,24613505,0.08,0.04,0.46,24610775,24615119,Gm28438,1810
24613309,24613505,0.08,0.04,0.46,24611189,24615971,Gm28437,2120
24613309,24613505,0.08,0.04,0.46,24611974,24616651,Gm10925,1335
24613309,24613505,0.08,0.04,0.46,24612885,24617565,Gm28661,424
24686478,24686580,0.78,0.64,0.51,24676630,24768301,Lmbrd1,9848
25086672,25086740,0.21,0.27,0.02,25065476,25831707,Bai3,21196
25190898,25191013,0.63,0.66,0.92,25065476,25831707,Bai3,125422
25430823,25430827,0.12,0.22,0.5,25065476,25831707,Bai3,365347
25474743,25474751,0.52,0.59,0.09,25065476,25831707,Bai3,356964
25627271,25627277,0.21,0.22,0.53,25065476,25831707,Bai3,204436
31219054,31219581,0.06,0.25,0.0,31133226,31224684,4931428L18Rik,5630
32461063,32461073,0.67,0.4,0.32,32170714,32660568,Khdrbs2,199505
32532501,32532507,0.71,0.79,0.53,32170714,32660568,Khdrbs2,128067
32612073,32612229,0.13,0.0,0.22,32170714,32660568,Khdrbs2,48495
33490269,33490286,0.46,0.21,0.16,33451810,33671795,Prim2,38459
33733869,33733884,0.77,0.8,0.98,33717887,33744564,Rab23,10695
33892266,33892361,0.62,0.69,0.44,33887490,33893117,RP23-32P22.2,851
33892266,33892361,0.62,0.69,0.44,33850052,33909816,Bend6,17550
33910050,33910185,0.3,0.3,0.6,33906225,34310661,Dst,3825
33910050,33910185,0.3,0.3,0.6,33906272,34309592,AC123072.1,3778
34059271,34059302,0.91,0.76,0.99,33906225,34310661,Dst,153046
34059271,34059302,0.91,0.76,0.99,33906272,34309592,AC123072.1,152999
34060341,34060458,0.24,0.17,0.52,33906225,34310661,Dst,154116
34060341,34060458,0.24,0.17,0.52,33906272,34309592,AC123072.1,154069
34077342,34077380,0.1,0.21,0.41,33906225,34310661,Dst,171117
34077342,34077380,0.1,0.21,0.41,33906272,34309592,AC123072.1,171070
34095008,34095031,0.54,0.75,0.34,33906225,34310661,Dst,188783
34095008,34095031,0.54,0.75,0.34,33906272,34309592,AC123072.1,188736
34179325,34179337,0.83,0.57,0.96,34158330,34185036,DST,5711
34179325,34179337,0.83,0.57,0.96,34163856,34180446,Gm26788,1121
34179325,34179337,0.83,0.57,0.96,33906225,34310661,Dst,131336
34179325,34179337,0.83,0.57,0.96,33906272,34309592,AC123072.1,130267
34244979,34244985,0.18,0.02,0.32,33906225,34310661,Dst,65682
34244979,34244985,0.18,0.02,0.32,33906272,34309592,AC123072.1,64613
34246217,34246235,0.87,0.67,1.0,33906225,34310661,Dst,64444
34246217,34246235,0.87,0.67,1.0,33906272,34309592,AC123072.1,63375
34432606,34432609,0.04,0.22,0.02,34425002,34435264,mmu-mir-5103,2658
34432606,34432609,0.04,0.22,0.02,34431121,34435199,Mir5103,1485
34562637,34562640,0.84,0.8,0.41,34541968,34562943,Prss40,306
34806217,34806220,0.16,0.11,0.42,34676188,34815309,Arhgef4,9092
34867682,34867739,0.98,1.0,0.76,34847976,34881580,Plekhb2,13898
34874909,34875005,0.7,0.41,0.42,34847976,34881580,Plekhb2,6671
36369282,36369285,0.04,0.23,0.43,36333730,36371181,Kansl3,1899
36496157,36496243,0.54,0.45,0.11,36469620,36510764,Cnnm4,14607
36833114,36833138,0.75,0.87,1.0,36790191,36945666,Tmem131,42923
36863553,36863773,0.72,0.59,0.49,36790191,36945666,Tmem131,73362
37102934,37102986,0.93,0.78,0.98,37024596,37189613,Vwa3b,78338
37337619,37337629,0.87,0.78,0.58,37297865,37412736,Inpp4a,39754
37378403,37378421,0.55,0.59,0.26,37297865,37412736,Inpp4a,34333
37386772,37386802,0.77,0.57,0.44,37297865,37412736,Inpp4a,25964
37390967,37390978,0.9,0.93,0.72,37297865,37412736,Inpp4a,21769
37512074,37512146,0.69,0.66,0.36,37437340,37543016,Mgat4a,30942
37653277,37653385,0.51,0.69,0.81,37609677,37722085,2010300C02Rik,43600
37679822,37679848,0.69,0.67,0.39,37609677,37722085,2010300C02Rik,42263
37682181,37682277,0.49,0.78,0.3,37609677,37722085,2010300C02Rik,39904
37694731,37694754,0.32,0.17,0.06,37692447,37698664,RP23-21P10.1,2284
37694731,37694754,0.32,0.17,0.06,37609677,37722085,2010300C02Rik,27354
37793679,37793690,0.4,0.5,0.13,37752776,37868429,Tsga10,40903
37915900,37915931,0.93,0.59,0.6,37903923,37918493,Lyg2,2593
37918002,37918114,0.42,0.2,0.19,37903923,37918493,Lyg2,491
38038918,38038921,0.84,0.54,0.92,37996010,38057579,Eif5b,18661
38049533,38049713,0.69,0.7,0.97,37996010,38057579,Eif5b,8046
