,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,DEG
Meg3,2.7355879258393902e-239,1.17961431628681,1.0,1.0,7.10541607857523e-235,-1
Ube3a,1.62709734223512e-85,-1.77750104931257,0.482,0.798,4.2262226367215e-81,1
Tsix,1.42347224388206e-63,-2.96955206456365,0.097,0.438,3.6973268062592702e-59,1
Cacna1a,1.94617486596252e-43,1.00063373383004,0.886,0.607,5.05499459685105e-39,-1
Snrnp70,5.68142638544832e-43,1.53312881465706,0.685,0.291,1.47569368935635e-38,-1
Galntl6,9.362427482450899e-43,1.42330545165908,0.626,0.277,2.4317969142918e-38,-1
Grin1,9.835819092753549e-42,1.24512201507402,0.837,0.456,2.55475565115181e-37,-1
Gm26917,2.4595271789408e-38,-0.46761452674418,0.703,0.648,6.38837589458084e-34,1
Slc17a7,3.06798271354203e-38,1.50397847040264,0.564,0.238,7.96877830015408e-34,-1
Pabpn1,5.04212290597402e-38,1.47435739307599,0.596,0.251,1.30964100359769e-33,-1
Camkv,6.47155074643407e-38,1.69139089857379,0.503,0.162,1.68092059087879e-33,-1
Grin2b,2.2803846722028e-36,0.263252676726222,0.991,0.973,5.92307114757956e-32,0
Mapt,9.87482883351643e-36,1.05407755466584,0.747,0.402,2.5648880412175603e-31,-1
Celf4,7.86856725681044e-34,0.727983348745381,0.94,0.782,2.04378165928394e-29,-1
Rnf112,7.99454488368488e-34,1.74282848400284,0.511,0.175,2.0765030880883099e-29,-1
Nrxn2,1.51146726634244e-33,1.25997365610609,0.684,0.343,3.92588507759786e-29,-1
Nrg3os,7.72938538327371e-33,-1.32193177485165,0.176,0.529,2.00763055945151e-28,1
Ptprs,1.12103659859134e-29,1.12486763193722,0.8,0.447,2.9117804611811503e-25,-1
Miat,1.53622744293366e-29,1.10099860205333,0.717,0.406,3.9901971602758902e-25,-1
AY036118,3.93548454013982e-29,-1.08781393024719,0.353,0.732,1.02220275445592e-24,1
Tmem132a,6.66158717144952e-29,2.10492009134736,0.355,0.095,1.7302806519123e-24,-1
Rbfox3,2.7538089546724897e-28,0.672054236806978,0.793,0.526,7.15274337886633e-24,-1
Camk2a,2.4551792263705e-27,0.772846806315629,0.88,0.69,6.37708252257474e-23,-1
Matk,6.14017119205322e-27,1.95038892266527,0.348,0.098,1.5948480654239e-22,-1
Abr,1.49275484442078e-26,0.900490417839528,0.724,0.438,3.8772814328985297e-22,-1
4930419G24Rik,2.74970584168588e-26,-1.35496207382272,0.213,0.556,7.1420859531949e-22,1
Prkcg,5.1141503284747005e-26,1.1895240136161,0.707,0.414,1.3283494063180201e-21,-1
Ptprn,9.618128440059269e-26,1.23720544950246,0.613,0.302,2.4982126810210002e-21,-1
Sptbn4,1.20233242835671e-25,1.26865407991718,0.684,0.348,3.12293824941371e-21,-1
Lmo4,3.23940822159366e-25,1.41638385107392,0.497,0.235,8.41403891476737e-21,-1
Dgkz,7.598885904889161e-25,1.22204381107141,0.555,0.258,1.97373462493591e-20,-1
Pacsin1,1.1666765201879201e-24,0.982931732096581,0.698,0.402,3.0303255935361004e-20,-1
Csmd2,2.54677306790636e-24,0.541610303924591,0.968,0.854,6.61498836657998e-20,-1
Pkd1,3.12128027387868e-24,1.01555984869468,0.598,0.297,8.10721338337247e-20,-1
Dlg4,3.2915731668557e-24,1.38613021006426,0.55,0.231,8.549532143590999e-20,-1
Celf3,2.82911230580272e-23,1.78968519638385,0.346,0.101,7.348336303092e-19,-1
Syt7,3.06668885020885e-23,0.886350306334149,0.736,0.466,7.96541761953247e-19,-1
Atp6v0b,5.85000395978751e-23,0.633576263453018,0.485,0.364,1.51948002851521e-18,-1
Sez6l,3.7140403008508697e-22,0.725653723090338,0.764,0.512,9.646848277430059e-18,-1
Kcnq2,4.1913634256293296e-22,1.02582274935797,0.591,0.315,1.08866473617296e-17,-1
Gpc5,6.46862118522233e-22,1.00510721040935,0.279,0.091,1.68015966664965e-17,-1
Elavl3,6.12537997240945e-21,0.884885536874956,0.656,0.388,1.59100619403363e-16,-1
Cpt1c,6.65150544644295e-21,1.46642453357352,0.36,0.143,1.72766202465909e-16,-1
Ptk2b,7.423463843506481e-21,0.718668554599144,0.708,0.458,1.92817049871237e-16,-1
Srek1,1.8160098552733102e-20,-0.120640510693284,0.634,0.517,4.71690399808689e-16,0
Syt11,1.9957911963989902e-20,1.17806627194129,0.422,0.182,5.18386805352674e-16,-1
Bcl11b,2.4774326487791102e-20,0.657149495576231,0.735,0.515,6.43488356193886e-16,-1
Baiap2,4.1722439980428804e-20,1.05501385081641,0.536,0.278,1.0836986560516601e-15,-1
Cdk9,8.886066399488601e-20,2.24052129343992,0.258,0.062,2.3080668866031703e-15,-1
