gene_name,9mo.2mo.log_ratio.mean,18mo.9mo.log_ratio.mean,18mo.2mo.log_ratio.mean,log2_distance.mean,9mo.2mo.log_ratio.std,18mo.9mo.log_ratio.std,18mo.2mo.log_ratio.std,log2_distance.std,count
0610005C13Rik,0.4819815877250153,0.0305143950351765,0.5124959827601918,11.60619342045736,0.2626948344901794,0.2543621286369814,0.008332705853197998,0.6726322958659212,2
0610007P14Rik,0.088405928467711,0.05349280520626346,0.14189873367397446,11.344375034027827,0.20539779879399878,0.1593839541606686,0.11354383594896933,0.8282015918490543,3
0610009B22Rik,-0.019155402659682963,0.12280869428075203,0.10365329162106907,11.185494924210929,,,,,1
0610009E02Rik,0.0745793137576507,0.09880539491559315,0.17338470867324385,10.71398733619474,0.0072883610504841856,0.03694737874704278,0.044235739797526964,0.32836328360374584,2
0610009L18Rik,0.32692889969332595,-0.06043954333717566,0.2664893563561503,10.885963245601285,0.11030351313079138,0.08162637739726267,0.11786073053727639,0.6955135453256867,4
0610009O20Rik,0.4192872371250731,-0.37044362607591297,0.0488436110491601,9.759428371253318,0.6221622752403765,0.5099666638131874,0.112195611427189,1.4301029894899855,2
0610010F05Rik,-0.17487275876316483,-0.06044011241584496,-0.23531287117900979,12.997603697795904,0.30751958293202336,0.2947691018563727,0.16544770054580196,1.9867117344167264,4
0610010K14Rik,0.2385546028274305,0.12216003792021264,0.36071464074764314,10.323829440370366,0.12419291657366646,0.06827869070964374,0.19006952749779366,1.6798011427347226,3
0610011F06Rik,0.3378831404749081,-0.004217085600215442,0.33366605487469264,10.82540383084116,0.23162876390680734,0.07076745329301057,0.17814152319224208,0.5342771159523938,4
0610012D04Rik,0.38223756455953684,-0.001087980277771905,0.38114958428176493,9.899356922923262,0.0,0.0,0.0,0.0,2
0610012G03Rik,0.054310675369314665,0.01394247158479267,0.06825314695410734,10.893849072737815,0.09300287541112018,0.096302518132536,0.1893053935436562,0.2747486300788355,2
0610025J13Rik,-0.07401585586281867,-0.11248277896389136,-0.18649863482671003,11.157180982959723,0.07943160686075998,0.04913298463529583,0.03029862222546415,0.4099836841665099,2
0610030E20Rik,0.006253141740121038,0.018078105969445812,0.02433124770956685,10.463326860299988,0.1493421130285924,0.12932322929590093,0.05978461211077906,1.343171471398122,4
0610031O16Rik,-0.15564251301619925,0.24741123116624292,0.09176871815004364,12.489918684362536,0.9503192705201989,0.3879333843974411,0.5623858861227579,1.842107367399629,2
0610037L13Rik,-0.15044212470265883,0.16579529247052194,0.015353167767863107,10.771348751289358,0.024480431696090165,0.06327687723682654,0.038796445540736364,0.3559752291212157,2
0610038B21Rik,-0.09450734204395567,0.07347902010728963,-0.02102832193666604,11.428207968455887,0.11563149776944323,0.10628357338106517,0.1119789757722032,0.28596981838894336,4
0610039K10Rik,0.2072658039438524,0.01796038951470269,0.2252261934585551,11.006326078525005,,,,,1
0610040B10Rik,0.14278873066098563,-0.07509001592491119,0.06769871473607444,9.813604923517357,0.2839678357057901,0.21927071534063539,0.3331298338432644,1.5828264830690728,5
0610040F04Rik,-0.15811911762075048,0.01071549762467003,-0.14740361999608045,13.69051052338928,0.19676951450787725,0.16275523416888013,0.1940741653616406,1.6326338644296818,15
0610040J01Rik,-0.17984849887038687,0.024175982921738615,-0.15567251594864825,12.866887770748146,0.4284436244015007,0.2095319912619506,0.3775943384441571,2.0777823530518544,7
0610043K17Rik,-0.1357077127282855,0.01920036594405942,-0.11650734678422607,12.98995806392402,0.4218253966296426,0.20599949211210808,0.41476658446817244,0.8559296877368403,6
1010001B22Rik,0.46411007697883633,-0.2997685922264671,0.1643414847523692,10.811523450655873,0.0875499507547584,0.24823123731974114,0.1606812865649827,0.3892993848902492,2
1010001N08Rik,0.06176482399944522,-0.006641387840672447,0.05512343615877277,10.935010744791581,0.1925459605321414,0.3255416067007621,0.5180875672329035,0.28926410133424346,2
1110001J03Rik,-0.19748992034823773,0.07310273232518263,-0.12438718802305511,11.249688338598705,0.08291061279216173,0.05144126627670265,0.04777157786255893,0.5137575689802283,5
1110002E22Rik,-0.1241941337879664,-0.05298297428252243,-0.17717710807048884,10.63413665585272,0.2458547134941409,0.1649743579442065,0.22951287682141178,1.3726646136983829,5
1110002L01Rik,-0.1425347177231518,0.16393108977157392,0.021396372048422114,11.901569307577859,0.05489740651667486,0.4019131766698157,0.3657658118567294,0.8956979913439785,6
1110004E09Rik,-0.14760654823750247,0.2621820214553365,0.11457547321783405,11.636846637483465,0.24272322949567313,0.3805745097467358,0.1415572759959189,0.5981227905227124,3
1110004F10Rik,0.015927346861317287,0.055677063374643766,0.07160441023596105,10.672915649171339,0.06726336858166512,0.019581616198195425,0.04811993066302852,0.5188977802077347,3
1110007C09Rik,0.2771429082330207,-0.08975506734337332,0.18738784088964733,11.823207255536477,0.09116914227983294,0.17628353413188147,0.20856350115976333,0.4989426038604316,5
1110008E08Rik,0.061919769237954114,-0.1669414456169081,-0.10502167637895399,9.126531318131363,0.058750074939800286,0.01015914896894545,0.06890922390874574,0.8862670359293705,2
1110008F13Rik,0.2488245921206683,-0.16167434113266746,0.08715025098800085,11.032322894984874,0.16452083871109557,0.1366975499246068,0.13292433996576342,0.7484069243579958,5
1110008L16Rik,0.05549173271367771,0.09247562639736027,0.14796735911103798,13.234395077061194,0.1635455465104131,0.33855345534261533,0.31710955061447904,2.27791065253567,7
1110008P14Rik,0.03681469388803027,0.13303171227367075,0.16984640616170102,9.416745300592364,0.2310364549218313,0.2509375809826786,0.3186340818555026,1.7356456963627778,5
