gene_name,rel_pos,9mo.2mo.log_ratio,18mo.9mo.log_ratio,18mo.2mo.log_ratio,count
0610005C13Rik,0.2851630246271245,0.21695055431822907,0.09707595881878173,0.3140265131370108,2
0610007P14Rik,0.37711799725232786,0.07021264114952408,0.561420788493038,0.6316334296425621,1
0610009B22Rik,0.6889690170940171,0.0852697433730043,0.21817719810168867,0.303446941474693,1
0610009L18Rik,0.2529176904176904,0.43400005636493555,-0.1478882045638219,0.28611185180111365,1
0610010F05Rik,0.9837089628223121,0.25710550610794813,-0.652912698551277,-0.39580719244332885,1
0610010K14Rik,0.9499105545617174,0.48752389194614976,-0.0033148664345059586,0.4842090255116438,1
0610011F06Rik,0.30182905865364784,0.11870836652563854,0.33493530433102525,0.4536436708566638,2
0610012D04Rik,0.08484653704001285,0.5165483009252886,0.07270489706449967,0.5892531979897883,2
0610040F04Rik,0.022333466067466865,-0.01697192928166391,-1.0473884541113283,-1.0643603833929922,1
0610043K17Rik,0.31244179926312804,1.1100127176674202,0.2654233432355295,1.3754360609029497,1
1110001J03Rik,0.3079320398109983,-0.10102928876161599,-0.16671264454978862,-0.2677419333114046,1
1110007C09Rik,0.8694582723279649,0.3046778947855495,0.160297468354051,0.46497536313960053,1
1110015O18Rik,0.054605910176555986,-0.813233101367095,0.04674153905915612,-0.7664915623079389,1
1110018N20Rik,0.3960029607698001,0.5033376130923757,-0.1371851245153919,0.3661524885769838,1
1110019D14Rik,0.42649521903113996,0.19044177349380642,0.02597905561496936,0.21642082910877583,5
1110032F04Rik,0.3892352136232325,-0.3535950677489623,-0.14235955746589335,-0.49595462521485567,1
1110035H17Rik,0.38625954198473283,0.25430936568421125,0.18159519627891485,0.4359045619631261,2
1110037F02Rik,0.4443151063644036,0.046661028539343175,-0.19869493624659196,-0.15203390770724878,1
1110038B12Rik,0.5843895395475693,0.3567280028909059,0.24576875738598758,0.6024967602768935,2
1110038F14Rik,0.27205169628432957,0.08954090208577625,0.31512382630287084,0.4046647283886471,1
1110051M20Rik,0.2970063811651962,-0.05477712882597041,0.3758651353501121,0.3210880065241417,1
1110057K04Rik,0.12715092283009394,0.14026558586253657,-0.7028368458228211,-0.5625712599602846,1
1110059E24Rik,0.08834164753081532,-1.4115380517545586,0.8471401522698724,-0.5643978994846861,1
1110065P20Rik,0.553466317854807,0.22001650392485317,0.11030394739395888,0.33032045131881205,1
1190002N15Rik,0.9408679852995829,-0.19860875615775386,-0.07549379184557159,-0.27410254800332545,1
1190007I07Rik,0.6520943472956486,0.3297441763668153,0.0377000518634506,0.3674442282302659,2
1200014J11Rik,0.04836142065104024,0.1948534567408804,0.1306678335271112,0.3255212902679916,1
1300002E11Rik,0.07078651685393259,0.25992933623366044,0.4534624040205566,0.713391740254217,2
1500004A13Rik,0.958585180210432,0.08656063523881885,0.2752801668826246,0.36184080212144343,1
1500009L16Rik,0.1953480954984509,0.01994903209262855,0.29517905361934194,0.3151280857119705,1
1500012F01Rik,0.23166859122401848,0.2772717374466711,0.04304578864807507,0.3203175260947462,1
1500012K07Rik,0.09900063629898566,0.2546372122780991,0.5965245894455973,0.8511618017236964,1
1500015A07Rik,0.12722702742662823,0.17648747015835564,0.10117749194467773,0.2776649621030334,1
1500017E21Rik,0.8705238050403289,0.255092371821235,-0.2006466561891801,0.054445715632054914,2
1520401A03Rik,0.165149136577708,0.8779995724767895,-0.009608249973177996,0.8683913225036115,1
1600002H07Rik,0.014596304991323875,0.2204021642213556,0.19468785927818466,0.4150900234995403,1
