cell_type,gene,DEG,pred,hic_loop,hic_abc_dmr,hic_abc_peak
L6_CT_CTX_Glut,Mettl24,0,-1,0.89783484,0.01496402,0.08720118
L6_CT_CTX_Glut,Nprl2,0,-1,0.20183071,0.023622692,0.7745466
L6_CT_CTX_Glut,Sgpp1,0,0,0.045190528,0.19294018,0.7618693
L6_CT_CTX_Glut,D630023F18Rik,0,-1,0.26333347,0.20370038,0.53296614
L6_CT_CTX_Glut,BB557941,0,0,0.0040219883,0.6965543,0.29942366
L6_CT_CTX_Glut,Qpctl,0,-1,0.55811733,0.24937883,0.19250384
L6_CT_CTX_Glut,Mgat4b,0,-1,0.65572304,0.16744515,0.17683181
L6_CT_CTX_Glut,Tspan2,0,0,0.008510142,0.657907,0.33358288
L6_CT_CTX_Glut,Utrn,0,1,0.77114344,0.0018072829,0.22704929
L6_CT_CTX_Glut,Nudt10,0,0,0.0013268255,0.5392114,0.45946172
L6_CT_CTX_Glut,Cnnm1,0,0,0.54916096,0.04850012,0.40233886
L6_CT_CTX_Glut,Pgrmc2,0,0,0.01711169,0.6981652,0.28472316
L6_CT_CTX_Glut,Zfyve27,0,-1,0.78720194,0.13135014,0.08144789
L6_CT_CTX_Glut,Ube2g2,0,-1,0.65786666,0.18247244,0.15966085
L6_CT_CTX_Glut,Zfp606,0,0,0.0021686405,0.5485308,0.4493005
L6_CT_CTX_Glut,Nnt,0,0,0.3798905,0.08156717,0.53854233
L6_CT_CTX_Glut,Gpr158,0,1,0.9185182,0.0018608783,0.079620935
L6_CT_CTX_Glut,Dnajc27,0,-1,0.0077876016,0.74125755,0.25095487
L6_CT_CTX_Glut,Slc25a14,0,-1,0.006498915,0.2863234,0.70717776
L6_CT_CTX_Glut,Pdk1,0,-1,0.03136124,0.47059134,0.49804738
L6_CT_CTX_Glut,Tbc1d2b,0,0,0.003092335,0.03276067,0.964147
L6_CT_CTX_Glut,Micu3,0,0,0.005758632,0.16403218,0.8302092
L6_CT_CTX_Glut,Rps23,0,-1,0.22774033,0.022855867,0.7494038
L6_CT_CTX_Glut,Plxdc1,0,-1,0.969558,0.004371943,0.026070096
L6_CT_CTX_Glut,Adamts18,0,0,0.6662514,0.04539455,0.28835392
L6_CT_CTX_Glut,Prmt3,0,0,0.6950861,0.064740896,0.24017301
L6_CT_CTX_Glut,4932441J04Rik,0,0,0.23985302,0.119373575,0.6407734
L6_CT_CTX_Glut,Tspan13,0,0,0.006085012,0.64758533,0.34632963
L6_CT_CTX_Glut,Snhg6,0,0,0.04301858,0.87822556,0.0787558
L6_CT_CTX_Glut,Lrch3,0,-1,0.9216791,0.013191745,0.06512916
L6_CT_CTX_Glut,Zscan20,0,-1,0.83234775,0.06579052,0.101861775
L6_CT_CTX_Glut,Atmin,0,-1,0.07908462,0.45642334,0.46449196
L6_CT_CTX_Glut,Tmem145,0,-1,0.75366354,0.15483552,0.09150096
L6_CT_CTX_Glut,Nanp,0,-1,0.018640334,0.02904441,0.9523153
L6_CT_CTX_Glut,5330434G04Rik,0,0,0.0036032735,0.05415276,0.942244
L6_CT_CTX_Glut,Tns1,0,-1,0.7224165,0.011831816,0.2657516
L6_CT_CTX_Glut,Lrguk,0,0,0.8955402,0.015720299,0.08873947
L6_CT_CTX_Glut,Cxcl17,0,-1,0.32198703,0.36893693,0.30907604
L6_CT_CTX_Glut,Dusp26,0,0,0.0022719041,0.9506182,0.047109876
L6_CT_CTX_Glut,Gm26873,0,0,0.11876556,0.72351885,0.15771556
L6_CT_CTX_Glut,Pam16,0,-1,0.018497182,0.5308924,0.4506105
L6_CT_CTX_Glut,Cyth1,0,-1,0.9371934,0.041130506,0.021676056
L6_CT_CTX_Glut,Dlk2,0,-1,0.15740138,0.7587987,0.0837999
L6_CT_CTX_Glut,Sfmbt2,0,1,0.45929843,0.0041942964,0.5365073
L6_CT_CTX_Glut,Snrnp48,0,-1,0.29436764,0.19389229,0.5117401
L6_CT_CTX_Glut,Kdelr2,0,-1,0.4919573,0.3215546,0.18648803
L6_CT_CTX_Glut,Ddit3,0,-1,0.87841624,0.04530174,0.076281995
L6_CT_CTX_Glut,Swt1,0,0,0.27548972,0.0075628036,0.7169475
L6_CT_CTX_Glut,Trbc2,0,0,0.116601385,0.8187933,0.064605266
L6_CT_CTX_Glut,Usp35,0,-1,0.3348156,0.53366876,0.13151562
L6_CT_CTX_Glut,Usp31,0,0,0.58835,0.04538835,0.36626172
L6_CT_CTX_Glut,Hook1,0,0,0.022914609,0.4828694,0.494216
L6_CT_CTX_Glut,Sstr2,0,-1,0.6292403,0.17105846,0.19970125
L6_CT_CTX_Glut,Foxp4,0,-1,0.66545296,0.057126783,0.2774203
L6_CT_CTX_Glut,Ldlr,0,-1,0.8602506,0.08969985,0.050049577
L6_CT_CTX_Glut,Rab8a,0,-1,0.5096203,0.21330702,0.27707258
L6_CT_CTX_Glut,Cdk5rap2,0,1,0.2010821,0.0019896529,0.7969283
L6_CT_CTX_Glut,Cep85,0,-1,0.5367333,0.12271822,0.3405485
L6_CT_CTX_Glut,Mdp1,0,0,0.13851164,0.7960873,0.06540105
L6_CT_CTX_Glut,Nipsnap3b,0,0,0.023218336,0.05795825,0.9188234
L6_CT_CTX_Glut,Rpl24,0,0,0.003232939,0.8262066,0.17056037
L6_CT_CTX_Glut,Fam13a,0,0,0.0048274444,0.08715917,0.90801334
L6_CT_CTX_Glut,Lrrfip2,0,-1,0.7025818,0.016638456,0.28077972
L6_CT_CTX_Glut,2310026I22Rik,0,-1,0.18770647,0.48625124,0.32604232
L6_CT_CTX_Glut,Mlx,0,-1,0.6723423,0.21216793,0.115489736
L6_CT_CTX_Glut,9130019P16Rik,0,-1,0.92325145,0.01851855,0.05823007
L6_CT_CTX_Glut,Arih1,0,-1,0.76689017,0.06017022,0.17293966
L6_CT_CTX_Glut,Zfp786,0,0,0.003143684,0.90102124,0.09583508
L6_CT_CTX_Glut,AI413582,0,-1,0.7173077,0.0083665885,0.27432573
L6_CT_CTX_Glut,Gm29514,0,1,0.009780397,0.01579821,0.97442144
L6_CT_CTX_Glut,Slc25a36,0,0,0.16175045,0.08975277,0.7484967
L6_CT_CTX_Glut,Rsrc2,0,-1,0.47432888,0.4755794,0.050091702
L6_CT_CTX_Glut,Pcbd2,0,-1,0.54754156,0.0462331,0.40622538
L6_CT_CTX_Glut,Asns,0,0,0.13031954,0.16773015,0.7019503
L6_CT_CTX_Glut,Phlpp1,0,0,0.6968252,0.06830002,0.23487477
L6_CT_CTX_Glut,Htr6,0,-1,0.7623359,0.1156817,0.12198237
L6_CT_CTX_Glut,Fam161a,0,0,0.2451435,0.18255822,0.57229835
L6_CT_CTX_Glut,Itpkc,0,-1,0.042309962,0.4316663,0.52602375
L6_CT_CTX_Glut,Snx12,0,-1,0.0161051,0.05272492,0.93117
L6_CT_CTX_Glut,Arhgap24,0,1,0.9337085,0.00938788,0.0569037
