cell_type,gene,DEG,pred,atac
L6_CT_CTX_Glut,Tmem8b,0,-1,1.0
L6_CT_CTX_Glut,Ciao1,0,-1,1.0
L6_CT_CTX_Glut,Gtf2f2,0,0,1.0
L6_CT_CTX_Glut,Gm15912,0,-1,1.0
L6_CT_CTX_Glut,Ramp1,0,-1,1.0
L6_CT_CTX_Glut,Zmat5,0,-1,1.0
L6_CT_CTX_Glut,Oacyl,0,-1,1.0
L6_CT_CTX_Glut,Slc25a39,0,-1,1.0
L6_CT_CTX_Glut,Ngrn,0,-1,1.0
L6_CT_CTX_Glut,Gabra5,0,-1,1.0
L6_CT_CTX_Glut,Tdp1,0,-1,1.0
L6_CT_CTX_Glut,Gart,0,-1,1.0
L6_CT_CTX_Glut,Chchd2,0,-1,1.0
L6_CT_CTX_Glut,Cfap54,0,0,1.0
L6_CT_CTX_Glut,Cat,0,-1,1.0
L6_CT_CTX_Glut,Tmem175,0,-1,1.0
L6_CT_CTX_Glut,March6,0,0,1.0
L6_CT_CTX_Glut,Rheb,0,-1,1.0
L6_CT_CTX_Glut,Mphosph6,0,-1,1.0
L6_CT_CTX_Glut,Socs2,0,-1,1.0
L6_CT_CTX_Glut,Gbe1,0,0,1.0
L6_CT_CTX_Glut,Lrrc28,0,-1,1.0
L6_CT_CTX_Glut,Zfp583,0,-1,1.0
L6_CT_CTX_Glut,Vps26b,0,-1,1.0
L6_CT_CTX_Glut,Wbp11,0,-1,1.0
L6_CT_CTX_Glut,Ankrd12,0,0,1.0
L6_CT_CTX_Glut,Cdh6,0,1,1.0
L6_CT_CTX_Glut,Rfx5,0,-1,1.0
L6_CT_CTX_Glut,Lrguk,0,1,1.0
L6_CT_CTX_Glut,Rell2,0,-1,1.0
L6_CT_CTX_Glut,Pwwp2b,0,-1,1.0
L6_CT_CTX_Glut,Nhlrc3,0,-1,1.0
L6_CT_CTX_Glut,Spice1,0,0,1.0
L6_CT_CTX_Glut,Casp2,0,-1,1.0
L6_CT_CTX_Glut,Mcoln1,0,-1,1.0
L6_CT_CTX_Glut,Cript,0,-1,1.0
L6_CT_CTX_Glut,Dnah14,0,-1,1.0
L6_CT_CTX_Glut,Gm26777,0,-1,1.0
L6_CT_CTX_Glut,Topbp1,0,0,1.0
L6_CT_CTX_Glut,Dnajc17,0,-1,1.0
L6_CT_CTX_Glut,Elmsan1,0,-1,1.0
L6_CT_CTX_Glut,Gm12655,0,0,1.0
L6_CT_CTX_Glut,Tnks1bp1,0,-1,1.0
L6_CT_CTX_Glut,Npr3,0,-1,1.0
L6_CT_CTX_Glut,Pcsk2os1,0,-1,1.0
L6_CT_CTX_Glut,Acrbp,0,-1,1.0
L6_CT_CTX_Glut,Chid1,0,-1,1.0
L6_CT_CTX_Glut,Pfkfb3,0,-1,1.0
L6_CT_CTX_Glut,Ddx5,0,-1,1.0
L6_CT_CTX_Glut,6030442K20Rik,0,-1,1.0
L6_CT_CTX_Glut,Slc39a13,0,-1,1.0
L6_CT_CTX_Glut,Rnf25,0,-1,1.0
L6_CT_CTX_Glut,Serpinb8,0,-1,1.0
L6_CT_CTX_Glut,Apip,0,-1,1.0
L6_CT_CTX_Glut,Bsdc1,0,-1,1.0
L6_CT_CTX_Glut,Alg8,0,-1,1.0
L6_CT_CTX_Glut,Rnh1,0,-1,1.0
L6_CT_CTX_Glut,Dpp6,0,1,1.0
L6_CT_CTX_Glut,Psenen,0,-1,1.0
L6_CT_CTX_Glut,Ccnt2,0,-1,1.0
L6_CT_CTX_Glut,Piga,0,-1,1.0
L6_CT_CTX_Glut,Ackr1,0,-1,1.0
L6_CT_CTX_Glut,Pgbd1,0,0,1.0
L6_CT_CTX_Glut,Zfp180,0,-1,1.0
L6_CT_CTX_Glut,Trmt2a,0,-1,1.0
L6_CT_CTX_Glut,Akr1b3,0,-1,1.0
L6_CT_CTX_Glut,Cpsf1,0,-1,1.0
L6_CT_CTX_Glut,Nup188,0,-1,1.0
L6_CT_CTX_Glut,Ick,0,-1,1.0
L6_CT_CTX_Glut,Mtif2,0,0,1.0
L6_CT_CTX_Glut,Gkap1,0,0,1.0
L6_CT_CTX_Glut,Ydjc,0,-1,1.0
L6_CT_CTX_Glut,Rtn4ip1,0,0,1.0
L6_CT_CTX_Glut,Dpm2,0,-1,1.0
L6_CT_CTX_Glut,Vars2,0,-1,1.0
L6_CT_CTX_Glut,Shq1,0,0,1.0
L6_CT_CTX_Glut,Fbxo33,0,-1,1.0
L6_CT_CTX_Glut,Mbp,0,-1,1.0
L6_CT_CTX_Glut,Gm15270,0,-1,1.0
L6_CT_CTX_Glut,Lrrc4,0,-1,1.0
L6_CT_CTX_Glut,Med30,0,-1,1.0
L6_CT_CTX_Glut,Zfp560,0,-1,1.0
L6_CT_CTX_Glut,Sap30bp,0,0,1.0
L6_CT_CTX_Glut,Rps3a1,0,-1,1.0
L6_CT_CTX_Glut,Scmh1,0,1,1.0
L6_CT_CTX_Glut,Acp1,0,-1,1.0
L6_CT_CTX_Glut,Inpp5b,0,-1,1.0
L6_CT_CTX_Glut,Fan1,0,-1,1.0
L6_CT_CTX_Glut,Top1mt,0,-1,1.0
L6_CT_CTX_Glut,Cdh22,0,-1,1.0
L6_CT_CTX_Glut,Tsen2,0,-1,1.0
L6_CT_CTX_Glut,1700030K09Rik,0,0,1.0
L6_CT_CTX_Glut,Cnot2,0,0,1.0
L6_CT_CTX_Glut,2300009A05Rik,0,-1,1.0
L6_CT_CTX_Glut,Atp5g2,0,-1,1.0
L6_CT_CTX_Glut,Zbtb10,0,-1,1.0
L6_CT_CTX_Glut,Trappc6b,0,-1,1.0
L6_CT_CTX_Glut,Rab22a,0,0,1.0
L6_CT_CTX_Glut,Bend6,0,0,1.0
L6_CT_CTX_Glut,Hif3a,0,-1,1.0
L6_CT_CTX_Glut,Lancl1,0,0,1.0
L6_CT_CTX_Glut,Pno1,0,-1,1.0
L6_CT_CTX_Glut,Chrd,0,-1,1.0
L6_CT_CTX_Glut,Zdhhc13,0,-1,1.0
L6_CT_CTX_Glut,Usp48,0,-1,1.0
L6_CT_CTX_Glut,Gm16973,0,-1,1.0
L6_CT_CTX_Glut,Nip7,0,-1,1.0
L6_CT_CTX_Glut,Zdhhc22,0,-1,1.0
L6_CT_CTX_Glut,Tesk2,0,-1,1.0
L6_CT_CTX_Glut,Gm28791,0,-1,1.0
L6_CT_CTX_Glut,Incenp,0,-1,1.0
L6_CT_CTX_Glut,Ammecr1,0,-1,1.0
L6_CT_CTX_Glut,Adnp2,0,-1,1.0
L6_CT_CTX_Glut,Gzf1,0,-1,1.0
L6_CT_CTX_Glut,Gm29237,0,-1,1.0
L6_CT_CTX_Glut,Eogt,0,0,1.0
L6_CT_CTX_Glut,Cops2,0,0,1.0
L6_CT_CTX_Glut,Tenm3,0,1,1.0
L6_CT_CTX_Glut,AI837181,0,-1,1.0
L6_CT_CTX_Glut,Ccdc71l,0,-1,1.0
L6_CT_CTX_Glut,Usp16,0,0,1.0
L6_CT_CTX_Glut,Tmem42,0,-1,1.0
L6_CT_CTX_Glut,Kcnc4,0,-1,1.0
L6_CT_CTX_Glut,Slc35f4,0,0,1.0
L6_CT_CTX_Glut,Cacng4,0,-1,1.0
L6_CT_CTX_Glut,Acot8,0,-1,1.0
L6_CT_CTX_Glut,Tbcc,0,-1,1.0
L6_CT_CTX_Glut,Sdad1,0,0,1.0
L6_CT_CTX_Glut,Gemin5,0,-1,1.0
L6_CT_CTX_Glut,Slitrk4,0,0,1.0
L6_CT_CTX_Glut,Gm14532,0,-1,1.0
L6_CT_CTX_Glut,Mfsd8,0,0,1.0
L6_CT_CTX_Glut,Traf2,0,0,1.0
L6_CT_CTX_Glut,Mars,0,-1,1.0
L6_CT_CTX_Glut,Crebbp,0,0,1.0
L6_CT_CTX_Glut,Egfem1,0,1,1.0
L6_CT_CTX_Glut,Nup50,0,-1,1.0
L6_CT_CTX_Glut,Slc35c2,0,-1,1.0
L6_CT_CTX_Glut,Mmd2,0,-1,1.0
L6_CT_CTX_Glut,Sys1,0,-1,1.0
L6_CT_CTX_Glut,Slc48a1,0,-1,1.0
L6_CT_CTX_Glut,Mpp5,0,0,1.0
L6_CT_CTX_Glut,Ndufaf5,0,0,1.0
L6_CT_CTX_Glut,Gm14322,0,0,1.0
L6_CT_CTX_Glut,Cttnbp2,0,-1,1.0
L6_CT_CTX_Glut,Kbtbd8,0,-1,1.0
L6_CT_CTX_Glut,Thoc3,0,-1,1.0
L6_CT_CTX_Glut,Gadd45gip1,0,-1,1.0
L6_CT_CTX_Glut,Fyn,0,-1,1.0
L6_CT_CTX_Glut,Anp32a,0,-1,1.0
L6_CT_CTX_Glut,Npepps,0,-1,1.0
L6_CT_CTX_Glut,Rps20,0,-1,1.0
L6_CT_CTX_Glut,Hcfc1,0,-1,1.0
