features,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9
18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,True,True,True,True,False,False,False,False,False,False
18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,True,True,True,False,False,False,False,False,False,False
18mo.2mo.activity.log_ratio.count.20kb-5Mb.enhancer_peak,True,False,False,False,False,False,False,False,False,False
18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,True,True,False,False,False,False,False,False,False,False
18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,True,True,True,False,False,False,False,False,False,False
18mo.9mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,True,True,False,False,False,False,False,False,False,False
18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,True,True,True,True,True,True,True,True,True,False
18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,True,True,True,False,False,False,False,False,False,False
18mo.9mo.activity.log_ratio.count.20kb-5Mb.enhancer_peak,True,True,False,False,False,False,False,False,False,False
9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,True,True,True,False,False,False,False,False,False,False
9mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,True,True,True,False,False,False,False,False,False,False
9mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,True,False,False,False,False,False,False,False,False,False
9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,True,True,True,True,True,True,True,True,True,True
9mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,True,True,False,False,False,False,False,False,False,False
9mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,True,True,True,False,False,False,False,False,False,False
18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,True,True,False,False,False,False,False,False,False,False
18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,True,True,False,False,False,False,False,False,False,False
18mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,True,True,False,False,False,False,False,False,False,False
18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,True,True,True,True,False,False,False,False,False,False
18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,True,True,False,False,False,False,False,False,False,False
18mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,True,True,False,False,False,False,False,False,False,False
18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,True,True,True,False,False,False,False,False,False,False
18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,True,True,True,True,False,False,False,False,False,False
18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,True,True,False,False,False,False,False,False,False,False
18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,True,True,True,True,False,False,False,False,False,False
18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,True,True,True,True,True,True,False,False,False,False
18mo.9mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,True,True,False,False,False,False,False,False,False,False
count.enhancer_peak,True,True,False,False,False,False,False,False,False,False
rel_pos.DAR,True,True,True,False,False,False,False,False,False,False
9mo.2mo.log_ratio.DAR,True,True,True,True,True,True,False,False,False,False
18mo.9mo.log_ratio.DAR,True,True,True,True,True,True,True,True,True,True
18mo.2mo.log_ratio.DAR,True,True,True,True,True,True,True,True,True,True
count.DAR,True,True,True,True,True,True,True,True,True,True
size.log2.DMR,True,True,True,False,False,False,False,False,False,False
rel_pos.DMR,True,True,True,True,False,False,False,False,False,False
9mo.2mo.log_ratio.DMR,True,True,False,False,False,False,False,False,False,False
18mo.9mo.log_ratio.DMR,True,True,False,False,False,False,False,False,False,False
18mo.2mo.log_ratio.DMR,True,True,False,False,False,False,False,False,False,False
distance.log2.DMR,True,True,True,False,False,False,False,False,False,False
count.DMR,True,True,False,False,False,False,False,False,False,False
Qanova.mean.loops,True,True,True,True,True,False,False,False,False,False
Qanova.median.loops,True,True,True,True,True,False,False,False,False,False
Qanova.std.loops,True,True,True,True,True,False,False,False,False,False
Qanova.max.loops,True,True,True,True,True,True,True,True,True,True
Qanova.min.loops,True,True,True,True,True,True,False,False,False,False
Tanova.mean.loops,True,True,True,True,True,True,False,False,False,False
Tanova.median.loops,True,True,True,True,True,False,False,False,False,False
Tanova.std.loops,True,True,True,True,True,True,True,True,True,True
Tanova.max.loops,True,True,True,True,True,False,False,False,False,False
Tanova.min.loops,True,True,True,True,True,False,False,False,False,False
9mo.2mo.Q.mean.loops,True,True,True,True,True,False,False,False,False,False
