gene_name,rel_pos,9mo.2mo.log_ratio,18mo.9mo.log_ratio,18mo.2mo.log_ratio,count
0610009L18Rik,0.2529176904176904,0.003141553113322537,0.1996854350066588,0.20282698811998134,1
1110019D14Rik,0.8444078779962341,-0.8136895224432572,-0.039715684865602174,-0.8534052073088594,1
1110035H17Rik,0.4416030534351145,0.45068754986470205,0.5277593891211074,0.9784469389858095,1
1110038B12Rik,0.6414246751163164,0.49111171975362655,0.42155117953538923,0.9126628992890158,1
1110065P20Rik,0.553466317854807,0.26600339968856,0.2611622827923785,0.5271656824809385,1
1600002D24Rik,0.8774545383212037,0.23647122702945778,0.545252330270348,0.7817235572998058,1
1600010M07Rik,0.8069771593995894,-0.07453999463127348,0.703525156589115,0.6289851619578415,1
1600014C10Rik,0.1423900604871669,0.3582987498876866,0.2352135157005084,0.593512265588195,1
1600020E01Rik,0.05036636551184463,0.23172299596109358,0.17305950083821475,0.40478249679930833,1
1700001F09Rik,0.9473907509546033,1.72710685348444,0.29225715737399005,2.01936401085843,1
1700001J04Rik,0.36942675159235666,1.308718671178972,0.4299506948145382,1.7386693659935102,1
1700003L19Rik,0.08215592661706614,-0.23967600917135246,1.4796840142204895,1.240008005049137,1
1700003M07Rik,0.2663737470822463,0.1428533057812329,0.4400887316210569,0.5829420374022898,1
1700008O03Rik,0.07603183665244988,0.3871315470660064,0.31130091131007287,0.6984324583760793,2
1700011I03Rik,0.10203939687507763,-0.9832308631217104,-0.4578361872867611,-1.4410670504084715,1
1700013N06Rik,0.5718584899351301,-0.598501875845449,-0.9069604759740123,-1.5054623518194612,1
1700016L21Rik,0.24926848556741796,0.3204594834099672,-4.018800081163948,-3.6983405977539814,1
1700020N18Rik,0.5551456310679612,0.8258826445126237,1.4144087424595884,2.240291386972212,1
1700023E05Rik,0.28327879448955684,-0.07273660952772198,-0.2175026967157665,-0.2902393062434885,1
1700023F02Rik,0.843047421122237,-0.5401426600104693,-0.48658093899405874,-1.026723599004528,2
1700037C18Rik,0.8894346087949743,0.3669274586074476,0.14748730800672805,0.5144147666141756,1
1810012K08Rik,0.7472483490094056,0.31680962457917516,0.27842878592389475,0.5952384105030699,1
1810026J23Rik,0.2621412803532009,0.22786296698863584,0.20838208753317033,0.4362450545218062,1
1810032O08Rik,0.21034525125936848,0.569152951951513,0.002984903445383935,0.572137855396897,1
