gene,DEG,pred,dmr,mcg_genebody,mch_genebody,atac,hic_loop,hic_abc_dmr,hic_abc_peak
Ddx59,0,0,0.00043042473,0.00028813758,0.6426274,4.1852358e-10,1.1689019e-06,0.35656074,9.2159185e-05
Snx25,0,-1,0.99989617,4.915813e-09,7.4757777e-06,6.469376e-08,1.5331436e-10,9.615906e-05,1.5996824e-09
Ier5l,0,0,0.9940063,0.004644513,9.235786e-11,2.288632e-36,9.517849e-10,0.0013490001,2.3691227e-07
Eif2d,0,-1,8.494069e-26,8.318024e-35,8.1865e-21,1.0,9.629189e-34,2.1049008e-34,9.323678e-34
Rbak,0,-1,2.1809723e-13,0.9999999,1.4936921e-07,1.7710863e-32,5.67594e-23,1.5258753e-17,2.3420837e-20
Svip,0,-1,1.9001385e-07,1.2305632e-18,0.99999976,1.5056783e-24,4.393965e-15,2.5595527e-11,8.557539e-14
Bscl2,0,-1,1.967418e-33,1.0,6.0145775e-29,0.0,2.2873747e-36,8.4014e-31,9.335707e-34
Mir124-2hg,0,1,1.5150513e-26,3.5648518e-29,9.175708e-24,1.0,5.487461e-29,1.5773239e-24,9.288176e-27
Ccm2,0,0,0.001101812,2.9265078e-05,0.57255644,9.0915905e-26,3.2505188e-06,0.42529267,0.0010164941
Mvp,0,0,0.022441057,0.0038492677,0.7017948,6.644808e-33,2.1563932e-05,0.2562798,0.015613538
Ttc39c,0,-1,5.184397e-10,0.9999982,1.6321305e-06,3.7654228e-17,1.9690083e-12,1.4949921e-07,4.2867813e-11
Dhrs7,0,0,1.3097749e-08,3.2362091e-18,3.6118253e-09,1.0,5.4061702e-17,3.0239047e-10,4.085827e-15
Rorb,0,1,5.808524e-31,8.424867e-37,3.6031804e-33,1.0,7.089053e-33,2.7863888e-29,2.246024e-31
2610044O15Rik8,0,0,1.4400986e-23,3.4364208e-26,8.698148e-20,2.21e-43,1.0,1.44263e-20,6.6153962e-24
Mei4,0,0,0.9997956,1.0968227e-09,0.00020356807,1.4134612e-13,3.7742662e-09,5.1890197e-08,8.1458865e-07
Suds3,0,0,1.4400986e-23,8.12825e-28,4.802838e-21,0.0,1.0,4.5861552e-20,8.2264955e-24
