cell_type,gene,DEG,pred,dmr,mcg_genebody,mch_genebody,atac,hic_loop,hic_abc_dmr,hic_abc_peak
L6_CT_CTX_Glut,Acad8,0,0,0.1620826,0.14719777,0.16181757,0.10966515,0.20183913,0.106599696,0.11079809
L6_CT_CTX_Glut,Tspyl2,0,0,0.19838376,0.14892317,0.18474202,0.0927954,0.022998486,0.211634,0.14052317
L6_CT_CTX_Glut,Fgf2,0,0,0.08433004,0.09313296,0.28544986,0.0667864,0.30143592,0.08580631,0.083058596
L6_CT_CTX_Glut,Paip1,0,-1,0.16271181,0.1548199,0.1517119,0.12023036,0.018863065,0.13663422,0.25502875
L6_CT_CTX_Glut,Vav2,0,-1,0.049731784,0.08226621,0.28864384,0.12619433,0.36965483,0.05700259,0.026506517
L6_CT_CTX_Glut,Rhobtb1,0,0,0.09971271,0.055146955,0.27477977,0.10167914,0.34465352,0.054857865,0.06917004
L6_CT_CTX_Glut,Nup107,0,-1,0.15129323,0.12431218,0.13858722,0.12047791,0.17298889,0.121834375,0.17050621
L6_CT_CTX_Glut,Parp12,0,0,0.07719303,0.08185131,0.41243672,0.08215096,0.1723878,0.062133223,0.11184701
L6_CT_CTX_Glut,Gm29514,0,1,0.104282826,0.12094569,0.20308667,0.038320784,0.15859547,0.123534195,0.2512344
L6_CT_CTX_Glut,Vcan,0,0,0.095281586,0.055431385,0.2505043,0.057625167,0.33032492,0.07140595,0.13942666
L6_CT_CTX_Glut,1110065P20Rik,0,-1,0.16976255,0.11358572,0.15320978,0.17994699,0.084274486,0.16252069,0.13669984
L6_CT_CTX_Glut,Ccdc58,0,0,0.10843729,0.10719032,0.126538,0.078681745,0.29860792,0.14143027,0.13911435
L6_CT_CTX_Glut,Itgbl1,0,0,0.088869326,0.15266015,0.3371132,0.12152444,0.014393333,0.13157307,0.15386657
L6_CT_CTX_Glut,Cntn5,0,1,0.03732748,0.04950226,0.121872954,0.0599479,0.6342182,0.04501417,0.052117016
L6_CT_CTX_Glut,Zbtb18,0,-1,0.14874765,0.08564874,0.12418193,0.1844918,0.21773788,0.11724845,0.12194347
L6_CT_CTX_Glut,Gpd1,0,-1,0.15783367,0.1101032,0.14549409,0.21159582,0.122642405,0.113363944,0.13896678
L6_CT_CTX_Glut,Ctso,0,0,0.10283281,0.13582231,0.35198882,0.09753336,0.1531699,0.08620216,0.07245067
L6_CT_CTX_Glut,Naa38,0,0,0.17555173,0.12189265,0.1972439,0.18400885,0.15234187,0.11427848,0.05468245
L6_CT_CTX_Glut,Wdr17,0,-1,0.10506873,0.1262479,0.10167933,0.16801329,0.27859384,0.10736239,0.113034576
L6_CT_CTX_Glut,Slk,0,0,0.122157365,0.07987693,0.44527712,0.1416114,0.014161617,0.11102869,0.08588677
L6_CT_CTX_Glut,Fnbp1,0,-1,0.12229612,0.06213118,0.07042165,0.10612207,0.5538781,0.056882396,0.028268438
L6_CT_CTX_Glut,Pim3,0,-1,0.2011718,0.13657716,0.18214504,0.26316515,0.0233217,0.13095632,0.062662825
L6_CT_CTX_Glut,Cep76,0,-1,0.10402915,0.12985504,0.15724632,0.12202599,0.2032941,0.19222653,0.09132296
L6_CT_CTX_Glut,Scly,0,0,0.12244568,0.10444489,0.32637984,0.103697166,0.14834286,0.060090277,0.13459916
L6_CT_CTX_Glut,Rab34,0,-1,0.14369233,0.12303496,0.15436295,0.12630124,0.15186624,0.13462271,0.16611953
L6_CT_CTX_Glut,Plcd3,0,0,0.15783559,0.10390731,0.37713596,0.15681863,0.015863061,0.10615313,0.0822864
L6_CT_CTX_Glut,Snrnp200,0,-1,0.15771607,0.11381725,0.14435954,0.07701851,0.21216956,0.1536003,0.14131877
L6_CT_CTX_Glut,Spag1,0,0,0.07588048,0.12271976,0.26088262,0.1124771,0.2604824,0.07526077,0.092296876
L6_CT_CTX_Glut,Gprasp2,0,0,0.15334848,0.11945247,0.21328402,0.084505014,0.017777579,0.22197135,0.18966104
L6_CT_CTX_Glut,Ptprr,0,0,0.05750414,0.06312202,0.2326286,0.13792962,0.33428648,0.102545656,0.0719835
L6_CT_CTX_Glut,5430416N02Rik,0,0,0.16171944,0.12099327,0.14068253,0.18201998,0.018748019,0.23260182,0.14323491
L6_CT_CTX_Glut,Rab24,0,-1,0.15456782,0.14401287,0.13278593,0.15674902,0.14130059,0.11172464,0.15885906
L6_CT_CTX_Glut,Rhobtb2,0,-1,0.12965342,0.124113515,0.15047535,0.21304655,0.020831287,0.15604249,0.20583744
L6_CT_CTX_Glut,Crybg3,0,0,0.09337165,0.1043014,0.4305897,0.034654453,0.09674881,0.099446416,0.14088754
L6_CT_CTX_Glut,Tor3a,0,0,0.15506545,0.13731074,0.23421343,0.12545419,0.06803948,0.15936497,0.120551616
L6_CT_CTX_Glut,Zfp799,0,0,0.15501149,0.15911463,0.12772651,0.08542144,0.017970368,0.21948668,0.23526894
L6_CT_CTX_Glut,Acd,0,-1,0.14260888,0.10773398,0.11674299,0.12857409,0.1893863,0.12389039,0.19106339
L6_CT_CTX_Glut,Hnrnpa3,0,0,0.11603453,0.11110661,0.13881932,0.16091697,0.019519055,0.26710433,0.18649921
L6_CT_CTX_Glut,Zmat4,0,1,0.12678166,0.038961172,0.10493802,0.07803868,0.59801185,0.026963906,0.026304718
L6_CT_CTX_Glut,Gm16153,0,0,0.17775673,0.22151923,0.19140162,0.09795555,0.020607209,0.18604921,0.10471048
L6_CT_CTX_Glut,Tshz3,0,-1,0.092873454,0.09068815,0.08561992,0.25566092,0.24338666,0.13419947,0.09757138
L6_CT_CTX_Glut,BC052040,0,1,0.058379382,0.05571459,0.25774443,0.042479724,0.49780726,0.03800308,0.049871497
L6_CT_CTX_Glut,Rnaseh2b,0,0,0.06308704,0.08126099,0.35076687,0.091297865,0.30911598,0.04433908,0.060132135
L6_CT_CTX_Glut,Ncbp2,0,-1,0.15830599,0.12608716,0.13144746,0.16882107,0.15098412,0.13839355,0.12596059
L6_CT_CTX_Glut,Nup37,0,0,0.12999551,0.0881596,0.27068606,0.09747729,0.2290916,0.10603317,0.07855674
L6_CT_CTX_Glut,Kansl2,0,-1,0.122514345,0.1750835,0.14962074,0.13169287,0.13406725,0.121631846,0.16538942
L6_CT_CTX_Glut,Slc22a23,0,-1,0.12368901,0.07579729,0.090761706,0.13330726,0.43568662,0.061047427,0.07971078
