gene,stats,fdr,log2(old/young),DEG
Xkr4,43.67212185526053,2.106014095857904e-09,0.054778844,0
Gm1992,9.656086990206212,0.018435347963664254,-0.46178988,0
Mrpl15,1.4355652176738651,0.5860782470965057,0.021701997,0
Lypla1,11.053947368120424,0.009864864705495446,0.11414408,0
Tcea1,3.6233644767128763,0.24648934222610974,0.060345814,0
Rgs20,11.7870318180148,0.00708500612849411,0.20173074,0
Atp6v1h,24.165029821149954,2.3128433476813407e-05,0.13781747,0
Rb1cc1,22.62897700214521,4.772509309355114e-05,0.038578782,0
4732440D04Rik,6.714836582937402,0.06726337395767931,-0.10003088,0
St18,523.4267530573868,2.0772470710085578e-112,0.11095111,0
Pcmtd1,38.40137490268114,2.6338544173532436e-08,0.11123328,0
Gm26901,46.165078335985726,6.364755318454898e-10,-0.5854653,-1
Sntg1,66.48666819165305,3.4222541791530115e-14,0.16377833,0
Rrs1,14.178097834554718,0.002369938101289494,0.2700134,0
Adhfe1,4.548962787374795,0.168399383143533,-0.49455476,0
2610203C22Rik,15.391919252250528,0.0013671334509296204,-1.1853465,0
Mybl1,2.112340761870211,0.4514352762981214,-0.02685603,0
Vcpip1,19.279565419500667,0.00022650598960822043,0.14035736,0
1700034P13Rik,3.4875130366171496,0.260324498677363,0.1581947,0
Sgk3,1.7406511581297124,0.5226886210213186,-0.07558389,0
Mcmdc2,2.8695415622665084,0.33446862790464216,-0.17955768,0
Snhg6,8.79515793511728,0.027026074942098088,-0.51042336,0
Cops5,39.194875644880966,1.7999675742040915e-08,-0.36633956,-1
Cspp1,27.126285499305144,5.680802720980398e-06,0.04848388,0
Arfgef1,18.131195315098463,0.0003874917631936394,0.068188995,0
Cpa6,5.691706043011732,0.10402015975776126,0.17752372,0
Prex2,7.892364639253024,0.04025249538926651,-0.58322257,0
A830018L16Rik,29.276178675550707,2.056337094752021e-06,0.7001531,1
Sulf1,2.987703755202238,0.3193915251698835,0.7086927,0
Ncoa2,70.08510854705884,5.956354569331218e-15,0.19918257,0
Gm29570,0.011837653035795566,0.9955678201095162,0.040689383,0
Tram1,3.9572431830275696,0.21516338205352153,-0.07551203,0
Lactb2,26.42350940898664,7.923183287612313e-06,0.36446092,1
Eya1,11.051679875865606,0.009874678270638875,-0.4269055,0
Kcnb2,17.892478799344048,0.00043253798882822637,0.2677441,0
Terf1,10.735619677770673,0.011362449746050465,0.21485254,0
4930444P10Rik,5.343935341002028,0.12055826333340994,-0.5494167,0
Rpl7,298.7235979785306,5.905771127638296e-64,-0.99981153,-1
Rdh10,5.762362089877336,0.10098918381597542,-0.1065706,0
Stau2,16.050645667945922,0.0010108384395439108,0.19581944,0
Ube2w,23.40349800777927,3.310799477835413e-05,0.0037019884,0
Tmem70,0.5983879435969992,0.8064464671024607,-0.030706236,0
Ly96,2.398543342446238,0.4034958687041009,0.09288486,0
Gm28376,14.752505013868532,0.0018241773723093066,0.063730806,0
Jph1,231.00866786839038,2.2019993266500554e-49,0.41540962,1
Gdap1,58.675078675689534,1.5253092995162868e-12,0.79540855,1
Crispld1,1.3561985421599383,0.6044539107682222,0.048809458,0
Gm28756,13.560089094244203,0.003148741842129874,1.1310146,0
Mcm3,5.723943100431063,0.10255317269843657,0.9778129,0
Paqr8,30.092868151673294,1.3963540811149615e-06,-0.15554075,0
Efhc1,2.989181659042405,0.31920667043675705,-0.48836425,0
Tram2,1.6260956932433188,0.5455752943197935,-0.13367952,0
Tmem14a,5.735041512236083,0.10216089319857348,-0.31591082,0
Gsta3,1.4119660059377495,0.5911703006287032,0.22861703,0
Gm28836,3.6965785243200675,0.23913772459043983,-0.10735593,0
Kcnq5,37.02145830210038,5.108975653363905e-08,0.38718432,1
Rims1,45.962375249271226,7.001224192811863e-10,-0.08862246,0
Gm29107,2.948675093116619,0.3244396001781617,-0.04406086,0
Ogfrl1,7.128445201676793,0.05627406820129801,0.26434752,0
