gene,stats,fdr,log2(old/young),DEG
B3gat2,19.854135690790844,0.0001735816206560185,-0.6522455,-1
Smap1,30.36669234830265,1.2259625461942247e-06,-0.052582167,0
Fam135a,22.8647131911556,4.270061097809288e-05,0.14104736,0
Col9a1,1.2663023741333908,0.6256233402009755,0.47717485,0
Col19a1,3.3718040500140423,0.273063568224341,0.58588415,0
Lmbrd1,16.913815699479954,0.0006806496605388263,-0.123630784,0
Phf3,61.09614348946994,4.687795745317187e-13,0.21808323,0
Ptp4a1,8.664826541993579,0.028602190573472422,0.3417767,0
Khdrbs2,46.27671207236531,6.037522979237041e-10,-0.23329893,0
Prim2,21.040272660989547,0.00010040144762482728,0.37844318,1
Rab23,7.698064009722453,0.043815388870338506,-0.124928065,0
Bag2,2.7102702262989125,0.35584273448056447,-0.5872849,0
Zfp451,33.06634119823351,3.3780066574173844e-07,-0.1750832,0
Bend6,9.755608162763465,0.01765710615169347,0.284483,0
Dst,52.389949178982675,3.225215059972394e-11,0.08124693,0
Gm26788,16.301583766806125,0.0009002485559469428,-0.42891806,-1
Ccdc115,2.7976051225168956,0.3438665416500702,-0.45362195,0
Imp4,7.674627669785075,0.04426528076353019,-0.20795833,0
Ptpn18,10.175194891157485,0.014638149493777505,0.8599333,0
Arhgef4,2.0562854832518775,0.46214174441540634,-0.0054665795,0
Fam168b,0.012977983060748911,0.9953230719171975,0.004060295,0
Plekhb2,0.14622200922115003,0.949084556431564,0.067176,0
Hs6st1,1.5206751654440618,0.5677969346832523,-0.024746068,0
Uggt1,11.805479146164638,0.007027668169382019,0.030319925,0
Arid5a,16.225867156543433,0.0009326925747852112,-0.5741862,-1
Kansl3,12.674959274483621,0.004742726440060592,-0.10983056,0
Lman2l,4.22188310174401,0.1926261628087707,-0.07712556,0
Cnnm4,13.074336467429843,0.003941276408804201,-0.16860287,0
Cnnm3,0.03550397756756608,0.9866325349209024,0.0031704535,0
Ankrd23,17.75794386096239,0.0004601422738614927,-0.6859519,-1
Ankrd39,20.92356782816464,0.00010594680100778024,-0.21310595,0
Sema4c,26.700346617726446,6.949776127377441e-06,-0.74302256,-1
Fam178b,26.141592057183775,9.041080676867165e-06,-0.8323243,-1
Cox5b,218.38995782591252,1.1386132238670154e-46,-1.1976862,-1
Actr1b,37.85338330449258,3.4231468457113024e-08,-0.49606377,-1
Tmem131,38.22084176117587,2.866916900947216e-08,0.31097078,1
Vwa3b,215.9658025432227,3.806906171779737e-46,2.9862323,1
Inpp4a,186.2564761301348,8.988076884396554e-40,-0.92832863,-1
Coa5,0.31147035528062134,0.8935728220086522,0.026222352,0
Unc50,134.40989799883974,1.183311345126635e-28,-1.0419108,-1
Mgat4a,22.955615196924132,4.0893863430849804e-05,-0.36273956,-1
2010300C02Rik,3.601821601177331,0.2488420641048076,0.00076408853,0
Tsga10,33.55572812036147,2.6802612587006846e-07,0.32310328,1
Lipt1,0.7371718794411599,0.7643990961505999,-0.30468664,0
Mitd1,0.7271009815978433,0.7675424388384758,0.059979606,0
Mrpl30,29.69221707787077,1.6861173372055234e-06,-0.6872472,-1
Txndc9,2.784064113834387,0.34566114159813977,0.106370606,0
Eif5b,11.489355562719808,0.008109081983630388,0.09912288,0
Rev1,22.728109839223002,4.54973015083269e-05,0.13419096,0
Aff3,50.754083037220354,7.075738657383596e-11,-0.20125245,0
Gm16152,1.5011114494743845,0.5716619613234911,-1.0777605,0
Lonrf2,20.010632358692707,0.00016151776711876173,-0.58096594,-1
Chst10,2.630765015243331,0.3671400139489736,-0.36930817,0
Pdcl3,11.713462695610483,0.007325233992377198,-0.45226762,0
Npas2,19.286843180492614,0.0002258158320926358,0.42886338,1
Rpl31,93.7735472801817,5.460039700308752e-20,-0.83088684,-1
Tbc1d8,49.59829003161746,1.234793483138609e-10,-0.577951,-1
Cnot11,2.838263888881149,0.33869731008866955,0.13806443,0
Gm15832,2.880459722993428,0.3332266412182884,0.36078548,0
Rnf149,15.599635772766819,0.0012436252883269575,-0.17411353,0
Creg2,3.994966191130778,0.21175463601798808,0.27208725,0
Map4k4,19.23101060352391,0.00023180008955399917,-0.0151475025,0
Il1r2,4.863069611648519,0.14809644791524634,-0.92573065,0
Gm16894,7.148988542872805,0.0557925154894431,-0.34260118,0
Mfsd9,1.734954248730224,0.5238487233184114,-0.04906737,0
Gm28175,5.962659966679091,0.09267938529226126,0.23695868,0
Pantr1,12.202215721458266,0.00588576661105274,0.06228088,0
Gm20646,1.0099836587174889,0.6908862711883783,0.06532919,0
Pou3f3,6.5311095822441505,0.07274746633700666,-0.12951516,0
Pantr2,5.683650186822441,0.10435591719145826,-0.06289194,0
Mrps9,15.036242182056755,0.001604997428672408,0.0804721,0
Gpr45,36.610508071486656,6.221567987260739e-08,-0.8295179,-1
Tgfbrap1,2.0603853166452377,0.4613629725566985,-0.11306236,0
8430432A02Rik,3.7162402708788815,0.23737597195115567,0.85315883,0
AI597479,4.093485188710033,0.20308070272839562,-0.1643818,0
Fhl2,7.303905376049039,0.05211824548664816,-0.81262285,0
Nck2,4.626972246548698,0.16317439469810466,0.21561994,0
Uxs1,11.88416655397261,0.006786977071248173,0.25818026,0
Tpp2,15.771098099601012,0.0011481116111249907,0.012351909,0
Tex30,0.1004902409878663,0.9642813876238187,-0.12169898,0
Bivm,7.998961750732982,0.03840161828702754,0.007644291,0
Ercc5,5.061360715660846,0.13606429322468602,0.024708688,0
Gulp1,37.19985040514865,4.6934456238195507e-08,1.2343836,1
Wdr75,7.351805501730249,0.051086854849543326,0.04829229,0
Dnah7b,31.059942711309724,8.816136886348654e-07,-0.039623618,0
Dnah7c,3.5973450129532414,0.24929405446846828,0.32538354,0
Slc39a10,8.042754844942452,0.03766754793053749,0.07536702,0
Gm28151,0.37915445062966674,0.8716200632230144,0.020435574,0
Tmeff2,283.0451495997586,1.4126741513175747e-60,-0.061740693,0
Gm28322,94.81387983379656,3.2686991314308235e-20,0.49398723,1
Gm28319,10.795430987783691,0.011061013524754545,-0.70960027,0
Gm28320,49.588347969612,1.2404396244503265e-10,-0.0935747,0
Gm29325,8.47367439317835,0.03113152023834898,0.20291251,0
9330175M20Rik,10.925676739010372,0.010439666319813084,-0.42258522,0
Nabp1,1.5623098225394763,0.5585419734132471,0.15978944,0
Myo1b,6.522978466890111,0.07301558277622494,0.10082288,0
Stat1,6.063249908444354,0.0888729766623688,0.1966551,0
Gls,95.3122682180121,2.5550019834405766e-20,0.12157035,0
Nab1,4.569583363608404,0.16693334655199346,0.11843213,0
Mfsd6,31.036935002539085,8.91323387419649e-07,0.18182424,0
Inpp1,16.281411337104785,0.000909055579728461,0.35354665,1
Hibch,5.970564011479804,0.09238027723461636,0.22351493,0
1700019D03Rik,14.973122742581541,0.0016508620786356714,0.33979946,0
1700019A02Rik,20.178590628707973,0.00014953011302275257,-0.31176507,-1
Pms1,6.792818652273089,0.0651511345402336,-0.021442184,0
Ormdl1,3.0627975286274665,0.31026574629430126,-0.13802628,0
Osgepl1,5.8703634453994225,0.09647691592462164,-0.015804607,0
Asnsd1,1.3044432196189488,0.6167069598692558,-0.19688472,0
Stk17b,0.15768390564993853,0.9456998123387227,0.19833262,0
Hecw2,249.00322045470836,3.0006281707604954e-53,0.17293774,0
Ccdc150,0.5699294491432024,0.8154598313193403,0.18748212,0
Gtf3c3,6.745901308693343,0.06637086155123181,0.014873859,0
Pgap1,42.41303199807881,3.85793840951286e-09,0.035564143,0
Ankrd44,174.77390146668915,2.601603906671894e-37,-0.28831372,0
4930444A19Rik,83.51972552341611,8.2905054224761e-18,-0.77382714,-1
Sf3b1,23.067595261194576,3.875317540453175e-05,-0.0339087,0
Coq10b,20.46679381168251,0.00013086775524833523,-0.05067829,0
Hspd1,20.694250488425194,0.00011778812183595103,-0.351915,-1
Hspe1,44.04932131261017,1.7566888164631475e-09,-0.7289025,-1
Mob4,19.80846408613344,0.00017727220323153598,-0.03645758,0
Rftn2,7.869671844817376,0.04064993055434764,0.114115156,0
Gm10561,3.193563308513087,0.29384070019574493,-0.34491798,0
Mars2,2.319431852340429,0.4165927584798604,-0.11501951,0
Boll,5.275735066436872,0.12404581168296784,1.173595,0
Plcl1,424.7469751976704,4.0031135921033116e-91,0.10469584,0
Satb2,2.6377949276786135,0.36613346100168925,0.47280076,0
1700066M21Rik,9.492712659953122,0.019822170507593665,-0.28610328,0
Tyw5,12.415437532905742,0.005340273181494044,0.30482867,0
Spats2l,24.148813056768763,2.3305049854546643e-05,0.1614653,0
Kctd18,7.003815279788827,0.05937368870033824,-0.044376962,0
Aox1,56.03247080432105,5.496529296139676e-12,1.2976836,1
Bzw1,22.757603074134096,4.489067215961007e-05,-0.21428913,0
Clk1,27.488349004546492,4.784046047919949e-06,0.0268189,0
Ppil3,1.4064413782589837,0.5922743252967768,0.06870252,0
Nif3l1,19.981782978463194,0.00016376568282125344,-0.5397919,-1
Orc2,11.449725463850315,0.0082560708141352,0.103752345,0
Gm15834,7.4598547750935,0.04872005173251819,-0.4774823,0
Fam126b,17.67787970444452,0.00047742863675669464,0.03699305,0
Ndufb3,38.68896926666973,2.2944288812078226e-08,-0.51123226,-1
Cflar,15.967718336332293,0.0010485302398298294,0.26899737,0
Casp8,22.893249115866755,4.213302147337905e-05,-1.2123126,-1
Trak2,25.29749236768211,1.3504753848631488e-05,-0.069317155,0
Stradb,4.948550312187485,0.14282022518114185,-0.017064637,0
Tmem237,20.569707021334324,0.00012476378895232617,-0.43826586,-1
G730003C15Rik,0.7035344660280368,0.7739971434256535,0.0116546685,0
Mpp4,2.970790276616719,0.32150355791841734,0.3914678,0
Als2,10.225444791109002,0.014311208425119046,0.10336001,0
Cdk15,0.11753839101894534,0.9589117899979092,0.028365599,0
Fzd7,5.296752140553515,0.12298988167581074,0.082572356,0
Sumo1,28.809230742309314,2.5647076815004173e-06,-0.21692303,0
Nop58,7.941716308556079,0.03936822216480462,0.18679237,0
Bmpr2,19.935718008923686,0.0001672116730594623,0.07348964,0
Fam117b,30.520356096718157,1.1408233629053204e-06,-0.046654046,0
Ica1l,0.22953848471102467,0.920400692932564,0.1634238,0
Wdr12,5.633338189696651,0.10666021800006079,0.07432573,0
Carf,19.626020711331957,0.0001929334852037658,0.12692183,0
Nbeal1,57.955746243408356,2.162040623645182e-12,0.16339754,0
Cyp20a1,3.557462359627336,0.253114696349115,-0.0031793322,0
Abi2,1.3534040803892757,0.6048939907578046,0.018612798,0
Raph1,33.6792531924387,2.5248827852141713e-07,0.4558612,1
Pard3b,153.46219408090712,9.797377498451787e-33,1.2625926,1
Pard3bos1,0.49007900123681436,0.8391586284716942,0.4590835,0
Pard3bos3,4.856460587033285,0.14855849452658756,1.3304635,0
Nrp2,180.4719571854357,1.5765022554278355e-38,1.0923856,1
Gm29083,19.228435759050626,0.0002320533479696964,1.0598011,1
Ino80d,18.736781011173328,0.00029243546730643624,-0.025925504,0
Ino80dos,21.737387223424292,7.250173822475206e-05,-0.21429072,0
Gm20342,8.992800610876156,0.024755111896582267,-0.032829866,0
Ndufs1,9.66472677465236,0.018367778786219185,0.07657049,0
Eef1b2,144.2400946179545,9.283681914399798e-31,-0.9923459,-1
Zdbf2,3.016189073284953,0.3157155848861669,-0.13120061,0
Adam23,69.52105685243545,7.823289456402404e-15,0.3947085,1
Fastkd2,5.113182013466553,0.13305725611229693,-0.08934867,0
4933402D24Rik,1.2201679211240795,0.6365107897463033,-0.4835847,0
Klf7,39.28121815423925,1.7282601475835123e-08,0.08311115,0
Gm13748,8.265477187849015,0.03415804344078482,0.015824046,0
Gm28981,25.911124298853316,1.0098995094451491e-05,0.7474166,1
Creb1,73.68202096364811,1.0247259813790574e-15,0.22689855,0
Mettl21a,4.362931317180498,0.1820160867654452,-0.00020510389,0
Gm28982,4.3744297026831465,0.18109679696014558,-0.14002405,0
Ccnyl1,45.497152041887134,8.772031955180516e-10,-0.04446218,0
Plekhm3,89.14594304741209,5.243321919287404e-19,0.30422735,1
Idh1,51.226092099064914,5.637709921188237e-11,-0.34499738,-1
Pikfyve,19.774988694184646,0.00018004876082712882,0.14060545,0
Map2,49.74415886312717,1.152181490026418e-10,0.030943397,0
Gm10558,7.497786585740379,0.04792024418897748,-1.2631785,0
Unc80,17.826228186193763,0.0004460713579444629,0.24037865,0
Rpe,18.286398684514896,0.0003598753102357076,0.22103657,0
Kansl1l,41.626510079719985,5.635441660057576e-09,0.19060613,0
Acadl,7.044208189225983,0.05836226605423557,0.046714704,0
Lancl1,4.6383017926747305,0.16237316151397896,-0.053045996,0
Erbb4,292.6509075878941,1.1978945620193681e-62,-0.13246429,0
Gm29114,3.8565742475275067,0.22428829179097656,-0.48733306,0
Ikzf2,18.985224855142647,0.0002602289982334891,-0.11528458,0
Gm29112,1.8382625724441717,0.5024099191792178,-0.4238235,0
Spag16,1.7585850107747558,0.5188237087912083,-0.7061773,0
Vwc2l,53.560082001214376,1.8274128379739863e-11,1.3663039,1
Bard1,12.334638028872966,0.005538138313250949,-0.23419179,0
Atic,13.984264401202982,0.0025934757897847142,0.38345277,0
Fn1,1.2838681340349634,0.6212824395803254,-0.5163879,0
Mreg,8.16144469669522,0.03574638369130459,1.2337384,0
Pecr,28.410192032929857,3.0940391872484664e-06,0.6267731,1
Tmem169,3.5238172781735932,0.2564144723486257,0.4023095,0
Xrcc5,48.93223174810769,1.6984557238289874e-10,0.44201216,1
March4,2.2701620476086646,0.42395864420833623,0.6715515,0
Smarcal1,2.9556208603473286,0.3234952778361013,0.1410277,0
Rpl37a,147.9468761966061,1.4990821576835365e-31,-0.9141551,-1
Igfbp5,0.461799094400421,0.8481936486159778,-0.12828648,0
6030407O03Rik,30.59462965493896,1.101331089801281e-06,0.18497066,0
Tns1,12.034735352912005,0.006345495612617689,-0.06383152,0
Arpc2,2.5796110496730713,0.3749816728116106,-0.027706068,0
Aamp,35.48718379346777,1.0670558101159389e-07,-0.5948019,-1
Pnkd,72.48018561141711,1.843401903009465e-15,-0.56751364,-1
Tmbim1,28.94788867682801,2.4022896519328595e-06,-0.122486874,0
Gm29358,4.1713060633172026,0.19644245246639178,-0.19014809,0
Ctdsp1,15.017018561826784,0.0016196913142812023,-0.52925575,0
Vil1,0.3599475897931528,0.8780741876656738,-0.10923995,0
Usp37,13.570593546382966,0.003134200978743344,0.1513986,0
Plcd4,6.275644211101425,0.08118039810911412,0.42392197,0
Zfp142,6.979399855410502,0.060044244417688755,0.18141071,0
Bcs1l,6.461129440647947,0.07492847277248933,-0.40011576,0
Rnf25,19.036719861911717,0.00025386059608328024,-0.25028807,0
Stk36,2.015137016089318,0.4694630383650895,-0.073974624,0
Ttll4,13.79243670222644,0.0028298488622854347,0.16456693,0
Cyp27a1,26.081904789451194,9.310470276307287e-06,-0.019484712,0
Cdk5r2,10.956023113360501,0.010302422163855183,-0.41683733,0
Nhej1,3.9328023924336013,0.2173903613277186,-0.13983361,0
Cnppd1,17.523937497587156,0.000512024977342632,-0.36141583,-1
Zfand2b,24.900311106955122,1.631335539976274e-05,-0.8765522,-1
Abcb6,11.971091858829377,0.006532487168930635,-0.81499153,0
Atg9a,71.57817961111816,2.8710925886211838e-15,-0.5881726,-1
Ankzf1,2.5722795200395043,0.3759366657851155,-0.0432854,0
Glb1l,7.121023767723422,0.05646434454095811,-0.14209093,0
Stk16,17.276495194893098,0.0005753326524281177,-0.3214221,-1
Tuba4a,5.7500210126883,0.10150118053218275,-0.22714622,0
Dnajb2,11.669550493066387,0.0074668181303698036,-0.10131494,0
Ptprn,42.58885037333465,3.5495774309286968e-09,-0.73590595,-1
Resp18,30.848204884014148,9.757703557507452e-07,-0.9376794,-1
Dnpep,20.960931485893596,0.00010411598546918033,-0.69196004,-1
Speg,7.67880448751167,0.04418824446414143,-0.462319,0
Gmppa,3.239078754906167,0.2882152475885527,-0.26157576,0
Chpf,23.394948251274773,3.3242355142511954e-05,-1.5694221,-1
Inha,2.544592110642672,0.3802495379832368,-0.072683275,0
Stk11ip,8.118886336938928,0.0364198595714709,-0.2287197,0
Slc4a3,14.259323434222903,0.0022859911022138145,-0.62287104,0
Gm816,783.6719203885634,1.0776723148123324e-168,1.3572983,1
Epha4,52.671813862572876,2.812173033557244e-11,-0.19707103,0
Sgpp2,3.9317874362422613,0.21746272209905723,0.5012022,0
Farsb,10.678959819142106,0.011661792575340573,0.1643406,0
Mogat1,0.722323315121215,0.7684716635770268,-0.12630789,0
Acsl3,248.87935295042595,3.186022418214584e-53,-0.45345685,-1
Utp14b,39.90651444209503,1.2802484734791275e-08,-0.12697877,0
Gm29536,0.20373969224529198,0.9296518140245501,0.24969088,0
Scg2,11.701181292650801,0.007364461401976738,-0.8359981,0
Wdfy1,20.66953182375107,0.00011912997127964024,-0.09177937,0
Mrpl44,11.8024780969956,0.0070372033072291455,-0.78879297,0
Serpine2,118.2629629583545,3.3345232583912823e-25,-1.4181801,-1
Cul3,26.33221390799924,8.26505291269315e-06,0.1325107,0
Dock10,81.54460832128365,2.1622942162293232e-17,-0.047914296,0
Nyap2,6.8029383230438105,0.06485778554397478,0.45187777,0
Irs1,4.839788544779768,0.14944814954276145,0.02118485,0
Rhbdd1,19.513807338621966,0.00020330212001097887,0.32943642,1
Col4a4,2.674300433615391,0.3606773912931382,-0.44845107,0
Mff,44.680647576787536,1.2995587497975304e-09,-0.12686177,0
Gm28941,6.704598930393262,0.06755720308022722,-0.049326286,0
Agfg1,23.974385110570623,2.5319355216263978e-05,0.075961046,0
Sphkap,12.576350453797925,0.004959243273467391,0.10491735,0
Pid1,45.107893775828515,1.0581634549719521e-09,-0.6018888,-1
Dner,64.24310796651447,1.0190618834790337e-13,-0.55540097,-1
Trip12,114.43062599848315,2.2005218990789487e-24,-0.14437412,0
Fbxo36,15.066714843938128,0.0015830960522683632,-0.22884083,0
Sp140,3.580985909425047,0.2508417637910958,-0.8290638,0
Cab39,9.463086505261828,0.020087040583331113,0.0063555297,0
Itm2c,194.13316955310373,1.8637903076364147e-41,-0.8790025,-1
Psmd1,10.830720934428275,0.010894498398079629,0.080506906,0
Htr2b,2.6707563534889465,0.36123338989987713,-0.5396831,0
Armc9,0.5024672229454418,0.8358757148151424,0.005380407,0
Ncl,2.7489173450360855,0.35022819251911447,-0.09317013,0
C130036L24Rik,0.4005516880512426,0.8656480575504084,0.15735742,0
Ptma,255.1212833587472,1.4485255470092485e-54,-0.5494458,-1
Pde6d,7.250575237033788,0.05335787981289547,-0.058232456,0
Cops7b,3.136878761572211,0.30083995759359833,0.09314656,0
Nppc,2.0075228303882975,0.47077717023289173,-0.30355155,0
Dis3l2,86.66228412318128,1.778162154519002e-18,0.2032902,0
Gm29055,0.3768615373960568,0.8719231631690105,-0.27719152,0
Gm28375,2.21864459504119,0.4325505279656221,-0.19976363,0
Eif4e2,4.316295423987967,0.18535217585211317,-0.13334467,0
Efhd1,21.014257969557796,0.00010163088765542857,-0.20677823,0
Gigyf2,37.47548716305445,4.1101529602091565e-08,0.11747617,0
Kcnj13,6.63171592645096,0.06961870691218429,-0.499523,0
Ngef,11.076568978515903,0.009766170879833778,0.69226146,0
Atg16l1,2.750657703798633,0.35005798968517343,0.04784066,0
Sag,7.157258510015106,0.05559963091956327,-0.456787,0
Dgkd,13.726347033884164,0.002917579664273671,-0.08368588,0
Usp40,15.968759300317767,0.0010483472651638857,0.17097165,0
Hjurp,11.905663177028257,0.006725168488193957,0.18522254,0
Arl4c,2.8559688103566527,0.336400823722787,-0.48278165,0
Sh3bp4,88.22218041695992,8.238401994416856e-19,-0.9472079,-1
Agap1,59.214860356481964,1.1722730126735691e-12,0.10088767,0
4933400F21Rik,10.874704865938508,0.010676640249362214,-0.23640122,0
Cops8,9.21307874915993,0.022431057699077793,-0.24375002,0
Col6a3,59.89544380463174,8.40946953186596e-13,0.8819213,1
Lrrfip1,43.482516007871716,2.3079554252279935e-09,-0.418933,-1
Ramp1,28.71931713875135,2.6729125379606827e-06,-0.66815895,-1
Ube2f,4.019857600875718,0.20952169667972376,0.11592441,0
Scly,15.237234763002142,0.0014651752310974064,0.11949875,0
Gm17090,2.8300280587379367,0.33966705285934734,-0.030218096,0
Ilkap,2.0606175964292675,0.4613429257251508,-0.06513728,0
Hes6,6.306663708893392,0.08008272805870105,-0.47127977,0
Per2,20.482444721785605,0.00012990083565937963,0.46699014,1
Traf3ip1,5.605791359694963,0.10789282995262969,-0.12301841,0
Asb1,5.651476193913615,0.10579277968326967,-0.35228074,0
Hdac4,47.02632731124238,4.206257453436498e-10,0.32350397,1
Ndufa10,16.034325205980778,0.0010178825620228691,-0.3185622,0
Gpc1,16.870993231338918,0.0006945043965907227,-0.4219282,-1
Ankmy1,2.0330560322412605,0.4661520192004899,-0.16000903,0
5033417F24Rik,0.05295311455665878,0.9807820778776951,0.06635448,0
Rnpepl1,8.302759864464129,0.033591557096748034,-0.1524623,0
9430060I03Rik,4.430662240547609,0.17690166107667185,0.50102234,0
Capn10,6.665497896056459,0.06863028009488993,-0.37607944,0
Gpr35,9.140006574756598,0.023160441611808028,-0.70024824,0
Kif1a,14.88025645168074,0.001724014132828904,-0.0064486056,0
Sned1,215.60640628378522,4.541003187400324e-46,0.6804514,1
Mterf4,12.003192813459313,0.006435995473348849,-0.2860844,0
Gm28535,2.8837442048388113,0.33282122024178024,-0.8063366,0
Pask,7.192950448256169,0.05470811835802431,-0.562561,0
Ppp1r7,2.1970747097215293,0.4363542848503372,-0.090578936,0
Hdlbp,12.221363874459508,0.005834856706894868,0.079597086,0
Sept2,5.016093359171614,0.13873898461598821,-0.008907335,0
Farp2,17.990809404357393,0.0004137182544043417,0.19470607,0
Stk25,5.568581256882,0.10958772583751593,-0.06946621,0
Bok,5.422865779340766,0.11654466545858058,-0.74980307,0
Thap4,3.3390901750832502,0.2766039625479564,0.20947047,0
Gm10550,1.1397574613199983,0.6566104272379832,-0.12655936,0
Atg4b,2.7386934166731067,0.35172557529465487,-0.050535884,0
Dtymk,26.532652243049522,7.517731413187514e-06,-0.39473426,-1
Ing5,3.4450567023171392,0.26491179023757266,0.0041535874,0
D2hgdh,4.486081681600787,0.17263363712151536,0.3166373,0
Neu4,297.899454548846,8.85244375658245e-64,-4.1030807,-1
Fam174a,52.96232026732977,2.4393717428967303e-11,-0.29462895,0
St8sia4,509.1219058267123,2.5312311058972625e-109,2.2666678,1
D1Ertd622e,24.734438901896056,1.76619657477884e-05,0.07456518,0
Ppip5k2,48.747491360294035,1.855335392091674e-10,0.22588392,0
Gin1,7.136983757840606,0.05605312152792714,-0.14103802,0
Pam,608.9645940852416,6.678699255943465e-131,0.7936603,1
B230216N24Rik,36.87669456661293,5.4769889518564967e-08,0.82924694,1
Gm7967,18.64686690160814,0.0003046502953404219,0.27088812,0
Cntnap5b,65.80142421191499,4.775422545262342e-14,0.7259936,1
Cdh20,925.7285924016414,1.9546817844439923e-199,0.39325023,1
Rnf152,16.608657545248303,0.0007825512385077053,0.34623006,1
Gm28403,7.813567529038136,0.041684537522235804,-0.29304013,0
Pign,11.778186411454772,0.007113936990116436,0.014111758,0
Gm28404,10.967132563528779,0.010252462592481913,0.36028662,0
Gm7160,2.577456773181075,0.375296249707336,-0.051761024,0
Zcchc2,0.07821755081679105,0.9726397791191865,0.039930765,0
Gm20753,5.078568143404369,0.13507107597438028,1.0039511,0
Phlpp1,431.2545655809451,1.6081477821581828e-92,0.13459224,0
Bcl2,37.83635884175085,3.4491060921780025e-08,1.3781317,1
Kdsr,22.523142324016852,5.01692801322003e-05,-0.2645576,0
Vps4b,23.947150411281974,2.5637169498007344e-05,-0.13736898,0
Cdh7,45.059480443391166,1.083286381913613e-09,1.1704253,1
Cdh19,722.8783886533162,1.5840764694273612e-155,-0.37561572,-1
Dsel,0.6966622726762217,0.7761234520513135,0.043562025,0
Cntnap5a,59.194901928726914,1.1834669212043019e-12,0.4991302,1
Tsn,69.83217196734793,6.7369446809818835e-15,-0.4428986,-1
