cell_type,gene,DEG,pred,dmr,mcg_genebody,mch_genebody
CA1-ProS_Glut,Sugp2,0,1,0.29085144,0.17902412,0.5301245
CA1-ProS_Glut,Uck1,0,0,0.15846953,0.20181693,0.6397135
CA1-ProS_Glut,Cep135,0,1,0.27008218,0.16181651,0.56810135
CA1-ProS_Glut,Rsf1,0,1,0.19324568,0.38582122,0.42093304
CA1-ProS_Glut,Zfp13,0,1,0.37567335,0.15791158,0.4664151
CA1-ProS_Glut,Pop5,0,-1,0.19839682,0.27268547,0.5289177
CA1-ProS_Glut,Itpka,0,-1,0.16741693,0.43950608,0.39307702
CA1-ProS_Glut,B3galt1,0,1,0.33761618,0.3460555,0.31632826
CA1-ProS_Glut,Gmeb1,0,1,0.27804044,0.24910438,0.47285512
CA1-ProS_Glut,Rab11a,0,1,0.12956019,0.11424457,0.7561952
CA1-ProS_Glut,Ier5l,0,-1,0.08568588,0.27920067,0.6351135
CA1-ProS_Glut,Aff4,0,1,0.47069755,0.20040306,0.32889935
CA1-ProS_Glut,Gpcpd1,0,-1,0.27819377,0.20114955,0.5206566
CA1-ProS_Glut,Tspan9,0,1,0.09705367,0.09347849,0.8094678
CA1-ProS_Glut,Nfxl1,0,0,0.23760317,0.25077653,0.5116202
CA1-ProS_Glut,Ppp1r11,0,-1,0.11651428,0.12299766,0.7604881
CA1-ProS_Glut,Nop2,0,0,0.31015977,0.21113494,0.4787052
CA1-ProS_Glut,Spry2,0,-1,0.10465403,0.45555976,0.43978623
CA1-ProS_Glut,Mrpl20,0,0,0.29651734,0.15467626,0.5488064
CA1-ProS_Glut,Pknox1,0,1,0.15581691,0.0908515,0.7533316
CA1-ProS_Glut,Numbl,0,1,0.33509806,0.22251946,0.44238243
CA1-ProS_Glut,Lcor,0,1,0.20838626,0.25896326,0.53265053
CA1-ProS_Glut,Rnf167,0,-1,0.0780526,0.40125102,0.5206964
CA1-ProS_Glut,Uba2,0,0,0.23327176,0.3256937,0.44103453
CA1-ProS_Glut,Abhd16a,0,0,0.24243796,0.22674572,0.5308163
CA1-ProS_Glut,Nup214,0,1,0.101575084,0.23335798,0.6650669
CA1-ProS_Glut,Mycbp,0,0,0.29415646,0.14944328,0.5564003
CA1-ProS_Glut,Thap1,0,0,0.14086443,0.18677756,0.672358
CA1-ProS_Glut,Coq10a,0,-1,0.12088545,0.070955604,0.808159
CA1-ProS_Glut,A830012C17Rik,0,0,0.267048,0.2272773,0.5056747
CA1-ProS_Glut,Fkbp4,0,-1,0.22919099,0.106738195,0.66407084
CA1-ProS_Glut,Spcs2,0,0,0.29177955,0.25587612,0.45234433
CA1-ProS_Glut,Mtrf1l,0,0,0.22839746,0.22483906,0.5467635
CA1-ProS_Glut,Zfp712,0,1,0.3280933,0.3135514,0.35835537
CA1-ProS_Glut,Foxj3,0,1,0.27751264,0.3503554,0.37213194
CA1-ProS_Glut,Tpm1,0,-1,0.16963018,0.19801939,0.63235044
CA1-ProS_Glut,Exosc1,0,0,0.16030438,0.19236358,0.6473321
CA1-ProS_Glut,Gmip,0,0,0.18494676,0.21347024,0.60158306
CA1-ProS_Glut,Hist1h2be,0,0,0.2844315,0.28430814,0.43126035
CA1-ProS_Glut,Mkln1os,0,1,0.13440599,0.114968725,0.75062525
CA1-ProS_Glut,Itga6,0,1,0.21756376,0.23060869,0.55182755
CA1-ProS_Glut,Cdkn2d,0,-1,0.09721962,0.15095487,0.7518256
CA1-ProS_Glut,Tmem106c,0,0,0.13499899,0.19809449,0.66690654
CA1-ProS_Glut,Zdhhc23,-1,-1,0.16829924,0.539908,0.2917928
CA1-ProS_Glut,Ube3a,-1,1,0.26237738,0.16193886,0.5756838
CA1-ProS_Glut,Cdc27,1,1,0.36674526,0.16179019,0.4714645
CA1-ProS_Glut,Rpl37,-1,-1,0.12706475,0.13508551,0.7378498
CA1-ProS_Glut,Dnajc13,1,-1,0.39360687,0.22128773,0.3851054
CA1-ProS_Glut,Ndufb11,-1,-1,0.09163943,0.10970117,0.7986594
CA1-ProS_Glut,Ppia,-1,-1,0.14305393,0.19976738,0.6571787
CA1-ProS_Glut,Mrps9,-1,-1,0.25900403,0.15015966,0.59083635
CA1-ProS_Glut,Ptpn3,-1,-1,0.2488789,0.10065789,0.65046316
CA1-ProS_Glut,Parp1,-1,1,0.28881127,0.20726949,0.5039192
CA1-ProS_Glut,Setd1a,1,-1,0.27315393,0.20964527,0.5172009
CA1-ProS_Glut,Ociad2,-1,-1,0.33427298,0.17578281,0.48994413
CA1-ProS_Glut,Pigk,-1,1,0.20369302,0.23661664,0.55969036
CA1-ProS_Glut,Ckap5,1,1,0.3295518,0.23170812,0.4387401
CA1-ProS_Glut,Palm,1,1,0.34047464,0.17058527,0.4889401
CA1-ProS_Glut,Safb2,1,1,0.35872337,0.19019958,0.45107707
CA1-ProS_Glut,AI593442,-1,-1,0.13653843,0.22749604,0.6359655
CA1-ProS_Glut,Pde4b,1,1,0.10982884,0.09808654,0.79208463
CA1-ProS_Glut,Adap1,1,1,0.2425868,0.1753768,0.5820364
CA1-ProS_Glut,Rps6ka5,1,1,0.121824846,0.078423075,0.7997521
CA1-ProS_Glut,Marf1,1,0,0.22607267,0.24125923,0.53266805
CA1-ProS_Glut,Ccz1,1,1,0.20763427,0.3122654,0.4801004
CA1-ProS_Glut,Syt17,1,1,0.12113522,0.10867907,0.7701857
CA1-ProS_Glut,Mark2,1,1,0.35980037,0.24960439,0.39059526
CA1-ProS_Glut,Cadm2,-1,-1,0.38212228,0.26513645,0.35274124
CA1-ProS_Glut,Sorbs2os,-1,1,0.15641776,0.26011482,0.58346736
CA1-ProS_Glut,Gtf3c2,1,1,0.3035363,0.35398245,0.34248132
CA1-ProS_Glut,Tmem243,-1,1,0.41690022,0.14919442,0.43390536
CA1-ProS_Glut,Dhx29,1,1,0.12554784,0.1592666,0.7151855
CA1-ProS_Glut,Ankrd6,1,1,0.16703454,0.1558946,0.67707086
CA1-ProS_Glut,Gabra3,1,1,0.14072354,0.10485501,0.7544214
CA1-ProS_Glut,Ntng1,1,1,0.1259573,0.09544959,0.7785931
CA1-ProS_Glut,Ppm1e,-1,-1,0.22138058,0.6107455,0.1678739
CA1-ProS_Glut,Ptprg,1,1,0.08763014,0.09490688,0.817463
CA1-ProS_Glut,Aatk,1,1,0.34439477,0.27626616,0.37933904
CA1-ProS_Glut,Pitpnm3,1,0,0.2607361,0.11216836,0.6270955
CA1-ProS_Glut,Gm28750,-1,-1,0.19992755,0.106770374,0.6933021
CA1-ProS_Glut,Adarb2,1,1,0.16092493,0.120315865,0.71875924
CA1-ProS_Glut,Ssbp3,1,1,0.085778534,0.11664548,0.797576
CA1-ProS_Glut,Ift172,1,1,0.29252744,0.20732988,0.50014275
CA1-ProS_Glut,Rtca,1,1,0.20135693,0.25859705,0.5400461
CA1-ProS_Glut,Ndufa13,-1,-1,0.16598345,0.37039793,0.46361864
CA1-ProS_Glut,Supt5,1,1,0.34429675,0.3156761,0.34002715
CA1-ProS_Glut,Golga2,1,1,0.39605394,0.19384824,0.4100979
CA1-ProS_Glut,Fbln2,1,1,0.15555155,0.10628432,0.7381641
CA1-ProS_Glut,Man1c1,1,1,0.11065998,0.08791071,0.80142933
CA1-ProS_Glut,4921534H16Rik,-1,-1,0.15494345,0.07228778,0.77276874
CA1-ProS_Glut,Ubr1,1,1,0.29173848,0.46041375,0.2478477
CA1-ProS_Glut,Nop56,1,-1,0.14407861,0.20109805,0.65482336
CA1-ProS_Glut,Tiam1,1,1,0.11830779,0.09431967,0.7873725
CA1-ProS_Glut,Adra1a,1,1,0.11955768,0.120522514,0.7599198
CA1-ProS_Glut,Mbp,1,1,0.2434224,0.20636941,0.55020815
CA1-ProS_Glut,Prpf6,1,1,0.28024903,0.11497956,0.6047714
CA1-ProS_Glut,Tbc1d9b,1,1,0.27187568,0.24890664,0.4792177
CA1-ProS_Glut,Acot7,1,1,0.18071884,0.07022709,0.7490541
CA1-ProS_Glut,Ndufc2,-1,0,0.20070872,0.24409205,0.55519927
CA1-ProS_Glut,Clasrp,1,1,0.30523473,0.1478227,0.5469426
CA1-ProS_Glut,4430402I18Rik,-1,1,0.255205,0.10809898,0.63669604
CA1-ProS_Glut,Atp5k,-1,-1,0.07543726,0.1061508,0.81841195
CA1-ProS_Glut,Prmt8,-1,-1,0.2727254,0.29123232,0.43604225
CA1-ProS_Glut,E130307A14Rik,1,1,0.14041662,0.09062151,0.76896185
CA1-ProS_Glut,Adamtsl1,1,1,0.09001888,0.09638979,0.8135913
CA1-ProS_Glut,Cep290,1,0,0.18160135,0.25571874,0.56267995
CA1-ProS_Glut,Gng3,-1,-1,0.10194821,0.17685847,0.7211934
CA1-ProS_Glut,Rsf1os1,-1,1,0.31828818,0.27132374,0.4103881
CA1-ProS_Glut,Neto1,1,1,0.10034391,0.084992565,0.8146635
CA1-ProS_Glut,Ipo8,1,0,0.2501475,0.3036171,0.4462355
CA1-ProS_Glut,Sbf1,1,1,0.39180142,0.35244143,0.2557572
CA1-ProS_Glut,Luzp2,-1,1,0.2496613,0.17234837,0.57799035
CA1-ProS_Glut,Trmt1l,1,1,0.32844564,0.32191145,0.34964293
CA1-ProS_Glut,Flrt2,-1,-1,0.13511834,0.3254164,0.5394653
CA1-ProS_Glut,Gnal,1,1,0.075904116,0.09524343,0.8288525
CA1-ProS_Glut,Sbno1,1,1,0.31756487,0.13767295,0.5447622
CA1-ProS_Glut,Cachd1,-1,-1,0.26767257,0.1021426,0.6301848
CA1-ProS_Glut,Gm16351,-1,0,0.19615895,0.16187187,0.6419692
CA1-ProS_Glut,Tubb2a,-1,-1,0.102201305,0.15536343,0.7424352
CA1-ProS_Glut,Actb,-1,-1,0.07518735,0.30220926,0.62260336
CA1-ProS_Glut,Trpm7,1,1,0.33128184,0.31464785,0.3540703
CA1-ProS_Glut,Imp3,-1,-1,0.032777015,0.42849305,0.5387299
CA1-ProS_Glut,Gm14329,-1,1,0.3753651,0.23208764,0.39254722
CA1-ProS_Glut,Lmo3,-1,-1,0.3315351,0.13462058,0.5338443
CA1-ProS_Glut,Dancr,-1,-1,0.09386854,0.0838308,0.8223007
CA1-ProS_Glut,Cs,1,1,0.33197936,0.13874,0.52928054
CA1-ProS_Glut,Chd8,1,1,0.4891699,0.21316797,0.29766217
CA1-ProS_Glut,Eif2b3,1,1,0.29365137,0.34194753,0.36440113
CA1-ProS_Glut,Skap2,1,1,0.14272045,0.16729355,0.689986
CA1-ProS_Glut,Nfkb1,1,-1,0.16374202,0.075696975,0.76056105
CA1-ProS_Glut,Ntng2,1,1,0.120952345,0.07153488,0.8075128
CA1-ProS_Glut,Rpl34,-1,-1,0.14203738,0.1175682,0.7403944
CA1-ProS_Glut,Tmem259,1,0,0.1983586,0.24533778,0.5563036
CA1-ProS_Glut,Nrgn,-1,-1,0.07609614,0.5415456,0.3823583
CA1-ProS_Glut,Etv1,1,1,0.1412318,0.12370466,0.7350635
CA1-ProS_Glut,Rps9,-1,-1,0.1240762,0.15506306,0.7208607
CA1-ProS_Glut,Gm15577,-1,1,0.09954174,0.08987612,0.8105821
CA1-ProS_Glut,Tmsb10,-1,-1,0.111119114,0.260082,0.6287989
CA1-ProS_Glut,Ptch1,1,-1,0.1044362,0.09199167,0.8035721
CA1-ProS_Glut,Nup160,1,1,0.36718434,0.29963154,0.33318412
CA1-ProS_Glut,Smc3,1,1,0.21147195,0.13469338,0.6538347
CA1-ProS_Glut,Mrpl57,-1,-1,0.107678086,0.08371769,0.8086043
CA1-ProS_Glut,Rpl17,-1,0,0.15133193,0.16838712,0.6802809
CA1-ProS_Glut,Lrrc4b,1,1,0.3608527,0.29994145,0.3392059
CA1-ProS_Glut,H2afj,-1,-1,0.09323014,0.17114201,0.7356279
CA1-ProS_Glut,Kcmf1,1,1,0.23196262,0.28572357,0.4823138
CA1-ProS_Glut,Sh3bgrl3,-1,-1,0.077228695,0.083222695,0.83954865
CA1-ProS_Glut,Svop,1,1,0.22410126,0.15920402,0.61669475
CA1-ProS_Glut,Cdc14b,1,0,0.09496286,0.10339607,0.8016411
CA1-ProS_Glut,Sptbn4,1,1,0.21268238,0.23575227,0.5515653
CA1-ProS_Glut,Iars,1,1,0.507264,0.26387784,0.22885816
CA1-ProS_Glut,Tubb5,-1,-1,0.105129056,0.26892823,0.62594277
CA1-ProS_Glut,Trpm3,1,1,0.087574996,0.11722767,0.7951973
CA1-ProS_Glut,Gm28375,-1,1,0.15450956,0.17941578,0.66607463
CA1-ProS_Glut,Brinp1,-1,-1,0.2180795,0.5629219,0.21899855
CA1-ProS_Glut,Adcy1,-1,-1,0.25435913,0.111025654,0.63461524
CA1-ProS_Glut,Prkca,-1,-1,0.40883532,0.17398395,0.41718072
CA1-ProS_Glut,Taf15,1,1,0.3042676,0.24884066,0.44689173
CA1-ProS_Glut,Nol4l,1,1,0.12051155,0.06836446,0.811124
CA1-ProS_Glut,Gpr107,1,1,0.18261304,0.08830059,0.72908634
CA1-ProS_Glut,Sestd1,1,1,0.13813612,0.14551815,0.7163458
CA1-ProS_Glut,Grb10,1,0,0.15462334,0.11684772,0.728529
CA1-ProS_Glut,Fbrs,1,1,0.38688406,0.20818697,0.404929
CA1-ProS_Glut,Inhba,-1,-1,0.14331026,0.21442485,0.64226484
CA1-ProS_Glut,Limch1,1,1,0.12009365,0.0897753,0.79013103
CA1-ProS_Glut,Far2,-1,-1,0.3913596,0.2042166,0.40442377
