cell_type,gene,DEG,pred,hic_loop,hic_abc_dmr,hic_abc_peak
CA1-ProS_Glut,Atxn3,0,1,0.020493967,0.118275344,0.8612307
CA1-ProS_Glut,Sdhc,0,0,0.0075288936,0.59549594,0.39697516
CA1-ProS_Glut,Eif3i,0,-1,0.122467816,0.75896335,0.11856885
CA1-ProS_Glut,Dab2ip,0,1,0.98426867,0.001417344,0.014313869
CA1-ProS_Glut,Mex3c,0,0,0.019945065,0.37195632,0.6080987
CA1-ProS_Glut,Tubd1,0,0,0.25725463,0.57724,0.16550538
CA1-ProS_Glut,Crebrf,0,1,0.8454068,0.061096154,0.09349702
CA1-ProS_Glut,Sclt1,0,1,0.054712202,0.08433918,0.8609486
CA1-ProS_Glut,Slc30a3,0,1,0.9207285,0.07283562,0.006435866
CA1-ProS_Glut,Lsm8,0,0,0.094298415,0.027031818,0.8786698
CA1-ProS_Glut,Atp6ap2,0,1,0.0238114,0.74269456,0.23349404
CA1-ProS_Glut,Plxna2,0,1,0.7589155,0.06432347,0.17676106
CA1-ProS_Glut,Pank3,0,1,0.04001828,0.0012714269,0.9587103
CA1-ProS_Glut,Fam189a2,0,1,0.008696386,0.23048744,0.76081616
CA1-ProS_Glut,Tmem175,0,0,0.21471967,0.62110615,0.16417421
CA1-ProS_Glut,Hpcal4,0,0,0.26889724,0.70404655,0.027056271
CA1-ProS_Glut,Nr2f2,0,0,0.029080916,0.96078014,0.010138853
CA1-ProS_Glut,Zbbx,0,1,0.121647894,0.2813117,0.5970404
CA1-ProS_Glut,Adamts3,0,1,0.6978495,0.02218697,0.27996352
CA1-ProS_Glut,Rps6ka2,0,1,0.7486354,0.00051886553,0.25084567
CA1-ProS_Glut,Rabac1,0,-1,0.22335082,0.7593652,0.017284011
CA1-ProS_Glut,Stxbp1,0,1,0.6393639,0.015540068,0.34509602
CA1-ProS_Glut,Exosc7,0,0,0.005943073,0.5097193,0.48433757
CA1-ProS_Glut,Trp53inp1,0,-1,0.11116372,0.8106451,0.078191206
CA1-ProS_Glut,Gm14858,0,1,0.025506401,0.007311729,0.96718186
CA1-ProS_Glut,Dcaf15,0,0,0.27291816,0.49305817,0.23402372
CA1-ProS_Glut,Smarcb1,0,1,0.15839937,0.5884698,0.25313082
CA1-ProS_Glut,Sidt2,0,1,0.82770354,0.15996568,0.012330787
CA1-ProS_Glut,Sema6b,0,1,0.79426235,0.13399222,0.071745425
CA1-ProS_Glut,Bnip2,0,-1,0.069868505,0.84499955,0.08513202
CA1-ProS_Glut,Vamp3,0,0,0.06278498,0.81107813,0.12613696
CA1-ProS_Glut,Gmeb2,0,1,0.021663016,0.5574682,0.42086884
CA1-ProS_Glut,Sec22c,0,1,0.38587034,0.10517232,0.5089574
CA1-ProS_Glut,Hcn3,0,1,0.78479815,0.1377893,0.0774126
CA1-ProS_Glut,Zfhx3,0,-1,0.50960255,0.0010276048,0.48936993
CA1-ProS_Glut,Slc38a2,0,0,0.026217926,0.9437563,0.030025803
CA1-ProS_Glut,Psmb3,0,0,0.26254556,0.53761405,0.19984037
CA1-ProS_Glut,Iffo2,0,1,0.19726667,0.00022944859,0.8025038
CA1-ProS_Glut,Ivd,0,-1,0.22507684,0.63070863,0.14421456
CA1-ProS_Glut,Gm2694,0,1,0.14261508,0.38716194,0.47022298
CA1-ProS_Glut,Snap91,0,1,0.09153199,0.00034414377,0.90812385
CA1-ProS_Glut,Pak7,0,1,0.7162182,0.015925243,0.26785663
CA1-ProS_Glut,Lrrcc1,0,1,0.002632313,0.1912036,0.8061641
CA1-ProS_Glut,Grm4,0,1,0.6988778,0.079824775,0.22129747
CA1-ProS_Glut,Wbp4,0,1,0.21225393,0.2422746,0.5454715
CA1-ProS_Glut,Mprip,0,1,0.6610224,0.016444625,0.32253295
CA1-ProS_Glut,1810058I24Rik,0,0,0.023166241,0.9569867,0.019846994
CA1-ProS_Glut,Zfp758,0,0,0.011949546,0.97532564,0.012724842
CA1-ProS_Glut,1700019D03Rik,0,1,0.39857766,0.120730564,0.4806918
CA1-ProS_Glut,Hyou1,0,-1,0.0072567803,0.0020802468,0.99066293
CA1-ProS_Glut,Alyref,0,-1,0.0072567803,0.0020802468,0.99066293
CA1-ProS_Glut,Jmjd6,0,0,0.0062569682,0.85718834,0.13655466
CA1-ProS_Glut,Polr3e,0,1,0.17656194,0.36738825,0.45604977
CA1-ProS_Glut,St5,0,1,0.5589684,0.014736665,0.42629483
CA1-ProS_Glut,Gm10130,0,0,0.1309098,0.71916246,0.1499277
CA1-ProS_Glut,Sec61b,0,0,0.024484886,0.7890337,0.18648137
CA1-ProS_Glut,1190007I07Rik,0,-1,0.0032994407,0.99078804,0.005912517
CA1-ProS_Glut,Chst15,0,1,0.87021273,0.11228959,0.017497743
CA1-ProS_Glut,Nme5,0,0,0.2382933,0.5750221,0.1866846
CA1-ProS_Glut,Pcdhb19,0,-1,0.0029977185,0.97324884,0.023753386
CA1-ProS_Glut,Mmab,0,1,0.05224031,0.16973463,0.7780251
CA1-ProS_Glut,Elmod3,0,1,0.22381836,0.06864844,0.7075332
CA1-ProS_Glut,Rpl4,0,-1,0.0044514784,0.98639375,0.00915481
CA1-ProS_Glut,Lgals8,0,0,0.24429427,0.702651,0.05305468
CA1-ProS_Glut,Tecpr1,0,1,0.36016777,0.4535857,0.18624648
CA1-ProS_Glut,Slc1a1,0,1,0.5301387,0.07067413,0.39918724
CA1-ProS_Glut,Mtg1,0,0,0.051371638,0.90144515,0.047183204
CA1-ProS_Glut,Rassf1,0,0,0.022177804,0.493731,0.4840912
CA1-ProS_Glut,Sugct,0,1,0.114314355,0.0032055269,0.88248014
CA1-ProS_Glut,Snx21,0,0,0.005760296,0.96541536,0.028824355
CA1-ProS_Glut,Suds3,0,0,0.123757966,0.85778236,0.01845971
CA1-ProS_Glut,Cfap70,0,1,0.908859,0.019769736,0.07137122
CA1-ProS_Glut,Slc1a4,0,1,0.0038367878,0.2745157,0.7216475
CA1-ProS_Glut,Tmem251,0,-1,0.058710635,0.0019724276,0.93931687
CA1-ProS_Glut,Cgrrf1,0,0,0.080945335,0.761859,0.1571956
CA1-ProS_Glut,4930579G18Rik,0,0,0.017387217,0.5559195,0.42669323
CA1-ProS_Glut,Nudt4,0,-1,0.075410634,0.8844242,0.040165078
CA1-ProS_Glut,B4galt2,0,0,0.21722296,0.72558016,0.05719686
CA1-ProS_Glut,Fam129b,0,1,0.9490184,0.018569961,0.032411665
CA1-ProS_Glut,Osbpl9,0,1,0.92308146,0.022977702,0.05394091
CA1-ProS_Glut,Fbxo44,0,-1,0.20468993,0.77231395,0.022996062
CA1-ProS_Glut,Lrrc14,0,0,0.5166525,0.31249726,0.1708502
