cell_type,gene,DEG,pred,atac
Oligo_NN,Ncln,0,-1,1.0
Oligo_NN,Prpf31,0,-1,1.0
Oligo_NN,Cd164,0,-1,1.0
Oligo_NN,Map6,0,0,1.0
Oligo_NN,Fryl,0,1,1.0
Oligo_NN,Zfp36l2,0,-1,1.0
Oligo_NN,Stmn2,0,1,1.0
Oligo_NN,Ccdc117,0,0,1.0
Oligo_NN,Stk3,0,1,1.0
Oligo_NN,Nutf2,0,-1,1.0
Oligo_NN,Rhobtb2,0,0,1.0
Oligo_NN,Rars2,0,0,1.0
Oligo_NN,Ccdc167,0,0,1.0
Oligo_NN,Phyhipl,0,0,1.0
Oligo_NN,Saysd1,0,-1,1.0
Oligo_NN,Mynn,0,0,1.0
Oligo_NN,U2surp,0,0,1.0
Oligo_NN,6330562C20Rik,0,-1,1.0
Oligo_NN,Spock1,0,1,1.0
Oligo_NN,Per2,0,0,1.0
Oligo_NN,Zfp868,0,0,1.0
Oligo_NN,Rabl2,0,-1,1.0
Oligo_NN,Heatr1,0,0,1.0
Oligo_NN,Tab2,0,0,1.0
Oligo_NN,Zfp239,0,-1,1.0
Oligo_NN,Parp8,0,0,1.0
Oligo_NN,Rab22a,0,-1,1.0
Oligo_NN,Acot9,0,0,1.0
Oligo_NN,Fam193a,0,0,1.0
Oligo_NN,Gdi2,0,0,1.0
Oligo_NN,Spaca6,0,-1,1.0
Oligo_NN,Cnot4,0,0,1.0
Oligo_NN,Mfsd6,0,0,1.0
Oligo_NN,Sgtb,0,0,1.0
Oligo_NN,Btbd7,0,0,1.0
Oligo_NN,Thsd7a,0,1,1.0
Oligo_NN,Dars2,0,0,1.0
Oligo_NN,Kmt2e,0,0,1.0
Oligo_NN,Hid1,0,-1,1.0
Oligo_NN,Mgat4c,0,1,1.0
Oligo_NN,Ipo11,0,1,1.0
Oligo_NN,Rb1,0,-1,1.0
Oligo_NN,Nfrkb,0,0,1.0
Oligo_NN,Zhx3,0,0,1.0
Oligo_NN,Prpf40b,0,0,1.0
Oligo_NN,Zbtb2,0,0,1.0
Oligo_NN,Polr3b,0,0,1.0
Oligo_NN,Asxl1,0,0,1.0
Oligo_NN,Lrrc45,0,-1,1.0
Oligo_NN,Nt5e,0,0,1.0
Oligo_NN,Arhgef12,0,1,1.0
Oligo_NN,Zscan18,0,0,1.0
Oligo_NN,Hadh,0,0,1.0
Oligo_NN,Fopnl,0,-1,1.0
Oligo_NN,Rbm3,0,0,1.0
Oligo_NN,Dis3l2,0,1,1.0
Oligo_NN,Grb2,0,-1,1.0
Oligo_NN,Trmt61b,0,0,1.0
Oligo_NN,Wdr25,0,1,1.0
Oligo_NN,Trappc3,0,-1,1.0
Oligo_NN,Tmem170b,0,0,1.0
Oligo_NN,Ash1l,0,1,1.0
Oligo_NN,Terf2ip,0,-1,1.0
Oligo_NN,Tfdp1,0,-1,1.0
Oligo_NN,Fbxo7,0,0,1.0
Oligo_NN,2310058D17Rik,0,-1,1.0
Oligo_NN,Arntl,0,0,1.0
