start,end,2mo,9mo,18mo,gene_start,gene_end,gene_name,distance
3378720,3379131,0.64,0.66,0.44,3373556,3379788,RP23-317L18.3,1068
3378720,3379131,0.64,0.66,0.44,3203901,3673498,Xkr4,174819
3429057,3429085,0.62,0.82,0.85,3203901,3673498,Xkr4,225156
4526996,4527107,0.81,0.97,0.75,4527017,4531123,Gm22307,21
4526996,4527107,0.81,0.97,0.75,4520905,4528737,RP23-285G23.3,1741
6805432,6805475,0.87,0.76,0.66,6485231,6862940,St18,57508
7105512,7105543,0.62,0.44,0.37,7086920,7175628,Pcmtd1,18592
7148771,7148834,0.61,0.8,0.82,7146110,7154137,WI1-817D1.2,2661
7148771,7148834,0.61,0.8,0.82,7086920,7175628,Pcmtd1,26857
8410877,8410896,0.57,0.28,0.55,8359475,9301878,Sntg1,51402
9966939,9967005,0.42,0.23,0.45,9965314,9970687,RP23-228G18.3,1625
9966939,9967005,0.42,0.23,0.45,9966624,10011136,Ppp1r42,315
9966939,9967005,0.42,0.23,0.45,9958163,9969932,Tcf24,2993
10005262,10005478,0.72,0.78,0.54,9966624,10011136,Ppp1r42,5874
10087499,10087602,0.45,0.44,0.23,10035987,10138768,Cspp1,51269
10112464,10112472,0.95,0.74,0.88,10035987,10138768,Cspp1,26304
11169339,11169359,0.42,0.33,0.15,10991465,11305681,Prex2,136342
12799956,12800015,0.79,0.87,0.64,12690277,12863192,Sulf1,63236
12832852,12833259,0.27,0.19,0.04,12690277,12863192,Sulf1,30340
12877919,12877926,0.42,0.34,0.2,12864549,12994650,Slco5a1,13370
12963144,12963580,0.59,0.61,0.8,12864549,12994650,Slco5a1,31506
13057774,13057786,0.61,0.62,0.41,13057401,13061951,RP24-178B14.2,373
13217605,13217647,0.6,0.46,0.36,13137105,13376083,Ncoa2,80500
13219690,13219711,0.53,0.36,0.31,13137105,13376083,Ncoa2,82585
13236018,13236037,0.45,0.38,0.17,13137105,13376083,Ncoa2,98913
13236018,13236037,0.45,0.38,0.17,13232809,13238434,RP23-93D12.1,2416
13253711,13253774,0.66,0.47,0.73,13137105,13376083,Ncoa2,116606
13312635,13312712,0.4,0.33,0.2,13137105,13376083,Ncoa2,63448
13314633,13314649,0.54,0.44,0.26,13137105,13376083,Ncoa2,61450
13627580,13627603,0.84,0.77,0.61,13621330,13662546,Lactb2,6250
13627646,13627725,0.78,0.66,0.53,13621330,13662546,Lactb2,6316
14192824,14192833,0.64,0.73,0.46,14166954,14312235,Eya1,25870
14232100,14232277,0.66,0.46,0.5,14166954,14312235,Eya1,65146
15292536,15292555,0.31,0.19,0.09,15285254,15725750,Kcnb2,7282
15656959,15657069,0.29,0.18,0.07,15285254,15725750,Kcnb2,68791
15711213,15711329,0.61,0.31,0.39,15285254,15725750,Kcnb2,14537
15820670,15820709,0.5,0.29,0.33,15803646,15846052,Terf1,17024
16229742,16229755,0.46,0.59,0.27,16226506,16246062,Gm28095,3236
16229742,16229755,0.46,0.59,0.27,16226674,16522112,Stau2,3068
16253909,16253961,0.71,0.59,0.42,16226674,16522112,Stau2,27235
16253909,16253961,0.71,0.59,0.42,16251592,16269921,Gm7568,2317
16558638,16558648,0.66,0.7,0.4,16538790,16621489,Ube2w,19848
16702956,16702980,0.56,0.49,0.2,16686051,16711611,Ly96,8655
16757132,16757176,0.83,0.67,0.54,16756205,16760623,Gm29649,927
17008103,17008134,0.6,0.34,0.33,16896185,17093631,Gm28376,85528
17008103,17008134,0.6,0.34,0.33,16962560,17099889,Jph1,45543
18129723,18129990,0.81,0.65,0.57,18113191,18147902,Crisp4,16532
20311056,20311125,0.8,0.75,0.58,20055779,20620064,Pkhd1,255277
20471029,20471048,0.83,0.87,0.6,20055779,20620064,Pkhd1,149035
21035208,21035292,0.65,0.42,0.41,20994299,21081229,Tram2,40909
21236698,21236731,0.38,0.43,0.15,21232722,21238821,RP23-278E1.4,2123
21456602,21456690,0.69,0.5,0.44,21452691,21459017,RP24-496H1.1,2415
21456602,21456690,0.69,0.5,0.44,21396403,21963942,Kcnq5,60199
21468238,21468616,0.74,0.59,0.5,21396403,21963942,Kcnq5,71835
21490275,21490389,0.6,0.36,0.29,21396403,21963942,Kcnq5,93872
21507012,21507055,0.48,0.36,0.27,21396403,21963942,Kcnq5,110609
21648816,21648827,0.83,0.62,0.62,21396403,21963942,Kcnq5,252413
21672001,21672024,0.73,0.55,0.32,21396403,21963942,Kcnq5,275598
22312271,22312286,0.64,0.67,1.0,22284251,22807724,Rims1,28020
22334277,22334328,0.61,0.8,0.57,22284251,22807724,Rims1,50026
22573308,22573313,0.68,0.6,0.41,22284251,22807724,Rims1,234416
22620642,22620837,0.33,0.25,0.11,22284251,22807724,Rims1,187082
23060237,23060253,0.55,0.36,0.25,23046295,23237673,Gm29506,13942
23102847,23102948,0.54,0.56,0.28,23098473,23104253,4933415F23Rik,1406
23102847,23102948,0.54,0.56,0.28,23046295,23237673,Gm29506,56552
23849723,23849834,0.62,0.52,0.32,23759753,23851158,B3gat2,1435
23849723,23849834,0.62,0.52,0.32,23842846,23924317,Smap1,6877
23885352,23885365,0.26,0.5,0.09,23842846,23924317,Smap1,38965
24024854,24024927,0.4,0.21,0.16,24009093,24102341,Fam135a,15761
24280320,24280433,0.73,0.78,0.57,24259890,24589472,Col19a1,20430
24453683,24453688,0.83,0.7,1.0,24259890,24589472,Col19a1,135789
24539321,24539346,0.7,0.6,0.47,24259890,24589472,Col19a1,50151
31028976,31029077,0.62,0.55,0.4,31017188,31098454,Gm29669,11788
31096179,31096384,0.57,0.36,0.23,31017188,31098454,Gm29669,2275
31260364,31260399,0.41,0.25,0.18,31257593,31261719,Gm26145,1355
31260924,31260966,0.51,0.38,0.24,31257593,31261719,Gm26145,795
32298183,32298751,0.81,0.67,0.96,32170714,32660568,Khdrbs2,127469
32412818,32412905,0.78,0.84,0.56,32170714,32660568,Khdrbs2,242104
32421653,32421670,0.63,0.63,0.38,32170714,32660568,Khdrbs2,238915
32470588,32470670,0.46,0.33,0.24,32170714,32660568,Khdrbs2,189980
32471188,32471279,0.4,0.22,0.16,32170714,32660568,Khdrbs2,189380
32503715,32503745,0.39,0.36,0.15,32170714,32660568,Khdrbs2,156853
33523651,33523660,0.48,0.21,0.21,33451810,33671795,Prim2,71841
33584325,33584429,0.62,0.42,0.38,33451810,33671795,Prim2,87470
33610428,33610452,0.45,0.46,0.2,33451810,33671795,Prim2,61367
33724835,33724940,0.62,0.75,0.53,33717887,33744564,Rab23,6948
33733194,33733369,0.68,0.47,0.39,33717887,33744564,Rab23,11370
33746960,33747150,0.65,0.47,0.42,33746007,33750347,RP23-32P22.1,953
33746960,33747150,0.65,0.47,0.42,33743484,33759795,Bag2,3476
33776413,33776437,0.48,0.38,0.23,33759545,33816595,Zfp451,16868
33891615,33891664,0.52,0.4,0.25,33887490,33893117,RP23-32P22.2,1502
33891615,33891664,0.52,0.4,0.25,33850052,33909816,Bend6,18201
33892118,33892225,0.39,0.34,0.11,33887490,33893117,RP23-32P22.2,999
33892118,33892225,0.39,0.34,0.11,33850052,33909816,Bend6,17698
33892460,33892467,0.34,0.1,0.1,33887490,33893117,RP23-32P22.2,657
33892460,33892467,0.34,0.1,0.1,33850052,33909816,Bend6,17356
33892660,33892674,0.75,0.61,0.46,33887490,33893117,RP23-32P22.2,457
33892660,33892674,0.75,0.61,0.46,33850052,33909816,Bend6,17156
33928250,33928333,0.4,0.24,0.13,33906225,34310661,Dst,22025
33928250,33928333,0.4,0.24,0.13,33906272,34309592,AC123072.1,21978
33928546,33928692,0.88,0.81,0.68,33906225,34310661,Dst,22321
33928546,33928692,0.88,0.81,0.68,33906272,34309592,AC123072.1,22274
33930616,33930691,0.8,0.7,0.56,33906225,34310661,Dst,24391
33930616,33930691,0.8,0.7,0.56,33906272,34309592,AC123072.1,24344
33980361,33980374,0.7,0.51,0.41,33979410,33983502,Gm23792,951
33980361,33980374,0.7,0.51,0.41,33906225,34310661,Dst,74136
33980361,33980374,0.7,0.51,0.41,33906272,34309592,AC123072.1,74089
33989916,33989963,0.64,0.35,0.44,33906225,34310661,Dst,83691
33989916,33989963,0.64,0.35,0.44,33906272,34309592,AC123072.1,83644
33997666,33997669,0.72,0.94,0.87,33906225,34310661,Dst,91441
33997666,33997669,0.72,0.94,0.87,33906272,34309592,AC123072.1,91394
34110111,34110164,0.49,0.47,0.25,33906225,34310661,Dst,200550
34110111,34110164,0.49,0.47,0.25,33906272,34309592,AC123072.1,199481
34143371,34143412,0.82,0.79,0.61,33906225,34310661,Dst,167290
34143371,34143412,0.82,0.79,0.61,33906272,34309592,AC123072.1,166221
34202763,34202779,0.65,0.46,0.4,33906225,34310661,Dst,107898
34202763,34202779,0.65,0.46,0.4,33906272,34309592,AC123072.1,106829
34274151,34274158,0.93,0.78,0.72,33906225,34310661,Dst,36510
34274151,34274158,0.93,0.78,0.72,33906272,34309592,AC123072.1,35441
34585249,34585306,0.64,0.43,0.47,34577657,34592944,Amer3,7592
