,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,DEG
Lrrtm3,0.0442312202161987,-0.650162621050013,0.039,0.057,1.0,0
Trpv2,0.0442777203769118,-0.466045890528474,0.035,0.047,1.0,0
Nphp1,0.0442914832269925,-0.423511846689919,0.042,0.057,1.0,0
Aip,0.0443853806956091,-0.786502598199168,0.012,0.022,1.0,0
Twsg1,0.0444695762542937,-0.582725855030067,0.023,0.034,1.0,0
Clec2l,0.0444848169964146,-0.712555450894581,0.02,0.033,1.0,0
2410002F23Rik,0.044492713841478,-0.472962288804525,0.028,0.04,1.0,0
Lmbrd1,0.0445462105101433,-0.174607769691014,0.211,0.23,1.0,0
Alg12,0.0445516220411417,-0.516804462084363,0.021,0.031,1.0,0
Dpysl3,0.0445863693998035,-0.357659299395294,0.089,0.113,1.0,0
Zfp82,0.0445924481283142,-0.774677162802379,0.013,0.024,1.0,0
Zfp365,0.0445931920934121,-0.434827159917754,0.031,0.042,1.0,0
Klf6,0.0446113120383202,-0.574378512316548,0.013,0.021,1.0,0
Nt5dc1,0.04466058341158,-0.341717755526272,0.077,0.096,1.0,0
Atg16l2,0.0446949061961219,-0.514782464499152,0.034,0.05,1.0,0
Vps45,0.044736911241783,-0.240022358456921,0.128,0.15,1.0,0
Trhr,0.0447977687406418,-0.914607423946854,0.023,0.043,1.0,0
Phf6,0.0448905188899383,-0.119325334189825,0.139,0.159,1.0,0
Gm27040,0.0449328287953471,1.48835724303142,0.011,0.004,1.0,0
0610040B10Rik,0.0449333014406272,-0.720229378780002,0.01,0.017,1.0,0
Wdr3,0.0450630619544811,-0.56411017686272,0.027,0.039,1.0,0
Tpcn1,0.0450990259633622,-0.32379584752901,0.056,0.07,1.0,0
Cpne9,0.0452315453253602,0.28894478919994,0.254,0.21,1.0,0
Erap1,0.0452718299678952,-0.57119960164904,0.02,0.03,1.0,0
Slc2a9,0.0453541204693521,-0.695354710140973,0.018,0.03,1.0,0
Atp5g2,0.0453633578017512,-0.387521445139397,0.04,0.055,1.0,0
Galk2,0.0453757112328804,-0.21047322224802,0.104,0.124,1.0,0
Itgb8,0.0453942422173929,-0.745073449757481,0.02,0.034,1.0,0
Tmem184c,0.045467225291113,-0.45134224670077,0.04,0.052,1.0,0
Taf5,0.0455079463826448,-0.821710696645886,0.013,0.023,1.0,0
Pianp,0.0455139427582863,-0.427109246756917,0.027,0.038,1.0,0
Smox,0.0456876901014295,-0.341717755526273,0.045,0.057,1.0,0
Echdc2,0.0456922996700672,-0.200361906280731,0.047,0.059,1.0,0
Slc9a5,0.045758412099577,-0.966208620434066,0.008,0.016,1.0,0
Cct4,0.0457717882394801,-0.332557756240796,0.055,0.069,1.0,0
Gm13563,0.0457738848169865,-1.2592555953343,0.006,0.015,1.0,0
Vps37b,0.0457835424441399,-0.353305729801484,0.042,0.054,1.0,0
Mdga1,0.0458586603372433,0.296263127494375,0.322,0.271,1.0,0
Fars2,0.0460880833411151,-0.178421492549864,0.344,0.387,1.0,0
Hsdl2,0.0461043159331399,-0.777816870332946,0.011,0.018,1.0,0
Becn1,0.0461458550876816,-0.296274784765105,0.088,0.109,1.0,0
Mul1,0.0461612197746433,-0.969748978139314,0.007,0.015,1.0,0
Tcea1,0.0461954469626054,-0.252908488568416,0.134,0.157,1.0,0
AU022252,0.0462338437431459,-0.720229378780003,0.016,0.028,1.0,0
Pcdhb22,0.0463000832246258,-0.926680256247428,0.007,0.014,1.0,0
Rad51ap2,0.0464290334875353,-0.520054996784785,0.026,0.038,1.0,0
Snx19,0.0464334545722869,-0.268654293336549,0.054,0.067,1.0,0
Lrguk,0.0464678068610632,-0.377341665256994,0.012,0.018,1.0,0
Frmpd3,0.046595602674422,-0.354391585561383,0.103,0.124,1.0,0
Cmya5,0.0466348633634868,-0.584574279422435,0.019,0.03,1.0,0
Cpm,0.0467064913271774,0.528025858522386,0.128,0.102,1.0,0
Pef1,0.0470078509894585,-0.548168632993699,0.017,0.026,1.0,0
L3hypdh,0.0470085224149972,-0.973985971025786,0.006,0.013,1.0,0
Zswim7,0.0470810736510786,-0.324843936961876,0.028,0.038,1.0,0
Myh10,0.0471391295509189,-0.164839993442193,0.176,0.191,1.0,0
Nucks1,0.047139444751613,-0.241190879572308,0.104,0.122,1.0,0
Ola1,0.047140943839004,-0.17179275408396,0.326,0.352,1.0,0
Tm7sf3,0.0472587482555376,-0.196901202674491,0.059,0.07,1.0,0
Zfp449,0.0474088558449176,-0.76798251022837,0.011,0.018,1.0,0
Pik3c3,0.0475281082667951,-0.207175632147444,0.102,0.115,1.0,0
Tex15,0.0476043592224532,-1.06418377999736,0.006,0.014,1.0,0
Foxk1,0.0476445232169763,-0.225308263410962,0.09,0.102,1.0,0
Urm1,0.0476716733444625,-0.499259032512753,0.027,0.039,1.0,0
Ankrd42,0.047786945941264,-0.285864520792755,0.107,0.13,1.0,0
Gm10501,0.0478546763813752,-0.231534837775849,0.021,0.028,1.0,0
Whrn,0.0479214674967536,-0.149072677583876,0.01,0.012,1.0,0
Zmiz1os1,0.047986531706931,-0.702465099304162,0.025,0.043,1.0,0
Dnajc21,0.0479871381981624,-0.237766791487364,0.125,0.145,1.0,0
Tspan33,0.0480770000014557,-0.734035178305033,0.021,0.036,1.0,0
Atg9a,0.0481242388431389,-0.318756607082961,0.066,0.08,1.0,0
Alg11,0.0481963022056601,-0.677320787310712,0.014,0.022,1.0,0
Rpl15,0.0482023194884298,0.492272293034799,0.053,0.04,1.0,0
Mok,0.0482063004701506,-0.42625126573794,0.038,0.052,1.0,0
Kcnk12,0.04835389208022,-0.474984286389737,0.021,0.03,1.0,0
Ccdc91,0.0485068253566074,-0.383887209770212,0.08,0.101,1.0,0
Dhx9,0.0485173735487623,-0.159301809900763,0.177,0.193,1.0,0
Abcc10,0.0486955671107408,-0.856290928356031,0.009,0.017,1.0,0
Chsy3,0.048789596983423,-0.687492592368002,0.013,0.022,1.0,0
Ube2g1,0.048900944258861,0.101145004365185,0.416,0.378,1.0,0
Pes1,0.0489327767256284,-1.11932533418983,0.004,0.01,1.0,0
Snx2,0.0489630003317405,-0.203934612618395,0.173,0.193,1.0,0
Gm28153,0.0490211709015382,0.558746570922813,0.027,0.02,1.0,0
Iffo2,0.0490738073375542,-0.341717755526272,0.038,0.048,1.0,0
Asxl2,0.0491503282417202,-0.156502883059365,0.259,0.283,1.0,0
Rps18,0.0491615961370842,0.76325180407527,0.037,0.023,1.0,0
Egln1,0.049262218615811,-0.299073418117779,0.068,0.085,1.0,0
Dstyk,0.0492978862544075,-0.209702839872214,0.151,0.171,1.0,0
Zfp644,0.0492986773233905,-0.129173120146172,0.323,0.342,1.0,0
