,DEG,pred
Meg3,0,1
Tsix,2,2
Cacna1a,0,0
Slc17a7,0,0
Grin1,0,0
Ube3a,2,2
Tmem132a,0,0
Snrnp70,0,0
Rnf112,0,0
Grik5,0,0
Matk,0,0
Mapt,0,0
Garnl3,0,0
Pabpn1,0,0
Lmo4,0,1
Srcin1,0,0
Csmd2,0,0
Syt7,0,0
Nrg3os,2,2
Ptprn,0,0
Rbfox3,0,0
Igsf21,0,0
Srrm3,0,0
Adcy1,0,0
Miat,0,0
Dlg4,0,0
Cdk9,0,0
Olfm1,0,0
Kcnq2,0,0
Tmem63b,0,0
Atp6v0b,0,0
Pde4a,0,0
Lmtk3,0,0
Dgkz,0,0
Cpt1c,0,0
Celf4,0,0
Sv2a,0,0
Camkv,0,0
Sez6,0,0
Syt11,0,0
Lztr1,0,0
Rasal1,0,0
Pacsin1,0,0
Celf5,0,0
Elavl3,0,0
Sdk2,0,0
Zbtb20,2,2
Rundc3a,0,0
Baiap2,0,0
Rph3a,0,0
Prkcg,0,0
Nav2,0,0
Kifc2,0,0
Fgfr2,2,2
Plekhg5,0,0
Pde2a,0,0
Nptx1,0,0
Atp2b2,0,0
Sorbs2os,2,2
Camk2a,0,0
Shank1,0,0
Efhd2,0,0
Ephb6,0,0
Camk2b,0,0
Atp1a3,0,0
Prkcb,0,0
Unc13a,0,0
Nrbp2,0,1
Col23a1,0,0
Grin2b,1,0
Grik3,0,0
Sez6l,0,0
AY036118,2,2
Rab26,0,0
Scn8a,0,0
Sptbn4,0,0
Dlgap4,0,0
Gabbr2,0,0
Gm26917,1,1
Gse1,0,0
Camta2,0,0
Kcnb1,0,0
Nsmf,0,0
Thra,0,0
Nisch,0,0
Hs3st2,0,0
Gdi1,0,1
Ccnd2,0,0
Ctnna3,2,2
Srrm4,0,0
Crym,0,0
Phkg2,0,1
Dnmt3a,0,0
Ank3,1,2
Prickle1,1,0
Sptbn2,0,0
Celf3,0,0
Zfp523,0,0
Exoc4,2,2
Pkd1,0,0
Jph4,0,0
Madd,0,0
Ndst1,0,0
Ptms,0,0
Kalrn,1,2
Eif4g1,0,0
Nos1ap,0,0
Tmem178,0,0
Chrm1,0,0
Tmem259,0,0
Galnt9,0,0
Atp1a1,0,0
Slc1a2,0,0
Wnk2,0,0
Npdc1,0,0
Syp,0,0
Ap2a1,0,0
Cacna1d,1,0
Dctn1,0,0
Gpatch8,0,0
Chd3,0,0
Flna,0,0
Mark2,0,0
Cckbr,0,0
Mast1,0,0
Lrp1b,2,2
Twf2,0,0
Slc9a9,2,2
Rasal2,2,2
Stx1a,0,0
Gria3,1,1
Thy1,0,0
B3gat1,0,0
Acin1,0,0
