,DEG,pred
Meg3,2,2
Grin1,2,2
Xist,2,2
Cpne4,0,0
Nrg3os,0,0
Trhde,0,0
Hs3st4,0,0
Cachd1,0,0
Epha7,0,0
Clstn2,0,0
Gls,0,0
Mapt,2,2
Cacna2d3,0,0
Ccbe1,0,0
Zbtb20,1,0
Cacna1e,0,0
Slc1a2,0,0
Epha5,0,0
Grm1,0,0
Epha4,0,0
Ube3a,0,0
Snrnp70,2,2
Dpf3,0,0
Grik4,0,0
Pabpn1,2,2
Chgb,0,0
Fstl5,0,0
Gm10754,2,2
Srsf5,2,1
Sptbn4,2,2
Elavl3,2,2
Matk,2,2
Chrm3,0,0
Nell2,1,0
Cdk9,2,2
Epha3,0,0
Ephb1,0,0
Raver2,0,0
Enox1,1,0
Robo1,0,0
Rasgrp1,0,0
Dok6,0,0
Pde4d,0,0
Robo2,0,0
Akap8l,2,2
Slc24a2,1,0
Nrg3,1,0
Plcl1,0,0
Atp1b1,0,0
Ndrg4,2,2
Trps1,0,0
Cdk14,1,1
Stxbp5l,1,0
Pkp2,0,0
Camk1d,1,0
Ptprs,2,2
Sema3e,0,0
Gm28750,0,0
R3hdm4,2,2
Rnf112,2,2
Dgkz,2,2
Asph,0,0
Kcnt2,1,0
5330438D12Rik,0,0
Sh3gl2,1,1
Pigk,0,0
Gm13269,0,0
Gigyf1,2,2
Zfp385b,1,0
Grid2,2,2
Cdh8,0,0
Schip1,1,0
P2ry14,0,0
Nxf1,2,2
Fus,2,2
Magi2,1,0
Celf3,2,2
Grin2b,1,1
Kdm5c,2,2
Cpt1c,2,2
Tsc22d1,0,0
Gm4924,2,2
Gm20642,0,0
Kcnc2,1,0
Etnk1,0,0
Srrm3,2,2
Cadm2,0,0
4921534H16Rik,0,0
Srgap3,1,1
Cdh11,1,0
Chn1,0,0
Neurod6,0,0
Sbf2,2,2
Atxn2l,2,2
Fstl4,0,0
Kcnq1ot1,1,2
Birc6,1,1
Zmym3,2,1
Snhg11,1,2
Nrbp2,2,2
Shisa6,1,0
Pacsin1,2,2
Rsrp1,2,1
Tanc1,1,0
Calm1,0,0
Fth1,0,0
Casc3,2,2
Pcdh9,1,0
Cdh9,1,1
Cpne7,2,2
Dtx3,2,2
Samd5,0,0
Zcchc7,1,0
Khdrbs3,1,0
2310002F09Rik,0,0
Cadm1,2,2
Epha6,1,0
Prickle2,1,0
Cpe,1,1
Galnt13,2,2
Snx32,2,2
Ctnna2,1,0
Gm28376,0,0
Pcyt2,2,2
Pde2a,2,2
Atp2b2,0,0
Nav3,1,0
Far1,0,0
4930402H24Rik,1,1
Chd8,2,2
Gm4258,0,0
Fut8,0,0
Sh3glb2,2,2
Amph,1,0
Zswim8,2,2
Dlgap1,1,0
Sirt2,2,2
Smg5,2,2
Mbd6,2,2
Rbbp4,2,2
Thsd7b,1,0
Camkv,2,2
Dnmt3a,2,2
Gripap1,2,1
Palm,2,2
Tenm4,2,2
9630028H03Rik,0,0
Syne1,2,2
Agap2,2,2
Tspan5,0,0
Caln1,2,2
Atp6v0a1,1,1
Slc17a7,1,2
Aifm3,2,2
Rnf182,1,0
Arhgap23,2,2
Cacna1c,1,1
Dennd5b,2,2
Agfg2,2,2
Grin2a,1,0
Rundc3a,2,2
Akt3,1,0
Nav2,1,1
Arhgef2,2,2
Klc2,2,2
Brinp1,1,0
Safb2,2,2
Lats2,0,0
Pex5l,2,2
Cdk17,2,2
Wasf1,1,1
Rasgrf1,1,1
Cacna1i,2,2
Gbf1,2,2
Nck2,0,0
Map4k2,2,2
Xkr4,1,0
Aatk,2,2
Grm7,1,1
Man2a2,2,2
Rbm25,2,2
Adamts3,0,0
Smarcc2,2,2
Capn15,2,2
Acadsb,2,2
Ptpre,2,2
Pclo,1,1
Cul9,2,2
Celf5,2,2
B130024G19Rik,2,2
Golm1,0,0
Mast3,2,2
Nemf,2,2
Ywhag,0,0
Nrxn3,1,0
Stmn2,0,0
Sez6,2,2
Hectd2,0,0
Kifc2,2,2
Sema5a,0,0
Itga8,2,2
Nop56,2,2
Gatm,2,2
Chrd,2,2
Mark2,2,2
Rtn1,0,0
Kif1b,1,2
Fam189a1,2,2
Banf2,2,2
Lin28b,2,2
Syt17,2,2
Rap1gap,2,2
Clk1,2,2
Phlpp1,2,2
Riok1,2,2
5330434G04Rik,2,1
Crocc,2,2
Dync1i2,1,1
Celf4,1,0
Rogdi,2,2
Sars,2,2
Sorbs1,1,1
Mapk10,1,0
Cpne6,2,2
Ano3,0,0
Eya3,2,2
Tmem63b,2,2
Cck,0,0
Tom1l2,2,2
Pias1,2,2
Cherp,2,2
Sbf1,2,2
Cyfip2,0,0
Tmem108,1,1
Gtpbp2,2,2
