,DEG,pred
Nr6a1,2,2
Ralyl,2,2
Gpc5,2,2
Skap2,2,2
Cdh18,2,2
Scel,2,2
Pbx3,2,2
Pcdh9,1,2
Ebf1,2,2
Mgat4c,2,2
Dmd,1,2
Xist,0,0
Nfib,2,2
Sema3e,2,2
Cntn4,1,1
Oxr1,2,2
Gria1,0,0
Hs6st3,0,0
Ryr2,0,0
Plce1,2,2
Dlg2,1,0
Lrrc4c,1,1
Cdh19,2,2
Slit3,0,0
Caln1,0,0
Slc24a2,1,1
Cpq,2,2
Clstn2,0,0
Schip1,0,0
Robo2,0,0
Grm1,0,0
Tenm4,0,0
Rhoj,2,2
Cntnap5a,0,0
Grin2a,1,1
Celf4,0,0
Utrn,2,2
Ano3,0,0
Atrnl1,1,2
Mctp1,1,0
Zbtb20,1,1
Spock3,1,0
A230006K03Rik,0,0
Cobl,2,2
Epha6,1,0
Etl4,0,0
Zfp385b,0,0
Pcsk1n,0,0
Cd9,0,0
Tcf12,1,1
Arap2,2,2
Kcnd2,1,0
Grik2,1,0
Meg3,1,1
Pcsk2,1,1
Kcnb2,1,1
Cdh8,1,2
C1ql1,0,0
Hcn1,0,0
Rian,1,1
Mir99ahg,1,1
Rbfox3,0,0
Galntl6,1,2
Cntn5,1,1
Rcan2,2,2
Kdm6a,2,2
Eya1,2,2
Ctnnd2,1,1
Syt1,1,0
Rpl13,0,0
Nckap5,1,2
Nova1,2,2
Grb14,2,2
Csmd3,1,2
Camk2a,0,0
Csmd1,1,1
Unc5d,0,0
Egfem1,1,1
Brinp3,1,1
Cacna1e,1,0
Klhl4,2,2
Aff3,0,0
Agbl4,1,1
Cpeb1,2,2
Camk1d,1,0
Maf,2,2
Cntn1,1,1
Ar,2,2
Arhgef28,2,2
Snap25,1,1
Grid2,1,1
Lrp1b,1,1
Nell2,0,0
Grm3,1,1
Cacna2d1,1,0
Cdk19,2,2
Slc35f1,1,0
Rorb,2,2
Kcnq5,1,1
Epha7,1,2
Asic2,1,1
Nebl,1,0
Syt14,2,2
6030407O03Rik,2,2
A830018L16Rik,0,0
Map1b,1,1
Dab1,1,1
Hs3st4,0,0
Fign,2,2
Gulp1,2,2
Grip1,1,1
Cd81,0,0
Tenm3,1,1
Fchsd2,1,1
Plxna4,0,0
Bcl2,2,2
Rgs20,2,2
Grin2b,1,1
Mitf,2,2
Dscam,1,1
Stxbp5l,1,1
Nrg1,1,1
Plp1,2,2
Sncaip,2,2
Fmn1,2,2
Klhl29,0,0
Nr3c2,1,1
Ptprn2,1,1
Kctd8,2,2
Rasgef1b,2,2
Rps8,0,0
Dync1i1,1,1
Map4k4,1,2
Npas3,1,1
Cst3,0,0
Maml3,2,2
Gpr37l1,0,0
Fstl4,2,2
Rora,1,2
Plcl1,1,1
Dach2,2,2
Adk,2,2
Ppp2r3a,2,2
Msi2,1,1
Arhgap5,2,2
Prickle1,1,1
Hdac9,1,2
Xkr4,1,1
Spock1,1,2
Sgcd,1,1
Il1rapl1,1,2
Akt3,1,1
Kcnh7,1,0
Arl6ip1,0,0
Pex5l,1,1
Ndst3,2,2
Plekha5,1,1
Pde8a,2,2
Kank1,1,2
