,DEG,pred
Nrg1,2,2
Snhg11,2,2
Zfp804b,2,2
Xist,2,2
Nrxn3,2,2
Camk2d,2,2
Meg3,2,2
Rfx3,0,0
Grin2a,0,0
Zbtb20,0,0
Rbfox1,0,0
Grin1,2,2
Egfem1,0,0
Fgf14,0,0
Slc4a4,0,0
Plxna4,0,0
Gm15738,0,1
Il1rapl1,1,2
Cacna1e,0,0
Nell2,0,0
Auts2,1,0
Nrg3os,0,1
Cdh8,0,0
Nrg3,1,1
Unc5d,2,2
Negr1,0,0
Maml2,0,0
Cacna1c,0,0
Nlgn1,1,1
Cyp7b1,0,0
Dok6,0,0
Robo1,0,1
Dscam,0,0
Gm28376,0,0
Kcnq1ot1,2,2
Pcdh15,0,2
Grm8,2,2
Ahcyl2,0,0
Ntrk3,0,0
Fth1,0,0
Kcnd2,1,1
Prkce,0,0
Dmd,2,2
Calm1,0,0
AY036118,0,0
Atp1b1,0,0
Grin2b,1,0
Mapt,2,2
Tmem132d,2,2
Cmss1,0,2
Dab1,1,0
Plcl1,0,0
5330438D12Rik,0,1
Lrp1b,1,1
Kcnj6,0,0
Tspan18,0,0
Kcnt2,0,0
Hsp90ab1,0,0
Erc2,1,0
Eef1a1,0,0
Celf2,1,0
Pard3,0,0
Ptchd4,0,1
Cdh9,0,1
Nebl,0,0
Sema5a,0,0
Rasal2,0,0
Pgbd5,0,0
Grid1,0,1
Il1rap,0,0
Tiam1,0,0
Kcnj3,0,0
Rgs6,0,1
Pigk,0,1
Chst9,0,0
Atp6v0c,0,0
2010300C02Rik,0,0
Sphkap,0,0
Tmsb4x,0,0
Tenm1,0,2
Rplp1,0,0
Gabrb3,1,0
Snrnp70,2,2
Kirrel3,0,0
Sorcs2,0,0
Dlg2,1,1
Tnr,0,0
Epha7,0,1
Zbtb16,0,0
Rbm25,2,2
Rpl13,0,0
Adamts17,0,1
Slc44a5,0,0
Glis3,0,0
Lrfn5,1,0
Osbp2,0,0
Ubb,0,0
Rasgrf2,0,0
Lrrtm4,1,1
Jph1,0,0
Rtn1,0,0
Pdzd2,0,0
Pcdh7,2,2
Ptpro,0,0
Prox1,0,0
Nrxn1,1,1
Rps2,0,2
Ptprg,0,0
