,DEG,pred
Mal,0,0
Dpyd,2,2
Fth1,0,0
Scd2,0,0
Neat1,2,2
Abca8a,2,2
Aplp1,0,0
9330111N05Rik,2,2
Ptgds,0,0
Cldn11,0,0
Cd81,0,0
Cnp,0,0
Actb,0,0
Cryab,0,0
Cdh8,2,2
Syt11,0,1
Itm2b,0,0
Sorcs1,2,2
Spock3,2,2
Ubb,0,0
Snca,2,2
Man1a,0,0
Eya4,2,2
A530053G22Rik,2,2
Plp1,0,0
Robo1,2,2
Mbp,0,0
March1,2,2
Dgki,2,2
Nav3,2,2
Lrrc4c,2,2
Csmd3,2,2
Mdga2,2,2
Edil3,2,2
Magi2,1,2
Nkain2,1,1
Tuba1a,0,0
Lamp1,0,0
Ckb,0,0
Tmsb4x,0,0
Mobp,0,0
Tmem132d,2,2
7630403G23Rik,2,2
Trf,0,0
Sbf1,0,0
Mag,0,0
Gsn,0,0
Synpr,0,0
Ccser1,2,2
Slc4a10,2,2
Dync1i1,2,2
Tenm2,2,2
Tubb4a,0,0
Apod,0,0
Kcnab1,2,2
Kcnq3,2,2
Zbtb20,2,2
Cacna2d3,2,2
Cobl,2,2
Ctnna2,2,2
Hsp90aa1,0,0
Lrp1b,1,2
Plxdc2,2,2
Cmtm5,0,0
Cadm2,2,2
Hsp90ab1,0,0
Adamtsl1,2,2
Tecr,0,0
Cdh20,2,2
Fut9,2,2
Olig1,0,0
Grm3,2,2
Lypd6b,2,2
Grid2,2,2
Degs1,0,0
Nckap5,0,0
Reep5,0,0
Camk1d,0,0
Dmd,2,2
Stmn4,0,0
Tspan2,0,0
Ralyl,2,2
Pcdh9,1,1
Pllp,0,0
Gm816,2,2
Cadps2,2,2
B3galt1,2,2
Spock1,1,2
Hspa8,0,0
Eef1a1,0,0
Psd3,0,0
Epdr1,2,2
Plekha1,0,0
Rpl13,0,0
Ubc,0,0
Tmbim6,0,0
Cmss1,0,2
Atp6v0c,0,0
Rpsa,0,0
Il33,2,2
Farp1,2,2
Pcdh7,0,0
Eif1,0,0
Kndc1,0,0
4732471J01Rik,2,2
Tmod2,0,0
Grik4,2,2
Map3k5,2,2
Dbi,0,0
Efemp1,2,2
Fmn1,2,2
Mast3,0,0
Gm4221,0,0
Rtn4,2,2
Cdh19,0,1
Cdc42bpa,1,2
Fabp5,0,0
Cox4i1,0,0
Rps8,0,0
Stmn1,0,0
Itgb5,2,2
Slc24a2,1,1
Tpt1,0,0
Ftl1,0,0
Acyp2,2,2
Unc5d,2,2
Slc38a2,0,0
Prkca,2,2
Pam,2,2
Pcsk1n,0,0
Rpl18,0,0
Kctd16,2,2
Psap,0,0
Rhog,0,0
St8sia4,2,2
Gapdh,0,0
Mog,0,0
Kcna1,0,0
Igsf8,0,0
Evi2a,0,0
Rasgrp3,2,2
Abca2,0,0
Arhgap24,2,2
Taldo1,0,0
Pkp4,2,2
Hcn2,0,0
Tgfbr3,2,2
Fmnl2,2,2
Nbas,2,2
Thrb,2,2
Rpl41,0,0
Sybu,2,2
Rnasek,0,0
Atp6v0b,0,0
Skap2,2,2
Rplp1,0,0
Dcc,1,2
Dlg2,1,1
Grm7,2,2
Ppia,0,0
Spcs1,0,0
Akap6,1,2
St18,1,1
Cntn4,1,2
Kcnq1ot1,2,2
Nr3c2,2,2
Tmem163,0,0
Nrg1,1,2
Ptprm,2,2
Tanc2,1,2
Zbtb16,0,2
Apoe,0,0
Cdk19,1,1
Apbb1ip,2,2
Sema6d,2,2
Nav2,1,2
Opalin,0,0
Mapre2,2,2
Vmp1,0,0
Gstm5,0,0
Tcf12,1,1
Gnao1,1,1
Klf13,0,0
Rabac1,0,0
Gmds,2,2
Tbc1d5,1,1
Fam13c,0,1
Rps16,0,0
Myrip,2,2
Sgcz,1,2
Cntnap2,1,2
Rpl28,0,0
Sgk1,0,0
Polr3e,0,0
Rps2,0,0
Dlg1,1,1
Zeb2,1,1
H2afj,0,0
