,DEG,pred
Meg3,2,2
Epha7,0,0
Nrg3os,0,0
Atp1b1,0,0
Grin1,2,2
Chrm3,0,0
Tmsb4x,0,0
Ppm1e,0,0
Xist,2,2
Epha5,0,0
Grin2a,0,0
Fth1,0,0
Shisa6,0,0
Grin2b,1,0
Ube3a,0,0
Hsp90ab1,0,0
Cadm2,0,0
Kcnh7,0,0
Epha6,0,0
Zbtb20,0,0
Gm13269,0,0
Auts2,0,0
Cck,0,0
Prkca,0,0
Calm1,0,0
Arhgap12,0,0
4930419G24Rik,0,0
Nell2,0,0
Nell1,0,0
Lin28b,2,2
Lrrtm4,2,2
Kcnd2,1,0
Prkcb,0,0
Gm28750,0,0
Slc24a3,0,0
Ubb,0,0
Pigk,0,0
Cnksr2,1,1
Nrg3,1,2
Hpca,0,0
4933413L06Rik,0,0
2010300C02Rik,0,0
Tspan5,0,0
Gm15738,0,0
Cntn4,0,0
Elavl3,2,2
Hs6st3,1,0
Itm2b,0,0
Cntnap2,1,1
Syt14,0,0
Exoc6b,1,0
Tbc1d1,0,0
Gria4,2,2
Hunk,0,0
Mapt,2,2
9530026P05Rik,2,2
Hivep2,1,0
Ano4,0,0
Snhg11,1,1
Atp2b1,1,0
Slc24a2,0,0
Cadm1,2,2
Pantr1,0,0
Kcnq1ot1,2,2
Ak5,2,2
Pde11a,2,2
Cacna2d3,1,0
Actr3b,0,0
Sptbn4,2,2
Kcnj6,0,0
Celf4,2,2
Cdk9,2,2
Syne1,2,2
Wipf3,0,0
Nrgn,0,0
Adamtsl1,2,2
5330438D12Rik,0,0
Samd5,0,0
Prickle2,0,0
Gm20642,0,0
Ptprg,2,2
Actb,0,0
Slc8a1,1,0
Olfm3,0,0
Sema3e,0,0
Fus,2,2
Fat3,0,0
Nrxn3,0,0
Brinp1,0,0
Nos1ap,0,0
Tenm4,2,2
Lrrc4c,2,2
Fam155a,1,1
Hdac9,0,0
Sorbs1,2,2
Hsp90aa1,0,0
Lmo3,0,0
Shisa9,2,2
Cntnap5c,0,0
Oxr1,2,2
Rasgrp1,0,0
Dock4,1,1
Flrt2,0,0
Epha4,0,0
Gm14330,0,0
Gapdh,0,0
Myo5a,2,2
Gm28376,0,0
Trpc4,1,0
Sphkap,0,0
Rb1,0,0
Syt17,2,2
Khdrbs3,1,0
Rtn1,0,0
Snap25,2,2
Chn1,0,0
Hspa8,0,0
Pabpn1,2,2
Kif1b,1,1
Aifm3,2,2
Tle1,0,0
Rbm25,2,2
Dpyd,2,2
Calm2,0,0
Gm15594,0,0
Ptpro,0,0
Cdh8,0,0
Gm13986,0,0
Pid1,0,0
Rpl13,0,0
Ryr3,1,0
Cdh11,1,0
Dock10,2,2
Sorcs3,0,0
Akap8l,2,2
Plxna4,0,0
Snrnp70,2,2
Rnf112,2,2
Srsf5,2,2
Rps16,0,0
Ptprs,2,2
Rora,2,2
Arhgef28,2,2
4930402H24Rik,1,2
Dlgap2,1,0
Grik4,2,2
Dlg1,2,2
Cacnb2,1,2
Magi3,2,2
Rprml,0,0
Dst,2,2
Ptk2,2,2
Atp6v0c,0,0
Kcnj3,1,0
Myt1l,1,0
Iqgap2,1,0
Kirrel3,2,2
Rbfox1,1,0
Tnrc6c,1,2
Scn3b,0,0
Mir99ahg,1,0
A830018L16Rik,2,2
Tfdp2,0,0
Neurod6,0,0
Pacsin1,2,2
Stxbp5l,1,1
Galntl6,1,0
Enox1,1,0
Cpeb1,2,2
Dnmt3a,2,2
Magi2,1,2
AY036118,0,0
Cmss1,0,0
Ror1,0,0
Tnrc6a,2,2
Vps13a,2,2
Cpne7,2,2
Galnt11,0,0
Luzp2,0,0
Fbxl5,0,0
Khdrbs2,2,2
Acap2,1,1
Camk1d,1,0
Magi1,2,2
Gm11906,0,0
Lrtm1,0,0
Npepps,2,2
P2ry14,0,0
Sntb2,2,2
Mbd6,2,2
Cul9,2,2
Rps8,0,0
Sorbs2os,0,0
Robo1,0,2
Sorcs1,2,2
Csnk1g1,2,2
A330102I10Rik,0,0
Smarca2,2,2
Atp2c1,0,0
Zfp804a,0,0
Snd1,0,0
Dgkz,1,0
Gpm6a,1,1
Ncam1,2,2
Nipbl,2,2
Nalcn,2,2
Rspo2,2,2
Rps7,0,0
1700109K24Rik,0,0
Atp6v0a1,1,2
Sorl1,0,0
Smyd3,2,2
Eml6,1,0
Tenm1,2,2
Cacna1c,2,2
Chd8,2,2
Grid2,2,2
Rims1,1,2
Ust,1,0
Ppp3ca,1,0
Acaca,2,2
Runx2,1,0
Rims2,2,2
Pex5l,1,0
Arpc2,0,0
Kcnd3,2,2
Gm12296,0,0
Srrm1,2,2
Lpp,0,0
Macf1,1,2
Gigyf1,2,2
Pcmtd1,0,0
Sez6,2,2
Zdhhc23,0,0
Galnt13,2,2
Gm1992,0,0
Eef1a1,0,0
Dynll1,0,0
Ctnna2,1,0
Nsd1,1,1
Ndst4,0,0
Homer2,0,0
Kcnn2,1,1
Gm6994,0,0
A330076H08Rik,2,2
Tmeff2,2,2
Kmt2e,2,2
B830012L14Rik,2,1
Far1os,0,0
Homer1,0,0
Sh3gl2,1,2
Ptpn3,0,0
Tbc1d5,2,2
Plekha6,2,2
Unc5c,2,2
Dip2c,1,1
Limch1,2,2
Slc25a23,2,2
Fam49a,0,0
Pkp2,0,0
Kit,2,2
March1,1,0
Rps2,0,0
Tcf4,1,0
