index,rank.down,abs_mean_shap.down,rank.non,abs_mean_shap.non,rank.up,abs_mean_shap.up
18mo.9mo.Q.median.loops,76,0.0,27,0.0,77,0.0
18mo.9mo.Q.std.loops,77,0.0,3,0.049630938925639335,78,0.0
18mo.2mo.contact.log_ratio.min.20kb-1Mb.enhancer_peak,78,0.0,29,0.0,81,0.0
18mo.9mo.Q.max.loops,79,0.0,61,0.0,80,0.0
18mo.9mo.Q.min.loops,80,0.0,76,0.0,65,0.0
18mo.2mo.Q.mean.loops,81,0.0,77,0.0,82,0.0
18mo.2mo.Q.median.loops,82,0.0,78,0.0,83,0.0
18mo.2mo.Q.std.loops,83,0.0,79,0.0,84,0.0
18mo.2mo.Q.skew.loops,84,0.0,80,0.0,85,0.0
18mo.2mo.Q.max.loops,85,0.0,7,0.011394200316618055,86,0.0
18mo.9mo.T.min.loops,86,0.0,93,0.0,98,0.0
9mo.2mo.T.mean.loops,87,0.0,82,0.0,88,0.0
9mo.2mo.T.median.loops,88,0.0,83,0.0,89,0.0
9mo.2mo.T.std.loops,89,0.0,84,0.0,90,0.0
9mo.2mo.T.skew.loops,90,0.0,97,0.0,91,0.0
9mo.2mo.T.max.loops,91,0.0,86,0.0,92,0.0
9mo.2mo.T.min.loops,92,0.0,87,0.0,17,0.0012566479563247352
18mo.9mo.T.mean.loops,93,0.0,88,0.0,93,0.0
18mo.9mo.T.median.loops,94,0.0,89,0.0,94,0.0
18mo.9mo.T.std.loops,95,0.0,90,0.0,95,0.0
18mo.9mo.T.skew.loops,96,0.0,91,0.0,96,0.0
18mo.9mo.T.max.loops,97,0.0,92,0.0,97,0.0
18mo.2mo.Q.min.loops,98,0.0,81,0.0,99,0.0
9mo.2mo.contact.log_ratio.count.20kb-1Mb.enhancer_DMR,99,0.0,143,0.0,143,0.0
18mo.2mo.contact.log_ratio.mean.20kb-1Mb.enhancer_DMR,100,0.0,132,0.0,144,0.0
18mo.2mo.contact.log_ratio.median.20kb-1Mb.enhancer_DMR,101,0.0,98,0.0,133,0.0
18mo.2mo.contact.log_ratio.max.20kb-1Mb.enhancer_DMR,102,0.0,99,0.0,100,0.0
18mo.2mo.contact.log_ratio.min.20kb-1Mb.enhancer_DMR,103,0.0,100,0.0,101,0.0
18mo.2mo.contact.log_ratio.count.20kb-1Mb.enhancer_DMR,104,0.0,101,0.0,102,0.0
