gene_name,gene_length.meta,count.enhancer_DMR,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,rel_pos.DMR,distance.log2.DMR,18mo.9mo.Q.std.loops,loop_size.log.max.loops,9mo.2mo.Q.max.loops,loop_size.log.median.loops,9mo.2mo.Q.std.loops,loop_size.log.mean.loops,18mo.2mo.Q.std.loops,loop_size.log.min.loops,18mo.2mo.Q.min.loops,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.9mo.log_ratio.max.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Fn3krp,0.02137909988872707,0.0,0.0,0.0,0.0,0.030843127742409705,0.005060811042785645,-0.05444277510046959,0.0,0.0,0.0,0.013695816397666932,0.0,-0.0012371120462194086,0.0,0.0,0.0,0.015983233824372292,0.0,0.0,0.0,0.0,0.03181081220507622,0.0,0.0,0.0,0.0,0.026610709130764007,0.037247925586998465,0.2377044034563005,0.12632920376956464,0.0,0.033109820634126666,0.05470358081161976,0.0,0.0,0.07355405295267702,0.11616273373365402,0.0,1.0,1.0
Arxes2,0.02137909988872707,0.0,0.0,0.0,0.0,-0.17966026976704597,-0.1245320999249816,-0.05444277510046959,0.0,0.0,0.0,-0.08360818102955818,0.0,-0.0012371120462194086,0.0,0.0,0.0,0.015983233824372292,0.0,0.0,0.0,0.0,0.013736487179994584,0.0,0.0,0.0,0.0,0.009305018410086631,0.01597553325816989,0.140148568789009,0.06550944739952684,0.0,0.011683295145630837,0.02428612854331732,0.0,0.0,0.07355405295267702,0.07679191514849663,0.0,1.0,2.0
Sema4g,0.02137909988872707,0.0,0.0,0.0,0.0,0.030843127742409705,0.005060811042785645,-0.05444277510046959,0.0,0.0,0.0,0.013695816397666932,0.0,-0.0012371120462194086,0.0,0.0,0.0,0.015983233824372292,0.0,0.0,0.0,0.0,0.03181081220507622,0.0,0.0,0.0,0.0,0.026610709130764007,0.037247925586998465,0.2377044034563005,0.12632920376956464,0.0,0.033109820634126666,0.05470358081161976,0.0,0.0,0.07355405295267702,0.11616273373365402,0.0,1.0,1.0
Hbs1l,-0.03026563533581793,0.0,0.0,0.0,0.0,0.007059563547372818,0.005060811042785645,0.04656594805419445,0.0,0.0,0.0,0.0015925368294119834,0.0,0.04278952328488231,0.0,0.0,0.0,0.02478674590587616,0.0,0.0,0.0,0.0,0.03181081220507622,0.0,0.0,0.0,0.0,0.014029668644070625,0.009353670068085193,-0.01104190930724144,-0.06986421778798103,0.0,0.020130116641521454,-0.024579205773770808,0.0,0.0,0.09366015769541264,0.08768903255462647,0.0,1.0,2.0
Ctbp2,-0.02696306647732854,0.0,0.0,0.0,0.0,0.004403218179941177,0.0010844595730304719,0.011931076543405653,0.0,0.0,0.0,0.0009555220603942871,0.0,-0.00247422412969172,0.0,0.0,0.0,-0.07048295095562934,0.0,0.0,0.0,0.0,0.007952703535556794,0.0,0.0,0.0,0.0,0.004015494510531426,-0.030838332641869783,-0.15826691506430507,-0.03770906781777739,0.0,0.004119385778903961,-0.01454622445628047,0.0,0.0,0.08010738180018961,-0.19206744350492955,0.0,1.0,0.0
Lats2,-0.013366321958601475,0.0,0.0,0.0,0.0,0.009781114384531974,0.0019881758093833924,0.04656594805419445,0.0,0.0,0.0,0.0015925368294119834,0.0,-0.0013098833430558443,0.0,0.0,0.0,0.02478674590587616,0.0,0.0,0.0,0.0,0.01265202760696411,0.0,0.0,0.0,0.0,0.0071614253520965575,0.009353670068085193,0.17139323201030493,-0.06986421778798103,0.0,0.009009855464100838,-0.024579205773770808,0.0,0.0,0.11105768479406834,-0.40452404469251635,0.0,1.0,1.0
Car11,0.07380968064069748,0.0,0.0,0.0,0.0,0.008466675356030464,0.0007229730486869812,0.01169940515421331,0.0,0.0,0.0,0.0036309838853776453,0.0,-0.0024014528328552844,0.0,0.0,0.0,0.011355822198092938,0.0,0.0,0.0,0.0,0.007916554883122444,0.0,0.0,0.0,0.0,-0.03291913812980056,-0.1382404302433133,-0.1870839631394483,0.08332268124446272,0.0,0.0068997108191251755,0.04658471543341875,0.0,0.0,-0.09877592756412923,0.06478333465754986,0.0,1.0,0.0
Pfdn4,0.02490757786668837,0.0,0.0,0.0,0.0,0.012001621946692466,0.0010844595730304719,-0.020271246088668704,0.0,0.0,0.0,0.0030258199013769626,0.0,-0.00138265463989228,0.0,0.0,0.0,0.011587493605911731,0.0,0.0,0.0,0.0,0.007952703535556794,0.0,0.0,0.0,0.0,0.006404299661517144,0.021322557907551526,-0.15045021993108093,0.08030489085242153,0.0,0.004119385778903961,-0.0651888932287693,0.0,0.0,0.06635188830085098,-0.25808979749679567,0.0,1.0,0.0
Tomm5,0.02137909988872707,0.0,0.0,0.0,0.0,0.030843127742409705,0.005060811042785645,-0.05444277510046959,0.0,0.0,0.0,0.013695816397666932,0.0,-0.0012371120462194086,0.0,0.0,0.0,0.015983233824372292,0.0,0.0,0.0,0.0,0.03181081220507622,0.0,0.0,0.0,0.0,0.026610709130764007,0.037247925586998465,0.2377044034563005,0.12632920376956464,0.0,0.033109820634126666,0.05470358081161976,0.0,0.0,0.07355405295267702,0.11616273373365402,0.0,1.0,1.0
Msl3,0.054234203230589625,0.0,0.0,0.0,0.0,0.01409512259066105,0.001807432547211647,-0.020271246088668704,0.0,0.0,0.0,0.0036309838853776453,0.0,0.011788950255140661,0.0,0.0,0.0,0.011587493605911731,0.0,0.0,0.0,0.0,0.013375000655651092,0.0,0.0,0.0,0.0,0.009230188503861427,-0.06645806942135096,-0.2566108471248299,0.08823572425171733,0.0,0.00928552158176899,0.024891292434185742,0.0,0.0,0.05395564642734826,0.07141323059797287,0.0,1.0,1.0
