gene_name,gene_length.meta,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_DMR,count.enhancer_DMR,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_DMR,9mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_peak,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.DAR,18mo.2mo.log_ratio.DAR,18mo.9mo.log_ratio.DAR,18mo.2mo.log_ratio.DMR,count.DMR,rel_pos.DMR,18mo.9mo.Q.std.loops,loop_size.log.max.loops,18mo.9mo.Q.min.loops,18mo.9mo.Q.mean.loops,9mo.2mo.Q.mean.loops,9mo.2mo.Q.min.loops,loop_size.log.median.loops,18mo.2mo.T.min.loops,min_distance.log.std.loops,min_distance.log.mean.loops,min_distance.log.median.loops,18mo.2mo.T.max.loops,18mo.9mo.T.mean.loops,loop_size.log.mean.loops,18mo.2mo.Q.std.loops,18mo.2mo.T.median.loops,min_distance.log.min.loops,loop_size.log.min.loops,Tanova.median.loops,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,log2_distance.std.atac,log2_distance.min.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.9mo.log_ratio.max.atac,9mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Pfkp,-0.003889263737946749,-0.00044539538212120535,0.0,0.0,-0.010773750925436617,0.0,0.0,-0.0008601325750350952,-0.08222543738782406,0.0,0.015213299728929996,0.0,0.0005624517798423767,0.0,0.0,0.0,0.0,0.0,0.00584839891642332,0.004090147195383907,0.0,-0.0753560739941895,-0.12008028641343117,-0.05508651316165924,-0.015806407509371637,-0.07159173496998847,0.0,0.0,0.0,0.0,-0.046172587852925065,-0.0013444620929658412,0.0,-0.0017092020623385906,-0.0004084578901529312,-0.000745188295841217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12384654241614043,-0.015593091305345298,0.0,0.0,-0.09226431934162975,0.0,-0.013759076558053494,-0.012072485908865928,0.13739016762003303,0.050251417141407725,0.0,-0.014677205439656973,0.0,0.0,-0.08551919035613537,0.0014759819954633714,0.0,0.0,0.0,0.0,0.0,2.0
Golga2,-0.003889263737946749,0.0018108875304460525,0.0,0.0,0.015173502620309592,0.0,0.0,-0.0014514737203717232,0.07913213182240725,0.0,0.00864125855267048,0.0,0.002320113591849804,0.0,0.0,0.0,0.0,0.0,0.00584839891642332,0.008498385846614838,0.0,0.0512463004887104,0.04863231040537357,0.014543446227908135,-0.018178158402442933,0.08756935758516192,0.0,0.0,0.0,0.0,-0.0188520173355937,0.0017690290696918964,0.0,-0.0005127606168389321,-0.0004084578901529312,-0.0004967921972274781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08228609105572104,0.0,0.0,0.0,0.017643248736858366,0.0,-0.0041020849347114564,0.18249757135286926,0.15915745375677942,0.11443427946418523,0.0,0.007314066709950566,0.0,0.0,0.03138627503067255,0.010627070367336273,0.0,0.0,0.0,0.0,0.0,0.0
Cep89,-0.003889263737946749,-0.0024911270570009947,0.0,0.0,-0.010773750925436617,0.0,0.0,-0.0014514737203717232,-0.08843194127082825,0.0,-0.005723919607698917,0.0,0.0009139841422438622,0.0,0.0,0.0,0.0,0.0,0.00584839891642332,0.008498385846614838,0.0,-0.07057620914652944,0.11478130578994751,0.015440833792090415,-0.023818866051733494,0.04398847801610827,0.0,0.0,0.0,0.0,-0.046172587852925065,-0.002405879534780979,0.0,-0.0017092020623385906,-0.0004084578901529312,-0.001241980493068695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07049703209660947,0.0,0.0,0.0,0.008838234543800354,0.0,-0.013759076558053494,-0.10696390002965928,0.1583423523977399,-0.11876322466880083,0.0,0.00986887963488698,0.0,0.0,0.007088171951472759,-0.009446284770965575,0.0,0.0,0.0,0.0,0.0,1.0
Eif4g3,-0.004703295733779669,-0.00038423902820795776,0.0,0.0,-0.00434334462042898,0.0,0.0,-0.006881060600280761,-0.06405324462335557,0.0,-0.006718517579138279,0.0,0.002320113591849804,0.0,0.0,0.0,0.0,0.0,0.028824251741170884,0.003999394658021629,0.0,0.027761712912470104,0.08149455836042761,0.009016941450536251,0.026889280993491412,0.04272382905706763,0.0,0.0,0.0,0.0,0.12593933129683138,0.004705617325380444,0.0,-0.0005127606168389321,-0.004595151264220476,-0.001241980493068695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06586025299038738,0.01880974380299449,0.0,0.0,0.006048797471448779,0.0,-0.0041020849347114564,-0.33362773205619306,-0.33683699351735413,0.04352406939491629,0.0,0.02941690307110548,0.0,0.0,0.011189016234129667,0.002361571192741394,0.0,0.0,0.0,0.0,0.0,0.0
Celf3,0.00786897549405694,-0.03092081945389509,0.0,0.0,0.015173502620309592,0.0,0.0,-0.0014514737203717232,-0.04302581907715648,0.0,0.015213299728929996,0.0,0.0005624517798423767,0.0,0.0,0.0,0.0,0.0,0.00584839891642332,0.004090147195383907,0.0,-0.05920411476399749,-5.9411004185676576e-05,0.007780840061604977,-0.010165700372308493,-0.07159173496998847,0.0,0.0,0.0,0.0,-0.02354498114436865,-0.0013444620929658412,0.0,-0.0006836808286607265,-0.0004084578901529312,-0.000745188295841217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19560351968742906,0.0,0.0,0.0,-0.09226431934162975,0.0,0.02033950448036194,0.1946532940585166,0.10623606885783374,0.040115746706724166,0.0,-0.009828935023397206,0.0,0.0,-0.08551919035613537,0.0014759819954633714,0.0,0.0,0.0,0.0,0.0,1.0
Srp72,-0.003889263737946749,0.0018108875304460525,0.0,0.0,0.015173502620309592,0.0,0.0,-0.0008601325750350952,0.057877990826964376,0.0,-0.005197685733437538,0.0,-0.004780840128660202,0.0,0.0,0.0,0.0,0.0,-0.009190341159701347,0.008498385846614838,0.0,-0.12567044081166387,-0.12191967215389013,-0.028337328797206282,-0.018178158402442933,-0.08349893257021904,0.0,0.0,0.0,0.0,-0.020523742605000735,0.0009198951162397861,0.0,-0.0017092020623385906,-0.0004084578901529312,-0.000745188295841217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07570271650329233,-0.004067762978374958,0.0,0.0,0.010347665548324584,0.0,-0.013759076558053494,0.2531127316318452,0.1492529046535492,0.050251417141407725,0.0,-0.010961113963276148,0.0,0.0,-0.08551919035613537,0.003542356789112091,0.0,0.0,0.0,0.0,0.0,1.0
Fam171a2,0.00786897549405694,0.0017544804560020565,0.0,0.0,-0.00434334462042898,0.0,0.0,0.0019352982938289642,0.057877990826964376,0.0,0.011003428734838963,0.0,0.0009139841422438622,0.0,0.0,0.0,0.0,0.0,0.00584839891642332,0.008498385846614838,0.0,0.035807632021605966,0.04911613509058952,0.005978599982336163,0.041619255095720294,0.07688277376815676,0.0,0.0,0.0,0.0,-0.022228439263999464,0.0017690290696918964,0.0,-0.000341840423643589,-0.0004084578901529312,-0.0004967921972274781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13072358951903879,0.0,0.0,0.0,0.017643248736858366,0.0,0.004785765763372183,0.1848597419448197,0.11484336201567202,0.11443427946418523,0.0,0.007314066709950566,0.0,0.0,0.03138627503067255,0.003542356789112091,0.0,0.0,0.0,0.0,0.0,0.0
Tsix,-0.01239137513563037,0.0069715788029134276,0.0,0.0,-0.0027075395733118057,0.0,0.0,-0.002419122867286205,0.11274848480708898,0.0,-0.021277654767036438,0.0,0.002320113591849804,0.0,0.0,0.0,0.0,0.0,-0.04720493413507938,0.0032481693755835295,0.0,-0.07070254379883409,-0.18361205104738473,-0.05681037813425064,0.01752570706885308,0.03409199258312583,0.0,0.0,0.0,0.0,-0.028158601145260035,0.004705617325380444,0.0,-0.0017092020623385906,-0.004595151264220476,-0.00496792197227478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077774997074157,-0.015593091305345298,0.0,0.0,0.004287794632837176,0.0,-0.013759076558053494,-0.34771877551916985,-0.24777560697868467,-0.052761581987142564,0.0,0.02941690307110548,0.0,0.0,0.005604782551527024,0.010627070367336273,0.0,0.0,0.0,0.0,2.0,1.0
Grb2,-0.01239137513563037,-0.0025841148663312196,0.0,0.0,-0.010773750925436617,0.0,0.0,-0.0014514737203717232,-0.07461921359878033,0.0,-0.0023978883028030395,0.0,0.0008436776697635651,0.0,0.0,0.0,0.0,0.0,0.00584839891642332,0.003521342193707824,0.0,0.04218752922490239,0.06874637134373188,0.021885397508740426,-0.023818866051733494,-0.09601348467171192,0.0,0.0,0.0,0.0,-0.031062264814972877,0.004705617325380444,0.0,-0.000341840423643589,-0.0004084578901529312,-0.0004967921972274781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06866113583557308,0.0,0.0,0.0,0.01309280882589519,0.0,0.004785765763372183,0.18439138871617616,-0.012971505271270872,0.07453669533133507,0.0,0.02941690307110548,0.0,0.0,0.03138627503067255,0.002361571192741394,0.0,0.0,0.0,0.0,0.0,0.0
Kirrel3,-0.01239137513563037,-0.00038423902820795776,0.0,0.0,-0.00434334462042898,0.0,0.0,-0.002419122867286205,-0.08178348131477833,0.0,-0.031099309735000132,0.0,-0.004780840128660202,0.0,0.0,0.0,0.0,0.0,-0.04720493413507938,-0.017947261845692994,0.0,-0.02194650933146477,-0.18361205104738473,-0.04238316776230931,0.026889280993491412,-0.03795352539978922,0.0,0.0,0.0,0.0,-0.05390004810877144,-0.002936588255688548,0.0,-0.0017092020623385906,-0.004595151264220476,-0.00496792197227478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07242215774022043,-0.015593091305345298,0.0,0.0,0.005195590015500784,0.0,-0.013759076558053494,-0.47588873183354735,-0.21521923978812993,0.025568616278469562,0.0,-0.040510683320462704,0.0,0.0,-0.02960235109552741,0.0014759819954633714,0.0,0.0,0.0,0.0,2.0,2.0
