gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_DMR,9mo.2mo.activity.log_ratio.count.20kb-5Mb.enhancer_DMR,count.enhancer_DMR,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,count.DAR,size.log2.DMR,distance.log2.DMR,18mo.9mo.Q.std.loops,Tanova.max.loops,Qanova.mean.loops,loop_size.log.std.loops,18mo.2mo.Q.mean.loops,18mo.9mo.Q.mean.loops,9mo.2mo.Q.mean.loops,9mo.2mo.Q.max.loops,18mo.9mo.Q.median.loops,min_distance.log.std.loops,9mo.2mo.T.mean.loops,count.loops,Qanova.min.loops,18mo.2mo.T.mean.loops,18mo.2mo.Q.std.loops,Qanova.std.loops,9mo.2mo.T.median.loops,18mo.2mo.Q.max.loops,Tanova.median.loops,18mo.9mo.Q.max.loops,9mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.mean.atac
2810454H06Rik,3147.0,-0.0967764502396965,7.0,20,0.1458325298813081,0.2895066171935276,-0.0507428558716263,0.4015242325331641,0.2055936239637294,0.8744691179106763,0.0,0.0,0,0.0,0.0,0.0009323011284006,1.4052062,0.982178925,0.2145627582885034,-7.493129999999997e-05,-0.00121723045,0.00114229915,0.0014371283,-0.00121723045,0.2008914867741378,0.0674862444999999,2,0.75666785,0.044729167,0.0013492525109136,0.3189208207303361,0.0674862444999999,0.0008791342999999,0.8126456000000001,-0.000557994,-0.0420917952682007,-0.111514561962307,-0.1021616583149782,11.101975670949296,-0.0647664076034422,-0.1208674656096358,-0.0467481543588648
4930517O19Rik,32197.0,-0.0033659111814102,2.0,14,-0.1047140807464042,1.3219280948657215,-0.0539977955340365,1.0124335828661977,0.5177400966674203,0.0,0.0,0.0,0,5.746681981976008,12.813083266392663,0.0009528493423108,3.4100788,1.848607362647059,1.0611834645941796,0.000214274267647,0.000352999417647,-0.00013872515,0.0013739023999999,0.0003115645,0.5244584210046341,-0.0079088296617647,34,0.08127837,0.0124039961470588,0.0012518084078729,1.5627952508797665,0.005008011,0.0029161989999999,0.9611242,0.0023883893999999,0.3943545970285577,-0.1939666060422193,0.1785360536232703,13.834075953434894,-0.0176475395004872,-0.6450180642176824,-0.1763190665417321
Celf5,23482.0,0.0,0.0,5,0.1569813259502011,0.6629650127179998,-0.0143321237402069,0.6307720431946161,1.071074958654863,1.0780025119928358,0.0,0.0,0,5.6892191457561205,12.797003471133303,0.0012677786784755,3.4630613,1.5849696107727274,0.5824299316531537,0.0019005917045454,0.0011417868227272,0.0007588048818181,0.005216601,0.0008711164499999,0.3289059314103781,0.0091691194090909,22,0.056066237,0.0636795154545454,0.0017072388002737,1.7976766490568317,0.007832295,0.005211776,1.10341595,0.0038784735,0.4400469390537336,0.0603632096684507,0.4712033160216835,13.615169813843616,0.1131823895173329,-0.2661761914648408,-0.0528191798488821
Ngf,51094.0,0.0,0.0,2,-0.1839556846977581,0.0,-0.0069119271578177,0.0,0.0,0.0,-0.4139744794767748,-0.5582963354677652,2,5.107159560404997,12.987695306133675,0.0007960126958057,3.1759527,1.216732511437,1.1871178420665454,0.0004206795869999,0.00046005876,-3.937917300000006e-05,0.0012070019999999,0.000509148,0.5020774703695573,0.00151972414,100,0.0033458737,0.02077873493,0.000879095908967,0.9706606257525032,0.0028916074999999,0.0025065376,0.756023555,0.0024127642,0.245614925484149,-0.4262029525702287,0.0386783900501483,14.492416539039787,-0.2845771033819861,-0.99694551947488,-0.1416258491882425
Rab22a,47583.0,0.0,0.0,2,0.014632916085306,0.0,-0.0184118708149112,0.0,0.0551561051853869,0.4150374992728327,0.0,0.0,0,6.217465620494539,13.260148691078506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5747988363719451,-0.0121887137740703,0.1736079701256864,14.60831258407593,0.1469705880122017,-0.2414295291278704,-0.1591593017862721
Tcof1,35216.0,-0.0225886615079866,3.0,9,0.1363750639377641,0.1699250014403088,0.0124166990642038,0.3024029530971194,0.2971128810209117,0.443606651474087,0.0,0.0,0,5.118007095955127,11.462823577542377,0.0010659425378234,5.112803,1.922357379105814,0.94685790115184,0.0014511250604651,0.0010533552139534,0.0003977698465116,0.0021825579999999,0.0010301983999999,0.475688023103001,0.0135066620697674,43,0.00083467155,0.0183150836046511,0.0012663271346808,1.3642091750375605,0.0079346,0.0038459389999999,0.8506236,0.004221176,-6.549230267438588e-06,-0.0539185476325379,-0.0028209728680703,11.409390936137754,-0.1368954170320333,-0.1236124786389378,0.0829768693994953
Nfx1,55087.0,0.1947107800563421,0.0,7,-0.0435098360330483,0.9999999999879776,-0.0088613431072954,0.4254674048446762,0.7159186049534342,0.9999999999879776,0.0,0.0,0,6.658211482753223,12.704119788513038,0.0007604747011335,2.808981,1.136633997339623,0.4515136041485149,-0.0002754253999999,0.0006672198471698,-0.0009426452471698,0.0005009124,0.0006533967,0.5146678220234427,-0.0204188384528301,53,0.020732902,0.0018686502075471,0.0008994596693304,0.8506424935313044,-0.0140200299999999,0.001628063,0.844847,0.0021818483999999,0.3451505990491316,0.0678962139086319,0.2451292675050299,11.158609688214542,0.0261529990249029,-0.0892984293915879,0.0417432148837289
Lhfp,220151.0,0.0,0.0,1,0.0,0.0,0.0266284438198178,0.0,0.0,0.0,-0.1664037506386624,-0.5045848193681388,1,4.50479622406243,14.559365380015176,0.0007771795951869,6.0187125,1.143452676137255,1.0678512288800888,7.772391176470588e-05,0.000396712722549,-0.0003189888107843,0.0018089315,0.0003835117499999,0.5471193025646236,-0.0049405205656862,102,0.011562476,-0.0237142211245098,0.0008632050418132,1.0487989430330402,-0.0247833399999999,0.0018873277,1.0896199,0.0024766394,0.2850892085536233,-0.4236718154116694,0.0828009432785078,15.922746984763185,-0.2058659044919659,-1.3181553196836775,-0.2178059109197034
Ing4,9505.0,0.0095361880807456,3.0,7,0.0047626656792951,0.3785116232504006,-0.0075913220565846,0.3974963008019679,0.2364460481606637,0.3785116232504006,0.0,0.0,0,6.206099820370376,9.56860655456532,0.0011274099314078,3.9247103,1.3122813834615386,0.7967533813919632,-0.00081007255,-0.0001531911807692,-0.0006568813692307,0.0003695309,-6.519809999999985e-05,0.265308721270088,-0.044235048076923,26,0.07644952,-0.0423875439615384,0.0013491567095025,1.6341422972708315,-0.043157815,0.001106277,0.6752314500000001,0.0011896147,0.5290147914189168,0.0343191951153739,0.2237102838803064,12.861668520613607,0.116407507539748,-0.1108979659980295,-0.082088312424374
Trnau1ap,17775.0,0.0,1.0,4,0.0852384434045157,-0.0824621601915014,-0.0431029280085404,0.4223100388969613,0.2913384462120765,0.6520766965721987,0.0,0.0,0,0.0,0.0,0.0006988771246985,2.697608,0.6944249877333333,0.9131310573314292,-0.0001768037066666,0.0004546903533333,-0.00063149406,0.0009446549999999,0.0005080009999999,0.4415058749697523,-0.0395667004666666,15,0.040993996,-0.0286786053,0.0007628311565989,0.6910780534389811,-0.0423270199999999,0.0011380397,1.0079669,0.001481029,0.173161305747397,0.0077254617230555,0.0077254617230555,11.13442632022099,0.173161305747397,0.0077254617230555,-0.1654358440243415
