gene_name,gene_length.meta,9mo.2mo.contact.log_ratio.median.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_DMR,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,18mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_DMR,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,rel_pos.DAR,count.DAR,Tanova.std.loops,18mo.2mo.Q.mean.loops,loop_size.log.std.loops,18mo.2mo.T.min.loops,9mo.2mo.Q.std.loops,min_distance.log.mean.loops,min_distance.log.median.loops,18mo.2mo.T.mean.loops,min_distance.log.max.loops,18mo.2mo.Q.min.loops,Qanova.max.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.std.atac,log2_distance.std.atac,log2_distance.min.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.max.atac
Pkd1,46674.0,-0.1750867065578258,0.1156849138393341,0.1127382352047576,0.5431423250258822,0.1156849138393341,0.2495703782159786,0.1425471687972805,0.3210712204206967,0.4001954955663374,0.0,-0.0508902267829212,0.6322682154969534,0.0379678501989708,0.0019307818792275,0.3511020832036542,0.2235384858792817,1,1.3833676325305084,0.0003961771153846,0.8592028830328123,-0.08289026,0.0009841099805663,14.138562805600824,14.131696223597777,0.0080203061538461,14.176329006617596,-0.001100624,11.429724,0.0063382127849258,0.0036268523877867,0.0099650651727125,-0.0191046431256035,0.1025877920051818,1.4601344346232463,10.265615046484577,0.2003934097756927,0.3811478706590061,0.2510416473810282,19,0.0471749790350033,0.0828761705903708,-0.0506482376053354,0.0929280322773574,0.3692117895890841
Epha5,362621.0,0.0,-0.1164390238978365,-0.184424571136641,0.0,-0.1164390238978365,-0.040333565855954,-0.3687266223435723,-0.1674846409670398,0.0862853068360583,1.0,-0.3904461576663776,-0.4150374992728327,-0.0849625007201544,0.0041211361555059,-0.3775695854651247,0.9911548965733477,3,1.7717624915065526,0.0001159506867757,1.3180195878357384,-0.09271488,0.0002805488593197,15.609965855648603,15.348650620034173,0.0320396290186915,17.530939689378283,-0.0008578646999999,11.112538,0.0114577644556996,-0.011556088700476,-9.83242447763072e-05,0.0572324320000143,0.2233762067760011,1.9309878881798843,11.092757140919918,-0.2248902975674855,0.2781664788154343,-0.2265527599412003,28,-0.6346294740467645,-0.5139202646681882,0.0016624623737147,0.2208475411340397,0.4685621338818981
Dcps,51653.0,0.0,0.0,0.0,0.0,0.0,-0.0618003496366657,-0.0151597778351995,-0.0502201615067039,0.2491760261101892,1.0,-0.1921513286165979,0.1443899093344516,0.5290028017161466,0.0969213713185955,0.291302289974192,0.7318203870411298,2,2.409271366042252,0.0001619381286666,0.8716469892872946,-0.0031698099999999,0.0002631576265975,14.140590153603029,14.140590153603029,0.0484476855333333,14.140590153603029,-0.0001408175999999,5.680272,5.836023523566464e-05,-0.0082979478443886,-0.0082395876091529,-0.101000748944998,0.1550125709332973,2.040818834101597,6.2094533656309,0.1350690624945525,0.3909817248153648,0.1857722255359148,20,-0.0898820863519941,-0.1553933400935164,-0.0507031630413623,0.1737872940618994,0.505503244746595
Mms19,40071.0,-0.1166449188521525,-0.1227577254307147,0.2775339755285264,0.4834244742586948,-0.1227577254307147,0.0,-0.0488018816618529,0.2051158308255463,0.6384205307506945,1.0,-0.0839280961325341,0.1699250014413102,-0.3344190390692612,0.0,0.0,0.0,0,1.3120604029602012,0.0004949199679245,0.6418415422434904,-0.1074320724,0.0009151308503457,14.20395535784952,14.352181396917892,-0.0083821778566037,14.915972717886747,-0.001229852,10.659313,0.044703068162369,-0.0234970641160478,0.0212060040463211,-0.1086879279383027,0.0848869040384843,1.651373794471095,9.142107057302804,-0.0381747040346395,0.0790854728443806,0.032005691673019,10,-0.2350078694597359,-0.1370480720337877,-0.0701803957076585,0.1854186785392135,0.432778112020766
Scly,22737.0,-0.6326951115047876,0.0016828180230293,0.2552570552418229,-0.0258400049352438,0.0016828180230293,0.0170415807240463,0.1537690051730146,0.2728457055452913,0.0019339142217433,1.0,-0.0635852512440218,-0.0797271924706457,0.2552570552418229,0.0,0.0,0.0,0,1.359853312082977,0.0002979713422222,1.57725741938077,-0.1070001599999999,0.0004074913479181,13.967613712861963,13.674523326021664,-0.0243583523999999,14.4940430274205,-0.000555156,8.515858,0.0113040380355499,0.0021866395532531,0.0134906775888031,-0.0951834958576597,0.2093179026452546,1.0710891164080518,9.92777796208249,0.0359594018959066,0.4389734955113793,0.166321865866562,8,-0.2275188906006575,-0.1165740912180883,-0.1303624639706554,0.284665600126442,0.7745737677116246
Camkk1,23065.0,-0.2105669859393781,0.0,0.0,0.4096442405080926,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.0414096575374283,0.3121627307830268,0.5086273785331609,1,0.642113232404102,0.0001403424071428,1.2160711041136223,-0.0199553499999999,0.0004737290239158,13.917284083874122,13.917284083874122,0.0239425411428571,14.053925881531104,-0.0004276959,5.1078353,0.0092224786835423,-0.0800978915716579,-0.0708754128881156,-0.024880059134266,0.1307402475980054,1.127362310025006,10.72109918870727,0.1381027748330287,0.3121627307830268,0.1931825586215306,7,0.0221531152119246,0.0158699629242793,-0.0550797837885018,0.1248899186696077,0.3535723883204551
Cdc42,38024.0,-0.2801079191922806,0.0,0.0,0.1793236994443141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.971514487713128,0.0004568993598113,1.4016514581657442,-0.0368725399999999,0.0004652571883949,14.035853635114096,14.111135670234708,0.04851358769,14.85914649542596,-0.0006362505,14.41147,0.0437971515882514,-0.0319208023379383,0.011876349250313,-0.0311390510201262,0.2035214622019045,1.2529854306006218,11.12799432097646,0.1440939782947002,0.5328230415700668,0.0931572856531375,7,-0.1211726849475262,-0.1105080905161089,0.0509366926415626,0.2078997415479288,0.522766617366097
Dtnbp1,80072.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.142106195772532,-0.1142740837776923,0.5684644274818442,0.0,-0.2387862401438045,0.5025003405256472,0.356940990524673,0.0047002793889938,0.2835390898719196,0.6428520418486735,2,2.809474993059454,0.0001816614201769,1.050242077316354,-0.0834434424999999,0.000347826039415,15.100535749644145,15.057314877782703,0.0457171524269911,15.607359213601194,-0.0006939226,8.010796,0.0053651124463306,-0.008486833355694,-0.0031217209093633,-0.0340179882897162,0.1964530198351803,1.662566990895264,9.879583249612937,0.2426825120475519,0.5333566812703815,0.256708498094322,23,-0.1317256187595096,-0.2045352568634135,-0.0140259860467701,0.2458551644935134,1.0957646651991424
5730409E04Rik,4553.0,-0.0885068781688738,0.0236408892243873,-0.1699250014420616,0.4834244742586948,0.0317300401003803,0.0018176987385894,-0.0074684398212991,0.2436197066622694,0.0681497519667188,0.0,-0.0644610377155565,0.1375035237492792,0.1178364902936177,0.0,0.0,0.0,0,1.2613762870245198,0.0002949165423076,0.9248253469762078,-0.096547055,0.0006017652970616,13.846755588885298,13.846755588885298,-0.0080921165,14.12104778868692,-0.0010193809,6.290761,0.0546733050966158,-0.0220625042727737,0.0326108008238421,-0.094527809488976,0.1025768830918465,0.5709640485260349,10.772314573921737,0.1875270423888631,0.316523836984901,0.1408068506660904,4,0.0847590342163594,0.0760709867006777,0.0467201917227727,0.0503248815150525,0.1985693990836567
Alg9,68523.0,0.2356282484927918,0.0,0.0,0.2157286910551139,0.0,0.0,-0.1131119538982012,-0.0818353643263449,0.0,0.0,-0.1131119538982012,-0.5101947323178821,-0.1970368470591044,0.0,0.0,0.0,0,1.7242912854378056,0.0004605416924696,1.2989717078504937,-0.07699063,0.0005261254193626,14.660115284008448,14.719656199603795,0.0303559742469635,15.474910029098735,-0.0009054236999999,12.265009,-0.0031208273997833,0.004207167684123,0.0010863402843397,-0.0492810901294987,0.2464660952752667,1.1353447781784165,10.990103963857573,0.0593576077757396,0.4920262306979622,0.1680233789662888,17,-0.3573400732942307,-0.141619220671667,-0.1086657711905491,0.2215301465800041,0.6745007769707658
