gene_name,gene_length.meta,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_DMR,count.enhancer_DMR,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_DMR,9mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_peak,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.DAR,18mo.2mo.log_ratio.DAR,18mo.9mo.log_ratio.DAR,18mo.2mo.log_ratio.DMR,count.DMR,rel_pos.DMR,18mo.9mo.Q.std.loops,loop_size.log.max.loops,18mo.9mo.Q.min.loops,18mo.9mo.Q.mean.loops,9mo.2mo.Q.mean.loops,9mo.2mo.Q.min.loops,loop_size.log.median.loops,18mo.2mo.T.min.loops,min_distance.log.std.loops,min_distance.log.mean.loops,min_distance.log.median.loops,18mo.2mo.T.max.loops,18mo.9mo.T.mean.loops,loop_size.log.mean.loops,18mo.2mo.Q.std.loops,18mo.2mo.T.median.loops,min_distance.log.min.loops,loop_size.log.min.loops,Tanova.median.loops,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,log2_distance.std.atac,log2_distance.min.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.9mo.log_ratio.max.atac,9mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.max.atac
Ell,53401.0,0.0,4,0.0,0.2998199678916742,0.0891924584450825,0.244941669142225,-0.033525800783432,0.2043925202817726,-0.1255308820827658,2.0,0.1561605951014897,-0.3777906361626764,0.165632145257291,-0.4515692303688652,0.0326132483782526,0.4610878539999244,0.2332800848357568,0.0937262455297949,0.2630344058313891,1.0,0.152547913705189,0.198744791423707,0.198744791423707,0,0.0,0.0,-0.4150374992187316,1,0.9418358603081336,0.0011089474562251,17.765499782878056,-0.0018138141999999,0.0007289241833333,4.761784666666652e-05,-0.0014592792999999,17.154675592443127,-0.092065427,0.4140167408459009,14.138145468655532,13.858952310750938,0.07747648,0.0124995614999999,16.008932586096414,0.0012603242747266,-0.026275675,13.589300026152635,13.613444170672004,0.7388532,0.0106839236933969,0.0468210970976938,0.1334891549962784,2.3713168479113267,7.651051691179647,0.1280526565071316,0.3651771602168612,13.825157554701091,0.1113170023606214,8,0.2471260185218091,-0.1383739806540336,0.2199441085212515,0.5847858139242528
Gpr180,26103.0,-0.2630344058289848,15,-0.2630344058289848,0.0,-0.1968914289896037,-0.018989561739839,0.0,0.0,0.0,0.0,0.0,0.0,-0.0730120111026253,0.0,-0.2820891027772978,0.0,0.0,-0.1996976580463821,1.5849625006249766,2.0,-0.3189115716755166,-0.2079611329065875,-0.285982265304407,1,-0.305494816833459,-0.1693082446501828,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0251060635116135,-0.0440441704716164,-0.0187589231280004,1.6986091339064284,10.691743519171364,-0.1344265412565585,0.0821600136559912,13.809265710094554,-0.0235880976970056,3,0.0699580392922989,-0.2499028598845067,0.298964019602119,0.3153251389767659
Tcof1,35216.0,0.0,7,0.0,0.0,-0.0712614918011516,0.2294362761520054,0.0,0.0,0.9328858041352172,0.0,0.0,0.0,0.0,0.2928178636609758,-0.7986816062916491,0.4027440232112131,0.0,-0.1751211569023856,0.3219280948837557,0.0,-0.8302859034597851,-0.1008343338255786,-0.0158886931359574,4,0.477631263564011,0.3879263943766656,-0.6339832846417329,3,0.2043383652930776,0.0014431754523774,18.181433763073027,-0.0019177917,0.0005266472947368,-0.0002751552807017,-0.0019195789999999,17.61528478336519,-0.14858025,0.4937471915991736,13.941132673419531,14.155213530471844,0.1277318999999999,-0.0243849789298245,17.17180337597255,0.001824148804122,-0.0028694299999999,13.421407412062525,14.909893083770042,1.1462041,-0.0185127688294881,-0.0208505127871401,-0.0704625777893638,1.2007750603129328,10.733015321686048,0.239084601436333,0.6919957242615609,13.79715487262964,0.0572882667023985,9,0.523114229417502,-0.2273911644928121,0.2226066283355653,0.4102880827383601
Pappa2,268763.0,0.0,0,0.0,0.0,0.0278856436126755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0278856436126755,0.0,0.0,0.0278856436126755,0.4150374992668215,0.0,0.0,0.0,0.0,3,-0.5087754893315778,-0.0294431026111526,0.7176002691736347,1,0.1493201057328156,0.0010171619732044,20.22698245378339,-0.0013378927,0.0007092226244468,0.0001422370934468,-0.00225158,17.015520884658358,-0.19799148,1.0857381647426063,14.95191689628648,14.885744030290128,0.19507343,0.0108511476710638,17.635252881979333,0.0012047352304523,0.0049472449999999,13.32656992956981,13.576602440771532,0.74424344,-0.0101912210400303,-0.0313139421030588,-0.0134670103996174,0.7016858569388488,14.761707045067178,-0.3196602374549952,0.2316420789799413,16.707736582150734,-0.211806427620364,8,0.3280889165246439,-0.8867186367878712,0.4293853671572274,0.2535799054872115
Sh2d5,10929.0,0.0,13,0.0,0.5998302531525365,0.0949466655064092,0.3844935670752969,0.1925733883549747,-0.0038955934642688,0.7548875021597947,2.0,-0.1088261464406357,-0.0671141958583811,-0.0036806442408945,0.0469262185964603,0.0506371028151546,1.220663829530538,0.101034959512098,0.0997619214889626,0.7104933827999145,2.0,0.2076239249931903,0.2885075706220661,0.273405219797711,1,0.2849418739069573,-0.0563565091645443,0.0,0,0.0,0.001700751107762,18.194602975157967,-0.0006970759999999,0.0014073557583333,-0.0001077216999999,-0.001070948,17.21019396518679,-0.092806676,0.3280089480793369,13.945590241070583,14.16765334867565,0.12234639,0.0030918225833333,16.742655781749452,0.0013776189796143,0.04200329,13.501464025860455,15.22373777921099,0.6151282,0.0481590768783977,0.0112285460804647,-0.0237553617057309,0.8471735291942011,8.942514505339533,0.1623140944857855,0.2849418739069573,11.1401907031919,0.1735056821781664,5,0.065556978384468,0.0288099421411547,0.1148790751067265,0.3412983830715017
Gm16541,26258.0,0.0,3,0.0,0.0,0.0596672279993391,0.222492641903103,0.18751194374736,0.2990166555148854,0.7369655941469699,1.0,0.2990166555148854,0.0,0.0,0.3529645630090394,-0.0575024881932897,0.3694617957306761,0.2990166555148854,0.0752069142235044,0.4150374992668215,0.0,0.155783181250606,0.1994830892424583,0.2201734445736658,0,0.0,0.0,0.0,0,0.0,0.0,19.713544260805016,-0.0002863414,-0.0002863414,-0.0004148712999999,-0.0004148712999999,19.713544260805016,0.09289094,0.0,13.887030173247677,13.887030173247677,0.09289094,0.08749352,19.713544260805016,0.0,0.09289094,13.887030173247677,19.713544260805016,1.3456384,-0.0063072852602587,-0.0692135321341278,-0.0608013059975674,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Fam222a,45204.0,0.3048545815276124,7,0.3048545815276124,0.1476296680456575,0.1138209812823607,0.4216306129412555,0.0,0.0,0.5145731728235754,0.0,0.0,0.0,0.1111787253988323,-0.1137096268330462,-0.0552264635185908,0.5334979722702534,0.0,0.1405155954243691,0.222392421333013,1.0,-0.0116194569642313,0.2331216734903162,0.2893538644939246,3,0.3859927040617483,0.1722564728286721,-0.7254157415259096,3,0.5450234398287402,0.0010899572142622,18.78606538116396,-0.0022440593,9.190656538461544e-05,-4.0824569230769326e-05,-0.0019760939999999,16.992555496587165,-0.156759468,0.3994127055833327,14.160582198386637,13.93045349861345,0.092439613,-0.0161820157384615,17.197681778996564,0.0009629891733885,-0.0138393029999999,13.7714894695006,13.455840909126398,0.88228775,-0.0048956302688268,-0.0835674195027955,-0.1006011441051748,1.5607114820251726,10.090112419664422,0.4521351954033863,1.0804736366726015,14.331126882487863,0.5282885307430331,6,0.402734969574523,0.0089275571037084,0.7441465692438048,2.0166316004347404
Klhl22,33764.0,0.0,7,0.0,-0.0322117961051353,0.1706036951863456,0.2313485201302709,0.1497782304575867,0.5521906286874589,0.1805722456406893,2.0,0.4531325340360772,-0.2223924213347308,0.0,-0.1894553300630142,0.1395079256654288,0.5938773485186162,0.6512487233388407,0.187069156886934,0.0443941193583166,0.0,0.0810444362626645,0.1648853456033337,0.1822630804170657,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0243302487545342,0.1425525013134105,0.0805731341715282,0.4695514605802366,10.288866074165934,0.160511098608754,0.2570750718420616,11.227615943414284,0.2183034882622773,3,0.1006137827298419,0.046365899196616,0.2098094153125807,0.4520832764779963
Ftsj1,13738.0,-0.1154772174190115,12,-0.1154772174190115,0.3918674246092493,-0.0662806746684918,0.3390278840615228,0.1120795214620535,-0.128459852567768,0.9999999999879776,2.0,-0.1396196682136095,0.0,-0.0188170387384758,0.0796787400764821,-0.1899901738975202,0.5568950788370511,-0.1173000369219265,-0.034888956904016,0.0,0.0,-0.1198358561772789,0.075891297391462,0.0403976141519537,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0084750921216222,0.0938581127345657,0.0598210479133158,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Orc4,47453.0,0.0,1,0.0,0.0,-0.119037495560299,0.0205398432585415,0.0,0.0,1.5849625006971109,0.0,0.0,-0.4999999999819664,0.0011494171856778,0.0876781352843432,-0.2449787606807136,1.4554273685645265,0.0,-0.1290316608855063,0.3219280948801484,1.0,-0.2888418742337455,-0.117242309338845,-0.0918877457715422,1,-0.3327250188436621,-0.254124940293837,0.0,0,0.0,0.0010229352437378,20.145693374677023,-0.0009216747999999,0.0010592810674698,4.437850481927715e-05,-0.0013358191,18.491489089260877,-0.1173970699999999,0.5584547666818891,14.3356110617642,14.443267340390008,0.21164191,0.0757161624337349,18.79723197744104,0.0009521167312761,0.04403586,13.401946123976536,18.071409986814984,0.9339927,0.0040378782926065,0.2421488713291506,0.1796830543461809,0.3142720969065767,11.241387363998996,-0.2546022890766785,-0.2042459077787874,11.863799103728889,-0.1428412382888438,3,0.0011494171856778,-0.2279853577932638,0.0768549979433707,-0.078600078549825
