gene_name,gene_length.meta,9mo.2mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,9mo.2mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_DMR,18mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_DMR,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_DMR,9mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.5kb-20kb.enhancer_peak,18mo.9mo.contact.log_ratio.min.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_peak,count.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,9mo.2mo.log_ratio.DAR,9mo.2mo.log_ratio.DMR,size.log2.DMR,distance.log2.DMR,18mo.9mo.Q.std.loops,9mo.2mo.Q.median.loops,loop_size.log.max.loops,18mo.9mo.Q.max.loops,18mo.9mo.Q.mean.loops,18mo.9mo.T.median.loops,Qanova.min.loops,18mo.2mo.T.max.loops,18mo.2mo.T.median.loops,loop_size.log.min.loops,Qanova.mean.loops,9mo.2mo.Q.mean.loops,loop_size.log.median.loops,min_distance.log.std.loops,min_distance.log.mean.loops,9mo.2mo.T.median.loops,18mo.2mo.Q.min.loops,18mo.9mo.T.min.loops,loop_size.log.std.loops,18mo.2mo.T.min.loops,18mo.2mo.T.mean.loops,18mo.2mo.Q.std.loops,min_distance.log.min.loops,18mo.9mo.T.std.loops,18mo.2mo.Q.max.loops,18mo.9mo.Q.min.loops,9mo.2mo.Q.min.loops,9mo.2mo.Q.max.loops,9mo.2mo.Q.std.loops,loop_size.log.mean.loops,min_distance.log.max.loops,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,18mo.9mo.log_ratio.min.atac,18mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.std.atac,count.atac,18mo.2mo.log_ratio.min.atac,log2_distance.mean.atac,log2_distance.std.atac,log2_distance.min.atac,9mo.2mo.log_ratio.mean.atac,18mo.9mo.log_ratio.max.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Adamts3,0.16235972341150046,0.0,0.0,-0.0027751661837100983,0.0,-0.019770719576627016,0.0,0.0,-0.01416601836681366,0.0,0.0,0.0,-0.0036307566054165365,0.0,0.0,-0.023543373681604862,0.0,0.0,0.0,0.0,0.0,0.0,0.0006409637629985809,0.0,0.0,0.0,0.0,0.0,-0.0031527702347375454,-0.02908089429140091,0.0009235381189500913,0.0,0.0,0.0,0.0,0.0031897589191794396,0.0,0.0,-0.008125685118138791,-0.07862857800908386,0.0,0.0,0.00035917636938393116,0.0,0.0,0.0,0.0,0.0,-0.007025954090058803,0.0,0.0,0.0,-0.015865540839731695,0.0008464645594358444,0.009563179346732795,0.0,0.028812979944050313,0.0,-0.012708604633808136,0.0,0.0,-0.0017458145320415498,0.013135222741402686,0.0,-0.0026970184221863746,-0.03994079665280879,0.011814570401329548,0.0077849330753088,0.005167956529185176,-0.19855163720902055,-0.015589405517093837,-0.25952626338228585,-0.04316038945689797,-0.048401391778606924,0.0005675445590168237,0.04311739841941744,0.0,0.00031935007311403754,-0.05558453176170588,0.0,0.0,-0.09756446804618463,-0.09177825013408437,0.0012295676488429308,0.0010452849697321653,-0.13539902662858366,0.0,0.0585458461381495,-0.019440328599885107,1.0,0.0
Mrps35,0.1681755950860679,0.0,0.0,0.0044402660429477695,0.0,0.008368072006851435,0.0,0.0,0.003541504591703415,0.0,0.0,0.0,-0.0036307566054165365,0.0,0.0,0.001902494840323925,0.0,0.0,0.0,0.0,0.0,0.0,0.0003333011595532298,0.0,0.0,0.0,0.0,0.0,0.0001489916816353798,0.011022597029805183,-0.008363581486046314,0.0,0.0,0.0,0.0,0.0022651910642161963,0.0,0.0,-0.03661880761384964,0.02324013914912939,0.0,0.0,0.0007077104598283767,0.0,0.0,0.0,0.0,0.0,-0.007025954090058803,0.0,0.0,0.0,-0.0028125277999788523,0.0001692929118871689,-0.03753483798354864,0.0,-0.0018013400584459304,0.0,-0.00790085200453177,0.0,0.0,-0.0017458145320415498,-0.007649640614799864,0.0,-0.0004690466821193695,-0.059509148318320514,0.021580926107708363,-0.021915531740523873,0.0016508749732747673,-0.08943504334776663,-0.0038318520644679667,-0.0767007216764614,-0.051742410939186814,-0.013013545623980462,-0.0005586490361019969,-0.09222866438329219,0.0,0.0011709502711892128,0.016821634583175184,0.0,0.0,0.05236408660653979,-0.014738178439438343,0.0,0.00022192303400515813,-0.08370106628164649,0.0,-0.07804606324061751,-0.02081744447350502,1.0,1.0
Wasf2,0.27911925269290805,0.0,0.0,-0.003885232787579298,0.0,-0.00487371226772666,0.0,0.0,0.003541504591703415,0.0,0.0,0.0,-0.0036307566054165365,0.0,0.0,0.007847791202366353,0.0,0.0,0.0,0.0,0.0,0.0,0.004794408958405256,0.0,0.0,0.0,0.0,0.0,0.00039376372005790473,-0.004338681809604168,0.002921493148896843,0.0,0.0,0.0,0.0,-0.0047152957785874606,0.0,0.0,-0.03661880761384964,0.029014757736586034,0.0,0.0,0.0011919333972036838,0.0,0.0,0.0,0.0,0.0,-0.007025954090058803,0.0,0.0,0.0,0.007500073853880167,0.0008464645594358444,0.03368905540555715,0.0,-0.001978687457740307,0.0,0.004317953651770949,0.0,0.0,-0.0017458145320415498,0.01143594694789499,0.0,-0.0004690466821193695,-0.037475430481135844,0.04345060977619141,0.03389381270855665,0.004809070648625493,-0.17208126433193682,0.03403336528688669,0.11306586554273963,-0.05428931711241603,0.021521841222420336,0.011856839070096612,0.15154099445790054,0.0,0.0011709502711892128,0.0054853156208992,0.0,0.0,0.09084718916565179,-0.027545710066333412,0.003393606673926115,0.000997433513402939,0.031663047056645154,0.0,-0.10338539134711028,-0.017079558968544007,1.0,2.0
Rock1,0.31392869202420115,0.0,0.0,-0.0027751661837100983,0.0,-0.005885237455368042,0.0,0.0,-0.01416601836681366,0.0,0.0,0.0,-0.0036307566054165365,0.0,0.0,0.00225921262986958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038844259828329088,0.045849313177168366,-0.004427689218136948,0.0,0.0,0.0,0.0,0.007350313933566213,0.0,0.0,-0.0023773838090710344,0.013640511068515479,0.0,0.0,0.000425690496340394,0.0,0.0,0.0,0.0,0.0,-0.007025954090058803,0.0,0.0,0.0,0.007500073853880167,0.004063029736280441,-0.004384192144498229,0.0,-0.00226441390812397,0.0,0.024714455651119353,0.0,0.0,-0.0017458145320415498,0.013135222741402686,0.0,-0.000938093364238739,-0.04299749319441617,0.004633806014899164,0.04082807125523687,0.005167956529185176,0.13337713048327715,-0.0051062543410807845,-0.30349833114072683,-0.014737373143434524,-0.021383553082123398,0.003925504796206951,0.05612826653756201,0.0,-0.0023773838090710344,-0.05558453176170588,0.0,0.0,-0.024340454295743257,-0.009540932737290859,0.0039837991446256635,0.0010452849697321653,-0.19844520568847657,0.0,0.03202450463548303,-0.016538549195975066,1.0,0.0
Hnrnpa2b1,-0.7990431506885216,0.0,0.0,-0.00599435898475349,0.0,-0.003402402903884649,0.0,0.0,-0.017176297269761564,0.0,0.0,0.0,-0.006973582245409489,0.0,0.0,0.0011890592984855175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018623960204422474,-0.004338681809604168,0.0018991552758961916,0.0,0.0,0.0,0.0,0.0019415924046188593,0.0,0.0,-0.0012774002552032471,-0.025623382071498783,0.0,0.0,0.0006704625394195319,0.0,0.0,0.0,0.0,0.0,-0.023481099121272563,0.0,0.0,0.0,0.008581815315410494,0.0003385858237743378,-0.0018459757044911385,0.0,-0.017764192880131303,0.0,0.003547302917577326,0.0,0.0,0.06139447793364525,0.00782371219713241,0.0,-0.0004690466821193695,-0.0462478400580585,-0.003812957985792309,-0.01883121442515403,0.0029189384961500766,0.03267335681244731,-0.0007919563795439899,0.05279428856913,0.018430412961170078,-0.013660424062982202,-0.020311647271737458,-0.0669531930796802,0.0,0.0,0.0036568772047758102,0.0,0.0,-0.012679509916342795,0.022545924163423478,-0.014312166702002287,0.0003919664863497019,-0.029751030122861268,0.0,0.03572174709290266,-0.03734283281490207,1.0,1.0
Snx12,0.2426055398955941,0.0,0.0,-0.006475387811660766,0.0,0.008368072006851435,0.0,0.0,0.003541504591703415,0.0,0.0,0.0,-0.0036307566054165365,0.0,0.0,0.000951247438788414,0.0,0.0,0.0,0.0,0.0,0.0,0.0003333011595532298,0.0,0.0,0.0,0.0,0.0,0.0018411114253103734,-0.02908089429140091,0.007588428743183613,0.0,0.0,0.0,0.0,0.00332844409160316,0.0,0.0,-0.03661880761384964,0.03258364004082978,0.0,0.0,0.0017506521753966808,0.0,0.0,0.0,0.0,0.0,-0.007025954090058803,0.0,0.0,0.0,-0.0028125277999788523,0.0008464645594358444,-0.03753483798354864,0.0,-0.0018013400584459304,0.0,-0.01930512212216854,0.0,0.0,-0.0017458145320415498,-0.013077850218687672,0.0,-0.0026970184221863746,-0.042715482972562314,0.021580926107708363,-0.048783612037077546,0.0022968696360476317,-0.1459476688085124,0.0021470019035041334,-0.18128631837666034,-0.03273119328543544,-0.05931956119835377,-3.9083417505025865e-06,-0.04890658910386264,0.0,0.0011709502711892128,0.016821634583175184,0.0,0.0,0.05236408660653979,0.04034977323375642,-0.009443079233169555,0.0003923326820950024,0.03653243068605661,0.0,0.0004854276613332331,-0.03247374534606934,1.0,1.0
Trmt10c,-0.7386719724815339,0.0,0.0,-0.00599435898475349,0.0,-0.00698871947824955,0.0,0.0,0.00478103119879961,0.0,0.0,0.0,-0.010562200974673032,0.0,0.0,0.0011890592984855175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003139467572327703,-0.004338681809604168,-0.009114226103411055,0.0,0.0,0.0,0.0,0.0014528922643512487,0.0,0.0,-0.0038676842395216227,0.02414822441060096,0.0,0.0,0.0007077104598283767,0.0,0.0,0.0,0.0,0.0,-0.028233594447374343,0.0,0.0,0.0,-0.0028125277999788523,0.0,-0.00502515590749681,0.0,-0.017694731801748277,0.0,-0.0029791258368641136,0.0,0.0,-0.008729072660207749,-0.005874132955796085,0.0,-0.0004690466821193695,-0.04319114351645112,0.0051988933642860505,-0.041228572393301875,0.001244137706235051,-0.07075178503990173,-0.004969292581081391,0.06054264226462692,0.024193662013858558,-0.014059348916634917,-0.020615433836355807,-0.0598390812985599,0.0,0.00017741670366376637,0.0036568772047758102,0.0,0.0,-0.02714818503241986,0.028532064738683402,-0.010033271722495556,-0.005979231073943083,-0.03672620137775084,0.0,0.03105609746999107,-0.03306393783539534,1.0,0.0
Cep131,-0.021777185946702957,0.0,0.0,0.03801977701485157,0.0,-0.0025747913867235185,0.0,0.0,0.00478103119879961,0.0,0.0,0.0,-0.0036307566054165365,0.0,0.0,0.001902494840323925,0.0,0.0,0.0,0.0,0.0,0.0,0.0005896866647526622,0.0,0.0,0.0,0.0,0.0,0.008976748436689377,-0.004338681809604168,0.03359394315630197,0.0,0.0,0.0,0.0,0.0023576478473842145,0.0,0.0,0.01607395339757204,0.05559440441429615,0.0,0.0,0.006779121197760105,0.0,0.0,0.0,0.0,0.0,0.1561806334927678,0.0,0.0,0.0,-0.0028125277999788523,0.0003385858237743378,0.010332335862331092,0.0,-0.0015698031336069107,0.0,-0.004481601389124989,0.0,0.0,-0.003491629175841808,-0.04302406833099667,0.0,-0.0004690466821193695,-0.08134269785135985,0.018640793664380907,-0.04328243371099234,0.004091298887506128,-0.059304346991702915,-0.004852632014080882,0.08607144557870924,0.024193662013858558,0.03262349136173725,-0.0008822477702051401,-0.0914429429732263,0.0,0.0010645002499222755,0.0054853156208992,0.0,0.0,0.023412674376741053,0.10026781153865158,-0.03472298894077539,0.0011667445715283975,0.019072337811812758,0.0,0.0386556483223103,-0.019882972948253155,1.0,2.0
Ppp1r16a,0.10445939813740551,0.0,0.0,-0.016743502728641033,0.0,-0.00487371226772666,0.0,0.0,0.002124902755022049,0.0,0.0,0.0,0.04153229618445039,0.0,0.0,0.001902494840323925,0.0,0.0,0.0,0.0,0.0,0.0,0.004794408958405256,0.0,0.0,0.0,0.0,0.0,0.0020805623289197684,-0.0069184385612607,0.01069711547344923,0.0,0.0,0.0,0.0,-0.003235987313091755,0.0,0.0,0.058618478775024414,0.03443943031132221,0.0,0.0,-0.0717501337826252,0.0,0.0,0.0,0.0,0.0,0.08997137606143951,0.0,0.0,0.0,0.003245224244892597,0.0001692929118871689,0.03368905540555715,0.0,-0.0017087252903729678,0.0,-0.005632207430899143,0.0,0.0,-0.0020367837511003017,0.012869659499265253,0.0,-0.0007035700231790543,-0.059509148318320514,0.07091471493244171,-0.04393576618283987,-0.055292349066585304,-0.030200910456478595,-0.003811418558470905,0.0951091040065512,-0.004568221094086766,-0.009191462127491832,-0.0010209329426288604,-0.12558832922950386,0.0,0.00997081883251667,0.0054853156208992,0.0,0.0,0.10167883187532425,0.05378134936094284,0.0,0.0008430133986985311,0.014932305380352773,0.0,0.045585972731932996,-0.02007970377802849,1.0,1.0
Hnrnpu,-0.12108481670729816,0.0,0.0,-0.006475387811660766,0.0,0.003402402903884649,0.0,0.0,-0.007791310101747512,0.0,0.0,0.0,-0.010562200974673032,0.0,0.0,-0.010939345546066761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001489916816353798,0.045849313177168366,0.0021933272480964662,0.0,0.0,0.0,0.0,0.00402186993509531,0.0,0.0,-0.0032644674321636556,-0.03270256474614144,0.0,0.0,0.0006704625394195319,0.0,0.0,0.0,0.0,0.0,-0.020441430397331716,0.0,0.0,0.0,-0.005552939334884286,0.0003385858237743378,-0.0037175898253917696,0.0,-0.0019171085208654405,0.0,0.013157358036842197,0.0,0.0,-0.008729072660207749,0.00800736781442538,0.0,-0.000938093364238739,-0.06913407769054175,-0.008935873305308633,-0.011325622927397489,0.0027514584199525415,0.012815784276463092,-0.0023249606788158417,-0.11103803359437733,-0.0008604138065129519,-0.029743050280958413,0.0008282026741653681,-0.047671758932992817,0.0,0.0,0.016821634583175184,0.0,0.0,0.013056185635505244,0.02563736367970705,-0.012836685534566641,-0.019521125615574418,-0.12493445871397853,0.0,0.003864727895706892,-0.03586735164746642,1.0,1.0
