gene_name,gene_length.meta,9mo.2mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,9mo.2mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_DMR,18mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_DMR,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_DMR,9mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.5kb-20kb.enhancer_peak,18mo.9mo.contact.log_ratio.min.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_peak,count.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,9mo.2mo.log_ratio.DAR,9mo.2mo.log_ratio.DMR,size.log2.DMR,distance.log2.DMR,18mo.9mo.Q.std.loops,9mo.2mo.Q.median.loops,loop_size.log.max.loops,18mo.9mo.Q.max.loops,18mo.9mo.Q.mean.loops,18mo.9mo.T.median.loops,Qanova.min.loops,18mo.2mo.T.max.loops,18mo.2mo.T.median.loops,loop_size.log.min.loops,Qanova.mean.loops,9mo.2mo.Q.mean.loops,loop_size.log.median.loops,min_distance.log.std.loops,min_distance.log.mean.loops,9mo.2mo.T.median.loops,18mo.2mo.Q.min.loops,18mo.9mo.T.min.loops,loop_size.log.std.loops,18mo.2mo.T.min.loops,18mo.2mo.T.mean.loops,18mo.2mo.Q.std.loops,min_distance.log.min.loops,18mo.9mo.T.std.loops,18mo.2mo.Q.max.loops,18mo.9mo.Q.min.loops,9mo.2mo.Q.min.loops,9mo.2mo.Q.max.loops,9mo.2mo.Q.std.loops,loop_size.log.mean.loops,min_distance.log.max.loops,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,18mo.9mo.log_ratio.min.atac,18mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.std.atac,count.atac,18mo.2mo.log_ratio.min.atac,log2_distance.mean.atac,log2_distance.std.atac,log2_distance.min.atac,9mo.2mo.log_ratio.mean.atac,18mo.9mo.log_ratio.max.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.max.atac
Htt,150794.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.432959407274236,0.0,0.0,0.0,-0.0147234216274347,-0.0147234216274347,0.0,0.432959407274236,0.432959407274236,0.432959407274236,0.0,0.0,0.0,0.0,0.0,0.0804322169197919,0.0,4,0.432959407274236,0.0951556385472267,1.0,-0.0147234216274347,0.0804322169197919,0.432959407274236,0.0,0.4964258260444942,5.129283016949088,13.310754772215327,0.0011991408219409,-7.377160000000046e-05,19.35580702888899,0.003869759,0.0009042334194945,0.035824298,0.002595507,0.1993670092199999,0.0345256,13.801102057146291,1.8618385380216609,9.505657906137184e-05,16.362799982760414,0.7814607000603367,14.615597212789512,0.00341214,-0.001896576,-0.130414132,1.4327688430373786,-0.1823659,0.0339975631177617,0.0014937893532176,13.324743110494415,0.0600515866948952,0.0054668169999999,-0.0018401547,-0.0019045746999999,0.002942513,0.0008689009701585,16.38487632422817,16.367244096869253,-0.0078345669341289,-0.001000695500389,0.0068338714337398,-0.0589475165420189,0.0287108176322319,0.1295768907239158,0.5630770911076245,16.126099459327655,-0.7242182570825683,0.2904798379657241,-0.3377542774508937,0.291861517893508,26,-0.5691200781065779,14.508148817817784,1.696254107664893,9.882643049361992,0.1199290681260404,0.7146343187954143,0.0096478225978754,0.6811289503455333
Nelfe,5981.0,0.0473057147782016,0.6571122864749617,0.0473057147782016,0.6988777126249603,0.3785116232526206,0.6571122864749617,-0.0684695517418948,0.0884388810416778,0.7503509577065637,0.0979795396806723,0.2614969157365818,2.0,-0.1295207233381701,-0.0299155428244972,-0.1069152039157192,0.1443899093344516,0.8479969065421264,0.4854268271674935,0.135444617513153,0.0758309914230179,0.0600999534310284,0.0845860039556827,-0.2954558835255634,0.2785043485581702,-0.0923249078252164,16,0.6571122864749617,0.3762236239214722,1.0,-0.0602955825611998,-0.0238952791994506,0.8339900485583174,0.0,0.0,0.0,0.0,0.0013480155988772,-3.682160000000002e-05,19.645264384167533,0.00401644,0.0007459077509803,0.02077863,0.0015534228,0.13594928,0.0396211999999999,15.399978804674015,1.049862651517647,-0.0001822002058823,17.609640474436812,0.3241084141062453,13.919430576676682,0.0067845,-0.0017791634,-0.1083349399999999,0.9067879164742662,-0.130082744,0.0246729215039215,0.0013443772136381,13.502956083262315,0.0468909995156492,0.003973132,-0.001529376,-0.0036156849999999,0.0018063235,0.0009308536527524,17.34718356902892,14.16671230714146,-0.0553660521328293,0.0049287409493872,0.0602947930822166,-0.0739845847169737,0.0060354767270612,0.2847112786089386,0.379674016230725,11.351491409320076,-0.0454185555126862,0.1063287815846013,-0.1825017031457921,0.2627069330051123,4,0.1450538171726738,10.372023258531517,1.3711999899369975,8.357552004618524,0.134104725239072,0.5364458005752031,0.1506065533698665,0.3534051826848652
4930578M01Rik,13098.0,0.0,0.2294818461220362,0.0,0.2294818461220362,0.0,0.2294818461220362,-0.1297487133778574,0.0458036896129794,0.4012382594176777,-0.0151487357105194,-0.0129099550038085,1.0,-0.0955223965303782,-0.0720423110722876,-0.8194277543545017,0.0,0.8365012677125865,0.0458036896129794,0.1190728328724016,0.1261999007600195,0.020212115687744,-0.0129099550038085,0.184424571136641,0.1649862861345927,-0.0129099550038085,12,1.3388019134466278,0.2370285972068804,1.0,-0.0702809600169124,-0.1407165584516407,0.4799733752376975,0.0,0.0,0.0,0.0,0.0012833154296147,-0.000295397,18.081805878020955,0.003739247,0.0014549533833333,0.03478235,0.03777943,0.1601056299999999,0.06736779,15.935809623751084,1.4891719295,-0.0002242976666666,16.827299018252685,0.155071947724661,13.589907595552743,0.025443265,-0.0003770296999999,-0.060189357,0.6274656257366618,-0.0597269669999999,0.0627107249583333,0.0012629675408675,13.461607340113764,0.0554356247682265,0.003913353,-0.00055526,-0.001859927,0.00266004,0.0010383947820036,16.91154990324782,13.769527953167312,-0.0076505009371947,0.089892227474235,0.0975427284114298,-0.0273368837432854,0.0061900580267587,0.0990292404829391,0.1851333666373209,11.104598753564437,-0.0655612997187482,0.1217696229838106,0.0784864140473056,0.1060837029318114,2,0.0129251143285573,10.760170260927316,0.4870954455551358,10.415741768290196,0.0895780344852242,0.0844637117141779,0.0094512059977148,0.1006696549231429
Commd8,11614.0,0.0,0.7104933828024649,0.0,0.7104933828024649,0.0,0.7104933828024649,0.0125141163422465,0.1069152039157192,0.1069152039157192,0.1069152039157192,0.0,0.0,-0.0474919898612031,-0.0474919898612031,0.1069152039157192,0.0,0.1069152039157192,0.1069152039157192,0.0,0.0,0.0,0.0,0.0,-0.4100276054674747,0.0,7,0.0,-0.3625356156062715,1.0,-0.0474919898612031,-0.4100276054674747,0.1069152039157192,0.0,0.0,0.0,0.0,0.0007910028685606,0.0002167482999999,21.298939634972704,0.0031095675,0.000655899122807,0.0717061299999999,0.02808254,0.2507460099999999,0.0547667699999999,16.087504278357486,1.5338920027719298,0.0002371090859649,19.09506730160705,0.2579165987510248,13.706015277008584,0.00511716,-0.0005645811999999,-0.1028692599999999,1.5691167263247645,-0.0273777439999999,0.0657710857719298,0.0009671032767965,13.313875034039125,0.0678734116101868,0.0035201189999999,-0.0008526629,-0.001282366,0.0024146257,0.0006962107728956,18.93525170317813,13.872674880270605,0.0088221475353771,-0.0156566526968299,-0.024478800232207,-0.0925853372269664,-0.0860808703658371,-0.0694857652209252,0.0219030177746577,12.132821006779604,-0.2987559657273833,0.113393127589467,-0.2646425970955492,0.1572823181656764,5,-0.2533985405236811,11.635958688709035,0.3793232816683199,11.120885842787857,-0.0209774010059418,0.1114300572565368,-0.0485083642149834,0.2519714946287246
Abca8b,63655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5849625007091332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5849625007091332,0.5849625007091332,0.0,0.0,0.0,0.0,0.0,-0.2017162480064733,0.0,5,0.0,0.0,2.0,0.0,-0.2017162480064733,0.5849625007091332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0109772385072103,-0.0037963468927619,-0.0147735853999722,-0.0037646217186598,0.0480467165293401,0.1172745185862205,0.5425580716095297,14.97598227422782,-0.2511592910617257,0.3034067500418433,-0.2425845105286308,0.1307624512918921,9,-0.4005991962106199,13.557380944432431,1.4868480664226231,11.1554507313122,0.2224256308056718,0.2001524586834323,-0.1051511122194512,0.6413531892414196
Tmem107,2487.0,-0.558870134462842,0.3870231231083769,-0.4656635723478644,0.3870231231083769,0.0951572330401306,0.3870231231083769,-0.2909486689527722,0.331205908474419,0.7182290315827959,0.2953653454683849,0.1403861775993706,5.0,-0.1066734410609377,0.0470358921198386,0.1520030934442484,0.3870231231083769,0.7182290315827959,0.7182290315827959,0.0872994157736791,0.0202792785198687,0.0809569681815827,-0.1132266857261004,-0.1312445332776555,0.1578136577296423,-0.1950525162505805,13,0.3870231231083769,0.1064534791005864,0.0,0.0134667869799535,-0.0358363786190087,0.7182290315827959,0.0,0.0,0.0,0.0,0.0011866125890854,-0.00029026805,18.798361048134904,0.004357145,0.0005045117886363,0.019268425,0.0572506,0.0666776339999999,-0.001800015,15.486237964110655,1.3771841187954543,-0.0002828190795454,17.870730638064423,0.3750240422250122,13.87570358363784,-0.018387333,-0.0014956482,-0.07464952,0.9569279272916156,-0.1049898599999999,-0.002648793,0.0011517137437373,13.450438032395652,0.0357585553849275,0.004020261,-0.0016341691,-0.0013267916,0.0010904919,0.0005558042120448,17.564747909295036,14.198905402581904,-0.0957162978482739,0.0328127312525848,0.1285290291008588,0.0134946701991881,0.0067903987923869,0.1824210767247134,0.3038786656934396,11.219773550892937,-0.1381179843469187,0.1087755093327861,0.0444908958065011,0.0688113783555748,4,0.0718914797275629,10.927446374827474,0.3008434448514935,10.59991284218722,0.2447997642981135,0.0274005839210618,-0.0623786875734,0.4419966500403582
A430108G06Rik,2625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000779134,16.609640474436812,0.001306614,0.001306614,0.0795672999999999,0.5161683,0.0643594499999999,0.0643594499999999,16.609640474436812,0.5161683,-0.000779134,16.609640474436812,0.0,13.63117705570398,-0.0152078499999999,0.00052748,0.0795672999999999,0.0,0.0643594499999999,0.0643594499999999,0.0,13.63117705570398,0.0,0.00052748,0.001306614,-0.000779134,-0.000779134,0.0,16.609640474436812,13.63117705570398,0.0127517742308804,0.0367520067896484,0.0240002325587679,-0.0504050818916331,-0.0470868999232944,0.240594286375711,0.30628829929885,11.131213905086335,-0.1712603543305948,0.0929053640426166,0.2573577589262366,0.062793110757555,2,0.1749002734525719,10.942633136307672,0.266693480809533,10.754052367529008,0.3674532062778407,-0.0824574854736646,-0.1268589199021297,0.4775486536294449
Exosc4,3280.0,-0.2267708618465755,0.1520030934442484,-0.2267708618465755,0.155178221214412,0.2847294769326431,-0.0874628412498088,-0.0232308112764316,0.2141248053520508,0.6763146509759632,0.2531048703893044,0.3157153697337653,4.0,-0.2083855421899665,-0.1164559464571621,0.0,0.0874628412500744,1.2016338611655737,0.5260688116658239,0.1380418043365432,0.1358152077763731,0.0749578842073698,-0.1506100326007355,0.0874628412500744,0.1444888298762028,-0.1888405460007902,15,1.0641303374162945,0.2506505759418331,1.0,-0.1044632892029331,-0.2029089910321362,0.5639008851912974,0.0,0.0,0.0,0.0,0.0017459004788802,6.518500000000232e-05,18.619417596048343,0.005606352,0.0014890544689655,0.06842424,0.073263936,0.1716702899999999,0.10031204,16.095067301607052,1.8112024512413791,7.165644482758628e-05,18.34394906453372,0.1419342707038661,13.755638400343615,0.06080804,-0.000428971,-0.06072124,0.9824428151313216,0.0419313699999999,0.1058898862068965,0.0017891674823912,13.629925753007772,0.0536647845611844,0.005444363,-0.0012710275,-0.0017948429999999,0.001634545,0.0009019244653787,17.632461782830923,13.910361658603122,-0.0544633996624062,-0.0187544296028627,0.0357089700595434,-0.0365328517918019,-0.0562920766313782,0.1727200418088973,0.4041763205737916,10.777255315192006,-0.1154229288840222,0.2004673696113683,0.0352975413063494,0.0934632355745967,3,0.0541354108490708,9.073615475816151,2.9213056650185107,5.700439718143866,0.1834675500362819,0.0643425346591473,-0.0107475082273845,0.3398337859146443
Glt8d1,10591.0,0.1420190048719618,0.2756344426121071,0.1420190048719618,0.2756344426121071,0.0962153152589824,0.2756344426121071,0.0518267961344962,-0.181285039690207,5.011546733157958e-13,-0.181285039690207,-0.1048624463493625,1.0,-0.0734415109933959,-0.0316553296869854,-0.5849625007151449,-0.6374299206095668,0.4150374992758383,-0.415037499274836,0.0227552505789963,0.0363393337443103,0.0590945843233067,-0.1048624463493625,0.8479969065421264,-0.1013956951956558,-0.1048624463493625,9,0.9999999999909832,-0.0601349681862748,1.0,-0.0316553296869854,-0.1335764791796707,5.011546733157958e-13,0.0,0.0,0.0,0.0,0.0019188021884069,0.0004464424999999,17.46657040681149,0.0034843029999999,0.00108909794,0.025405668,0.2001018,0.1291651999999999,0.0100063649999999,15.142346422683332,1.740394744,0.000221808175,16.39159146123481,0.3158113381467577,13.812935871720956,0.023905415,-0.0019219379999999,-0.141314406,0.6364603732902091,-0.099243053,0.0082503184499999,0.0015252791546932,13.372729053038164,0.0975154829506607,0.003878556,-0.00285002,-0.002043929,0.0015171854,0.0010643826945968,16.356085427213287,14.243248377957478,0.0101418240025902,0.0221079416080798,0.0119661176054896,-0.0610205537799507,0.0109867197017139,0.1786661039208205,0.3662933707050415,11.805340828416425,-0.3239325691158057,0.1611577857281341,0.0723102436980622,0.2089908954789908,4,0.0356902065629314,11.236790955389596,0.55391749327876,10.51668494930971,0.2568826667802731,0.1871624324429865,-0.0782165628594525,0.6902259398208472
Chpf,4738.0,0.1270506405314635,0.0,0.1312445332776555,0.0,0.5525410230277581,0.0,0.0,-0.1110313123883157,-0.0174846830992784,-0.099560542966391,0.0,0.0,-0.2140388095813588,-0.1685294048889116,-0.4360991148055664,-0.3048545815268042,0.8365012677125865,-0.6166713604468219,0.1974115975436187,0.2450055382534257,0.1100104909643509,0.0,0.0,0.2757490494139816,0.0,10,0.222392421333013,0.4003113997149992,2.0,-0.111745053835827,-0.2632795268237835,0.0347704666261867,0.0,0.0,0.0,0.0,0.0010728823083487,-0.000410815,18.09506730160705,0.0038057279999999,0.0018278298828571,0.0631747699999999,0.050939456,0.210290376,0.0772429699999999,15.776330214140096,2.139573054742857,-0.0001871986342857,16.958847205402932,0.0771561529088222,13.547797716332663,0.0368619399999999,-0.0005308506,-0.03238171,0.6657414030520962,0.0190556599999999,0.0903380986857142,0.0012148682911455,13.464928580385513,0.0443709678066489,0.004270346,-0.0004877144,-0.001808194,0.0028454048,0.0009868982602582,16.93124256683276,13.617582251867107,-0.0388958877418933,0.0030705689611586,0.0419664567030519,0.0172190066341419,-0.0147120918079648,0.0718440043967738,0.243837367967838,11.954923292030356,-0.1325550013707279,0.1299523466200951,-0.0389722084858501,0.1034218714509133,6,-0.0958949462302283,10.934211228012664,0.9664316269520792,9.33762190199273,0.0751162294342897,0.1590046828758153,-0.0032722250375159,0.1934532908978785
