gene_name,gene_length.meta,9mo.2mo.contact.log_ratio.median.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_DMR,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,18mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_DMR,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,rel_pos.DAR,count.DAR,Tanova.std.loops,18mo.2mo.Q.mean.loops,loop_size.log.std.loops,18mo.2mo.T.min.loops,9mo.2mo.Q.std.loops,min_distance.log.mean.loops,min_distance.log.median.loops,18mo.2mo.T.mean.loops,min_distance.log.max.loops,18mo.2mo.Q.min.loops,Qanova.max.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.std.atac,log2_distance.std.atac,log2_distance.min.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Fam169a,0.026640944578684867,0.0,0.0,0.003652321547269821,0.0016556877270340919,0.0,0.0,0.0,0.0,0.0,-0.09988163750618696,0.0,0.003141361512243748,0.0,0.0,0.0,0.10421006768476218,0.0,0.0004869762063026428,0.00993216508999467,0.0029127657413482665,0.004497117381542921,0.0,0.0,0.0,0.004535410217940807,0.0,0.0,0.00378688498865813,0.02432182013988495,0.02327662075869739,0.00702225468121469,0.0031339737866073847,0.003906671479344368,0.0,-0.026077575851231813,0.0026116448175162077,0.0034887770935893058,0.0,-0.04275647038593888,0.0,-0.0018308332841843367,0.004737302027642727,0.002286895737051964,0.0009110196307301521,1.0,0.0
Ankdd1a,0.03778863207902759,0.0,0.0,0.005941109722480178,0.0016556877270340919,0.0,0.0,0.0,0.0,0.0,-0.09256639324128628,0.0,0.00663598706945777,0.0,0.0,0.0,0.11493221446871757,0.0,0.00153397505171597,0.00993216508999467,0.004032811019569636,0.004497117381542921,0.0,0.0,0.0,0.004535410217940807,0.0,0.0,0.00378688498865813,0.02432182013988495,0.02537061844021082,0.0072900915890932085,0.0031339737866073847,0.003906671479344368,0.0,-0.0800588883459568,0.002757737683132291,0.0034887770935893058,0.0,0.02655060721561313,0.0,0.013714060382917524,0.004737302027642727,0.002286895737051964,0.0009110196307301521,1.0,1.0
Zfp202,0.05635568290483207,0.0,0.0,0.013270101621747016,0.0026121386233717205,0.0,0.0,0.0,0.0,0.0,0.04973230842500925,0.0,0.004978817952796817,0.0,0.0,0.0,0.08001832352834753,0.0,0.004504529908299446,-0.032687443420290944,0.005429418999701738,-0.014731936249881982,0.0,0.0,0.0,-0.05672751564532518,0.0,0.0,0.013711135294288397,0.01417880341410637,0.04344494781922549,0.0038500146847218275,0.007834934461861849,0.0013588422536849976,0.0,0.0018261607736349105,0.00866946643218398,0.0011338525917381048,0.0,0.04902455912902951,0.0,0.006050490671768784,0.004737302027642727,0.002286895737051964,0.0009110196307301521,1.0,1.0
Tmem184b,0.051418851483613255,0.0,0.0,0.013270101621747016,0.0016556877270340919,0.0,0.0,0.0,0.0,0.0,-0.09256639324128628,0.0,0.00663598706945777,0.0,0.0,0.0,0.1002008988976013,0.0,0.004504529908299446,-0.032687443420290944,0.0071738075464963915,0.004497117381542921,0.0,0.0,0.0,0.004535410217940807,0.0,0.0,0.00378688498865813,0.02319729220122099,0.02999497701879591,0.008507532104849815,0.0031339737866073847,0.003906671479344368,0.0,0.0018261607736349105,0.003707341281697154,0.0034887770935893058,0.0,0.04902455912902951,0.0,0.012589532472193242,0.004737302027642727,0.002286895737051964,0.0009110196307301521,1.0,1.0
Atp2b4,-0.042109014107845726,0.0,0.0,0.0035305774956941607,0.000522328969091177,0.0,0.0,0.0,0.0,0.0,-0.06880204734392464,0.0,-0.004082504357211292,0.0,0.0,0.0,-0.11496342430007644,0.0,0.0004869762063026428,0.0024931848188862204,0.0006450606137514115,0.004497117381542921,0.0,0.0,0.0,0.001796720204874873,0.0,0.0,-0.03098873147042468,0.007555537894368172,0.011476700697094201,0.0020929031539708375,0.0018803842924535275,-0.01919364683330059,0.0,0.0001217440515756607,0.0016975691495463253,0.0,0.0,-0.02827504599932581,0.0,-0.008343950277194381,0.001639835312962532,-0.034956834837794305,0.0,1.0,2.0
Rab26,-0.018648105515167115,0.0,0.0,0.005697621619328856,0.001219096789136529,0.0,0.0,0.0,0.0,0.0,0.031157222357578576,0.0,0.0021990021876990796,0.0,0.0,0.0,0.037512901678564955,0.0,0.00153397505171597,0.0020748300850391387,0.001957714939489961,0.01070003790780902,0.0,0.0,0.0,0.0016571691166609526,0.0,0.0,0.004570378442294896,-0.07611119612585754,-0.19764129851944745,0.0005233165621757507,0.0027422270597890017,0.0013588422536849976,0.0,0.000316534535959363,0.0034836953273043036,0.0011338525917381048,0.0,0.018363629775121806,0.0,0.00349180965218693,0.001311868296470493,0.002286895737051964,0.00012754275230690836,1.0,0.0
Fam131b,0.030004849755205214,0.0,0.0,0.005868063289672137,0.0023504803329706192,0.0,0.0,0.0,0.0,0.0,0.05942976174876094,0.0,0.0011119263153523207,0.0,0.0,0.0,-0.09625174316577613,0.0,0.0014122310001403093,0.0024931848188862204,-0.0859291150700301,0.01070003790780902,0.0,0.0,0.0,0.0006279798969626427,0.0,0.0,0.013711135294288397,-0.004428411442786455,0.03059155198279768,-0.007258108919486404,0.007834934461861849,0.0013588422536849976,0.0,0.0005600226391106844,0.007719862833619117,0.0,0.0,0.014829000793397426,0.0,-0.002057412397116423,0.001639835312962532,0.002286895737051964,0.0,1.0,0.0
Cyld,0.05406223352998495,0.0,0.0,0.005746319238096475,0.0032226746156811714,0.0,0.0,0.0,0.0,0.0,0.05531493689864874,0.0,0.00663598706945777,0.0,0.0,0.0,0.11493221446871757,0.0,-0.07835447162389755,0.00993216508999467,0.003911066967993974,0.01070003790780902,0.0,0.0,0.0,0.004535410217940807,0.0,0.0,0.013711135294288397,0.02432182013988495,0.03906407734379172,0.0072900915890932085,0.007834934461861849,0.0013588422536849976,0.0,0.0005600226391106844,0.00779290926642716,0.0034887770935893058,0.0,0.026063631009310483,0.0,0.008570529390126466,0.004737302027642727,-0.007514085993170739,0.0009110196307301521,1.0,1.0
Yes1,0.0319454541336745,0.0,0.0,0.005868063289672137,0.0010451517347246407,0.0,0.0,0.0,0.0,0.0,-0.10343713125213981,0.0,-0.02142163581214845,0.0,0.0,0.0,0.08598671442246995,0.0,0.0014122310001403093,0.00993216508999467,-0.13576629597693682,0.004497117381542921,0.0,0.0,0.0,0.0019362712930887937,0.0,0.0,0.00378688498865813,0.015495214099064469,0.02537061844021082,0.002684905827045441,0.0031339737866073847,-0.01919364683330059,0.0,0.0005600226391106844,0.002757737683132291,0.0010466331616044045,0.0,0.016933718514628708,0.0,0.012318549575284124,0.004737302027642727,0.002286895737051964,0.0009110196307301521,1.0,1.0
Pithd1,0.03238219714257866,0.0,0.0,0.005697621619328856,0.001219096789136529,0.0,0.0,0.0,0.0,0.0,0.025574593883939088,0.0,0.004978817952796817,0.0,0.0,0.0,0.07049524589441716,0.0,0.00153397505171597,0.008747839583083988,0.001957714939489961,-0.014731936249881982,0.0,0.0,0.0,0.0016571691166609526,0.0,0.0,0.004570378442294896,-0.0466926780436188,-0.21645006261765956,0.0005233165621757507,0.0027422270597890017,0.0013588422536849976,0.0,0.000316534535959363,0.0034836953273043036,0.0011338525917381048,0.0,0.026623653648421168,0.0,0.005352979376912117,0.002095345137640834,0.002286895737051964,0.00027330589480698106,1.0,0.0
