gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,distance.log2.DMR,18mo.9mo.Q.std.loops,Qanova.mean.loops,9mo.2mo.Q.min.loops,loop_size.log.median.loops,9mo.2mo.Q.std.loops,min_distance.log.median.loops,18mo.2mo.T.max.loops,loop_size.log.mean.loops,18mo.9mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.std.atac,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.max.atac
Smim1,5760.0,0.0,0.0,-0.6672920224612323,0.2231961657653824,16,1.584962500673066,7,-0.125460178963105,-2.459431618578278,0.040509725540506,0.7857513217968426,0.2174051013721024,0.3465218463873736,11.508289986140396,0.0012799259772582,1.967984132816129,-0.0015178108999999,18.096303367689423,0.0008097257756315,13.493104892539137,0.074881634,18.07441471708101,-0.0124965091971285,-0.0290883611287876,0.140857430517268,0.0,0.0,1.1296543591143218,11.207624468226818,1.0651941626891197,2,11.207624468226818,1.0651941626891197
Cetn3,14078.0,0.0,0.0,0.1383458330849332,-0.1947796898094855,17,1.584962500673066,4,0.4109640474310574,-1.584962500673066,-0.3326879533680289,0.7292132541803001,-0.2313326187276159,-0.2562041425303374,0.0,0.0006289826686569,0.9664031345692308,-0.0017906118,20.298453062741544,0.0006981309547319,13.463013413449692,0.1996586899999999,20.279391605406428,0.1063952327167796,0.0319213958223541,-0.0125056784865208,0.0122893899409002,0.2800630100888474,-0.2247376994614538,11.080817527608394,-0.1825952732026512,2,10.882783074015054,-0.1184408662969351
Fam172a,464202.0,0.0,0.0,0.0,-0.1825952732026512,23,0.0,5,-0.527485984113097,0.0,-0.2467496801083673,0.0,-0.1825952732026512,-0.2160477884975975,17.477648964732595,0.0005897174429826,1.0485929039054604,-0.0019164788,19.804963952971228,0.0007709819174146,17.024425479989656,0.24858617,19.86828234040471,-0.0059903581252007,0.0109585099107801,0.0205050032052728,0.0972352393678818,0.8806997411027948,-0.2583910252277303,12.366322214245844,-0.1106630005345771,3,11.76106409437234,-0.0194126032994446
Ap3d1,35308.0,0.0230376520980106,0.0,-0.1506353977154567,0.127755727771583,12,0.5849625007131416,7,-0.0650970691103224,-0.5849625007131416,0.0682547160230879,0.4408992343212152,0.1454359138707024,0.1725090275036906,0.0,0.001487060971072,1.129683554919355,-0.002876161,15.871616515792864,0.0016897426922096,13.874789282814126,0.184628188,15.827491616097737,-0.0148475594877864,0.0493275835708162,0.0315086250253369,0.4740015677007217,0.2318126740974833,0.483236803650759,11.361943773735296,0.2179234113523365,2,11.19802745991598,0.5707550565369148
Zfp85,7428.0,0.2493137994739526,-0.2894110543131643,0.3067632286046022,0.0989515132454887,24,1.222392421308968,11,-0.0042789321462132,-0.5849625006971113,-0.273135327509852,1.2400694112935915,0.0992079303000024,-0.0115423568530457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0157590067156766,0.0192954227516308,0.1365304584601345,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Tmem163,193002.0,0.0,0.0,-1.194987500196303,-0.0110085625010141,11,1.584962500673066,6,-0.6383458330729106,-2.584962500661044,-0.2216796930044893,0.9150785264190572,-0.0434178789072937,0.0188247680593178,15.207967563139608,0.001709184104317,1.9753693113696968,-0.002834588,15.492291348564097,0.001226079364415,14.635604767744788,0.22182718,15.652650859191969,0.0099473927725554,0.074468877634889,-0.0612388432131818,0.5812429747823809,0.0485826166932929,0.0238584643252522,13.975221040270188,0.0918254901710037,2,13.940867942558572,0.5228205794628273
Col20a1,31828.0,0.0653680268854064,0.0631413297787699,-0.5361324654232784,0.0142861137066852,18,0.790546634369405,9,-0.1678449189523299,-1.1375035237341966,-0.690190605541297,0.4915696200825559,-0.0629419934638359,0.2224220892658666,0.0,0.0019582034096754,2.9081052830434784,-0.0024895882,15.771205730833843,0.0020820974508489,13.916719212976629,0.20411188,15.864032644206702,-0.0179026621294982,0.0652956173262382,-0.0026421022119432,0.030202888483914,0.0629081622089852,0.2609969589755159,13.587191507529845,0.5737343219961618,2,13.542708719439888,0.8052203101611455
Timm13,1519.0,0.2333364810654905,-0.1344033502365692,-0.2082040295544263,0.1999047475114164,20,0.9259994185493888,8,-0.2919820995065073,-0.9999999999896954,-0.3503850199327574,0.7350430967494277,0.1693738150600368,0.1445662092865447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1508688006974904,0.1042847625739362,0.0848594627081227,0.0,0.0,0.1885123738064025,8.584962500721533,0.0401493783429165,1,8.584962500721533,0.0401493783429165
Prps2,36427.0,0.0,0.0,0.1063568183052868,-0.226143860717745,29,0.0,9,-0.6666666666265919,-1.999999999891798,-0.6038923551194453,0.5163977794617284,-0.2209428972044125,-0.1061860708549473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0086859704373594,-0.029426960084828,0.0001424913281494,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Rbbp6,36871.0,0.0,0.0,-0.114857904662603,0.2603384192970948,20,0.5849625007091332,3,-0.2914897059684039,-1.1375035237341966,0.1060867895488559,0.5206340578462249,0.2672327775142231,0.0921106748626066,0.0,0.0013231212531581,1.1471946512941176,-0.0019044437,18.461183651691528,0.0009747483277393,13.993822936745916,0.19427515,18.05904036500956,0.0586392267871929,0.0298544969689837,0.0173390467811922,0.4968247139569836,0.1127601359171679,-0.102948456234584,12.695228291495772,0.2812962232966016,2,12.615494834741224,0.4612659089643975
