gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,distance.log2.DMR,18mo.9mo.Q.std.loops,Qanova.mean.loops,9mo.2mo.Q.min.loops,loop_size.log.median.loops,9mo.2mo.Q.std.loops,min_distance.log.median.loops,18mo.2mo.T.max.loops,loop_size.log.mean.loops,18mo.9mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.std.atac,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Rbbp6,0.13012527588656858,0.0,0.11765276140680439,0.0014114996271305962,0.0,0.031655522945680116,0.0,0.01567472370439454,0.0,0.002269882684279429,0.0,0.0,0.0,0.0,0.0,0.008782278390993414,0.0,-0.017268505118983358,0.324757520207449,0.04561863525917655,0.0,0.0,-0.05849820723463046,0.03835030140257195,0.136805796995759,-0.03261421126999745,0.0047158108730065195,0.028870955501732073,0.0,0.18954510055482388,0.0,0.07035890221595764,0.0816208845690677,0.012327071769457115,1.0,1.0
Adprhl2,0.09730100533679913,0.0,0.11849793899608285,0.0022583993543919766,0.0,0.023609153338168796,0.0,0.016252561227271433,0.0,0.003723540931547943,0.0,0.0,0.0,0.0,0.0,-0.007346350111459431,0.0,-0.04182103099791627,-0.08774651763470549,0.0040852509831127365,0.0,0.0,0.03341280816024855,0.03835030140257195,0.13894159523280045,-0.007511781038422333,0.007637254305576023,0.08501249208654228,0.0,0.13131811401169552,0.0,0.07035890221595764,0.06723735010937641,0.012327071769457115,1.0,1.0
Pyroxd1,0.21207287263027147,0.0,0.11793333929228156,-0.009315897342994026,0.0,0.03372360589472871,0.0,0.02994730985282283,0.0,0.03425063712424353,0.0,0.0,0.0,0.0,0.0,0.013516390022184504,0.0,0.1397606821142529,-0.06783184928721503,0.0040852509831127365,0.0,0.0,0.034686120815182984,0.004333049205965118,0.10319849598760668,-0.028178920209603876,0.023163749983436184,0.08501249208654228,0.0,0.16791629899097116,0.0,0.07035890221595764,0.06851066247020897,0.004482571623827282,1.0,1.0
Slc30a6,0.08917279132200699,0.0,0.08818742545860771,0.0022583993543919766,0.0,-0.001367012847607073,0.0,-0.002148981769814303,0.0,-0.009901193509760656,0.0,0.0,0.0,0.0,0.0,0.013516390022184504,0.0,-0.012450112005401599,-0.05511171586419407,-0.02042625452342786,0.0,0.0,0.034686120815182984,-0.12986945277570108,0.13894159523280045,-0.05979338756419326,0.007637254305576023,0.08501249208654228,0.0,0.16031039927742982,0.0,0.07035890221595764,0.06851066247020897,0.012327071769457115,1.0,1.0
Fto,-0.23931844521460957,0.0,0.028558948322346334,0.0008468997517698689,0.0,-0.05151433480511371,0.0,0.002946233842521906,0.0,-0.005739491494176419,0.0,0.0,0.0,0.0,0.0,0.004712293096082776,0.0,-0.00634731037395173,-0.03998559193783685,0.0027235005246965508,0.0,0.0,-0.054801628679821364,-0.052592711008496974,-0.08658278196755993,0.15746596516845257,0.005640005766365089,-0.03420744409882709,0.0,-0.2917597478157596,0.0,-0.08890955248161365,-0.1314727133139968,-0.015689000438310598,1.0,2.0
Trmt11,-0.0707395067928653,0.0,0.15419146085256025,0.015752335569184078,0.0,0.04104929829114362,0.0,0.018448343806851068,0.0,0.006780370383670456,0.0,0.0,0.0,0.0,0.0,0.013516390022184504,0.0,0.042337712170066016,-0.06590330914447182,0.0040852509831127365,0.0,0.0,0.034686120815182984,-0.03939638036842409,0.16392578723791398,-0.031183881954731124,-0.028474680491183933,0.033367140414683444,0.0,0.1811301584698652,0.0,0.07035890221595764,0.06851066247020897,0.004482571623827282,1.0,1.0
Cpeb3,-0.15468725669932992,0.0,0.02778787713644928,0.0008468997517698689,0.0,-0.03704689300962185,0.0,0.0024177705329891884,0.0,0.002269882684279429,0.0,0.0,0.0,0.0,0.0,-0.051635906051256154,0.0,-0.016164137614204696,-0.06876443498032658,-0.008170501574089653,0.0,0.0,0.01612692610605767,-0.0785488037539548,-0.15596109479175588,-0.14260061467556576,0.005640005766365089,-0.03420744409882709,0.0,-0.05535266754266463,0.0,-0.08890955248161365,0.051466121387324835,0.007844500145629832,1.0,0.0
9930104L06Rik,0.16716089954991875,0.0,0.11849793899608285,0.0022583993543919766,0.0,0.023609153338168796,0.0,0.016252561227271433,0.0,0.003723540931547943,0.0,0.0,0.0,0.0,0.0,-0.013125231452776413,0.0,-0.04182103099791627,-0.10712016932666302,-0.02042625452342786,0.0,0.0,-0.0683401996563924,0.004333049205965118,0.10965288832391563,-0.10098393641314224,-0.008781496631471734,-0.06752300409502104,0.0,0.11423196594573949,0.0,0.07035890221595764,0.04258919742546583,-0.0056032145297841025,1.0,0.0
Tmem231,0.20025819971373207,0.0,0.07920384823687766,0.0008468997517698689,0.0,0.03489635580856549,0.0,0.015212453681191332,0.0,-0.005948600739142613,0.0,0.0,0.0,0.0,0.0,-0.003994171483148085,0.0,-0.0065760266795558365,0.28433728438655015,0.04561863525917655,0.0,0.0,-0.05520065295460977,0.024999566817362057,-0.15144503271011145,0.10532244966414414,0.010176883716332285,0.028870955501732073,0.0,0.13552973684119551,0.0,0.043912116732252274,0.08132704308158473,0.004482571623827282,1.0,1.0
Gm21814,0.17466867511699857,0.0,0.15419146085256025,0.015752335569184078,0.0,0.03372360589472871,0.0,0.02994730985282283,0.0,0.03425063712424353,0.0,0.0,0.0,0.0,0.0,0.03219164417762505,0.0,0.1397606821142529,-0.07217563723066919,0.0040852509831127365,0.0,0.0,0.02863151070318724,0.03835030140257195,0.16392578723791398,-0.07627803660733135,-0.028474680491183933,0.034167327182857615,0.0,0.16486226541823462,0.0,0.07035890221595764,0.0623382528949725,0.004482571623827282,1.0,1.0
