gene_name,gene_length.meta,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.median.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.Q.std.loops,9mo.2mo.Q.median.loops,loop_size.log.max.loops,9mo.2mo.Q.mean.loops,9mo.2mo.Q.std.loops,loop_size.log.mean.loops,18mo.2mo.Q.std.loops,18mo.2mo.T.median.loops,18mo.9mo.T.std.loops,min_distance.log.max.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,log2_distance.std.atac,log2_distance.min.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.min.atac,log2_distance.mean.atac,18mo.9mo.log_ratio.mean.atac,18mo.9mo.log_ratio.min.atac,9mo.2mo.log_ratio.max.atac
Rnf11,33630.0,-0.3219280948801484,0.0,0.0,-0.0676167968028078,0.0008390859614996,-0.0004910647,19.006194567757078,-0.0005727865142857,0.0006802992564437,17.598459643381993,0.0006632303538737,0.0770558925,0.0573395929909983,14.70606426733497,0.0343522244655104,-0.0331117593358611,0.0012404651296493,0.0123855824475478,0.0077299242780413,0.0511095997005809,13.32713156268286,-0.0685350507895161,-0.0336451780959152,13.399411451746882,0.0315618508046944,2,-0.103424923483117,0.0255887208694294,13.363271507214872,-0.1000969015942105,-0.1290136443525464,0.0375349807399594
Mfap1b,13832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045361898488116,-0.0200566822716651,-0.0155204924228534,0.0110338430742368,0.0045433342447384,0.3460132468737249,10.761551232444562,0.0895476839363235,0.2497432781991247,11.452756029032546,0.1519534801885599,3,-0.1268079324650264,-0.0886372204903445,11.116885867643775,-0.0624057962522363,-0.2408512650556997,0.3865589711305719
Gpr108,13811.0,-0.7835828815624464,1.0,0.0,-0.3662016245683839,0.000352491842652,0.0006826484999999,17.37517522079979,0.0002822267799999,0.0006590726322032,17.252198753199245,0.0006355850936901,-0.03668349,0.0179314466467217,14.060527067048644,0.0067005199315417,0.0019452093621868,0.0086457292937286,0.0562722113032203,0.0378914562685233,0.6319694668267128,9.519636252843409,-0.1135822191036709,0.1313848037317132,10.98370619265942,-0.0109168577678257,4,-0.4413289654457202,-0.3493976519207589,10.412572076683992,-0.1026653613358452,-0.2161983725053781,0.3475831762370914
Mrpl1,57234.0,0.0,0.0,0.0,-0.1855728650901666,0.0006533402628977,-0.0002871391,19.649736836708616,-0.000318484425,0.0005859560219073,19.02905172377185,0.0006437827801236,0.04533419,0.0522305238704627,15.241052126390622,0.0148329306467741,-0.010326658503483,0.0045062721432911,-0.0060548195792425,-0.0112883477013521,1.2973981539524964,10.776433032444816,0.0728525243311331,0.4160464057944026,14.643799833398978,0.0758503843152654,14,-0.199017470448489,-0.2716620917468508,12.832765807109729,-0.0029978599841323,-0.2264211766712396,0.509076500596453
9330111N05Rik,165976.0,0.0,0.0,0.0,0.0,0.0006725532118169,-0.0002011952499999,18.04272811557291,-0.000172467017647,0.0008535151807138,16.45087041881704,0.0007394412522435,0.0057895099999999,0.06135308252899,16.443332100575898,-0.020474725231083,0.0049619869322606,-0.0155127382988224,-0.0208026678547137,-0.0211741775204011,1.7596676646476814,10.85798099512765,-0.422333823304125,0.2140457112262384,16.366902727542765,-0.4097451322867736,11,-0.815673456947685,-0.6949742845169552,14.43937525570041,-0.0125886910173512,-0.4004916641954793,-0.1191987047135162
Abca2,19837.0,0.1343833601537142,1.0,-0.0172483079941774,0.1260174802727709,0.0013625065210315,0.0002048429999999,17.40379429237654,-0.0002881067744186,0.0018689929879079,16.349664131322765,0.0012259124534876,-0.0317392799999999,0.0499861710429485,14.326148561205557,0.0104840559482298,-0.0013027165577132,0.0091813393905165,0.0471141600192348,0.0369080497140732,1.804179183768624,7.209453365629924,0.3993821791670607,0.6361179407050761,11.565578136784376,0.4766797725915605,5,0.096635439522291,0.1991043860952024,10.384812365217275,-0.0772975934244998,-0.5441344115711163,1.1802523522761923
A930029G22Rik,22644.0,-1.222392421308968,1.0,-0.2470005558753223,-0.1878747324180798,0.0,-0.0007789534999999,19.791366414695,-0.0007789534999999,0.0,19.791366414695,0.0,0.0459264999999999,0.0,13.46454575033394,0.0640582869738137,-0.0580917215158878,0.0059665654579259,0.018290672378979,-0.0214107539748282,1.0884467670842135,10.566054038171186,0.0136862709993064,0.1615733406005615,13.258124324938937,0.2053943292121393,7,-0.2277836596381579,0.0062150802367519,11.942129307959842,-0.1917080582128329,-0.3570241985075264,0.4628276828475438
Fbxo3,35519.0,0.0922122855657625,1.0,0.0,-0.327505848123236,0.0006263907636566,-0.000387465,19.01694155414112,-0.0003423267790697,0.000529375970038,18.685208004049965,0.0005259591870029,0.04529083,0.0355650839805732,14.623424289869911,0.0046066671027362,-0.0391584230053108,-0.0345517559025746,-0.102927295220295,-0.1507828642507103,1.3126351687709323,10.824163209744238,-0.0431531890490845,0.6813669486180404,14.189670152603762,0.1301736701815151,9,-0.4581510435706508,-0.3900526149097876,12.388623233739322,-0.1733268592305996,-0.760233483362856,1.008382916715044
Cant1,12797.0,0.5127675460482053,0.0,0.0,-0.0587518565498612,0.0009667213271424,-0.0002542555999999,19.16503455492836,-0.0001639018873015,0.0008748433988591,18.029301361833877,0.0011453190723426,0.0084671524999999,0.0703180432607203,13.939487390170507,-0.0043006200662298,-0.0125541002294404,-0.0168547202956702,-0.0336422007148227,-0.0494691234411737,0.885990733132294,11.142745276751592,0.2656726511907046,0.4454028899057962,13.012100716151586,0.2676789007724983,5,0.0532267900663913,0.1203327608294021,12.037116388775162,-0.0020062495817937,-0.1160882633483705,0.4728972299793221
Rad51c,28309.0,-0.1076082906661498,0.0,-0.0239998768227804,-0.1633801243542412,0.0013866622959347,-0.000870818,18.030209109591684,-0.0009783514571428,0.0010356779615362,17.00267526860547,0.0016862488054225,0.0586222099999999,0.0660541792055313,14.629982653953997,0.0305597139291731,-0.00617271186801,0.024387002061163,0.0449065822664834,0.0187871275426019,1.164054580187592,11.378294855911946,0.0351546024155039,0.2165069487463817,13.785758957209923,0.1277392219108695,5,-0.2403336578393864,-0.1197219088219677,12.790389228524436,-0.0925846194953656,-0.4174326505031016,0.2910874082538646
