gene_name,gene_length.meta,count.enhancer_DMR,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,rel_pos.DMR,distance.log2.DMR,18mo.9mo.Q.std.loops,loop_size.log.max.loops,9mo.2mo.Q.max.loops,loop_size.log.median.loops,9mo.2mo.Q.std.loops,loop_size.log.mean.loops,18mo.2mo.Q.std.loops,loop_size.log.min.loops,18mo.2mo.Q.min.loops,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.9mo.log_ratio.max.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.max.atac
Cntnap5c,640785.0,5,0.0,-0.2480740502313749,22,0.3010025011214203,4,-0.2499999999819663,0.0,0.0,-0.3815631697415949,0.0,-0.2449515587452926,-0.3127134057692675,-0.0664359759855295,-0.0489887447518255,0.707589659600603,17.524495803694307,0.0010234616172941,18.91773336071587,0.0025992302,17.84370027379835,0.0010708985357106,17.652273863246577,0.0009823094850516,13.850577547205614,-0.0040585246,0.0101687416199804,0.0626385110656795,0.0460507994897277,2.61315445879451,-0.5342106780825314,-0.1410687448677461,18.2140629377155,-0.329571370090806,11,0.5337679869474918,16.211192299189666,0.6812299259244319
Tia1,29186.0,7,0.0,0.113322612994402,16,0.2807516144142692,2,0.3502198590670782,-1.4150374992487875,3.0,0.0430529565685935,0.8141081981660873,0.1032802250636217,0.1330240000608022,0.2836203600514706,0.2836203600514706,0.0,0.0,0.0007089043000456,18.145693374677023,0.0023108141999999,17.86782167551626,0.0011821364462681,17.93132817706375,0.0016138227329484,17.74184878236702,-0.00086426,0.0482408136797121,0.2100445637071109,0.0447128838282524,1.482467398155677,0.1684510972669278,0.2985996189370721,13.514590783745732,-0.0604865941583715,4,0.3696510892507874,11.384735859231771,0.0641295817976344
Pld3,21218.0,2,1.0,0.2258134302609873,14,0.1085778037627211,3,0.1715243909379856,-1.222392421308968,0.0,0.2111172551456013,0.4254872841642456,0.2258134302609873,0.3103755800461272,0.4123524616888321,0.3490874091390945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014205607913991,0.1914519084778233,0.0698798998059966,1.1570647810861054,0.3340540878083648,0.5363781635705438,13.618614920250817,0.2827487281444508,6,0.2545682363841273,12.793811059464131,0.3519318927686365
Mat2a,6759.0,22,0.0,0.0513265058176592,20,0.3492103300960041,6,0.0705822702000875,-1.8744691178811663,2.0,-0.2081381038120691,0.6257554710963512,0.0747230740765571,-0.0266879873064702,0.1941559385688975,0.1707155882706501,0.0,0.0,0.00306930201382,17.171753431960596,0.003891262,16.57522900095522,0.0021488347175053,16.59180251846691,0.0035814958254331,16.029373509976608,-0.0012500346,0.3348872097058692,0.1329138931260461,0.0315142753732733,0.3683771186336455,0.1882305858754077,0.283410264588845,11.397674632948322,0.074514619904847,3,0.1519595282199715,11.05184649396147,0.1789100785114055
Atcay,26325.0,9,1.0,0.0429821490639836,16,0.2540963598631087,7,-0.1279994220690097,-0.9999999999639329,1.0,0.0033741131459725,0.6807475028571891,0.1120031898596776,0.1622240276263973,0.2653300742816489,0.2786452416090932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055626228025154,0.2077052988785315,0.097177205470823,0.3649885284575149,0.3298215504587316,0.3735044279443742,11.655083445198024,0.3596919766549991,2,0.0981065332390422,11.396997581670416,0.5313518135759514
Arhgap20os,43072.0,2,1.0,-0.0677676070166457,23,0.373176307961033,4,-0.0804820237200371,0.0,0.0,-0.2278358260028148,0.5449983502622373,-0.0475839962941279,-0.1504857999930342,-0.0731705740118066,-0.1057671341431281,0.0,0.0,0.0017281002573395,19.396236836327617,0.0015621294999999,17.55819406843075,0.0012966812579917,17.388907271727767,0.0015297825966825,14.484822894262146,-0.0009875479,-0.037696945775239,0.1684793399071752,0.0644609284993239,3.396239144416377,-0.120764171758331,-0.0226272875747696,12.895764600016417,-0.0383963643069918,2,0.1273401624308561,10.494260870468398,0.2694484897587649
Rpl41,1191.0,18,3.0,0.0925762693250749,22,0.1543258928343442,6,0.2388265678725382,-0.9999999999278651,2.0,-0.1660512899972426,0.707106781169545,0.0706813900363815,-0.1681129460332009,0.1330805908014408,0.1617837536288544,0.0,0.0,0.0014026339817243,16.23985953916897,-0.000446239,16.140053222267795,2.726108773508388e-05,16.140053222267795,0.0014298950694594,16.040246905366622,0.0043849169999999,0.2130256965656584,0.1438076431040295,0.0397724777679181,0.4787707557692453,0.0206675472150372,0.0611386426461519,11.18982455888008,-0.0332334014376889,2,0.0641232567059111,10.851282510841838,-0.0029846140597591
Izumo4,3189.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002070759413348,18.28771237954945,0.0012446598,16.747143998186747,0.0015512945912668,17.216040081403126,0.0023257898562982,16.095067301607052,-0.005078456,0.1115286909944102,0.2138708280856582,0.0488476166788045,0.7262035418759782,0.1671461312718979,0.2687605564790805,10.960001932068153,-0.0223579876435482,3,0.3075334993317637,10.25785256152417,0.0458545234035927
Chd8,59629.0,8,0.0,-0.1673412544748425,18,0.2908765585712043,3,-0.6208321587131892,-2.3219280947719465,1.0,-0.297167718463208,0.5447406478265651,-0.1834694811949624,-0.0147723042467946,0.0003705631438783,-0.0062911598920036,0.0,0.0,0.0043867556644505,16.398075622909868,0.0041957495,15.259251416447544,0.0017076590548548,15.24565277411966,0.004327148431531,13.779103739584292,-0.0025188625,0.0442985696169766,-0.0234089581753804,0.144147042572581,0.9848304499743497,-0.0579371428858046,-0.0055537742172639,9.668884984266423,0.0240370233477767,2,0.0285917713284997,8.972504694770564,0.1869863295783986
Gramd1b,238150.0,4,0.0,-0.1360615161177878,14,0.3669873495395581,4,-0.072376654296615,0.0,0.0,-0.2412965904798802,0.3432486012590336,-0.1360615161177878,-0.1699544727936621,-0.0215921410687869,-0.0210524252705817,0.4327639892628536,15.531415814571128,0.0016546730866187,17.76819725024082,0.004502674,16.374863775456753,0.0017570540631024,16.196055211225403,0.0016745679599642,13.568668693380506,-0.0028084287,-0.032688136596736,-0.0834477418334931,-0.0225585483761871,1.5401083522678911,0.1403308078065533,2.7757023588187844,16.79742088775771,0.0790827021368177,25,0.6485704171509812,15.469764990481572,2.646550221881901
