gene_name,gene_length.meta,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,18mo.9mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.9mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.0-5kb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.min.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.DAR,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,rel_pos.DAR,18mo.9mo.log_ratio.DAR,9mo.2mo.log_ratio.DMR,size.log2.DMR,18mo.2mo.log_ratio.DMR,18mo.9mo.log_ratio.DMR,18mo.9mo.Q.std.loops,9mo.2mo.Q.median.loops,Tanova.max.loops,Tanova.std.loops,18mo.9mo.Q.mean.loops,9mo.2mo.Q.mean.loops,loop_size.log.median.loops,18mo.2mo.T.min.loops,min_distance.log.std.loops,18mo.9mo.T.median.loops,Qanova.min.loops,loop_size.log.min.loops,Tanova.min.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.std.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,9mo.2mo.log_ratio.mean.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Gna13,0.16666737462502795,0.001637940960271018,0.0,0.0,0.0,0.0,0.0053233080483102175,0.002467849811950287,0.0,0.0005367799093583961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016368698086831477,0.0,0.010654855858195911,0.0,0.0,0.0010601027638881238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069781388216591505,0.0,0.0,0.0,0.0,0.004593778643515203,0.0,0.0,0.0,-0.215493634923712,0.013871020117363372,0.0063606165833287424,0.0,0.0024569114887869202,-0.1911771074905024,0.0,0.010646616193381224,0.0,1.0,0.0
Dda1,0.18144178793269705,0.0036853670880392002,0.0,0.0,0.0,0.0,0.0110561012641176,0.004442129671186595,0.0,0.0010735598187167922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03184633298063433,0.0,0.010679633102633736,0.0,0.0,0.0006360616655899333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013371388065060238,0.0,0.0,0.0,0.0,0.0019435217579850902,0.0,0.0,0.0,0.03130824254317717,-0.29884073536165734,-0.017809726455091657,0.0,0.006961249202102809,0.022495519587552394,0.0,0.027844996034324943,0.0,1.0,0.0
Pdzrn3,-0.7272179948238583,0.0012284556960130667,0.0,0.0,0.0,0.0,0.0053233080483102175,0.004318737170913003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021199717077535467,0.0,-0.021114584518136918,0.0,0.0,0.0008834189699067698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013351563993212464,0.0,0.0,0.0,0.0,0.0022968893217576013,0.0,0.0,0.0,0.02243233145541185,0.02102970936662191,0.002650256909720309,0.0,0.0012284556960130667,0.017046813066903647,0.0,0.010646616193381224,0.0,1.0,0.0
Grik4,-0.577475740538015,0.0012284556960130667,0.0,0.0,0.0,0.0,0.0053233080483102175,0.002467849811950287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016583410061460423,0.0,0.007865943335141842,0.0,0.0,0.0007067351759254158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007181713865561919,0.0,0.0,0.0,0.0,0.0024735731157389555,0.0,0.0,0.0,0.015403633532053852,0.013249519607656962,0.0028269407037016634,0.0,0.0012284556960130667,-0.13440672582765292,0.0,0.010646616193381224,0.0,1.0,2.0
Rnf208,0.01782624577111625,0.0008189705285159024,0.0,0.0,0.0,0.0,0.0034806247461925855,0.003701774717925431,0.0,0.0006169624529875718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01636995223362918,0.0,0.009284956967337178,0.0,0.0,0.0007067351759254158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0098346524037324,0.0,0.0,0.0,0.0,0.0024735731157389555,0.0,0.0,0.0,0.017119678444918487,0.017444864278296373,0.0028269407037016634,0.0,-0.03787738471836239,-0.22843180365812082,0.0,0.006756506860256195,0.0,1.0,1.0
Gm20404,0.26000465815524004,0.001637940960271018,0.0,0.0,0.0,0.0,0.0053233080483102175,0.009994791748074742,0.0,0.0032206794077699833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03528328917243264,0.0,0.03884174805376437,0.0,0.0,0.004311084602173273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03509426866839459,0.0,0.0,0.0,0.0,0.012791906713278263,0.0,0.0,0.0,0.04712420697142551,0.05401613297207015,0.01660827663424727,0.0,0.001637940960271018,0.07498941372160788,0.0,-0.09868594142910722,0.0,1.0,1.0
Nin,0.26357329941608687,0.0036853670880392002,0.0,0.0,0.0,0.0,0.0110561012641176,0.009994791748074742,0.0,0.0032206794077699833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046339390339789455,0.0,-0.06034853391639598,0.0,0.0,0.0015901541458321856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03509426866839459,0.0,0.0,0.0,0.0,0.004240411055552495,0.0,0.0,0.0,0.057770822874524376,0.048008883976704116,0.006007248995366034,0.0,0.006961249202102809,0.06308092597823639,0.0,0.027844996034324943,0.0,1.0,1.0
Npl,0.18654878837866828,0.001637940960271018,0.0,0.0,0.0,0.0,0.004913822784052267,0.004442129671186595,0.0,0.0010735598187167922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3959804289526754,0.0,-0.0733225711004494,0.0,0.0,0.0015901541458321856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014433810947003302,0.0,0.0,0.0,0.0,0.004240411055552495,0.0,0.0,0.0,0.023308098642760282,0.022985141397780413,0.006007248995366034,0.0,0.0024569114887869202,0.027562133133314647,0.0,0.011056101457639174,0.0,1.0,0.0
Tmem208,0.26000465815524004,0.001637940960271018,0.0,0.0,0.0,0.0,0.0053233080483102175,0.009994791748074742,0.0,0.0032206794077699833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03528328917243264,0.0,0.03884174805376437,0.0,0.0,0.004311084602173273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03509426866839459,0.0,0.0,0.0,0.0,0.012791906713278263,0.0,0.0,0.0,0.04712420697142551,0.05401613297207015,0.01660827663424727,0.0,0.001637940960271018,0.07498941372160788,0.0,-0.09868594142910722,0.0,1.0,1.0
Map1b,0.28784965293167475,0.0036853670880392002,0.0,0.0,0.0,0.0,0.0110561012641176,0.009994791748074742,0.0,0.0032206794077699833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046339390339789455,0.0,0.03884174805376437,0.0,0.0,0.004311084602173273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03509426866839459,0.0,0.0,0.0,0.0,0.012791906713278263,0.0,0.0,0.0,0.057770822874524376,0.05401613297207015,0.01660827663424727,0.0,0.006961249202102809,0.07498941372160788,0.0,0.027844996034324943,0.0,1.0,2.0
