gene_name,gene_length.meta,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.median.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.Q.std.loops,9mo.2mo.Q.median.loops,loop_size.log.max.loops,9mo.2mo.Q.mean.loops,9mo.2mo.Q.std.loops,loop_size.log.mean.loops,18mo.2mo.Q.std.loops,18mo.2mo.T.median.loops,18mo.9mo.T.std.loops,min_distance.log.max.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,log2_distance.std.atac,log2_distance.min.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.min.atac,log2_distance.mean.atac,18mo.9mo.log_ratio.mean.atac,18mo.9mo.log_ratio.min.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Rnf11,-0.13691583020612597,-0.013721110597252846,0.0,-0.006002073613926768,-0.007230774040799588,0.0,0.0008886358793824911,0.01127451002597809,0.0,0.0,0.0,0.0,0.008531788443215192,0.0,0.0,-0.02022227740380913,0.08511607751250266,-0.03252380304969847,0.07190251170657574,0.013224644851870835,-0.012233825703151523,1.321926123406738,0.18719105381984263,0.014298194535076619,0.0,0.0680146549269557,0.0,-0.007012890856713056,-0.009843730623833835,0.0,-0.032495654793456195,-0.13683388249017298,0.10730350596830249,1.0,0.0
Mrpl1,-0.2689369066059589,0.0031101183593273164,0.0,-0.02441054120659828,-0.02794036278501153,0.0,0.001234216522425413,0.025033653751015662,0.0,0.0,0.0,0.0,0.03006611568853259,0.0,0.0,-0.0425599910505116,0.12024604083970189,-0.07435398215427995,-0.0009339477494359017,-0.07188658968079835,0.028280058689415456,-0.03375108204782009,0.18767089422792196,0.03880470652133226,0.0,0.1270896423794329,0.0,-0.002990797609090805,-0.0029401918314397335,0.0,-0.07715957770124078,0.05957257695496082,-0.03744746709242463,1.0,2.0
Abca2,-0.20129260577261449,0.004024859108030796,0.0,-0.005899652484804392,0.011342888958752155,0.0,-0.0009873732179403304,-0.011942681539803744,0.0,0.0,0.0,0.0,-0.017476333184167744,0.0,0.0,-0.058811439406126736,-0.08779114065691829,-0.042719851890578864,0.00048366326838731764,-0.06223750803619623,-0.01607275883667171,-0.024575344193726777,-0.2908697744272649,-0.020629580272361635,0.0,-0.2128820652514696,0.0,-0.006229545418173075,-0.009484287109225989,0.0,-0.04997173862531781,0.026203407291322946,-0.1035118199698627,1.0,2.0
A930029G22Rik,-0.2746062354743481,-0.006220237091183662,0.0,-0.012302797017619015,-0.0017344080843031406,0.0,0.0007405298948287964,0.025033653751015662,0.0,0.0,0.0,0.0,0.03006611568853259,0.0,0.0,0.2145319944433868,0.09220120034646243,-0.025202823020517826,-0.00517609354108572,-0.07247664358932525,0.035859951237216595,-0.037491024266928435,0.18732246295548977,6.665972992777824e-05,0.0,-0.1549365325085819,0.0,-0.007363323755562305,-0.011608452815562487,0.0,-0.04125621758401394,0.058311927393078805,-0.03529851403087378,1.0,1.0
Gm16183,0.5996778598893434,-0.013172266148030758,0.0,-0.001884301076643169,0.004640447329729795,0.0,0.003949492834508419,0.010711092483252287,0.0,0.0,0.0,0.0,-0.007650348560418934,0.0,0.0,-0.04915938532911241,-0.1113678296841681,-0.02939769668504596,-0.015635872872080653,-0.029143539741635322,0.012234549354761839,0.004278770387172699,-0.3845348836807534,0.023651027819141746,0.0,0.006575183249078691,0.0,-0.006229545418173075,-0.008010135851800443,0.0,0.13160841790726407,-0.035279445271007716,0.01164827350527048,1.0,1.0
Dbn1,-0.24049553595483303,-0.006220237091183662,0.0,-0.012302797017619015,-0.0017344080843031406,0.0,0.0007405298948287964,-0.03167669968679547,0.0,0.0,0.0,0.0,0.03686247553676367,0.0,0.0,0.1220172975724563,0.12137706089764834,-0.06343423452228308,-0.004654289167374373,-0.0829560240637511,-0.04394067576155067,-0.03050184715539217,0.009524182206951082,-0.02171678490936756,0.0,-0.08957334652543068,0.0,-0.03480209905654192,-0.010633666384965181,0.0,-0.0630301468539983,-0.04584383943118155,-0.015941568426787855,1.0,1.0
Usp6nl,-0.25895431246608497,0.014452903121709824,0.0,0.016721331756561996,-0.008000056762248277,0.0,0.001234216522425413,0.010737654156982898,0.0,0.0,0.0,0.0,0.010150827039033174,0.0,0.0,-0.07659256019629539,-0.17098151959478855,-0.03567916082218289,-0.11001166621223092,-0.09987708121538162,-0.04479247977957129,-0.03717154301702976,0.15512205969542264,-0.001757569657638669,0.0,0.09379161093384028,0.0,0.005562337134033441,0.0007062928192317486,0.0,-0.06330108658410609,0.04076833597384393,-0.06504445744678378,1.0,2.0
Psma1,-0.22241114559583366,0.004024859108030796,0.0,0.05846104216761887,0.020822386154904962,0.0,0.011305423313751816,-0.021611030236817895,0.0,0.0,0.0,0.0,0.0057110898569226265,0.0,0.0,-0.0721347934147343,-0.051912793712690475,-0.09760577840730549,0.008103783060796559,0.07524396268185228,0.043045686334371565,-0.061194674111902714,0.191548782880418,0.0025347346160560845,0.0,-0.23683072190731763,0.0,-0.007012890856713056,-0.061038235314190385,0.0,0.021358374435221775,0.05621085025370121,-0.030241509191691874,1.0,1.0
Wdr45b,-0.24476755946874618,0.004024859108030796,0.0,-0.00919210933148861,-0.0012407214008271694,0.0,-0.0007405298948287964,-0.011942681539803744,0.0,0.0,0.0,0.0,-0.017476333184167744,0.0,0.0,-0.03395054221153259,-0.08377979069016873,-0.022352539161220195,-0.004358169501647353,-0.06793007217347621,0.015362659152597189,-0.033400601744651794,-0.3296976239420474,0.0025347346160560845,0.0,-0.19885402668267488,0.0,-0.008244809173047542,-0.004103067037649452,0.0,-0.06884790105745196,0.02818673579953611,-0.09868019523099064,1.0,1.0
Shisa4,1.291564865987748,0.004024859108030796,0.0,-0.0001701907441020012,-4.97347442433238e-06,0.0,-0.0005924239382147789,0.011561455223709344,0.0,0.0,0.0,0.0,0.016523002861067653,0.0,0.0,-0.04575570639688522,-0.03792993389070034,-0.029244175469502805,-0.015377040086314082,0.04834862178191543,-0.016816247496753933,-0.010482343379408121,0.027383916210383177,0.014491280689835549,0.0,-0.09172581703402102,0.0,-0.007012890856713056,-0.006103108748793602,0.0,0.019207711758790536,0.029998289896175267,-0.0994966109097004,1.0,0.0
