gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,distance.log2.DMR,18mo.9mo.Q.std.loops,Qanova.mean.loops,9mo.2mo.Q.min.loops,loop_size.log.median.loops,18mo.2mo.T.max.loops,loop_size.log.mean.loops,18mo.9mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.std.atac,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,log2_distance.max.atac,count.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.max.atac
E4f1,26535.0,-0.0266760886503162,-0.3531069492699645,0.2149596212110927,14,0.4854268271661199,4,0.130953621393747,0.4219169998104747,0.2940658584186212,0.3245476185650424,0.0,0.0014810033656252,0.5687573419333333,-0.0025989489999999,16.201855896117646,0.05493075,16.37888909304884,0.0571899175069691,-0.0221637901153687,0.0826796029429681,0.2251445283064199,0.2243055617467922,0.0987093431566459,11.425740424316263,2,11.267132440547249,0.0920033187957214
Capns1,11875.0,-0.3995985701826146,-0.1814401720702524,0.1402584874026935,17,0.7369655941469699,4,0.1277174033252377,0.5183797490833196,0.2096707853250289,0.2726881078644834,0.0,0.0,0.61833316,0.001117503,16.095067301607052,-0.117860442,16.095067301607052,0.0823101274326444,0.0683195583074599,0.1259107111285179,0.2770902828636618,0.3068608116702076,0.2599305455047048,11.769837843629482,3,11.492929417431952,0.7241486995341173
Fkbp1a,19209.0,0.1834640456460132,-0.4852264945829225,-0.0208976617130431,13,0.8930847960739761,3,-0.2479726289741206,0.1898391545828779,-0.0499304385290314,0.1842735841947544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04547943013895,-0.0355077453444987,0.1632635077126771,0.0,0.0,0.2783100338929252,10.81698362325546,1,10.81698362325546,0.1332172410262959
Cit,163669.0,0.0,0.1520030934434468,0.2492576811880833,6,-0.5145731728235754,1,0.2492576811880833,0.0,0.2492576811880833,0.3104779167997971,15.544058656634512,0.0014431658318703,1.3273854394237288,-0.0018014646,16.153341745703827,0.17298342,16.26528866993136,-0.0097877811894258,-0.0390681014499166,0.0172590928810831,0.4498928638593202,2.284664988229524,0.2848664804977684,16.278884988802172,11,14.688547341830247,0.6739757768800261
Mapkapk2,44126.0,-0.2157390173504284,0.0032457252130709,-0.0924179721786124,22,1.3219280948657215,7,-0.2928518125965542,1.0271601263676124,0.0011860234268808,-0.0883196500618552,12.46328327737607,0.0008516059643482,1.1607522356819446,-0.0024172802999999,17.21251538389735,0.18409575,16.89966208548948,-0.0252045272519856,0.09077172937399,-0.0545915488232636,0.0287721094490574,2.3065316732837955,0.1519747900386396,14.366527127965488,2,12.73556294076496,0.3992279505114484
Zcchc14,54198.0,0.0413583564116979,-0.748370832596815,0.0498600257703047,11,1.4150374992487875,1,0.0193451155424595,0.0,0.05839317442836,0.0718548834903156,13.376078139991195,0.0017859867655085,1.4379624450585369,-0.002518454,17.790723168667366,0.14046943,17.31732237253127,-0.0019699296902934,-0.0975680114371323,0.0858044728238277,0.2918031318841843,1.6149289354886118,0.2339897553526452,14.683433292835408,5,12.088949542574408,0.2250270536128145
Samd5,52272.0,0.0,-0.2264232143841566,-0.0793024723889375,24,0.4150374992668215,6,-0.4877861753901644,0.5579760766245718,-0.1226829994749426,-0.3185646947735809,0.0,0.0014170399789695,1.4802910270882352,-0.003908926,17.35853960197263,0.21318296,17.2617259310657,0.035598995732138,0.0079420010125494,-0.1199241469688661,0.7409801530908545,1.816076086846989,-0.304983274628974,14.644588622396697,5,12.38446278816261,-0.031280957527052
Dram1,56276.0,-0.0194915617753566,-0.6689676332362348,-0.0860515430759225,23,0.7369655941469699,8,-0.3040087595601912,0.5805706028848223,-0.1258978745666164,-0.0356759555905236,0.0,0.0010951188034736,1.373658997696,-0.0029580593,20.00195789721557,0.303437936,19.653777106829327,0.0175529250713988,0.0167889383393357,-0.0220188053678004,0.4700607206534041,1.9391064606843065,-0.1870880529966843,14.561586287710078,6,12.181574374943168,0.1377956492748167
Hfm1,86129.0,0.0,0.0,0.0,18,0.6520766965721987,3,0.0,0.4610878539999244,0.0,0.2713244996936614,0.0,0.0009184000116973,0.9184747704074074,-0.0022412364999999,18.535150052843687,0.158951113,17.787410312642567,0.0280316200382717,0.0414847147982035,-0.0255047542537879,0.2132488737991216,0.2214595370450237,-0.0013326302723967,11.36303963025657,2,11.2064440898536,0.5642122106666598
Prkab2,15619.0,0.1144351731100183,-0.3390359525479032,-0.1983010944116259,13,0.2630344058289848,3,-0.2040575033972409,0.4410685327240888,-0.1983010944116259,-0.0027737150237152,0.0,0.0014199373126045,1.2229058664222223,-0.0016897559,17.27299420313509,0.0562759599999999,17.145440137163813,0.0513008161080892,-0.0361562806476714,0.0193348964839319,0.0922945833036155,0.5540564168298483,0.0454564531536225,11.334273285307246,3,10.77352455377269,0.1677903895694434
Csnk1g1,136091.0,0.2472275480611954,0.6037593747896549,0.1577005351922995,13,0.3219280948801484,2,0.0079050601087464,0.9347443200797598,0.1509104401388109,0.0595361709218906,0.0,0.0014797208800247,1.1267379712380954,-0.004783427,15.77267540877074,-0.0005551599999999,15.9662079095941,-0.0107819362104754,-0.0435014219898972,0.0855646333834643,0.4486291131663052,1.056281748510507,0.4045151893322716,12.779719355143424,3,11.597978559815274,0.3418197893405608
