gene_name,gene_length.meta,9mo.2mo.activity.log_ratio.count.20kb-5Mb.enhancer_DMR,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_DMR,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.log_ratio.DAR,9mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,DEG,pred
Psmc2,0.6572406594367588,0.017402927007745293,-0.16629909450078711,0.000885781119851505,0.03560142262893565,0.0,0.0,0.04475965789135765,0.10202104170971057,1.0,1.0
Hdlbp,0.7115629065562697,0.015256398302667281,0.07182604786666001,0.002657343359554515,0.03560142262893565,0.0,0.0,0.04475965789135765,-0.016503403346766445,1.0,1.0
Dus2,0.7115629065562697,0.015256398302667281,0.07182604786666001,0.002657343359554515,0.03560142262893565,0.0,0.0,0.04475965789135765,-0.016503403346766445,1.0,1.0
Lrrc3b,0.6894001938840922,0.011430290911127539,0.03956939553951516,0.002657343359554515,0.03560142262893565,0.0,0.0,-0.08569320839117556,0.012002475340576732,1.0,2.0
Fam193a,-0.3934307912474169,0.011454306542873383,0.03364682482445941,0.0,0.008900355657233912,0.0,0.0,0.04475965789135765,-0.01050216649823329,1.0,2.0
Fastkd1,0.7153136800317204,0.015256398302667281,0.03956939553951516,0.002657343359554515,0.03560142262893565,0.0,0.0,0.04475965789135765,0.012002475340576732,1.0,1.0
Trim9,0.14814865956192508,0.009414617684395873,-0.03730496468351168,0.0,-0.05399549100548029,0.0,0.0,-0.08569320839117556,-0.02214688651592416,1.0,2.0
A930005H10Rik,0.7153136800317204,0.015256398302667281,0.03956939553951516,0.002657343359554515,0.03560142262893565,0.0,0.0,0.04475965789135765,0.012002475340576732,1.0,1.0
Rnf220,-1.021437591599191,0.006352829966036712,0.026759362231720898,0.0,0.008900355657233912,0.0,0.0,-0.03631949101519935,-0.01050216649823329,1.0,2.0
Rplp0,0.6313271732891307,0.013576819616205552,-0.16629909450078711,0.000885781119851505,0.03560142262893565,0.0,0.0,-0.08569320839117556,0.10202104170971057,1.0,1.0
Crem,0.6024793546427699,0.01597190790754907,-0.26085323424023743,0.000885781119851505,0.03560142262893565,0.0,0.0,0.04475965789135765,-0.05329562855117461,1.0,1.0
Sptbn1,-1.0743449660127653,0.0076281991513336405,0.026759362231720898,0.0,0.008900355657233912,0.0,0.0,0.015312514541780247,-0.01050216649823329,1.0,2.0
Slc38a6,0.7115629065562697,0.015256398302667281,0.07182604786666001,0.002657343359554515,0.03560142262893565,0.0,0.0,0.04475965789135765,-0.016503403346766445,1.0,1.0
Tgfbr1,0.6193153706981855,0.01597190790754907,-0.17361204139888287,0.000885781119851505,0.03560142262893565,0.0,0.0,0.04475965789135765,-0.05329562855117461,1.0,1.0
Wtap,0.6572406594367588,0.017402927007745293,-0.16629909450078711,0.000885781119851505,0.03560142262893565,0.0,0.0,0.04475965789135765,0.10202104170971057,1.0,1.0
St7,-0.9579483850256485,0.005759473177878296,0.026759362231720898,0.0,-0.05399549100548029,0.0,0.0,-0.03631949101519935,-0.01050216649823329,1.0,2.0
Vamp2,0.3280205695944674,-0.10773889753310119,-0.10765035538112416,0.0,0.03560142262893565,0.0,0.0,0.017976906369714177,0.019504022839314798,1.0,1.0
Foxg1,0.6546006292542991,0.013476327499922584,0.07182604786666001,0.002657343359554515,-0.14774590391008294,0.0,0.0,0.04475965789135765,-0.016503403346766445,1.0,0.0
Ammecr1l,0.6740766754921745,0.017402927007745293,-0.07905790165943258,0.000885781119851505,0.03560142262893565,0.0,0.0,0.04475965789135765,0.10202104170971057,1.0,1.0
Msl1,0.7153136800317204,0.015256398302667281,0.03956939553951516,0.002657343359554515,0.03560142262893565,0.0,0.0,0.04475965789135765,0.012002475340576732,1.0,1.0
Gpr108,0.5773217386620886,-0.10808794923564967,-0.16629909450078711,0.000885781119851505,-0.14774590391008294,0.0,0.0,0.017976906369714177,0.10202104170971057,1.0,1.0
Ascc3,-1.0743449660127653,0.0076281991513336405,0.026759362231720898,0.0,0.008900355657233912,0.0,0.0,0.015312514541780247,-0.01050216649823329,1.0,2.0
Rlbp1,0.6546006292542991,0.013476327499922584,0.07182604786666001,0.002657343359554515,-0.14774590391008294,0.0,0.0,0.04475965789135765,-0.016503403346766445,1.0,1.0
Rps24,0.7153136800317204,0.015256398302667281,0.03956939553951516,0.002657343359554515,0.03560142262893565,0.0,0.0,0.04475965789135765,0.012002475340576732,1.0,1.0
Ankrd44,-1.021437591599191,0.006352829966036712,0.026759362231720898,0.0,0.008900355657233912,0.0,0.0,-0.03631949101519935,-0.01050216649823329,1.0,0.0
Wdr18,0.7153136800317204,0.015256398302667281,0.03956939553951516,0.002657343359554515,0.03560142262893565,0.0,0.0,0.04475965789135765,0.012002475340576732,1.0,1.0
Guf1,0.7153136800317204,0.015256398302667281,0.03956939553951516,0.002657343359554515,0.03560142262893565,0.0,0.0,0.04475965789135765,0.012002475340576732,1.0,1.0
Fndc3b,-0.9391988350407166,0.006710584768477608,-0.044192427276250196,0.0,0.008900355657233912,0.0,0.0,-0.03631949101519935,-0.02214688651592416,1.0,2.0
Per1,0.6546006292542991,0.013476327499922584,0.07182604786666001,0.002657343359554515,-0.14774590391008294,0.0,0.0,0.04475965789135765,-0.016503403346766445,1.0,1.0
Osbpl11,0.6856494204086416,0.011430290911127539,0.07182604786666001,0.002657343359554515,0.03560142262893565,0.0,0.0,-0.08569320839117556,-0.016503403346766445,1.0,1.0
Snx29,-1.021437591599191,0.006352829966036712,0.026759362231720898,0.0,0.008900355657233912,0.0,0.0,-0.03631949101519935,-0.01050216649823329,1.0,2.0
Brd7,0.7115629065562697,0.015256398302667281,0.07182604786666001,0.002657343359554515,0.03560142262893565,0.0,0.0,0.04475965789135765,-0.016503403346766445,1.0,1.0
Crtc3,0.028334185481071472,0.013476327499922584,0.03364682482445941,0.0,0.008900355657233912,0.0,0.0,0.04475965789135765,-0.01050216649823329,1.0,2.0
Tango6,-1.010855759439223,0.007034842363175224,0.026759362231720898,0.0,-0.05399549100548029,0.0,0.0,0.015312514541780247,-0.01050216649823329,1.0,2.0
Etl4,-1.010855759439223,0.007034842363175224,0.026759362231720898,0.0,-0.05399549100548029,0.0,0.0,0.015312514541780247,-0.01050216649823329,0.0,0.0
Nfib,-0.9579483850256485,0.005759473177878296,0.026759362231720898,0.0,-0.05399549100548029,0.0,0.0,-0.03631949101519935,-0.01050216649823329,2.0,2.0
Mpped1,0.6856494204086416,0.011430290911127539,0.07182604786666001,0.002657343359554515,0.03560142262893565,0.0,0.0,-0.08569320839117556,-0.016503403346766445,2.0,2.0
Tspan3,0.5934018845505574,0.01214580051600933,-0.17361204139888287,0.000885781119851505,0.03560142262893565,0.0,0.0,-0.08569320839117556,-0.05329562855117461,0.0,0.0
Sema3e,-1.021437591599191,0.006352829966036712,0.026759362231720898,0.0,0.008900355657233912,0.0,0.0,-0.03631949101519935,-0.01050216649823329,2.0,2.0
Rpsa,0.6572406594367588,0.017402927007745293,-0.16629909450078711,0.000885781119851505,0.03560142262893565,0.0,0.0,0.04475965789135765,0.10202104170971057,0.0,1.0
Arhgap5,0.7115629065562697,0.015256398302667281,0.07182604786666001,0.002657343359554515,0.03560142262893565,0.0,0.0,0.04475965789135765,-0.016503403346766445,2.0,1.0
Rabac1,0.34447894157732234,0.015256398302667281,0.03364682482445941,0.0,0.03560142262893565,0.0,0.0,0.04475965789135765,-0.01050216649823329,0.0,1.0
Tenm4,-0.930249677532736,0.007034842363175224,0.01701576991335434,-0.0708624895881204,-0.05399549100548029,0.0,0.0,0.015312514541780247,-0.01050216649823329,0.0,0.0
Grb14,0.0659099030034507,0.009056862881954978,0.03364682482445941,0.0,-0.05399549100548029,0.0,0.0,-0.08569320839117556,-0.01050216649823329,2.0,2.0
Fnip1,0.6856494204086416,0.011430290911127539,0.07182604786666001,0.002657343359554515,0.03560142262893565,0.0,0.0,-0.08569320839117556,-0.016503403346766445,2.0,1.0
Eya1,-0.3299415846738745,0.010860949754714966,0.03364682482445941,0.0,-0.05399549100548029,0.0,0.0,0.04475965789135765,-0.01050216649823329,2.0,2.0
Ebf1,-1.021437591599191,0.006352829966036712,0.026759362231720898,0.0,0.008900355657233912,0.0,0.0,-0.03631949101519935,-0.01050216649823329,2.0,2.0
St6gal1,-0.3934307912474169,0.011454306542873383,0.03364682482445941,0.0,0.008900355657233912,0.0,0.0,0.04475965789135765,-0.01050216649823329,2.0,2.0
Cd9,0.5623530933962149,0.014191837104804376,-0.17361204139888287,0.000885781119851505,-0.14774590391008294,0.0,0.0,0.04475965789135765,-0.05329562855117461,0.0,1.0
Abca8a,0.7153136800317204,0.015256398302667281,0.03956939553951516,0.002657343359554515,0.03560142262893565,0.0,0.0,0.04475965789135765,0.012002475340576732,2.0,1.0
Pard3b,-1.0743449660127653,0.0076281991513336405,0.026759362231720898,0.0,0.008900355657233912,0.0,0.0,0.015312514541780247,-0.01050216649823329,2.0,0.0
Atp6v0c,0.5866092672461972,-0.5212044212967157,0.0660432490574963,0.002657343359554515,0.014833926278002122,0.0,0.0,0.017976906369714177,0.007709418039988069,0.0,1.0
Phyhipl,0.08465945589191773,0.010007974910823739,-0.03730496468351168,0.0,0.008900355657233912,0.0,0.0,-0.08569320839117556,-0.02214688651592416,2.0,2.0
Zfp385b,-1.010855759439223,0.007034842363175224,0.026759362231720898,0.0,-0.05399549100548029,0.0,0.0,0.015312514541780247,-0.01050216649823329,0.0,0.0
Syt14,-1.021437591599191,0.006352829966036712,0.026759362231720898,0.0,0.008900355657233912,0.0,0.0,-0.03631949101519935,-0.01050216649823329,2.0,2.0
Nr6a1,-1.021437591599191,0.006352829966036712,0.026759362231720898,0.0,0.008900355657233912,0.0,0.0,-0.03631949101519935,-0.01050216649823329,2.0,2.0
2610316D01Rik,0.09373692598413019,0.013834082302363479,-0.12454615752486621,0.0,0.008900355657233912,0.0,0.0,0.04475965789135765,-0.02214688651592416,2.0,2.0
Cntnap5a,-1.010855759439223,0.007034842363175224,0.026759362231720898,0.0,-0.05399549100548029,0.0,0.0,0.015312514541780247,-0.01050216649823329,0.0,0.0
Zbtb16,-1.021437591599191,0.006352829966036712,0.026759362231720898,0.0,0.008900355657233912,0.0,0.0,-0.03631949101519935,-0.01050216649823329,0.0,2.0
Chd3,0.7115629065562697,0.015256398302667281,0.07182604786666001,0.002657343359554515,0.03560142262893565,0.0,0.0,0.04475965789135765,-0.016503403346766445,0.0,1.0
Manf,0.7115629065562697,0.015256398302667281,0.07182604786666001,0.002657343359554515,0.03560142262893565,0.0,0.0,0.04475965789135765,-0.016503403346766445,0.0,1.0
Plp1,0.6313271732891307,0.013576819616205552,-0.16629909450078711,0.000885781119851505,0.03560142262893565,0.0,0.0,-0.08569320839117556,0.10202104170971057,2.0,1.0
Atp13a4,-1.0743449660127653,0.0076281991513336405,0.026759362231720898,0.0,0.008900355657233912,0.0,0.0,0.015312514541780247,-0.01050216649823329,2.0,2.0
Wls,0.002420699333443361,0.009650220108382842,0.03364682482445941,0.0,0.008900355657233912,0.0,0.0,-0.08569320839117556,-0.01050216649823329,2.0,2.0
Ppfibp2,-1.021437591599191,0.006352829966036712,0.026759362231720898,0.0,0.008900355657233912,0.0,0.0,-0.03631949101519935,-0.01050216649823329,2.0,2.0
Grm1,-1.0743449660127653,0.0076281991513336405,0.026759362231720898,0.0,0.008900355657233912,0.0,0.0,0.015312514541780247,-0.01050216649823329,0.0,0.0
Nova1,-0.41934427739504504,0.0076281991513336405,0.03364682482445941,0.0,0.008900355657233912,0.0,0.0,-0.08569320839117556,-0.01050216649823329,2.0,2.0
Maf,0.6856494204086416,0.011430290911127539,0.07182604786666001,0.002657343359554515,0.03560142262893565,0.0,0.0,-0.08569320839117556,-0.016503403346766445,2.0,1.0
Atf6b,0.39001193719313426,0.017623145461959,0.029287165249971783,-0.12036524241899743,0.0,0.014140866696834564,0.011645419632687289,0.020761971964555627,0.04303079661365379,1.0,1.0
Ngdn,0.5402989762232584,0.029819872011156642,-0.09266147127046305,0.06295555830001831,0.0,0.03743170596220914,0.02828173339366913,0.020761971964555627,0.2486476865323151,1.0,1.0
Mrps25,0.5310837244067121,0.021322748459437314,0.04531877767294645,-0.12036524241899743,0.0,0.017267192111295813,0.011645419632687289,0.020761971964555627,-0.10670267164310002,1.0,1.0
