gene_name,gene_length.meta,9mo.2mo.contact.log_ratio.median.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_DMR,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,18mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_DMR,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,rel_pos.DAR,count.DAR,Tanova.std.loops,18mo.2mo.Q.mean.loops,loop_size.log.std.loops,18mo.2mo.T.min.loops,9mo.2mo.Q.std.loops,min_distance.log.mean.loops,min_distance.log.median.loops,18mo.2mo.T.mean.loops,min_distance.log.max.loops,18mo.2mo.Q.min.loops,Qanova.max.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.std.atac,log2_distance.std.atac,log2_distance.min.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.max.atac
Gm10501,4889.0,0.1136567817953881,0.019801258805517,0.9881258997105355,0.1391627476714569,0.0243999314541052,0.0650108630266699,0.1344557021190224,0.3737614560105275,0.330805760908863,0.0,0.0007415808562161,0.4720684443139245,-0.0418201756945055,0.0,0.0,0.0,0,2.5143886171540344,0.0005178160649999,0.8854629455216925,-0.0268156599999999,0.0004726113287489,13.779076157979713,13.75112558336727,0.058545193525,13.862927881817043,-0.0004646667999999,5.2153563,0.0224667436479896,-0.0139171817749705,0.008549561873019,-0.1007795194919946,0.0477668256499926,0.4794512781793071,10.704768239362686,0.2348407189747861,0.2841889484949988,0.2534981743286979,3,0.1888303952006094,0.1508563660257813,-0.0186574553539118,0.1310377895843398,0.4010967845723778
Grm7,921649.0,0.0,-0.0141594360141456,0.5966443057675992,0.0,-0.0141594360141456,0.1235072672916219,-0.1104748046115657,0.0671795655987717,0.190220329797476,0.0,-0.1460948917865145,0.3785116232504006,0.4150374992758383,-0.0966969450701669,-0.333156048531393,0.5593567324115296,10,1.3947760037155434,0.0001803566656008,1.633440531666585,-0.12267816,0.0003127249147889,16.679406001975885,16.947853782459784,0.0171808619836468,18.83993572878283,-0.0008920738,9.2785845,-0.0127497218520752,0.0041073721845653,-0.0086423496675098,0.0280821067806895,0.2483528175786505,1.9371077388698543,10.078150807734785,-0.1615018459803257,0.5446222927412984,-0.1156606630871872,104,-1.0307701009439998,-0.6486666904708123,-0.0458411828931385,0.2147508060505468,0.5415538561854497
Ube4b,98333.0,0.0565835283662563,0.0,0.0,0.0,0.0,0.0,0.0294501525520578,0.1782459136742802,0.1184225353424617,1.0,-0.0008970765913023,0.0,0.4150374992776422,0.0398694468049256,0.5462894734095638,0.7325887055006693,1,1.3010916129666668,0.0001040425549019,0.913735472414347,-0.08119361,0.000420297823003,14.584261110398142,14.52552080909507,-0.0113859192679738,15.842276674506758,-0.0011569929,14.138955,-0.0007478332992012,-0.0106707922347055,-0.0114186255339068,-0.0492812996329408,0.1711168629892132,1.5071860378885822,9.63299519714314,0.1851942813948487,0.5462894734095638,0.1931640239452623,30,-0.1596563757981433,-0.101391893081765,-0.0079697425504135,0.1623901265365261,0.5677611678157417
Lmbrd1,87671.0,0.1926450779420738,0.0,0.0,0.6683785089078382,0.0,-0.0240660300345134,-0.2235230538490382,-0.0449938524097128,0.0,0.0,-0.2235230538490382,0.6415460290854522,0.4010303111867286,-0.1700302799362291,-0.4042147915327253,0.3820728474653925,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020908047426521,-0.0015710683742206,-0.0036618731168728,-0.0157977495725729,0.1873815272467388,1.6189624520048531,10.00140819439295,-0.1896013895157582,0.1826098082316265,-0.0635781417529568,35,-0.5936467893410571,-0.582129118094521,-0.1260232477628014,0.1998141735434327,0.3459634381597001
Lpcat4,7643.0,-0.6066575718193494,0.0,0.0,0.0631938264871019,0.0,0.0342782636380602,-0.1941911188712239,-0.1293012779372389,0.1073291600722878,2.0,-0.3361052051734385,0.0740005814433972,-0.1941713163059422,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0593884411755126,-0.0173091171870589,0.0420793239884537,-0.0752838355320376,0.1575655539075474,0.5801683151810604,10.19229281447089,-0.0869134676026861,0.1835166780690718,-0.068322059617161,5,-0.1944315024301121,-0.1708084917989527,-0.0185914079855251,0.0870167399427443,0.0697974033766766
Fam169a,63727.0,-0.1520030934447289,0.0,0.0,0.0565835283662563,0.0,0.0,-0.1783946053592897,-0.1280886564343593,0.0,0.0,-0.1783946053592897,0.4150374992728327,0.8744691179052118,-0.2059649918194495,-0.2726067801509519,0.1040251230485853,1,2.104336887723623,0.0003390708883333,0.8329574447278072,-0.06811646,0.0004081616241368,14.544275418824537,14.592982534789645,0.0348751127608333,15.3415535698172,-0.0005040358,8.043137,0.0446994285157439,-0.0176754381234219,0.027023990392322,-0.0103842541861953,0.164999208975136,1.06998678178244,11.73470962022588,-0.0765668520299312,0.2398396437454089,0.030090438553881,12,-0.2726067801509519,-0.2605111487309539,-0.1066572905838122,0.1712996348807568,0.2949912161122203
Sfxn4,24202.0,-0.3785116232530638,0.001302692484902,0.6256044852170515,0.810522201135333,0.001302692484902,-0.037355404951405,-0.0120586440308148,0.1551331969317364,0.7443930818147106,1.0,-0.052096489748012,0.2479275134421614,-0.0641303374194306,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034882033592851,-0.0141172665179895,-0.0106290631587044,0.0057309294097777,0.1331294204925025,0.7415421600111922,11.143383213989884,0.0705442578989117,0.251006674033787,0.0256504686724226,4,-0.0662457594299273,-0.3032242634006979,0.044893789226489,0.261235922621242,0.3272268756686509
Bhlhe40,6296.0,0.0,0.050943948445868,0.6129768768900181,0.0,0.075435903053823,0.1365905015868387,-0.0352336689077055,0.0354432919758442,0.3887621490374535,2.0,-0.3018849735904085,0.5545888516761988,0.4020984435700923,0.0,0.0,0.0,0,2.465041794053556,0.0007704707903225,1.350469892037146,-0.00953186,0.0005262498423145,13.863627922940625,14.185262612403235,0.0536423106451612,14.185262612403235,-0.0003791339999999,13.39153,0.1217015768982752,-0.0622857982199505,0.0594157786783247,0.0030678897260187,0.171176681065192,1.3820953025737568,7.451211111833153,-0.048909349654005,0.0829591835109244,-0.0457385146212939,6,-0.3543235248257463,-0.3822582324598338,-0.003170835032711,0.1710217765589798,0.105471708934108
Rmdn3,20033.0,0.1202942337175443,-0.0144968679919838,0.1604646721930231,0.1604646721930231,0.0177323462850805,0.0752113895939993,0.0112715488454444,0.175357298794367,0.4126408095989975,0.0,-0.111786482563299,0.4150374992758383,0.3283976227397458,0.0,0.0,0.0,0,2.667500737726165,0.0009644338153846,0.5635240519852407,-0.0614406,0.0004750164743167,13.978410361252257,13.872771056734152,0.0162885568461538,14.216291155757055,-8.984049999999962e-05,11.637312,0.012972543135866,-0.0219606955380957,-0.0089881524022297,-0.018953554491337,0.2706406396346749,1.2913461655021747,11.15418520926536,0.0771214699968154,0.3626993354417998,0.0739468860869624,3,-0.1755779622140367,-0.1247615696796162,0.0031745839098529,0.2271970991590317,0.3216410414052655
Hcn3,14122.0,-0.1793236994443141,-0.0060177064476651,0.1258215272169822,-0.0769619818147813,-0.0171261024507393,0.1032240430725919,0.0479849904070821,0.2736076820535205,0.0469011313191753,0.0,-0.0657839197045335,0.2099230693739961,0.3598959450858521,0.0,0.0,0.0,0,0.8916100371747389,0.0011815079285714,0.1667828270751973,-0.0819315199999999,0.0011021354935036,13.713631317468671,13.574120435009748,-0.0150828642857142,13.959096342281969,-0.0007786679999999,7.114914,0.0655922147504851,-0.0210240986052123,0.0445681161452727,-0.0171738166009817,0.2186247850050122,0.63798559258685,11.119589620741188,0.2830945220985997,0.5670687352644779,0.2627584636447477,6,0.0446561690502581,0.1258241891779264,0.020336058453852,0.1337606006752622,0.5035730521063584
