gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,distance.log2.DMR,18mo.9mo.Q.std.loops,Qanova.mean.loops,9mo.2mo.Q.min.loops,loop_size.log.median.loops,9mo.2mo.Q.std.loops,min_distance.log.median.loops,18mo.2mo.T.max.loops,loop_size.log.mean.loops,18mo.9mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.std.atac,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.max.atac
Prrt1,3593.0,0.2740380431033032,-0.0414054713978168,0.0526068811666213,0.257468888564226,17,0.222392421333013,4,-0.311278124456127,-0.222392421333013,0.1755887601342598,0.3967888473447383,0.3212031450504152,0.3432945612975084,0.0,0.001562623911215,2.5552665472,-0.0039060237999999,17.729657228296354,0.0010924898953276,13.605826723159224,0.18033388,17.929200105577518,0.1614254509078038,0.16865264541793,0.0354044117129126,0.3461377750771258,0.6070667137979409,0.499256678602942,11.46862404291807,0.2193218155837042,2,11.039363052958912,0.2769380040554181
Scamp2,27852.0,0.1297829731734422,0.0309027570890989,0.0692684647713187,0.2607796696448008,15,1.0473057147733926,5,0.2818319988132501,-0.658963082162149,0.1298425142433148,0.794783727706964,0.2647156639660503,0.1483514397684291,0.0,0.0016541813830563,0.8066916260780851,-0.003838233,17.176669886230812,0.0011082910823429,14.20945336562895,0.09887599,16.938587052833604,0.0063453156919052,-0.0257276930471841,0.0150233101323055,0.1328006416995119,0.3614923540309689,0.2066990258466257,10.764871590736174,0.1164437915347644,4,10.409750202960804,0.5458336813672937
Zbtb21,19265.0,0.0,0.0,-1.1295557993063503,0.1013524041990088,24,1.999999999891798,8,0.054119925917428,-1.999999999891798,-0.2639040504627159,0.6326470407953503,0.1192173305816121,0.0487229467378145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0161051213367376,-0.0143541570237076,0.1175322467460984,0.0615937544033597,0.3236299303475144,0.0871525587564643,11.330356716958,0.108376883492905,2,11.10151579861434,0.3027199696567
Tet1,104426.0,0.0,0.0,0.440642698285635,-0.1578980758858081,15,0.4150374992668215,3,0.1086774977361636,0.0,-0.3385524033955995,0.7071067811746459,-0.2154068113910915,-0.1458327500064289,0.0,0.0021680087192232,2.4382266170175435,-0.00310914,15.33915409093206,0.0014944309447497,14.74346700173564,0.269070155,15.370121533892153,-0.0109275573379091,-0.0632164704578056,-0.0368639806952484,0.2254770444796513,0.1874428036134701,-0.25128510505161,15.45288469748662,-0.1020141596682639,4,15.282436995796004,0.0302868658242414
Plxnb2,25239.0,0.0544732133420614,0.0003601071830849,-0.1315172029156945,0.3633734374014781,18,0.6780719051018176,6,-0.3333333333257189,-0.2630344058313891,0.331289121853862,0.3390359525509088,0.3633734374014781,0.212701709354363,10.794415866350189,0.0015902881932441,0.8683481752222222,-0.0028505069999999,16.771471291410784,0.0010252998951406,13.725898755240811,0.1236146004999999,16.55967523260149,0.0280449857255808,-0.1040505119044562,0.0496578019271135,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Dram2,28092.0,0.0,0.0,-0.0339850002932714,-0.2054663686063262,30,1.3219280948440812,4,-0.4619992266014679,-1.5849625006249766,-0.4158065691205532,1.022779157965666,-0.1895496242434823,-0.2205668789388211,0.0,0.001074065939777,1.259308966,-0.0019119118,19.12060239371419,0.001049603796259,13.937833555399152,0.292639557,19.111973127609,0.0592957878511963,-0.0421416502164614,0.1303986962498329,0.3236734376510213,0.4505744703699834,-0.3377218053006881,11.255618749839655,-0.466802079342429,3,10.81698697226818,-0.0572761660594585
Nipal3,49618.0,-0.1018204863431282,0.03335450192601,-0.6609640474220406,0.3124558317770711,18,0.5849625006971113,1,0.5849625006971113,-1.3219280948440812,0.2749533302538767,0.4136309509827679,0.3124558317770711,0.0301232154838384,0.0,0.0010940062855357,0.9317700343589744,-0.0025706889,18.59486399730249,0.0009421443926146,14.056468374771333,0.104506005,18.00285702945435,-0.0421950090810103,-0.0752439175668263,-0.039438202323086,0.2048136643210186,0.3113939748870352,0.0547196655813584,11.367414751246882,-0.2591487689221159,2,11.147225959983626,-0.0755903345996511
Gnb5,39588.0,0.0660434571566251,-0.0418827685231887,0.4150374992698271,0.147827652866934,20,1.222392421308968,3,0.371825739135663,0.4150374992668215,0.1169766000191785,0.8227680393558899,0.147827652866934,-0.0785582139013509,0.0,0.0015962332341102,1.4933142008785716,-0.0021515875,16.4446727714134,0.0011189792528515,14.243397155418773,0.2271301929999999,16.598781131669316,-0.0251991656692828,-0.0869309862824355,0.0926252450894799,0.1026764834506246,0.2149886594441201,0.1333704675900769,12.36194377373527,-0.1754478543988459,3,12.142861615308217,-0.0790764686232403
Psma6,34232.0,-0.0912299068315335,0.0001746284983777,-0.9274075851540008,-0.0967154034751036,23,0.9999999999278651,6,-0.6892848809892808,-2.3219280947719465,-0.3644061511489269,0.4758045562758206,-0.0620694845204911,-0.067189114976395,0.0,0.0018015710510552,2.106721439375,-0.0026201802999999,16.528105770425988,0.0017922816251674,13.847499088684742,0.19095596,16.85273683665927,0.028389759015076,0.166874521966155,-0.0412574343455925,0.4832899936479627,0.0328685289845804,-0.344965034691992,13.993115299679186,0.2335738827078241,2,13.969873739946562,0.5894916190981607
Ppp1r1a,7724.0,-0.0157496852022502,-0.0082840754367855,0.4742535177870656,0.1207221359142785,26,0.0,5,-0.1334354527998078,-0.5849625007091332,-0.0427765963636863,0.4789664617183292,0.0843036018526892,-0.0024785344515927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0943015214235403,-0.0163019661541217,0.0925077460406152,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
