,acc,bal_acc,igr,micro_roc_auc,micro_AP
0,0.5901639344262295,0.6020245584502556,0.14319543543207897,0.776232027680731,0.5962230287018365
1,0.6045081967213115,0.6307089972290417,0.17023979012659124,0.7873681470034937,0.6182735886280475
2,0.6004098360655737,0.6255293557765007,0.16548461652959542,0.7924743012631014,0.6248442904367059
3,0.6188524590163934,0.6292580477837587,0.16600089190168388,0.7984412792260145,0.6414390394497052
4,0.5942622950819673,0.5981024713711087,0.14705635683014184,0.8000474502821822,0.640038896790291
5,0.5840163934426229,0.6106227593702247,0.1577878502484578,0.7766141494221984,0.5942702013072088
6,0.5778688524590164,0.5999468260833528,0.14804981427484012,0.777411986025262,0.6086409783331024
7,0.5512295081967213,0.5666604990371105,0.1275286940916979,0.7714429084923407,0.610679829477766
8,0.5860655737704918,0.6129070197741596,0.161281496238196,0.7836246136791185,0.618448535940268
9,0.5512295081967213,0.58356398711374,0.133128880893651,0.7706828641494222,0.597802657381443
