,acc,bal_acc,igr,micro_roc_auc,micro_AP
0,0.6113821138211382,0.6519553175435691,0.20797627045815703,0.8099418335646771,0.655539641485322
1,0.6520325203252032,0.6804369450651416,0.2449953646262734,0.8334073633419261,0.6784175907347348
2,0.6585365853658537,0.6786239601100692,0.23804962792542078,0.8484288452640625,0.7144652991942718
3,0.6764227642276422,0.6963217268589682,0.251162778004418,0.8360195650736995,0.6879320868528285
4,0.6292682926829268,0.6506548073933522,0.21071005780736407,0.8242012029876398,0.6785855061113621
5,0.6552845528455284,0.6686958383094046,0.23057731279593394,0.8336135897944343,0.6780901134348974
6,0.6487804878048781,0.6751890907083311,0.2411942968899566,0.8294586555621654,0.6775641231458278
7,0.6617886178861788,0.6861478767309706,0.2591583403078616,0.840818295987838,0.7055096965913732
8,0.6390243902439025,0.6633220687671257,0.2224951496008013,0.8400039658933174,0.701615219794927
9,0.6520325203252032,0.6851172125089956,0.2449420486195135,0.8287778438759997,0.6757128438350611
