,acc,bal_acc,igr,micro_roc_auc,micro_AP
0,0.5421052631578948,0.5061821219715956,0.04133615143123833,0.7708471837488458,0.5644980814960812
1,0.5570175438596491,0.5236006683375105,0.04891121897206164,0.7826642813173283,0.5713406357051922
2,0.5736842105263158,0.5195488721804512,0.05453794067714381,0.7761538165589411,0.5633337275305911
3,0.6,0.5369674185463659,0.06771926240773539,0.8031605878731917,0.6068825332254789
4,0.5921052631578947,0.5398078529657476,0.06809489335188273,0.7956940597106801,0.6007221996260458
5,0.5684210526315789,0.458563074352548,0.045027512200130904,0.7777570021545092,0.5593346265745642
6,0.55,0.4618212197159566,0.03260479755151365,0.7703793474915358,0.5496600081484525
7,0.5526315789473685,0.5534252297410193,0.06678597457152473,0.7800365497076024,0.5629778545666775
8,0.5421052631578948,0.5464076858813701,0.05385748418126973,0.7733987380732532,0.5591805931928711
9,0.5517543859649123,0.5289891395154552,0.04648232003203967,0.7756909818405663,0.5517477629790126
