,acc,bal_acc,igr,micro_roc_auc,micro_AP
0,0.550893520016019,0.5246856044224231,0.04750690514568062,0.7783989901319192,0.5657579940418478
1,0.5656349829798376,0.5217056528970164,0.051717980769961334,0.783503732724483,0.5744447831323025
2,0.5591440629668993,0.5137933781096505,0.048069261843774906,0.775329298305474,0.5609052731855588
3,0.5709118494216225,0.5234363591601904,0.054660538999402195,0.7858571913991106,0.5797539042401472
4,0.556162376969641,0.5251961453848264,0.04967144380456743,0.7780521991414598,0.5647144334986735
5,0.563707776904949,0.5222153716515863,0.052714929523575295,0.7834486544265947,0.5739192565500232
6,0.5586155907767664,0.5118079897349441,0.047048555027498405,0.7824486020989938,0.5728521861739969
7,0.560373673428523,0.5198496963932044,0.04997260324683413,0.7801777491401521,0.5658662820162668
8,0.5554617007840057,0.5327920973583662,0.05068766250708351,0.7790722325012593,0.5700512808362828
9,0.5710797406158064,0.5198783145678414,0.05242057156278529,0.7904660818182488,0.5854647638912716
