,acc,bal_acc,igr,micro_roc_auc,micro_AP
0,0.5894568690095847,0.5190120484412888,0.07934633134610304,0.796723963702804,0.6353070758455874
1,0.5942492012779552,0.5525542680252963,0.09178677368477155,0.8022167726525737,0.6427144017612185
2,0.6054313099041534,0.5783148683770243,0.10493490305149944,0.8072795986485521,0.6377275641703926
3,0.6038338658146964,0.618998507218675,0.11679758266361515,0.8121944186426318,0.6564844247434536
4,0.5862619808306709,0.6247852312435922,0.11902766393598951,0.8010072063611959,0.6322123326614433
5,0.5894568690095847,0.6034724163958423,0.10834241562167751,0.795752993293797,0.6442747846376311
6,0.5814696485623003,0.5226786830215605,0.08302729229144286,0.7793957782563873,0.6153836503946235
7,0.597444089456869,0.5606256197639969,0.10726882540453885,0.8142869172901632,0.6588169391886844
8,0.5702875399361023,0.5805777231799757,0.08920093255291424,0.7984541028284458,0.6352072649464319
9,0.6038338658146964,0.584475551695002,0.10871198196145318,0.7967762761689922,0.626469197177514
