,acc,bal_acc,igr,micro_roc_auc,micro_AP
0,0.5333333333333333,0.6287094547964113,0.18142129784504396,0.7705555555555555,0.5462555246091396
1,0.6166666666666667,0.5645962732919255,0.14751972387374437,0.7959722222222223,0.5911572346118829
2,0.75,0.7366459627329193,0.3062690392110691,0.8352777777777778,0.6902565533163477
3,0.55,0.5830227743271221,0.17185580475490791,0.7669444444444445,0.5304496993239817
4,0.6666666666666666,0.7209799861973775,0.25718291352355505,0.8491666666666666,0.7187256082037173
5,0.6166666666666667,0.6876466528640441,0.21618149669899472,0.8079166666666667,0.6625821263445986
6,0.65,0.6199447895100069,0.16209605671945443,0.8277777777777777,0.6555624246574862
7,0.6666666666666666,0.7108350586611456,0.2420345105605169,0.8113888888888888,0.6256942553265721
8,0.65,0.706487232574189,0.2675188250703145,0.775,0.6042625906007273
9,0.7166666666666667,0.8043478260869565,0.4266683076556425,0.8558333333333334,0.7022436169968781
