,acc,bal_acc,igr,micro_roc_auc,micro_AP
0,0.6213921901528013,0.6082536850601079,0.11983522120256845,0.815842799945809,0.6409489743751395
1,0.6553480475382003,0.6009918864959007,0.1411448403911849,0.8354567754618487,0.6764529829970248
2,0.6230899830220713,0.6301941293912748,0.1332723530270605,0.8273353299454342,0.6560096268429904
3,0.6247877758913413,0.5983836710420118,0.12622886765714184,0.8237840891730394,0.6572886899115834
4,0.6112054329371817,0.6232700395055435,0.11590864998056838,0.818719535571499,0.6473711324391236
5,0.629881154499151,0.592353765770358,0.114579372612232,0.83238547104384,0.6704577110325639
6,0.6044142614601019,0.5534854084363451,0.10491561272626358,0.8017098993719031,0.6266704843920881
7,0.6095076400679117,0.5785480650779492,0.11691125062380257,0.8211365123471914,0.6418016962590359
8,0.6859083191850595,0.6644301431544964,0.18581013131095914,0.8569602301388501,0.7014040002873675
9,0.634974533106961,0.6077503079733231,0.1415972536410662,0.8298128392342926,0.6681312614572961
