,acc,bal_acc,igr,micro_roc_auc,micro_AP
0,0.6882352941176471,0.6175892734716265,0.24823424002578043,0.8398356401384083,0.7279222102763214
1,0.6676470588235295,0.6328478710831652,0.26252614206423,0.8280276816608996,0.6987340041394497
2,0.6794117647058824,0.6135217723453017,0.2241456118101961,0.8379541522491349,0.7181580441430694
3,0.6911764705882353,0.6596602743661568,0.250067980014865,0.8465397923875433,0.725034646102131
4,0.6941176470588235,0.6082512258982847,,0.8053849480968858,0.658220634540465
5,0.6852941176470588,0.6466422466422467,0.2377524165429134,0.8463019031141868,0.731983260335238
6,0.6941176470588235,0.6329699712052654,0.23228099404655747,0.8346237024221453,0.7059276703874557
7,0.6823529411764706,0.6540044922397863,0.2574922222926686,0.8272058823529411,0.7090191235579258
8,0.6911764705882353,0.6344325609031491,0.2507975241621345,0.8452638408304498,0.725537197439416
9,0.6852941176470588,0.6573472279354632,0.25489148526298444,0.8643814878892734,0.7496213057792429
