,acc,bal_acc,igr,micro_roc_auc,micro_AP
0,0.75,0.8164251207729469,0.4008594965825983,0.8729166666666666,0.7393205728577563
1,0.65,0.7328502415458936,0.28855151553899194,0.8144444444444443,0.6046360235498207
2,0.6833333333333333,0.7118012422360249,0.2741229547158173,0.866111111111111,0.7387261581580365
3,0.6,0.6298826777087646,0.17936327625634652,0.8083333333333332,0.6173673973843743
4,0.6666666666666666,0.7142167011732229,0.3017784773032326,0.8368055555555555,0.6605303997443515
5,0.65,0.6267080745341614,0.1667178304718994,0.8331944444444445,0.6924060476529043
6,0.7333333333333333,0.7917874396135266,0.38836355433070885,0.86125,0.7055208225653382
7,0.6833333333333333,0.7719806763285023,0.3399229029840127,0.8265277777777778,0.6664447989603102
8,0.5666666666666667,0.6178053830227744,0.1541504655020667,0.7702777777777778,0.5841955877447778
9,0.5833333333333334,0.6518978605935127,0.20040230295592146,0.7697222222222222,0.5314867619809293
