gene_name,9mo.2mo.log_ratio.mean,18mo.9mo.log_ratio.mean,18mo.2mo.log_ratio.mean,log2_distance.mean,9mo.2mo.log_ratio.std,18mo.9mo.log_ratio.std,18mo.2mo.log_ratio.std,log2_distance.std,count
0610005C13Rik,0.2458363240395761,0.00863365324418508,0.25446997728376114,11.764734373007983,0.1000632415462154,0.3063731335874671,0.20630989204125166,0.5492019697960911,3
0610007P14Rik,0.030583565376238225,0.2500983876753959,0.28068195305163407,11.344375034027827,0.08114521326808809,0.27526711642722324,0.3044669593525223,0.8282015918490543,3
0610009B22Rik,0.0852697433730043,0.21817719810168867,0.303446941474693,11.185494924210929,,,,,1
0610009E02Rik,0.0263948028657206,0.09163124589789895,0.11802604876361955,10.71398733619474,0.029988779222574775,0.030159451418173232,0.06014823064074801,0.32836328360374584,2
0610009L18Rik,0.3116003023864508,-0.09048426062845542,0.22111604175799537,10.638165454108496,0.172958891518577,0.10924155506058299,0.24062003950918698,0.5976505373418765,3
0610009O20Rik,0.3802100088398393,0.00011895324798755214,0.38032896208782685,9.759428371253318,0.39615917363448216,0.03849275045205993,0.3576664231824222,1.4301029894899855,2
0610010F05Rik,0.012457375476558155,-0.28761431600859216,-0.275156940532034,10.924679354580514,0.21187225823371705,0.31636263364675543,0.10449309953859123,0.6475606888447892,3
0610010K14Rik,0.23554268866074826,-0.012793480678999844,0.22274920798174844,10.323829440370366,0.22915232384288817,0.03812609878361684,0.2505077377222763,1.6798011427347226,3
0610011F06Rik,-0.026774180484207783,0.3461958186796831,0.3194216381954753,11.865379222766068,0.1725556740842875,0.29782330271180346,0.2455431402000269,1.142037993033287,7
0610012D04Rik,0.5165483009252886,0.07270489706449967,0.5892531979897883,8.278784202838242,0.3377014747993187,0.14298867996360298,0.19471279483571574,2.291835919556092,2
0610012G03Rik,0.11730772614956897,-0.07048626221126186,0.046821463938307106,10.893849072737815,0.10178060167489446,0.18821352053238963,0.2899941222072841,0.2747486300788355,2
0610025J13Rik,-0.09870942205235944,-0.016674893757497644,-0.11538431580985709,11.157180982959723,0.23774757722785403,0.16411009844126342,0.0736374787865906,0.4099836841665099,2
0610030E20Rik,0.1371861784960521,0.062415201890091865,0.19960138038614397,10.129587230288655,0.09755801070636322,0.1967203590774442,0.2487662723850875,1.4275403877039976,3
0610037L13Rik,0.11709355054918591,-0.030140979402082158,0.08695257114710375,10.771348751289358,0.11022551025632603,0.08736255353761639,0.02286295671870964,0.3559752291212157,2
0610038B21Rik,-0.09664599865463744,0.0977316038657026,0.0010856052110651548,11.180724725291824,0.12992954191978792,0.2316418771537386,0.13486611047636907,0.4962034264358684,4
0610039K10Rik,0.041983439875470374,0.021510412599908157,0.06349385247537853,11.006326078525005,,,,,1
0610040B10Rik,0.22992327336568621,0.008172066872571807,0.23809534023825804,10.725643068699233,0.14268189203371406,0.17689018619609229,0.273939968494711,0.4309895098020455,3
0610040F04Rik,-0.13367657451453382,-0.25203047684051827,-0.3857070513550521,11.359910335121313,0.08306829681229327,0.5653422181985996,0.4998990577999424,0.36803086544391367,4
0610040J01Rik,0.1093161025174765,-0.14833238667754467,-0.039016284160068165,11.511664763090554,0.43739735382757755,0.2611656282082368,0.19157986682017814,1.6114619015738876,4
