,DEG
Slc6a1,1
Rbms1,2
Psmc3,0
Eif2b5,1
Scrn3,2
Zbtb11,1
Spcs1,0
Pdss2,2
Calr,0
Arhgef28,1
Med28,0
Acss2,0
Pbx3,2
Rell1,1
L3mbtl3,1
Dbndd2,0
Ndufb10,0
Gsk3b,1
Park7,0
Lrig2,1
Tex9,1
Agpat5,1
Tbl1xr1,1
Mfsd6,1
Dhx8,1
Gab2,2
Olig2,0
Nmral1,0
Fstl5,2
Bora,1
Fbxo34,1
Wars,1
Ssr3,0
Nit1,1
Ntng1,2
Izumo4,1
Lamtor4,0
Ywhab,0
Capzb,0
Gnao1,1
Cmss1,0
Pet100,1
Cobll1,2
Sft2d1,0
Apbb1,1
Stmn3,0
Rps11,0
Deptor,2
Uggt2,1
Naa15,2
Pik3r2,1
Zfp740,1
Psmb3,0
Cyth2,1
Ndufv3,1
Ndufa11,0
Cr1l,1
Arhgef37,2
Uimc1,2
C330018D20Rik,1
Lsm7,0
Ssbp3,1
Psmb5,0
Klhl11,1
Usp53,1
Msn,2
Zbtb44,2
Plat,0
Gm15478,1
Asap2,2
Smpd1,0
Robo1,2
Dnajc13,1
Trim13,0
Efna2,1
Mrps15,1
U2surp,1
Fth1,0
Gm28322,2
Ppp1ca,0
Cep70,2
Plagl2,1
Hnrnpc,1
Eef1d,0
Eci2,1
Trappc5,0
Atad3a,1
Clcn7,1
Fbxl5,1
Mbd2,1
Rdh14,1
Cbfb,2
Wwc2,1
Slc38a2,0
Mettl15,2
Sumo3,1
Lrch1,1
Elovl1,0
Rab11fip2,1
Aup1,0
Npc1,0
Ndufaf4,0
Mterf1a,1
Sergef,2
Camk1,1
Arpp19,1
Snrpa1,1
Anp32a,1
1700028E10Rik,2
Rps15,0
Tox,2
Cnksr3,0
Fam78b,1
Uqcrc1,0
Cntn6,2
Aplp1,0
A730081D07Rik,2
Slc9a8,1
Zfp207,1
Lonp1,1
Myh14,1
Eif3l,0
Clptm1,0
Cxxc5,1
Slu7,1
Rpl9,0
Mms19,2
Tmem237,1
Sv2a,0
Dgki,2
Btbd1,1
Hsd17b4,1
Ppp2r5b,0
Ttc21b,1
Srp14,0
Eif4h,0
Tmed7,0
Fbxo31,1
Cyp4f17,2
Nsdhl,0
4930453N24Rik,1
Usp24,2
Spidr,2
Csnk1g3,1
Shoc2,1
Sh3gl1,0
Scn1a,2
Strap,1
Nudt3,1
Got1,1
Cyfip1,1
Pdgfc,0
Rap2c,1
Znhit1,0
Metap2,1
Nup160,2
Trmt112,0
Ypel2,1
Gpd2,2
Zfp958,1
Rsrc2,1
Kdm3a,1
Tmem208,0
Slc25a53,1
Gpc5,2
Cope,0
Cntn4,1
Thumpd3,1
Acat2,1
Casc3,1
Ctsb,0
Agpat3,0
Ctnnd2,1
Srrm2,1
Slc25a51,0
Mecp2,2
Srp54a,1
Trim37,1
Flot2,1
Tubb5,0
Orc5,2
Rpl6,0
Nhlrc3,1
Zkscan17,1
Cand1,1
Timm50,0
Gm11659,0
Cyhr1,0
Wdfy2,1
R3hcc1l,1
Cachd1,2
Gstp1,0
Phlpp1,1
BC003965,1
Spcs3,1
Rpl37a,0
Ddr1,1
Atat1,1
Farp1,2
Slk,1
Kif5c,2
Extl3,1
Stmn1,0
Megf10,2
Tgfb3,1
Brsk2,1
Sgms1,2
Stard7,1
Sparcl1,0
Trim8,1
Rpap2,1
Nfkbia,0
Mtrf1l,1
Slc25a44,1
Aifm1,1
Opa1,1
Stambp,0
E230016M11Rik,1
Aldh1a1,2
Cdk5rap1,1
Gtf2h1,1
Sap130,1
Gm10754,2
Efcab5,1
Wdr45,1
B230307C23Rik,1
Rps8,0
Cck,0
Fut9,2
Hdac1,1
Rps14,0
Anapc1,1
Cs,1
Tmed9,0
Chic2,2
Slc9a6,1
Rab4a,1
Iqcb1,2
Tmem63b,1
Elk4,1
Cdh20,2
Mga,1
Dusp11,1
Tpd52l2,1
Erlin1,1
Rnf220,1
Zfp120,1
Gdi2,1
Rplp2,0
Mrps12,0
Mkln1,2
Pcolce2,2
Usf1,1
Ttc17,2
Slc25a5,0
Sema3e,2
Ddx42,1
Phf20l1,1
Gm26590,1
Prkra,1
Topbp1,1
Zfp395,1
Arv1,1
Tmem159,1
Rps6ka1,1
Pithd1,1
Mroh1,1
Prim2,2
Rps17,0
Ptbp2,1
Rbbp6,1
Nudt4,0
Txn1,1
Trmt2a,1
Nol10,1
Snapc1,1
Tmod1,0
Skp2,1
Aplp2,0
Cep57,1
Zfp317,1
Csnk1e,1
Aig1,2
Aplf,1
Rsrc1,2
Cycs,0
Hist1h1c,0
Mrpl32,1
Ypel3,0
Tpt1,0
Znfx1,1
Mlh1,1
Ndrg1,0
Stmn4,0
Spata13,1
Slc24a3,1
Wdr25,1
Ttf1,1
Tubb3,0
Sgce,1
Zfp748,1
Polr3a,1
Frg1,1
Tmem222,1
Msh2,1
Hras,0
Gtf2f2,1
Ndufb5,0
Mrpl14,1
Anks6,2
Tcf7l1,0
Txndc15,0
Pdzd4,1
Insr,2
Stat5b,2
Ebp,0
Nolc1,1
Eif2ak3,1
Ints8,1
Rpl8,0
Srsf10,1
Rasgrf1,1
Svip,1
Lamtor2,0
2010315B03Rik,0
Chmp2a,0
Stx17,1
Rps6kb2,0
Edem1,1
Zc4h2,1
Setd5,1
Adam23,2
Eif3g,0
Prr18,1
1700019D03Rik,1
Ap2m1,0
Cep44,0
Disc1,2
Papss1,1
Ano3,2
Cobl,2
Thsd7a,1
Tmbim6,0
Tpd52,0
Apaf1,1
Cyld,1
Omg,0
Galk1,1
Nacad,0
Slc2a13,1
Kank1,0
Fign,1
Erp44,1
Krtcap2,0
C920021L13Rik,1
Chchd6,1
Pcyt2,0
Mtch1,0
Stxbp4,2
Vps4b,1
Atp6ap2,0
Zfand2a,1
Zfp869,1
Slc35f4,1
Ccdc82,1
Bckdk,1
Ctdspl2,2
Serpinb6a,2
Tor1a,1
Pgm3,1
5031434O11Rik,1
Sema3d,0
Stk19,0
Ikbkg,1
Specc1,1
2310015A10Rik,2
Rnf44,1
Atg10,2
Klf12,1
Zeb1,1
Arpc1b,0
Igf1r,2
Cep83,1
Eif4g2,0
Msl2,1
Zfp280d,1
Gm28376,1
