,DEG
Kcnh3,0
Acin1,0
Atp6ap1,0
Dapk1,0
Ntpcr,1
Thy1,0
Zfp457,1
Flnb,0
Ccdc90b,1
Gria2,1
Mfsd11,1
Gm17106,1
Gdi1,0
Mark3,0
Fut8,2
Grid1,2
Slc17a7,0
Grm8,2
Srcin1,0
Ehmt2,1
Chrm1,1
Vmn2r29,1
Gm3764,0
Chtop,1
Anks6,1
Usp54,1
Pspc1,1
Col6a1,0
Csnk1g1,0
Ndufs7,1
Mrps21,1
Rimbp2,0
Snhg5,1
Rasal1,0
Ptms,0
Ttc13,0
Zfp354a,1
Eno2,0
Ephb2,1
Ankrd13b,1
Arf3,0
Depdc5,1
Eif2b5,1
Spg21,1
Celf1,0
Rwdd1,1
Sft2d3,1
Mrpl40,1
Mtx2,1
Pabpn1,0
Arrdc2,1
Gm15594,2
Pcdh1,0
Mrpl11,1
Ube2r2,1
Fbrs,1
Strn4,0
Wdr13,1
Zfp322a,1
Mpdu1,1
Sf3a3,1
2410131K14Rik,1
Nrxn2,0
Papolg,1
Tmem219,1
Syt7,0
Tpcn1,1
Pde3b,1
BC029722,1
Ccdc181,1
Slitrk3,1
BC048403,1
Fstl1,1
Banp,0
Cfap44,1
Cntnap5c,0
Nek9,0
Dnm2,0
Chm,2
Mcee,1
Rgmb,1
Polb,0
Clstn1,0
Cltb,0
Crbn,1
Atp9a,0
Cpne6,0
Lmtk3,0
Itsn2,0
4930402H24Rik,0
Ndufb11,1
Dcakd,1
Dnajc14,1
Gm10558,2
Rnf112,0
Igsf21,0
Akap8l,0
Ndrg3,0
Rplp1,0
Odf2,0
Inpp5k,0
Stox1,1
Cmc2,1
Pcdhb19,1
Pcdhb22,1
Rufy3,0
Srrm3,0
Rab11fip4,0
Pacs1,1
2900079G21Rik,1
Atcay,0
Chp1,1
Etv1,1
Trim2,0
Ppip5k1,0
Cyb561,1
Snrnp70,0
Zbtb16,0
Palm,0
Sept3,0
Igsf9b,0
Zrsr1,1
Mgmt,1
Pcdhgb5,1
Cacnb2,1
Ddrgk1,1
AY036118,2
Pttg1ip,1
Drc1,1
Mex3c,1
5330439A09Rik,1
Sfpq,0
Tmem208,0
Kdm2a,0
Camk2b,0
Fhad1,1
Usp1,1
1700030K09Rik,1
Cmip,0
Zfp523,0
Kidins220,0
Sfswap,0
Spred2,0
Mapre3,1
Tmem63c,1
Lekr1,1
Ppp1r12c,0
Cul4a,1
Supt5,0
Grip1os1,1
Senp2,1
Sirpa,0
Dtx3,0
Fbxo10,1
Nrgn,0
Mt3,1
4930503L19Rik,1
H2afy,1
Eps8l1,1
Plekha6,0
Mast1,0
Trerf1,0
1600010M07Rik,2
Zmynd8,0
Pabpc4,0
Xrn1,1
Kcna2,0
Dctn1,0
Mmel1,0
Gtdc1,2
Jph1,1
Chmp1a,1
Hip1,1
Tmem38b,1
Ehbp1,1
Galntl6,0
Slc7a2,1
Pacsin1,0
Myadm,1
Ccdc174,1
Apmap,1
Rsrc2,1
Tmem232,1
Tmsb10,0
Zmynd19,1
Dlgap3,0
Gm26917,2
Chd8,0
Ift20,1
C030034I22Rik,1
Cdk5r2,1
Slc25a23,0
Csgalnact2,1
Myo1d,1
Cdadc1,1
Dcp1a,1
Manf,1
Aftph,1
Gm11767,1
Mterf1a,1
Ptprs,0
Atrn,1
Ankrd13d,0
Cyb561d1,1
