,DEG
Syt9,1
Stx12,1
Copa,2
Far1,0
Topbp1,1
Pdk1,1
Prkar2b,1
Tom1l2,2
Lztr1,2
Col4a2,1
Nprl3,2
Epha7,0
Camk1d,1
Naaa,1
Acp6,1
Hook1,1
Mcoln1,1
Hist1h2be,1
Tiparp,1
Plxna3,1
Zfp87,1
Mettl17,2
Polr2a,1
Pfkm,2
Pnn,2
Sh3glb2,2
Tmem237,1
Dpf1,2
Tlk2,2
Caln1,2
Leng8,2
4921534H16Rik,0
Slc4a1ap,2
Gm28294,1
Srrm1,2
Sytl2,2
Agl,2
Ostf1,1
Cnbd2,1
Nr6a1,2
Mta2,1
Safb,2
Plod3,2
Zfand2a,1
Shb,1
Vwa5b2,2
Mapkbp1,2
Timm13,1
Fnip2,2
Setd1a,2
Prdm9,1
Kcnh3,2
Lmo1,1
Gm12689,1
Sec24c,2
Cers4,2
Rdh14,1
Phldb1,2
Vps33b,2
Ncl,1
Morn2,1
Sema4d,2
A730060N03Rik,1
Chd1,2
Psg16,1
Ablim2,1
Pus3,1
Riok1,2
Mthfsd,1
Ppp5c,1
Slc25a23,2
Dap,1
Tmem63b,2
Ccz1,2
Mndal,0
Lamtor1,1
Apbb1ip,1
Sec22b,1
Actr1a,2
Med6,1
Rnf170,1
Gtpbp3,1
Tmem39b,2
Arhgap23,2
Scn3a,1
Fam114a2,2
Gls2,2
Sez6,2
Ckmt1,1
Anapc5,2
Wwox,2
Asap2,1
Pcdh20,1
Lnpep,1
Galnt1,1
Camk2g,2
Kdm4c,1
Rasgef1b,2
Epha3,0
Dlg1,2
Adar,1
Col25a1,2
Rtca,2
Alg13,1
Nup214,2
Rcc2,1
Tert,1
Mri1,1
Zfp777,1
Nkain1,1
Prpf40b,2
Olfm1,0
Acap3,2
Cck,0
B230307C23Rik,1
Zmiz2,2
Rbm10,2
Ulk2,2
Robo2,0
Gclc,2
Rhobtb2,2
Setd1b,2
Mrpl10,1
Rfx7,2
Tcf12,2
Tarsl2,2
Rps15,1
Tmem191c,2
Ccl28,1
Taf1d,1
Abhd3,1
Poldip3,1
Med8,1
Brd3,2
Ttc27,1
Herc1,1
Gm28756,1
Cry2,2
Zbed4,1
Lrrc6,1
B4galnt4,2
Skap2,2
Polr3c,2
Trim24,1
Filip1,1
Rab21,1
2610001J05Rik,1
Laptm4b,1
Pabpn1,2
Ccar1,2
Nlgn2,2
Dhx30,2
Pgrmc2,1
Zfp934,1
Erlin1,2
Ahcyl2,1
Zmym5,2
Trmt1l,1
Tmed4,1
Usp19,2
Coq6,1
C2cd5,1
Slc35e2,1
Ptprd,2
Hdac7,2
Ltbp4,2
Cdk16,1
Dnajc18,1
Bod1,1
Sec24d,1
Ldlr,2
Mettl3,1
Ranbp10,2
Tmbim4,1
Trak1,0
4930453N24Rik,1
Ptprs,2
