,DEG
Eif3b,0
Dagla,0
Bpgm,1
Crim1,1
Smpd4,1
Ubl5,1
Cplx1,1
Scn2b,0
Pnkp,0
Pet100,0
Adam11,0
Nmnat1,1
Zbtb10,1
Lyrm9,1
Alcam,2
Apc2,0
Rsrc2,1
Npdc1,0
Ube2i,1
Taf1,0
Tctex1d2,1
Ppp2r5d,0
Lhfp,1
Cep85,1
Armcx3,1
Chchd3,1
Ahcyl1,1
Trim37,0
Adcy9,1
Adamts10,0
R3hdm4,0
Mybl1,1
Ggact,1
Taf6,1
Camkk1,0
Gtf3c3,1
Cope,1
Bsn,0
Sumo3,1
Rpn2,1
Rasal2,2
Neto2,0
Cenpo,1
Ttc5,0
Pcdh7,1
Pafah1b1,0
Prrt3,0
Mapkap1,2
Arpc5,1
Grip2,0
Limd1,1
Gm15564,0
Pfkp,0
Sept3,0
Ginm1,1
Zfyve26,0
Nat8l,1
Tcf4,1
Anapc5,0
Ndrg4,0
Mmgt1,1
Nars2,1
Hps5,0
Stx5a,0
A230004M16Rik,1
Slc25a23,0
Slc27a1,0
Sult4a1,0
Dnajc15,1
Fau,0
Srpk1,0
Rnf220,1
Chd5,0
Dnpep,1
Cyc1,1
Dhrs7b,1
Efr3a,0
Lrrc51,1
Ttll4,0
Pmvk,1
Ergic3,0
Ngrn,1
Tfdp2,2
Sharpin,1
Nhp2,1
Lars2,0
Mkln1,1
Ndst1,0
Hsp90ab1,0
Gm17106,1
Gm26936,1
Orc5,1
5330438D12Rik,2
Hdac1,0
Csnk1e,0
Gm11639,1
Pinx1,1
Zswim1,1
Pex11b,1
Neurod2,0
Usp5,0
Fndc3a,2
Tmem63b,0
6530403H02Rik,1
Wdr1,0
Sacm1l,1
Gsk3b,1
Rab2b,0
Tubb5,0
Fcho2,1
Ccnd3,1
Gm12709,1
Eml2,0
Ncoa4,1
Col4a3bp,1
Tbc1d23,1
Osbpl3,0
Vps13b,1
Scaf11,2
Ppp1r11,1
Uxt,1
Snx11,1
Nfrkb,0
Mme,1
Vps41,1
Vat1l,1
Mrpl54,1
Dusp3,1
Snx9,1
Myo18a,0
Ddx31,1
Pbrm1,1
Zfp276,1
Dnajc27,1
Ccng1,1
Fam173a,1
Bsg,0
Secisbp2,1
Scpep1,0
2900005J15Rik,1
Dcbld1,1
Sufu,0
Tmem214,0
Slc45a1,0
Rgs9,1
Kctd17,0
Capn5,1
Acox3,1
Dars,1
Fam20a,1
Abhd3,1
Iqsec1,0
Noc2l,0
9330159M07Rik,1
Sptan1,0
AU041133,1
Tmx2,0
Utp20,1
Zfp949,1
Adamts16,0
Dad1,1
Pan2,1
Srp54a,1
Ptpn9,0
Calr,0
Dok7,1
Nap1l2,1
Tmem9b,1
Pcdhb18,1
Sez6l,0
Insig1,1
Maml2,1
Rpl41,0
Zfp141,1
Camk2g,0
Agbl4,1
Trim41,0
Nploc4,0
Tbc1d13,0
Dhx30,0
Otud7a,1
Terf2ip,1
Fam163b,1
Kansl1l,2
Csnk1d,1
Arhgef1,0
Cckbr,0
Cacna2d3,2
Actr1b,0
Capn15,0
Rps26,0
Sel1l3,0
Polr3c,0
Bcl7a,1
4930595D18Rik,1
Dctn1,0
Gm16008,1
Akap1,1
Shank1,0
Bcl11b,0
Dcp2,1
Cacna1i,0
Chrna4,1
Zfp568,1
Ypel3,0
Zswim8,0
Rin1,1
Lrrc4c,1
Cystm1,1
Stmn2,0
Nup88,1
Rfesd,1
Miat,0
Nova1,2
Cspp1,0
Supt5,0
Caskin1,0
Klhl22,1
Me3,0
Oprl1,1
Adcy3,0
Katnb1,1
Tpgs1,1
Anks1,0
Cdkl1,0
Chpf2,0
Pus7,1
Setd1b,0
Gm1673,1
Nrgn,0
Syt5,0
Nufip1,1
Dnajc5,0
Ddi2,0
Gba,1
Polr2k,1
Gtf2h1,0
4930419G24Rik,2
Rpl35a,0
Prmt3,1
Cog1,1
Dag1,0
