,DEG
Brip1os,2
Kif21a,1
Fam124a,0
Dync1li1,0
Fbxo10,1
Dpysl3,1
Ncstn,1
Anks1,1
Adnp2,1
Atg9a,0
Dbn1,0
Trpc4ap,0
Ece2,0
Anapc5,0
Shkbp1,0
4732471J01Rik,1
Ndufs6,1
Matk,0
Pcca,1
Tspan17,1
Kcnc2,2
Sgcd,0
Stau1,1
Irf2bp2,0
Zfp592,1
Coro2b,1
Prkcz,0
Syp,0
A830082K12Rik,1
Irgq,1
Arl5a,1
R3hdm4,0
Cfap44,1
Lzts1,0
Ubqln4,1
Limd2,0
Uggt1,1
Tsix,2
Ppp1r13b,1
Ddx5,0
Extl1,0
Rin1,0
Ell2,1
Gm12709,1
Cnot10,0
Sppl2b,0
Lrrc24,1
Ndufs5,1
Trpc6,2
Pitpnm1,0
Asnsd1,1
H2afx,1
Sipa1l3,0
P2ry12,2
Mpc2,1
Rpl38,0
Ulk1,1
Syt11,0
Dnajc11,0
Lrrc42,0
Tox3,1
Igsf8,0
Akap8l,0
Gle1,0
Gm9947,1
Dennd6b,0
Strada,0
Piezo2,1
Tpd52,1
Bend3,1
Tro,0
Acot7,0
Rgs7bp,1
Wnt7b,1
Trim59,1
Mapk11,0
Ppp2r3d,1
Ccnl1,0
Eif4a2,0
Usp3,2
Agfg2,0
Pex26,1
Cul3,1
Lhfpl4,0
Abce1,1
Srsf5,0
Calb1,0
Olfm3,1
Atp6v0b,0
C330007P06Rik,1
Actn4,0
Hnrnph2,0
Tmem178,1
Slc5a3,1
Setx,0
Pabpn1,0
Mrpl43,1
Pmm2,1
Tdp2,1
Pafah2,1
Ist1,0
Safb,0
Sfswap,0
Rbfox1,1
Dot1l,0
Dnmt3a,0
Sfpq,0
Zbtb38,1
Rapgef1,0
Speg,0
Rnf157,0
Adap1,0
Deptor,1
Hook2,0
Ssx2ip,1
Spopl,1
Abcf1,0
Panx1,1
Pno1,1
Rnpep,0
Snx32,0
Poli,1
Snrpb2,1
Vopp1,1
Zdhhc2,2
Capn15,0
Etaa1,1
Gpc6,0
Gigyf1,0
Agrn,0
Ankrd13d,0
Pam,1
Ddx59,1
Clvs1,1
Zfp811,0
Tmpo,1
Tmem246,1
Zfp113,1
Nifk,1
Flnb,0
Tgfbrap1,1
Plxna3,0
Gm12002,2
Kcnh4,0
Slc12a5,0
