,DEG
Csdc2,1
Pcdh11x,2
Lars2,0
Gm1673,1
Mfge8,0
Gipc1,1
Sntb2,2
Hgf,1
Poln,1
Rbm22,1
BC005561,1
Slc3a2,0
Zscan26,1
Scg3,0
Brinp3,2
9530026P05Rik,2
0610040J01Rik,1
Amt,1
Cox7c,0
Atp6v0e,1
Oma1,1
Wwc1,1
Zmynd11,1
Nkain4,0
Arid2,1
Ntsr2,0
Clu,0
Atg3,1
Bet1,1
Gm17750,1
Rbm15,1
Gja1,0
Cmtm5,0
Snx10,1
Cd81,0
Nabp1,1
Tifa,1
Dok6,0
Cxcl14,0
Chl1,0
Me3,2
Ulk4,1
Phactr2,2
Lrriq3,1
Pcdh9,2
Psap,0
Mdk,0
Dynlrb1,1
B3glct,1
Pgm3,1
Unc13c,0
Shroom4,2
Spon1,2
Dlg2,2
Sat1,0
Ivd,1
Efna5,2
Tmem240,1
Ndrg2,0
Sptssa,1
Kbtbd11,1
Brd9,0
Rgs7bp,0
4933431E20Rik,1
Rpp30,1
Pvt1,2
Rnf115,1
Prrg2,1
Rps27,0
Smg9,1
Nr6a1,2
Nadk,1
Jun,1
Nat8l,0
Rgs6,2
Rtca,1
Uxs1,1
Yae1d1,1
Farsb,1
Snrnp70,0
Efr3a,1
Gm960,1
Ctnna2,0
Tsix,2
Ice1,1
5430405H02Rik,1
Ptchd4,0
Thsd7a,2
Luzp2,2
Wls,2
Slc25a3,0
Adamts20,0
Kcnn2,0
Apoe,0
Ctdp1,1
Rpl41,0
Rlf,1
Mib2,1
Pet100,1
Gjb6,0
Ddx5,0
Galnt18,2
Psen2,1
Brf1,1
Eid1,1
Phospho2,1
Lamp1,0
Far1,1
Id2,0
Cpeb4,2
Erbb4,2
Scn1b,1
Zbtb49,1
Atp1b2,0
Ptprt,2
Sox6,2
Mt2,0
Gm26917,0
Mgat4b,1
Tmem121,1
Hnrnph2,1
9230114K14Rik,1
Slc7a10,0
Cmss1,0
Gm973,2
Dcc,0
Rplp1,0
Kcnk1,0
Ikbip,1
Cdc14a,1
Bcl2,2
Ppib,0
Nicn1,1
Crebl2,1
Cebpg,1
Dpp3,1
Car10,0
Dact3,1
Gm27003,1
Spata6,2
Paxip1,1
Eda,2
Acat2,1
Phkg1,0
Prox2,1
Rbms1,2
Ssbp2,1
Grip1,0
Cdkl5,1
Unc5c,2
S1pr1,0
Aplp1,0
Pofut2,1
Scfd1,1
Dnajc19,1
Myo16,0
Sdf4,1
Tspan3,0
Gabbr2,2
Ndufaf4,0
Mt3,0
Pde3a,0
Anp32e,1
Cped1,2
Acot6,1
Atp6ap1,1
Repin1,1
Rplp2,1
Inpp4b,2
Acsl3,0
Tor1b,1
Itm2b,0
Cd9,0
Gstm5,0
Lman1,2
Gpam,2
Pabpn1,0
Gpr37l1,0
Ndufc2,0
Gm21860,0
Zfhx4,2
Cdc42bpa,1
Sash1,2
Mitd1,1
Ckb,0
Znrf3,1
Tbc1d32,1
Sord,1
Ilk,0
Tmem161a,1
Slit2,1
Ttyh1,0
Bmi1,1
Prnp,0
Tsn,1
Emc3,0
Efemp1,2
Cdh19,2
Gfra1,2
Atg9a,1
Cox8a,0
Rpe65,2
Tfdp2,1
A830019P07Rik,2
Sema6d,0
Csmd1,0
Tmed5,1
Ltn1,1
Kcnd2,1
Mef2a,1
Rhot1,1
Nfkb1,1
Adamts3,1
Aass,1
Laptm4a,0
Nkx2-2os,2
Ralgds,1
Amn1,1
Ctsd,0
1500011B03Rik,1
Thap3,1
Cntrl,1
Rps13,1
Alk,1
Plekhm3,2
Dpyd,2
Btbd10,1
Arhgef28,2
Slc22a4,1
Samd8,1
Pla2g7,0
Klc4,1
Gm13830,1
Prpf4b,0
Csgalnact1,1
Dync1li1,1
Slc22a17,0
Glg1,1
Lrrc59,1
Slc20a2,1
Robo2,2
Atf7,1
Tmem104,1
Pigg,1
Adam23,2
Ccdc58,1
Pcdhb14,2
Gabrb2,0
Lsm12,1
Ap4b1,1
Marc2,0
Scn8a,0
Stradb,1
Itm2c,0
Frg1,1
Fxyd1,1
Cask,1
Hipk1,1
Shroom3,2
Mcm3ap,1
2210408F21Rik,2
Rnf111,1
0610030E20Rik,1
Cpeb1,2
Kcnh5,0
Rybp,1
Tmed3,0
Usp10,1
Elp5,1
Rps21,0
Gm4924,2
Klhl24,1
2410004B18Rik,1
Msmo1,0
Cox16,1
Bmpr1b,2
Glis3,2
Bach2,1
Siae,1
D330041H03Rik,1
Hmces,1
Mt1,0
Paqr8,0
Fgfr3,1
Camk2d,2
Dbi,0
Pdzd2,2
Lrrc4c,2
Ccng1,1
Nrxn2,0
Angel2,1
Gm12239,2
Cuedc2,1
Ptdss1,1
Bsg,0
Chst12,1
Camk2a,0
Sh3gl2,1
Fjx1,0
Tbc1d19,1
Bmp6,2
Aldh1a1,0
Stxbp1,1
Tut1,1
Plcl2,0
Rasa2,2
Rmst,0
Crym,2
