,DEG
Cck,0
Dhx38,1
Rsl1d1,1
Cntn1,2
Zbtb1,1
Nptxr,0
Maml1,1
Prkar1b,0
Lrp1,0
Shank1,0
3110082I17Rik,1
Mad2l2,1
Hadhb,1
Atf7,1
Lmtk3,0
Ptms,0
Il1rapl1,2
Cwh43,0
5430405H02Rik,1
Cnih3,0
Vps13b,2
Snta1,0
Nosip,1
Dctn1,0
Gm15810,2
Fbxl17,2
Nrg3os,2
Kifc2,0
Bmpr1b,0
Ablim2,1
Kpnb1,0
Magt1,1
Nisch,0
Patz1,1
Ptprs,0
Nr3c2,2
Fam172a,1
6030443J06Rik,1
Slc35a2,1
Tmem260,1
Casp6,1
Atp2b2,0
4930402H24Rik,0
Dach1,2
Tox3,1
Matk,0
Ogdh,1
Homer2,1
Pacsin1,0
Sgsm1,0
Slc9a9,1
Afap1,1
Ppp6r2,1
C1ql3,0
6030458C11Rik,1
Stxbp1,0
Snrnp70,0
Zswim8,0
Miat,0
Nrros,1
Nomo1,1
Ppp4r1,1
Apba2,1
Traf7,0
Igsf21,0
Chn1,1
Sfmbt1,1
Dnmt3a,0
Bloc1s6,1
Elavl3,0
Tusc2,1
Tubg2,1
Cpne5,1
Lrrc4b,1
Ube2e2,1
Srrm3,0
Atp1b3,1
Sec16a,1
Zmym3,0
Dmtn,1
Chac2,1
Xab2,1
Polg,1
Zfp57,1
Camkv,0
2810410L24Rik,1
Med24,0
Kcnq2,0
Col4a2,0
Srsf5,0
Gm11973,1
Cntnap4,0
Pcsk2os2,2
Ndrg4,0
Ttn,1
Stx1a,0
Ldha,1
Akt3,2
Glis1,1
Rimbp2,0
Bex2,1
Nudt11,1
Dgkz,0
Rasal1,0
Grik5,0
Per2,1
Exoc4,2
Mrpl14,1
Plk3,1
Syt7,0
Pcm1,2
Atp9b,1
Zmynd8,0
Snx32,0
Zfyve9,1
Aplp1,1
Pde2a,0
Fam117a,1
Olfm1,0
R3hdm4,0
Snrpg,1
Adra1a,0
Crocc,0
Odf2,0
Tgfbrap1,1
Pard6a,1
Nup205,1
Gnb2,0
Speg,0
Rgs2,1
Mrpl20,1
Wbp4,1
Col6a1,0
Trim46,0
Zfp87,1
Stk25,0
Abcf2,1
Ccdc14,1
Myadm,1
Fth1,1
Atxn2l,0
Gm17108,1
Camk2b,0
Csmd2,0
Rdh14,1
Tmem132a,0
Gabbr2,0
Sars2,1
Mapk11,0
Gm15738,2
Sulf1,0
AY036118,2
Klhdc3,0
Mettl1,1
Ptpru,0
Plec,0
Jph4,0
Ankrd39,1
Lgalsl,1
Celf5,0
Bzw2,1
Aarsd1,1
Dlg1,2
Rpl41,0
Trib2,1
Rrp1,0
Brinp2,0
Prkcb,0
2010315B03Rik,1
Mbd5,2
Nav2,0
Sema6d,0
Nrxn2,0
Fbn2,0
Ranbp2,1
Pitpnm2,0
Immp2l,2
Ccdc3,1
Cox8a,0
Yipf4,1
Arpc5l,1
Tbce,1
Supt6,0
Mrpl36,1
Kat6b,1
Camk2a,0
Rhobtb2,1
Adamts18,0
Rbks,1
Eif4g1,0
Crym,1
Vwa3b,1
Gpr158,2
Dlx1as,1
Abr,0
Rapgef6,2
Syt11,0
Tsix,2
Cdh13,0
Cdk9,0
Derl2,1
Unc5a,0
Lacc1,1
Mylip,1
Colgalt1,1
Rabl3,1
Wdr66,1
Snx5,1
Celf4,0
Sorbs2os,2
Ccser1,2
Star,1
Lzts3,0
Pde4a,0
Tbc1d24,0
Rabac1,1
Rabl2,1
Baiap2,0
Cramp1l,1
Rora,2
Wasf2,1
Rtn4ip1,1
Gria1,0
Nrn1,0
Gpi1,0
Eif3h,1
Sdk1,0
Acap3,0
Stmn4,1
Cep95,1
Ttbk1,0
Ptprn,0
Zcwpw1,1
Mrpl18,1
Heatr3,1
9530077C05Rik,1
Gm10563,1
Sntg2,1
Cyp20a1,1
2810468N07Rik,1
Chchd3,1
Grina,0
Lap3,1
Atp1a3,0
Klc1,0
Cpt1c,0
Atp6v0b,0
Sv2a,0
Ascc2,1
Cpsf3,1
Cript,1
Rbfox3,0
Xist,2
Nf1,2
Scyl2,1
Gnao1,0
A330008L17Rik,1
Erlin2,1
Pgbd5,1
Pold3,1
Bin1,0
Meg3,0
Stx1b,0
Crbn,1
Ap4b1,1
Svop,0
Dpagt1,1
Eif4enif1,0
Cables2,1
Lmo4,0
Luzp1,1
Dvl2,1
Uhrf1bp1,1
Tmub2,1
Cdk5,1
Rragd,1
Nmnat1,1
Eno2,0
Kif5a,0
Celf3,0
Susd4,0
Dnmbp,1
Usp10,1
Grip2,1
Gba2,0
Ube2m,1
Gm15478,1
Gm12122,1
Pdzd8,1
Camkk2,0
2810001G20Rik,1
Slc17a7,0
Rims2,1
Arhgef25,0
Ebp,1
Grid1,2
A930015D03Rik,0
Rbm22,1
Socs6,1
Slc8a2,0
Csgalnact1,1
Lztr1,0
Prrc2a,1
Aff1,1
