2mo,9mo,18mo,gene_name,distance
0.61,0.55,0.41,Tnpo1,37888
0.7,0.58,0.48,Tnpo1,41876
0.64,0.52,0.32,Tnpo1,43425
0.64,0.46,0.38,Tnpo1,41306
0.65,0.56,0.28,Tnpo1,33221
0.45,0.33,0.18,Tnpo1,31502
0.58,0.43,0.34,Tnpo1,31386
0.64,0.42,0.49,Gm5453,1991
0.64,0.42,0.49,Tnpo1,23705
0.75,0.75,0.41,Tnpo1,20672
0.3,0.17,0.08,Tnpo1,19369
0.43,0.3,0.18,Tnpo1,18904
0.58,0.45,0.34,Tnpo1,17030
0.52,0.44,0.25,Tnpo1,15765
0.43,0.19,0.17,Tnpo1,15598
0.36,0.26,0.08,Tnpo1,14831
0.27,0.11,0.06,Tnpo1,8539
0.37,0.15,0.07,Tnpo1,8200
0.66,0.52,0.41,Tnpo1,6462
0.25,0.19,0.02,Tnpo1,4869
0.55,0.35,0.3,Tnpo1,4484
0.62,0.85,0.84,Gm24733,1990
0.39,0.25,0.17,Gm807,398
0.69,0.47,0.3,Zfp366,1209
0.69,0.49,0.59,Zfp366,1836
0.65,0.43,0.5,Zfp366,5021
0.56,0.72,0.84,Zfp366,30940
0.64,0.91,0.77,Zfp366,25604
0.66,0.51,0.4,Zfp366,18009
0.51,0.34,0.23,Zfp366,10618
0.78,0.67,0.52,Zfp366,5894
0.81,0.68,0.57,Ptcd2,2459
0.62,0.46,0.33,Ptcd2,7768
0.88,0.86,0.64,Ptcd2,7999
0.7,0.55,0.42,Ptcd2,9986
0.76,0.81,0.54,Mrps27,22298
0.49,0.66,0.79,6430562O15Rik,2400
0.49,0.66,0.79,Mrps27,5097
0.67,0.76,0.88,6430562O15Rik,2320
0.67,0.76,0.88,Mrps27,5017
0.67,0.74,0.51,Map1b,9186
0.29,0.55,0.66,Map1b,39304
0.4,0.21,0.12,Map1b,45211
0.64,0.87,0.87,Map1b,48062
0.52,0.79,0.7,Map1b,43314
0.51,0.72,0.76,Map1b,24304
0.32,0.6,0.45,Map1b,7631
0.55,0.53,0.73,RP23-171D1.1,1916
0.65,0.87,0.75,Cartpt,1241
0.47,0.6,0.74,Mccc2,4617
0.43,0.66,0.7,Mccc2,17233
0.39,0.44,0.63,Mccc2,22582
0.47,0.6,0.69,Mccc2,26512
0.8,0.83,0.52,Bdp1,29901
0.73,0.67,0.5,Bdp1,1360
0.73,0.67,0.5,BC001981,85
0.65,0.84,0.61,Naip2,17041
0.66,0.51,0.76,Naip2,7769
0.85,0.82,0.57,Naip6,15086
0.85,0.82,0.62,Naip3,1569
0.64,0.53,0.76,Naip3,14514
0.35,0.57,0.4,Naip1,8344
0.35,0.57,0.4,Rpl31-ps13,549
0.66,0.49,0.42,Gtf2h2,3900
0.95,0.85,0.73,Ocln,824
0.72,0.92,0.81,Ocln,23932
0.54,0.53,0.75,Marveld2,10292
0.7,0.44,0.49,Taf9,3428
0.7,0.44,0.49,Ak6,5653
0.65,0.89,0.73,Ccdc125,1449
0.41,0.21,0.14,Cdk7,7748
0.49,0.4,0.24,Cdk7,7514
0.38,0.24,0.17,Slc30a5,15609
0.8,0.66,0.59,Slc30a5,10636
0.64,0.39,0.37,Slc30a5,7625
0.78,0.5,0.41,Slc30a5,5643
0.59,0.36,0.42,Slc30a5,4151
0.65,0.56,0.8,Gm29502,1587
0.27,0.05,0.16,Gm29502,2119
0.34,0.16,0.13,Gm29502,24671
0.69,0.89,0.92,Gm29502,33726
0.56,0.78,0.85,Gm29502,50959
0.6,0.8,0.8,Gm29502,29287
0.6,0.75,0.81,4932411K12Rik,32295
0.33,0.58,0.53,4932411K12Rik,26832
0.63,0.43,0.36,Pik3r1,5475
0.58,0.43,0.29,Pik3r1,6142
0.67,0.72,0.9,Pik3r1,10910
0.48,0.35,0.19,Pik3r1,17055
0.55,0.31,0.22,Pik3r1,18337
0.85,0.65,0.61,Pik3r1,18937
0.51,0.39,0.19,Pik3r1,20863
0.88,0.73,0.52,Pik3r1,28694
0.84,0.94,0.64,Pik3r1,28907
0.65,0.54,0.4,Pik3r1,29089
0.72,0.61,0.32,Pik3r1,30373
0.58,0.3,0.26,Pik3r1,33280
0.74,0.59,0.33,Pik3r1,34631
0.67,0.58,0.4,Pik3r1,34937
0.42,0.29,0.15,Pik3r1,41425
0.25,0.03,0.09,Pik3r1,42394
0.74,0.51,0.47,Pik3r1,42590
0.52,0.36,0.29,Pik3r1,44160
0.47,0.25,0.21,Pik3r1,45206
0.31,0.1,0.2,Pik3r1,45647
0.67,0.44,0.42,Pik3r1,44948
0.76,0.53,0.53,Pik3r1,44586
0.76,0.73,0.53,Pik3r1,44183
0.62,0.49,0.37,Pik3r1,42375
0.68,0.4,0.33,Pik3r1,41625
0.66,0.48,0.34,Pik3r1,39848
0.47,0.36,0.23,Pik3r1,37945
0.53,0.37,0.27,Pik3r1,36854
0.68,0.35,0.34,Pik3r1,35930
0.81,0.73,0.48,Pik3r1,32886
0.54,0.35,0.23,Pik3r1,32541
0.67,0.44,0.32,Pik3r1,32260
0.65,0.42,0.42,Pik3r1,29886
0.7,0.52,0.47,Pik3r1,29562
0.69,0.9,0.88,Pik3r1,26606
0.69,0.51,0.48,Pik3r1,25508
0.37,0.17,0.15,Pik3r1,25352
0.63,0.38,0.26,Pik3r1,25037
0.57,0.26,0.23,Pik3r1,23553
0.6,0.39,0.34,RP23-411M4.2,1361
0.6,0.39,0.34,Pik3r1,21136
0.59,0.32,0.36,RP23-411M4.2,2327
0.59,0.32,0.36,Pik3r1,20170
0.74,0.52,0.47,RP23-411M4.2,3036
0.74,0.52,0.47,RP23-411M4.1,46
0.74,0.52,0.47,Pik3r1,19365
0.46,0.22,0.22,RP23-411M4.2,2093
0.46,0.22,0.22,RP23-411M4.1,989
0.46,0.22,0.22,Pik3r1,18422
0.48,0.29,0.14,RP23-411M4.2,958
0.48,0.29,0.14,RP23-411M4.1,2124
0.48,0.29,0.14,Pik3r1,17287
0.35,0.15,0.12,RP23-411M4.2,597
0.35,0.15,0.12,RP23-411M4.1,1914
0.35,0.15,0.12,Pik3r1,16926
0.53,0.25,0.15,Pik3r1,13811
0.49,0.24,0.12,Pik3r1,13129
0.26,0.06,0.05,Pik3r1,12611
0.53,0.27,0.23,Pik3r1,11985
0.74,0.55,0.49,Pik3r1,9608
0.45,0.3,0.25,Pik3r1,8668
0.33,0.12,0.15,Pik3r1,8062
0.54,0.38,0.27,Pik3r1,7358
0.5,0.24,0.26,Pik3r1,6582
0.3,0.16,0.04,Pik3r1,4855
0.5,0.39,0.26,Cd180,2319
0.38,0.53,0.68,Cd180,15910
0.69,0.89,0.79,Mast4,16870
0.35,0.54,0.6,Mast4,16885
0.61,0.87,0.71,Mast4,111793
0.49,0.77,0.76,Mast4,111919
0.57,0.71,0.83,Mast4,164293
0.46,0.39,0.23,Mast4,168161
0.34,0.22,0.14,Mast4,168512
0.6,0.37,0.3,Mast4,212311
0.68,0.8,0.9,Mast4,219426
0.59,0.73,0.8,Mast4,219812
0.66,0.89,0.77,Mast4,221869
0.36,0.47,0.6,Mast4,261443
0.63,0.85,0.77,Mast4,269744
0.57,0.67,0.38,Mast4,296069
0.66,0.7,0.91,Mast4,282759
0.72,0.8,0.96,Mast4,263849
0.56,0.69,0.76,Mast4,252188
0.62,0.78,0.85,Mast4,233775
0.37,0.36,0.17,Mast4,226728
0.59,0.72,0.87,Mast4,209580
0.31,0.63,0.57,Mast4,207171
0.46,0.59,0.76,Mast4,203363
0.63,0.61,0.84,Mast4,182771
0.66,0.57,0.32,Mast4,161943
0.77,0.89,0.67,Mast4,158462
0.68,0.63,0.84,Mast4,137499
0.67,0.74,0.89,Mast4,116651
0.39,0.36,0.59,Mast4,110414
0.49,0.38,0.22,Mast4,93762
0.5,0.59,0.83,Mast4,19024
0.58,0.75,0.82,Mast4,8015
0.55,0.7,0.77,Mast4,7255
0.8,0.66,0.88,Gm5454,1012
0.68,0.49,0.2,Srek1,10372
0.85,0.64,0.84,Erbb2ip,28325
0.63,0.48,0.38,Erbb2ip,12863
0.68,0.35,0.33,Erbb2ip,8039
0.32,0.14,0.11,Erbb2ip,6689
0.37,0.59,0.53,Erbb2ip,119
0.54,0.71,0.75,Nln,15586
0.68,0.9,0.92,Nln,15687
0.44,0.34,0.22,Nln,27633
0.82,0.76,0.62,Nln,42064
0.87,0.73,0.94,Nln,41482
0.44,0.64,0.64,Nln,33714
0.48,0.59,0.72,Sgtb,14634
0.68,0.85,0.94,Trappc13,11172
0.72,0.76,0.53,Trappc13,4275
0.69,0.4,0.48,Ppwd1,13625
0.4,0.61,0.41,Adamts6,74144
0.38,0.52,0.65,Adamts6,98784
0.52,0.7,0.81,Cwc27,9920
0.45,0.66,0.68,Cwc27,21169
0.52,0.79,0.73,Cwc27,25804
0.71,0.92,0.8,Cwc27,28779
0.63,0.52,0.36,Srek1ip1,9442
0.63,0.52,0.36,Cwc27,19216
0.46,0.34,0.23,Srek1ip1,23427
0.46,0.34,0.23,Cwc27,1295
0.51,0.53,0.25,Srek1ip1,22858
0.51,0.53,0.25,Cwc27,726
0.67,0.31,0.35,Rgs7bp,16173
0.78,0.61,0.49,Rgs7bp,37526
0.61,0.55,0.39,Rgs7bp,16059
0.5,0.36,0.28,Rgs7bp,9596
0.34,0.15,0.12,Rgs7bp,9495
0.7,0.55,0.43,Rgs7bp,7917
0.38,0.21,0.12,Rgs7bp,5980
0.28,0.14,0.06,Rgs7bp,4841
0.66,0.66,0.4,4933425L06Rik,1140
0.61,0.74,0.45,Rnf180,20377
0.7,0.57,0.41,Rnf180,29714
0.38,0.17,0.09,Rnf180,45811
0.61,0.44,0.41,Rnf180,46877
0.56,0.41,0.31,Rnf180,62745
0.68,0.64,0.42,Rnf180,53420
0.62,0.51,0.41,Gm25631,1662
0.62,0.51,0.41,Rnf180,49303
0.46,0.25,0.32,Gm25631,1184
0.46,0.25,0.32,Rnf180,48825
0.32,0.14,0.05,Gm25631,1080
0.32,0.14,0.05,Rnf180,48721
0.5,0.28,0.11,Gm25631,637
0.5,0.28,0.11,Rnf180,48278
0.59,0.62,0.37,Gm25631,353
0.59,0.62,0.37,Rnf180,47994
0.52,0.72,0.56,Rnf180,20865
0.32,0.23,0.09,Rnf180,5359
0.61,0.77,0.86,Ipo11,24320
0.58,0.79,0.77,Ipo11,24637
0.84,0.77,0.61,Ipo11,32636
0.32,0.48,0.53,Ipo11,61588
0.56,0.77,0.69,Zswim6,4986
0.52,0.66,0.8,Zswim6,21123
0.3,0.46,0.6,Zswim6,21390
0.23,0.36,0.47,Zswim6,21497
0.34,0.18,0.09,Zswim6,65216
0.77,0.92,0.68,Zswim6,72042
0.5,0.31,0.29,Zswim6,76469
0.34,0.3,0.59,Zswim6,79472
0.51,0.72,0.67,Zswim6,80381
0.79,0.81,0.61,Zswim6,69628
0.62,0.51,0.34,Zswim6,58430
0.32,0.23,0.12,Zswim6,36066
0.41,0.33,0.18,Zswim6,35007
0.86,0.6,0.81,Zswim6,30232
0.54,0.47,0.23,Zswim6,17823
0.8,0.67,0.52,Zswim6,9866
0.33,0.29,0.08,Zswim6,8876
0.35,0.3,0.6,Smim15,2642
0.76,0.9,0.64,Ndufaf2,7189
0.56,0.51,0.32,Ndufaf2,16921
0.45,0.31,0.23,Ndufaf2,29250
0.53,0.77,0.7,Ndufaf2,46582
0.75,0.64,0.45,Ndufaf2,36488
0.79,0.69,0.57,Ndufaf2,36395
0.64,0.79,0.86,Ndufaf2,28361
0.88,0.8,0.68,Ndufaf2,27570
0.65,0.44,0.34,Ndufaf2,25268
0.69,0.86,0.62,Ndufaf2,11775
0.47,0.38,0.24,Ndufaf2,7925
0.7,0.63,0.46,Ndufaf2,6841
0.71,0.63,0.45,Ndufaf2,6730
0.51,0.45,0.08,Ercc8,10434
0.56,0.73,0.83,Elovl7,7454
0.5,0.7,0.79,Elovl7,18762
0.41,0.52,0.65,Elovl7,15857
0.65,0.72,0.88,Depdc1b,42336
0.4,0.66,0.56,Pde4d,78553
0.87,0.66,0.74,Pde4d,135588
0.54,0.63,0.34,Pde4d,195845
0.86,0.97,0.69,Pde4d,220483
0.85,0.84,0.63,Rps3a3,2169
0.85,0.84,0.63,Pde4d,223280
0.69,0.82,0.61,Rps3a3,1760
0.69,0.82,0.61,Pde4d,223689
0.76,0.84,0.63,Pde4d,297873
0.54,0.64,0.86,Pde4d,324558
0.38,0.16,0.17,Pde4d,391396
0.95,0.69,0.74,Pde4d,404946
0.35,0.27,0.13,Pde4d,412714
0.76,0.67,0.93,Pde4d,450285
0.82,0.98,0.75,Pde4d,483139
0.49,0.55,0.7,Pde4d,506642
0.87,0.9,0.69,Pde4d,532238
0.82,0.72,0.92,Pde4d,535273
0.61,0.83,0.7,Pde4d,547229
0.45,0.67,0.54,Pde4d,550486
0.49,0.7,0.73,Pde4d,604471
0.6,0.8,0.8,Pde4d,626399
0.44,0.34,0.2,Pde4d,628619
0.68,0.87,0.89,Pde4d,688669
0.46,0.67,0.67,Pde4d,720540
0.62,0.51,0.34,Pde4d,743595
0.69,0.73,0.45,Pde4d,724765
0.68,0.82,0.88,Pde4d,710243
0.29,0.15,0.09,Pde4d,693119
0.67,0.88,0.87,Pde4d,570053
0.62,0.68,0.36,Pde4d,565103
0.33,0.51,0.24,Pde4d,530618
0.47,0.29,0.16,Pde4d,510692
0.53,0.29,0.34,Pde4d,510275
0.51,0.51,0.72,Pde4d,473771
0.74,0.9,0.95,Pde4d,459784
0.55,0.55,0.34,Pde4d,453781
0.45,0.7,0.55,Pde4d,445545
0.7,0.74,0.92,Pde4d,427202
0.38,0.3,0.15,Pde4d,413425
0.5,0.48,0.24,Pde4d,374195
0.65,0.44,0.55,Pde4d,355488
0.68,0.55,0.47,Pde4d,339833
0.49,0.43,0.16,Pde4d,339116
0.59,0.45,0.66,Pde4d,310113
0.72,0.6,0.45,Pde4d,304727
0.44,0.33,0.19,Pde4d,304605
0.63,0.87,0.72,Pde4d,303507
0.66,0.74,0.5,Pde4d,292564
0.55,0.77,0.65,Pde4d,258248
0.71,0.79,0.57,Pde4d,196743
0.87,0.91,0.61,Pde4d,184628
0.24,0.5,0.41,Pde4d,178999
0.38,0.59,0.75,Pde4d,177051
0.56,0.4,0.3,Pde4d,161244
0.58,0.45,0.28,Pde4d,119540
0.6,0.54,0.34,Pde4d,117596
0.32,0.52,0.57,Pde4d,114971
0.61,0.89,0.88,Pde4d,105367
0.75,0.92,0.53,Pde4d,83333
0.38,0.27,0.18,Pde4d,55269
0.44,0.23,0.19,Pde4d,46272
0.9,0.95,0.67,Pde4d,45009
0.56,0.54,0.34,Pde4d,32707
0.28,0.16,0.05,Pde4d,3872
0.43,0.37,0.17,Pde4d,3724
0.73,0.88,0.68,Pde4d,1624
0.35,0.63,0.84,Gm21378,694
0.7,0.76,0.9,Gm21378,500
0.69,0.77,0.89,Gm20767,69
0.69,0.55,0.78,Gm2888,652
0.77,0.98,0.94,Gm10340,2089
0.78,0.81,1.0,Gm21965,3049
0.71,0.67,0.87,Gm2916,4869
0.71,0.67,0.87,Gm3002,78967
0.63,0.95,0.62,Gm3115,6812
0.7,0.91,0.82,Gm2974,3272
0.55,0.69,0.45,Gm3149,657
0.62,0.92,0.73,Gm3173,19219
0.91,0.7,0.87,Gm3173,44598
0.85,0.73,0.95,Gm8237,11236
0.66,0.93,0.85,Gm3453,1777
0.61,0.76,0.82,Gm3275,2211
0.61,0.76,0.82,Gm3468,31758
0.77,0.64,0.9,Gm3411,12331
0.81,0.74,0.96,Gm10251,17977
0.86,1.0,0.78,Gm10251,23119
0.22,0.0,0.0,Gm3667,1940
0.2,0.01,0.0,Gm3667,1928
0.61,0.7,0.86,4933406F09Rik,12261
0.47,0.66,0.36,Gm3558,1629
0.63,0.51,0.35,Gm10044,12769
0.63,0.51,0.35,Gm16741,6887
0.57,0.7,0.83,Gm10044,21896
0.57,0.7,0.83,Gm16741,5773
0.49,0.34,0.28,Gm10044,19574
0.49,0.34,0.28,Gm16741,3451
0.72,0.88,0.96,Gm10044,15791
0.39,0.45,0.25,Flnb,1688
0.38,0.17,0.22,Flnb,22036
0.46,0.7,0.67,Flnb,31354
0.48,0.34,0.16,Flnb,38085
0.68,0.66,0.45,Flnb,65686
0.86,0.71,0.61,Flnb,46584
0.51,0.35,0.26,Flnb,32898
0.27,0.12,0.03,Flnb,32800
0.6,0.34,0.35,Flnb,14787
0.55,0.62,0.8,Dnase1l3,3911
0.32,0.63,0.52,Abhd6,600
0.72,0.51,0.4,Abhd6,7183
0.76,0.64,0.45,Abhd6,7392
0.34,0.36,0.13,Abhd6,25986
0.37,0.5,0.66,Abhd6,4133
0.55,0.67,0.77,Abhd6,3483
0.31,0.51,0.29,Rpp14,3062
0.74,0.7,0.91,Rpp14,7158
0.4,0.27,0.15,Pxk,7238
0.49,0.32,0.26,Pxk,17941
0.51,0.42,0.27,Pxk,26928
0.75,0.79,0.51,Pxk,10984
0.49,0.21,0.26,Pxk,9306
0.36,0.66,0.51,Kctd6,3331
0.43,0.58,0.72,Kctd6,6403
0.51,0.33,0.23,Kctd6,2393
0.56,0.41,0.32,Acox2,5780
0.19,0.54,0.3,Fam107a,8640
0.55,0.8,0.72,Fam107a,8659
0.34,0.66,0.63,Fam107a,3859
0.32,0.48,0.55,Fam107a,3560
0.32,0.54,0.55,Fam107a,3465
0.59,0.7,0.81,4930452B06Rik,1916
0.61,0.38,0.49,4930452B06Rik,11701
0.33,0.6,0.43,4930452B06Rik,35772
0.44,0.59,0.72,4930452B06Rik,46944
0.51,0.4,0.3,4930452B06Rik,51008
0.44,0.65,0.7,4930452B06Rik,77837
0.84,0.74,0.95,4930452B06Rik,64586
0.57,0.61,0.81,4930452B06Rik,61006
0.47,0.71,0.7,4930452B06Rik,49388
0.62,0.6,0.84,4930452B06Rik,48898
0.42,0.54,0.28,4930452B06Rik,46758
0.38,0.4,0.62,4930452B06Rik,28098
0.79,0.97,0.62,4930452B06Rik,12763
0.38,0.65,0.61,Fhit,49309
0.39,0.34,0.54,Fhit,84582
0.59,0.82,0.8,Fhit,96052
0.43,0.64,0.68,Fhit,147136
0.72,0.72,0.34,Fhit,161384
0.69,0.9,0.8,Fhit,435752
0.57,0.55,0.35,Fhit,546404
0.39,0.61,0.51,Fhit,573869
0.59,0.81,0.83,Fhit,663169
0.67,0.88,0.9,Fhit,693972
0.61,0.97,0.8,Fhit,749850
0.75,0.95,0.77,Fhit,607109
0.47,0.51,0.29,Fhit,602315
0.49,0.63,0.73,Fhit,532398
0.53,0.81,0.81,Fhit,517010
0.59,0.81,0.85,Fhit,480821
0.52,0.79,0.73,Fhit,377563
0.57,0.76,0.83,Fhit,324549
0.37,0.19,0.16,Fhit,312062
0.63,0.78,0.86,Fhit,154764
0.66,0.83,0.9,Fhit,61212
0.41,0.26,0.12,Ptprg,6688
0.38,0.22,0.17,Ptprg,26279
0.42,0.72,0.56,Ptprg,56870
0.57,0.77,0.77,Ptprg,71046
0.69,0.53,0.76,Ptprg,72065
0.53,0.25,0.29,Ptprg,96486
0.48,0.68,0.71,Ptprg,112140
0.48,0.48,0.28,Ptprg,113001
0.35,0.6,0.64,Ptprg,119179
0.49,0.73,0.52,Ptprg,128509
0.68,0.87,0.66,Ptprg,133032
0.7,0.8,0.59,Ptprg,179955
0.47,0.4,0.23,Ptprg,209953
0.49,0.33,0.23,Ptprg,223548
0.5,0.45,0.29,Ptprg,247175
0.32,0.08,0.22,Ptprg,255173
0.59,0.38,0.43,Ptprg,289578
0.35,0.3,0.1,Ptprg,320026
0.71,0.93,0.81,Ptprg,341413
0.54,0.53,0.74,Ptprg,313444
0.57,0.79,0.66,Ptprg,311573
0.55,0.42,0.66,Gm3848,6359
0.55,0.42,0.66,Ptprg,274235
0.54,0.62,0.42,Ptprg,238363
0.72,0.63,0.49,Ptprg,166708
0.93,0.7,0.9,Ptprg,95173
0.55,0.76,0.7,Ptprg,77017
0.68,0.77,0.9,Ptprg,73813
0.59,0.73,0.79,Ptprg,64937
0.37,0.46,0.59,Ptprg,43509
0.25,0.48,0.17,Ptprg,39066
0.36,0.57,0.48,Ptprg,23160
0.51,0.71,0.67,3830406C13Rik,79
0.13,0.3,0.09,Fezf2,526
0.42,0.52,0.69,Fezf2,3530
0.48,0.54,0.71,Fezf2,3782
0.6,0.72,0.81,Fezf2,3816
0.3,0.38,0.58,Fezf2,3851
0.67,0.77,0.92,Cadps,5370
0.16,0.36,0.36,Cadps,7657
0.45,0.51,0.75,Cadps,22579
0.27,0.48,0.51,Cadps,23213
0.6,0.7,0.81,Cadps,29724
0.8,0.6,0.65,Cadps,36075
0.46,0.61,0.41,Cadps,71066
0.83,0.75,0.63,Cadps,103412
0.71,0.89,0.93,Cadps,139354
0.53,0.43,0.33,Cadps,205184
0.79,0.56,0.63,Cadps,218219
0.68,0.46,0.39,Cadps,204684
0.45,0.63,0.69,Cadps,181954
0.65,0.88,0.85,Cadps,140102
0.44,0.6,0.66,Cadps,47839
0.74,0.96,0.72,Gm5087,41372
0.72,0.74,0.93,Gm5087,58868
0.75,0.69,0.94,Gm5087,55942
0.19,0.31,0.41,Gm5087,39023
0.5,0.78,0.68,Gm5087,36312
0.68,0.74,0.9,Gm5087,7424
0.35,0.22,0.13,Synpr,7805
0.67,0.76,0.91,Synpr,42231
0.4,0.33,0.17,Gm15913,1528
0.4,0.33,0.17,Synpr,71699
0.35,0.25,0.12,Synpr,80346
0.73,0.51,0.69,Synpr,80744
0.78,0.9,0.68,Synpr,99061
0.64,0.72,0.49,Synpr,157060
0.47,0.72,0.68,Synpr,160706
0.74,0.79,0.58,Synpr,154773
0.68,0.76,0.88,Synpr,129669
0.59,0.76,0.8,Synpr,71627
0.78,0.93,0.71,Gm281,32939
0.54,0.76,0.76,Gm11100,7947
0.5,0.58,0.8,Gm11100,9369
0.22,0.15,0.4,Gm11100,17444
0.72,0.81,0.6,Thoc7,366
0.69,0.83,0.54,Atxn7,7602
0.36,0.41,0.56,Atxn7,9617
0.5,0.7,0.7,Atxn7,24096
0.28,0.11,0.05,Atxn7,34346
0.68,0.83,0.94,Atxn7,46206
0.7,0.86,0.91,Atxn7,45998
0.52,0.33,0.3,Atxn7,20959
0.55,0.63,0.75,Atxn7,13723
0.45,0.63,0.68,Atxn7,13262
0.74,0.67,0.41,Atxn7,4
0.42,0.3,0.17,Il3ra,4244
0.43,0.72,0.52,Slc4a7,5827
0.56,0.66,0.83,Nek10,30251
0.72,0.81,0.92,Nek10,83876
0.87,0.66,0.79,Nek10,2601
0.75,0.94,0.96,Lrrc3b,20319
0.74,0.94,0.84,Lrrc3b,38624
0.43,0.2,0.13,Lrrc3b,27048
0.56,0.46,0.68,Lrrc3b,6138
0.73,0.49,0.5,Top2b,5552
0.61,0.77,0.53,Top2b,31017
0.67,0.81,0.58,Rarb,24393
0.5,0.69,0.7,Rarb,51875
0.66,0.73,0.86,Rarb,61455
0.67,0.73,0.9,Rarb,57743
0.53,0.77,0.89,Rarb,56429
0.65,0.89,0.92,Rarb,22323
0.45,0.61,0.78,Rarb,14238
0.68,0.77,0.88,Rarb,9584
0.56,0.66,0.45,Rarb,6040
0.93,0.8,0.72,Rarb,3176
0.43,0.37,0.2,Rarb,702
0.59,0.81,0.85,Thrb,127903
0.71,0.52,0.47,Thrb,149211
0.35,0.57,0.4,Thrb,189551
0.74,0.94,0.9,Thrb,161350
0.7,0.65,0.5,Thrb,158831
0.26,0.47,0.51,Gm24140,907
0.26,0.47,0.51,Thrb,153862
0.6,0.67,0.82,Thrb,110378
0.29,0.55,0.36,Thrb,80684
0.59,0.69,0.49,Thrb,67186
0.52,0.72,0.68,Thrb,4218
0.64,0.67,0.45,Nr1d2,8504
0.65,0.49,0.41,Nr1d2,13423
0.32,0.16,0.12,Nr1d2,14432
0.43,0.22,0.19,Nr1d2,14089
0.78,0.75,0.54,Nr1d2,13746
0.75,0.59,0.54,Nr1d2,13036
0.55,0.39,0.3,Nr1d2,12357
0.89,0.81,0.68,Nr1d2,9509
0.26,0.18,0.04,Nr1d2,3456
0.71,0.59,0.51,Nr1d2,483
0.73,0.85,0.62,Ube2e1,24885
0.59,0.49,0.36,Ube2e1,7245
0.59,0.83,0.67,Ube2e1,1177
0.71,0.56,0.4,Ube2e2,38296
0.82,0.79,0.59,Ube2e2,73552
0.43,0.29,0.49,Ube2e2,151484
0.44,0.27,0.14,Ube2e2,159634
0.34,0.43,0.22,Ube2e2,116693
0.51,0.36,0.29,Ube2e2,4064
0.64,0.76,0.55,Gm2244,464
0.18,0.37,0.44,Nid2,3281
0.25,0.46,0.59,Nid2,11768
0.43,0.66,0.36,Gng2,53158
0.44,0.61,0.64,Gng2,37012
0.47,0.73,0.73,Gng2,17516
0.31,0.54,0.25,Gng2,3972
0.47,0.38,0.18,Kcnk5,20869
0.26,0.48,0.26,Kcnk5,3517
0.63,0.79,0.86,Kcnk5,57
0.96,0.9,0.76,Nudt13,12599
0.71,0.82,0.53,Nudt13,10049
0.8,0.64,0.57,Ecd,8462
0.64,0.45,0.39,Ecd,7024
0.68,0.54,0.47,Fam149b,7371
0.48,0.3,0.28,7330404K18Rik,1093
0.48,0.3,0.28,Cfap70,5262
0.76,0.63,0.84,Cfap70,23957
0.3,0.26,0.59,Anxa7,771
0.3,0.26,0.59,Mss51,498
0.62,0.39,0.37,Ppp3cb,3349
0.62,0.39,0.37,1810062O18Rik,1145
0.38,0.38,0.62,1810062O18Rik,7764
0.38,0.38,0.62,Usp54,18011
0.53,0.3,0.24,Usp54,21543
0.5,0.25,0.35,Usp54,12826
0.5,0.43,0.3,Usp54,2049
0.31,0.21,0.1,Synpo2l,5560
0.73,0.82,0.56,Synpo2l,4981
0.93,0.91,0.71,Mir6946,129
0.93,0.91,0.71,Sec24c,8086
0.93,0.91,0.71,6230400D17Rik,3528
0.86,0.76,0.6,Mir6946,664
0.86,0.76,0.6,Sec24c,7551
0.86,0.76,0.6,6230400D17Rik,4063
0.84,0.7,0.54,Zswim8,7221
0.78,0.64,0.54,Zswim8,4389
0.65,0.47,0.35,Ndst2,573
0.65,0.47,0.35,Zswim8,3306
0.8,0.68,0.54,Camk2g,2735
0.79,0.73,0.56,Camk2g,5400
0.52,0.37,0.58,Camk2g,5763
0.6,0.65,0.43,Camk2g,10884
0.62,0.43,0.32,Camk2g,22791
0.5,0.32,0.18,Camk2g,30483
0.84,0.7,0.61,Camk2g,29508
0.62,0.5,0.39,Camk2g,4710
0.29,0.15,0.07,Camk2g,4151
0.33,0.53,0.59,Plau,2618
0.5,0.54,0.24,Vcl,3195
0.53,0.8,0.8,Vcl,43600
0.38,0.56,0.66,Vcl,40995
0.54,0.37,0.27,Vcl,15426
0.52,0.39,0.3,Ap3m1,11855
0.54,0.6,0.75,Adk,12887
0.75,0.51,0.51,Adk,29928
0.53,0.47,0.3,Adk,31282
0.34,0.07,0.13,Adk,36633
0.66,0.66,0.86,Adk,38581
0.68,0.9,0.88,Adk,62177
0.33,0.66,0.67,Adk,92720
0.77,0.87,0.98,Adk,110981
0.42,0.4,0.2,Adk,156088
0.67,0.84,0.87,Adk,163908
0.39,0.27,0.16,Adk,184383
0.49,0.62,0.74,Adk,178597
0.61,0.88,0.83,Adk,164540
0.5,0.59,0.7,Adk,164236
0.39,0.56,0.63,Adk,143695
0.54,0.71,0.82,Adk,132425
0.65,0.86,0.87,Adk,101404
0.53,0.68,0.83,Adk,91000
0.56,0.74,0.87,Adk,90714
0.59,0.74,0.83,Adk,82176
0.35,0.51,0.69,Adk,81034
0.67,0.89,0.86,Adk,50852
0.71,0.92,0.92,Adk,47000
0.5,0.77,0.81,Adk,39746
0.55,0.81,0.72,Adk,38838
0.47,0.2,0.3,Kat6b,35009
0.44,0.55,0.7,Kat6b,44136
