2mo,9mo,18mo,gene_name,distance
0.48,0.72,0.67,A830018L16Rik,92673
0.72,0.69,0.51,A830018L16Rik,151652
0.61,0.81,0.61,A830018L16Rik,161722
0.76,0.82,0.97,A830018L16Rik,211738
0.46,0.62,0.73,A830018L16Rik,226095
0.43,0.64,0.62,Gm17644,3444
0.43,0.64,0.62,Gm29663,1530
0.55,0.22,0.08,Sulf1,17440
0.43,0.51,0.65,Sulf1,21075
0.66,0.49,0.39,Sulf1,21533
0.71,0.56,0.41,Sulf1,22937
0.42,0.3,0.17,Sulf1,28620
0.56,0.76,0.78,Sulf1,46350
0.26,0.35,0.47,Sulf1,54321
0.63,0.87,0.8,Sulf1,58912
0.44,0.55,0.74,Sulf1,74407
0.39,0.54,0.67,Sulf1,81295
0.66,0.71,0.88,Sulf1,56913
0.49,0.69,0.74,Sulf1,56608
0.61,0.82,0.72,Sulf1,55718
0.54,0.73,0.46,Sulf1,47974
0.36,0.55,0.59,Sulf1,27768
0.71,0.84,0.93,Sulf1,12390
0.82,0.75,0.96,Sulf1,8842
0.74,0.84,1.0,Slco5a1,22618
0.81,0.89,0.68,Slco5a1,34588
0.34,0.6,0.59,Slco5a1,51071
0.2,0.35,0.41,Slco5a1,4181
0.36,0.61,0.57,Gm29283,6133
0.64,0.77,0.96,Gm29283,3919
0.62,0.78,0.84,Prdm14,7267
0.21,0.35,0.5,Prdm14,3340
0.09,0.16,0.33,Prdm14,2987
0.06,0.26,0.21,Prdm14,2267
0.8,0.59,0.5,RP23-93D12.2,2786
0.8,0.59,0.5,Ncoa2,41823
0.5,0.54,0.3,Ncoa2,51261
0.66,0.58,0.37,Ncoa2,55442
0.84,0.71,0.93,Ncoa2,78458
0.78,0.87,0.65,Ncoa2,92997
0.53,0.36,0.32,Ncoa2,117569
0.55,0.31,0.36,Ncoa2,82944
0.77,0.64,0.33,Ncoa2,81435
0.7,0.59,0.44,Ncoa2,70319
0.63,0.64,0.43,Ncoa2,67412
0.49,0.39,0.18,Ncoa2,63183
0.52,0.31,0.19,Ncoa2,58708
0.74,0.7,0.41,Ncoa2,51077
0.37,0.25,0.17,Ncoa2,46443
0.46,0.38,0.23,Gm23169,421
0.46,0.38,0.23,Ncoa2,43164
0.84,0.68,0.56,RP23-125I14.2,3423
0.84,0.68,0.56,Ncoa2,29302
0.83,0.82,0.6,Ncoa2,13226
0.72,0.58,0.48,Ncoa2,9545
0.67,0.79,0.87,Gm29570,6355
0.27,0.49,0.51,Tram1,12976
0.75,0.78,0.51,Tram1,13291
0.88,0.96,0.76,Xkr9,7549
0.62,0.48,0.42,Gm5523,1183
0.6,0.76,0.89,Gm5523,693
0.71,0.62,0.89,RP23-74B7.1,1755
0.78,0.62,0.57,Eya1,28643
0.73,0.78,0.51,Eya1,63650
0.68,0.73,0.4,Eya1,37862
0.38,0.13,0.16,Eya1,13863
0.77,0.49,0.44,Eya1,12141
0.57,0.37,0.23,Eya1,11212
0.38,0.09,0.14,Eya1,8481
0.35,0.13,0.16,Eya1,7865
0.36,0.28,0.11,Eya1,7301
0.47,0.45,0.14,Eya1,7019
0.36,0.2,0.08,Eya1,6711
0.33,0.17,0.07,Eya1,6240
0.76,0.6,0.41,Eya1,1520
0.84,0.67,0.58,Rpl5-ps1,1546
0.28,0.44,0.61,Trpa1,11961
0.31,0.54,0.44,Kcnb2,70002
0.76,0.67,0.55,Kcnb2,150034
0.52,0.76,0.82,Kcnb2,169764
0.46,0.61,0.69,Kcnb2,198955
0.53,0.75,0.66,Kcnb2,141345
0.35,0.63,0.6,Kcnb2,122385
0.54,0.75,0.76,Kcnb2,84621
0.58,0.41,0.29,RP23-325F17.4,1935
0.58,0.41,0.29,Sbspon,1404
0.74,0.71,0.94,Stau2,29386
0.74,0.71,0.94,Gm7568,4468
0.5,0.72,0.7,Stau2,42119
0.5,0.72,0.7,Gm7568,1128
0.18,0.31,0.4,Stau2,75390
0.91,0.83,0.7,Stau2,119480
0.85,0.91,0.66,Stau2,48645
0.33,0.35,0.55,Stau2,36114
0.73,0.73,0.93,Stau2,18215
0.86,0.89,0.65,Ly96,671
0.61,0.75,0.92,Gm29649,1959
0.56,0.69,0.77,Gm28376,14756
0.85,0.85,0.62,Gm28376,46407
0.9,0.76,0.96,Gm28376,22908
0.9,0.76,0.96,Jph1,29166
0.46,0.38,0.15,Gm28783,171
0.63,0.71,0.88,Gm28784,1058
0.4,0.48,0.63,Pi15,133
0.87,0.92,0.66,Gm16070,7476
0.92,0.9,0.69,Gm28755,3297
0.57,0.72,0.8,Gm28756,9892
0.66,0.78,0.88,Crisp4,1520
0.58,0.79,0.53,Defb44-ps,1091
0.02,0.01,0.23,Gm15825,4053
0.02,0.01,0.23,Tfap2d,1765
0.88,0.92,0.67,Tfap2d,13385
0.68,0.79,0.52,Tfap2d,20977
0.59,0.81,0.83,Tfap2d,18230
0.11,0.21,0.4,Tfap2b,903
0.11,0.19,0.37,Tfap2b,2339
0.09,0.15,0.32,Tfap2b,4671
0.03,0.15,0.23,Tfap2b,10483
0.11,0.14,0.32,Tfap2b,11336
0.13,0.23,0.34,Tfap2b,12941
0.22,0.41,0.42,Tfap2b,16817
0.1,0.29,0.32,Tfap2b,6423
0.14,0.26,0.38,Gm28340,1267
0.22,0.38,0.5,Gm28340,1033
0.55,0.72,0.48,Gm28341,1641
0.31,0.43,0.52,Pkhd1,51444
