cell_type,gene,DEG,pred,dmr,mcg_genebody,mch_genebody,atac,hic_loop,hic_abc_dmr,hic_abc_peak
CA3_Glut,Gpr176,0,1,0.106386654,0.15466028,0.06394198,0.045807652,0.086654015,0.3733257,0.16922374
CA3_Glut,Stim1,0,1,0.023276238,0.032211885,0.7709336,0.01056028,0.116603024,0.008773489,0.03764161
CA3_Glut,Tatdn3,0,1,0.06044454,0.08907302,0.040581994,0.44941598,0.06953285,0.19280002,0.09815165
CA3_Glut,6430550D23Rik,0,1,0.007429049,0.017053314,0.005637172,0.021462645,0.9107619,0.025989909,0.011666015
CA3_Glut,Rab35,0,1,0.025122773,0.21324682,0.034865715,0.12513539,0.47557124,0.08333469,0.042723343
CA3_Glut,Zbbx,0,1,0.11366802,0.12665404,0.10255389,0.03805362,0.03786614,0.4006805,0.18052378
CA3_Glut,Ubxn2a,0,1,0.026116388,0.07835798,0.65438914,0.071661994,0.037570443,0.087597094,0.04430696
CA3_Glut,Kantr,0,1,0.0004375833,0.00048802796,0.00032661337,0.9960063,0.0006294977,0.0013832087,0.0007287139
CA3_Glut,Ythdf1,0,1,0.010731762,0.0948213,0.009039542,0.05191047,0.78345466,0.031044114,0.018998165
CA3_Glut,Lrch1,0,1,0.5205734,0.1017734,0.05568256,0.01032199,0.11876192,0.13097484,0.061911892
CA3_Glut,Fam131b,0,1,0.079512134,0.12354112,0.048673064,0.32006776,0.05365211,0.246046,0.12850782
CA3_Glut,Shq1,0,1,0.11271453,0.13485886,0.08247251,0.05426733,0.04869969,0.39768505,0.16930199
CA3_Glut,Rsph3b,0,0,0.012254565,0.02088318,0.008869664,0.104568124,0.01762914,0.004619101,0.8311762
CA3_Glut,Smim17,0,1,0.5547521,0.066630796,0.03415417,0.100738905,0.032056205,0.14085658,0.07081117
CA3_Glut,Ggt7,0,1,0.027184859,0.105116606,0.04738358,0.1682243,0.5229126,0.084863625,0.044314466
CA3_Glut,Ppp1r9b,0,1,0.34664452,0.45303234,0.01549417,0.06861918,0.01650785,0.06752712,0.032174792
CA3_Glut,Pja1,0,1,0.0004374007,0.000860926,0.0002500729,0.9955907,0.000629235,0.001455544,0.0007761613
CA3_Glut,Ankrd11,0,1,0.027578596,0.13256708,0.035403192,0.01584471,0.6455302,0.09575096,0.047325227
CA3_Glut,Fam135a,0,1,0.0856437,0.13789076,0.17278187,0.049760897,0.09433872,0.31720826,0.1423758
CA3_Glut,Pate2,0,1,0.6472772,0.02798028,0.05432338,0.15449403,0.007092696,0.07718831,0.031644117
CA3_Glut,Brap,0,1,0.060875017,0.0780506,0.097767964,0.23658125,0.1839158,0.23639864,0.10641077
CA3_Glut,Rbm43,0,0,0.08062616,0.08938652,0.0649564,0.25531197,0.115986966,0.2647328,0.12899911
CA3_Glut,Kctd9,0,1,0.043712124,0.17461815,0.08925462,0.41566187,0.03305183,0.16399348,0.07970783
CA3_Glut,Gm27010,0,1,0.00042574288,0.00039659158,0.00047261224,0.96905565,0.0006124643,0.00016047482,0.028876374
CA3_Glut,Gm15787,0,1,0.25101405,0.006501367,0.012711986,0.02156169,0.6777604,0.021265967,0.009184469
CA3_Glut,Pcyox1l,0,1,0.04939935,0.051837992,0.051660024,0.5596815,0.05865663,0.14427777,0.084486715
CA3_Glut,Efcab1,0,1,0.0804232,0.10063733,0.10914736,0.5150862,0.03714405,0.030313833,0.12724803
CA3_Glut,Tceanc2,0,1,0.09212623,0.107728034,0.04598264,0.1479339,0.09589157,0.3646492,0.14568831
CA3_Glut,Pik3r3,0,1,0.0837388,0.10266417,0.10949192,0.11246133,0.16315793,0.3013732,0.12711263
CA3_Glut,Ammecr1,0,1,0.00043749026,0.000491642,0.00043792106,0.99579453,0.0006293639,0.0015267661,0.0006822031
CA3_Glut,Snrnp27,0,1,0.058995657,0.062484946,0.038027797,0.3450247,0.17933597,0.21524575,0.100885145
CA3_Glut,Tango6,0,1,0.35770085,0.041394014,0.022289453,0.01005488,0.40560266,0.11144854,0.051509503
CA3_Glut,Slc25a11,0,0,0.0067565134,0.012120655,0.0036813118,0.4863324,0.030296046,0.0025467258,0.45826632
CA3_Glut,Kcnk9,0,1,0.083822064,0.17848589,0.059000734,0.19527172,0.057042345,0.29126692,0.13511033
CA3_Glut,Brox,0,1,0.039745476,0.06927419,0.056356173,0.5707427,0.05717694,0.13781472,0.06888973
CA3_Glut,Abcb9,0,1,0.0026217953,0.007918952,0.05650163,0.0039099073,0.91567963,0.008751953,0.0046161306
CA3_Glut,Mvb12a,0,1,0.0073863245,0.022985047,0.006444848,0.32868105,0.59812975,0.022576246,0.013796681
CA3_Glut,Mocs2,0,1,0.030682232,0.10189461,0.5968706,0.04714112,0.06486861,0.10923235,0.04931047
