,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,DEG
Meg3,5.642564960520389e-94,0.983150758692366,1.0,0.996,1.46559982284557e-89,-1
Tsix,2.30553962613523e-44,-2.7098519172866,0.116,0.461,5.98840862492366e-40,1
Slc17a7,3.78205003508292e-39,1.4788594019909,0.726,0.352,9.823496761124371e-35,-1
Ube3a,1.7583469336411e-35,-1.30718491857428,0.531,0.777,4.567130325439391e-31,1
C1ql3,3.09294705314809e-35,1.31557367650612,0.696,0.364,8.033620675846851e-31,-1
Rnf112,1.8137091779652e-27,2.12738824675442,0.436,0.109,4.71092821884681e-23,-1
Lmo4,4.5643450858456e-27,1.3287698025425,0.712,0.385,1.18554299259754e-22,-1
Mapt,7.03650989927126e-27,1.01392716415272,0.807,0.533,1.82766308123672e-22,-1
Olfm1,7.24262359777289e-27,1.01049916328218,0.759,0.478,1.88119905328553e-22,-1
Snrnp70,3.85578929291239e-23,1.17751354231764,0.684,0.377,1.00150271094106e-18,-1
Camkv,5.71000730817643e-23,1.79116949431667,0.438,0.141,1.4831172982257498e-18,-1
Cdk9,5.71867841772138e-22,2.0515591788949,0.365,0.093,1.48536953221895e-17,-1
Nrg3os,8.00841611302523e-22,-1.16950599630555,0.152,0.444,2.08010600119717e-17,1
Pabpn1,3.3312224641288706e-21,1.23385471827417,0.55,0.257,8.65251722832833e-17,-1
Cacna1a,7.56221298318524e-21,0.859707514781052,0.824,0.59,1.96420920025253e-16,-1
Grin1,1.9606155441929e-20,1.05635878485413,0.791,0.541,5.09250281448663e-16,-1
Cpt1c,8.975466380385421e-20,1.50392592863025,0.426,0.154,2.3312876376413103e-15,-1
Ptprn,9.180113909921501e-20,1.15053917141088,0.574,0.274,2.38444278696301e-15,-1
Ptpru,5.0283807313707e-19,1.5358061018358,0.458,0.171,1.30607161116623e-14,-1
Igsf21,4.55673374177754e-18,1.06499950108216,0.592,0.309,1.1835660220893e-13,-1
Srcin1,5.87681993395006e-18,1.17405815977447,0.576,0.282,1.52644520964419e-13,-1
Celf4,7.41244304016195e-18,0.635012510183014,0.941,0.821,1.92530795525166e-13,-1
Elavl3,7.932074216610501e-18,0.902796825582498,0.647,0.366,2.06027695702241e-13,-1
Dgkz,1.9274095544405402e-17,1.20678790563915,0.574,0.286,5.00625357670387e-13,-1
Csmd2,5.06209928574536e-17,0.633228184636676,0.852,0.684,1.3148296684794998e-12,-1
Pacsin1,1.70327040504045e-16,0.913055275128326,0.696,0.429,4.42407455005206e-12,-1
Sulf1,2.63087774107713e-16,0.927539608761989,0.669,0.389,6.83344184467374e-12,-1
Grik5,9.84799775319933e-16,1.10207474976958,0.558,0.291,2.5579189364159897e-11,-1
Xist,2.5038648459780703e-15,-0.461911437487704,0.925,0.93,6.50353855094343e-11,1
Srrm3,2.58947500411555e-15,1.07285228544532,0.562,0.31,6.725902375689729e-11,-1
Slc8a2,2.6442187441287e-15,1.22588935945721,0.424,0.171,6.86809376599989e-11,-1
Atp1a3,3.55643240292249e-15,1.25530154312368,0.438,0.179,9.237477523350868e-11,-1
Il1rapl2,1.14539691934338e-14,0.637699428516379,0.769,0.547,2.9750539583025e-10,-1
Tmem132a,1.9141126139207905e-14,1.99515211619334,0.26,0.07,4.97171610339785e-10,-1
Snta1,3.24280961503966e-14,1.1365334657887,0.485,0.238,8.422873694104e-10,-1
